s,o,h,l,c,v,t
ok,95.0,95.0,94.44,94.44,200,1574899200
ok,95.0,95.0,95.0,95.0,10,1575849600
ok,95.56,97.78,95.56,97.78,248,1576108800
ok,98.33,98.89,98.33,98.89,30,1576368000
ok,103.33,104.44,103.33,103.33,252,1576540800
ok,104.44,105.56,104.44,104.44,350,1577059200
ok,105.56,107.78,104.44,104.44,611,1577145600
ok,104.44,104.44,100.0,100.0,1030,1577232000
ok,99.44,99.44,99.44,99.44,170,1577318400
ok,99.44,99.44,98.89,98.89,720,1577577600
ok,98.33,98.89,98.33,98.89,120,1577750400
ok,99.44,100.0,99.44,100.0,20,1577836800
ok,100.56,100.56,98.89,98.89,175,1577923200
ok,98.89,98.89,98.33,98.33,120,1578182400
ok,98.89,98.89,98.89,98.89,100,1578268800
ok,98.33,98.89,98.33,98.89,2200,1578355200
ok,99.44,101.11,99.44,101.11,210,1578528000
ok,102.22,102.22,101.11,101.11,220,1578873600
ok,101.11,101.11,101.11,101.11,100,1579046400
ok,102.22,103.33,102.22,102.78,1258,1579132800
ok,103.89,107.22,103.89,105.0,3265,1579392000
ok,106.11,107.22,102.78,102.78,4280,1579478400
ok,102.78,102.78,101.67,101.67,1440,1579564800
ok,102.78,102.78,100.56,100.56,1540,1579651200
ok,101.67,102.78,101.67,102.78,220,1579737600
ok,101.67,101.67,101.67,101.67,493,1580083200
ok,102.78,105.0,102.78,104.44,2117,1580169600
ok,103.33,103.33,102.22,102.22,330,1580256000
ok,103.33,103.33,101.67,102.22,400,1580342400
ok,102.22,102.22,100.56,100.56,2760,1580688000
ok,100.56,101.67,100.0,101.67,1953,1580774400
ok,102.78,102.78,100.0,100.0,810,1580860800
ok,100.0,105.56,100.0,105.56,8548,1580947200
ok,106.11,107.22,105.0,105.56,4574,1581206400
ok,105.56,105.56,104.44,104.44,357,1581292800
ok,104.44,104.44,103.33,103.33,2100,1581379200
ok,102.22,102.22,102.22,102.22,600,1581465600
ok,101.11,102.78,101.11,102.22,828,1581552000
ok,103.33,103.33,103.33,103.33,100,1581811200
ok,104.44,104.44,102.22,102.22,550,1581897600
ok,102.22,102.22,101.11,101.11,724,1581984000
ok,100.56,105.56,100.56,104.44,2525,1582070400
ok,104.44,105.0,102.22,102.22,4954,1582156800
ok,103.33,104.44,102.22,102.22,417,1582416000
ok,102.22,102.78,102.22,102.78,441,1582502400
ok,102.22,106.11,101.67,106.11,2636,1582588800
ok,106.67,108.33,106.67,107.22,1190,1582675200
ok,106.11,106.11,103.33,103.33,953,1582761600
ok,103.33,102.78,102.22,102.22,642,1583020800
