s,o,h,l,c,v,t
ok,73.46,72.78,72.1,72.1,105,1325376000
ok,72.1,71.42,70.05,70.05,130,1325462400
ok,70.05,69.37,68.01,68.01,239,1325548800
ok,68.01,68.01,68.01,68.01,293,1325635200
ok,68.01,68.69,68.69,68.69,57,1325721600
ok,68.69,69.37,69.37,69.37,44,1325980800
ok,69.37,68.69,66.64,67.32,491,1326067200
ok,67.32,66.64,66.64,66.64,60,1326240000
ok,66.64,67.32,67.32,67.32,200,1326326400
ok,67.32,67.32,67.32,67.32,186,1326672000
ok,67.32,67.32,67.32,67.32,403,1326758400
ok,67.32,67.32,67.32,67.32,39,1327276800
ok,67.32,67.32,67.32,67.32,140,1327449600
ok,67.32,67.32,66.64,67.32,125,1327536000
ok,67.32,67.55,67.32,67.32,71,1327968000
ok,67.32,67.32,66.64,67.32,149,1328054400
ok,67.32,67.32,67.32,67.32,34,1329091200
ok,67.32,67.55,66.64,66.64,847,1329177600
ok,66.64,66.87,66.87,66.87,160,1329264000
ok,66.87,66.19,66.19,66.19,17,1329955200
ok,66.19,65.51,65.51,65.51,70,1330214400
ok,65.51,66.87,66.19,66.87,120,1330300800
ok,66.87,66.87,66.19,66.19,342,1330819200
ok,66.19,66.87,66.87,66.87,413,1331510400
ok,66.87,67.32,67.32,67.32,400,1331596800
ok,67.32,67.32,67.32,67.32,27,1331683200
ok,67.32,66.87,66.87,66.87,80,1332028800
ok,66.87,67.1,66.64,66.64,161,1332115200
ok,66.64,66.87,66.64,66.87,180,1332201600
ok,66.87,66.87,66.19,66.19,418,1332288000
ok,66.19,67.55,66.87,67.55,290,1332633600
ok,67.55,66.87,66.87,66.87,63,1332806400
ok,66.87,66.87,66.41,66.87,536,1332892800
ok,66.87,67.32,67.32,67.32,200,1333238400
ok,67.32,66.87,66.19,66.87,300,1333324800
ok,66.87,66.87,66.87,66.87,120,1333411200
ok,66.87,67.1,66.87,66.87,754,1333497600
ok,66.87,66.87,66.87,66.87,40,1334016000
ok,66.87,67.55,67.55,67.55,1132,1334793600
ok,67.55,68.23,68.23,68.23,1735,1335225600
ok,68.23,70.28,68.92,70.28,1988,1335398400
ok,70.28,70.28,70.28,70.28,53,1335916800
ok,70.28,71.64,70.96,71.64,22,1336608000
ok,71.64,70.96,70.96,70.96,80,1336867200
ok,70.96,71.64,71.64,71.64,40,1337472000
ok,71.64,71.87,71.87,71.87,24,1338681600
ok,71.87,71.87,71.87,71.87,100,1338854400
ok,71.87,73.24,72.55,73.24,320,1339027200
ok,73.24,72.78,72.55,72.78,145,1339286400
ok,72.78,74.15,73.46,74.15,379,1339372800
ok,74.15,75.96,74.15,75.96,304,1339459200
ok,75.96,75.05,75.05,75.05,66,1339545600
ok,75.05,74.15,74.15,74.15,420,1339891200
ok,74.15,73.24,73.24,73.24,100,1339977600
ok,73.24,73.24,73.24,73.24,10,1340064000
ok,73.24,73.92,73.92,73.92,10,1340150400
ok,73.92,74.6,74.6,74.6,19,1340668800
ok,74.6,75.51,74.6,75.51,175,1340755200
ok,75.51,75.51,74.6,74.6,114,1341187200
ok,74.6,73.69,73.69,73.69,80,1341705600
ok,73.69,73.01,73.01,73.01,80,1341792000
ok,73.01,73.01,73.01,73.01,80,1341878400
ok,73.01,72.33,68.92,68.92,400,1342483200
ok,68.92,69.6,69.6,69.6,30,1343606400
ok,69.6,69.83,69.83,69.83,40,1344124800
ok,69.83,69.14,68.46,68.46,290,1346025600
ok,68.46,69.14,69.14,69.14,34,1347235200
ok,69.14,69.83,69.83,69.83,240,1348099200
ok,69.83,69.83,69.83,69.83,80,1348444800
ok,69.83,69.6,69.6,69.6,100,1348617600
ok,69.6,70.28,70.28,70.28,4000,1348963200
ok,70.28,73.69,70.96,73.69,1553,1349049600
ok,73.69,77.1,74.37,77.1,40,1349136000
ok,77.1,78.01,76.19,78.01,120,1349222400
ok,78.01,78.92,78.92,78.92,10,1349913600
ok,78.92,79.83,79.83,79.83,192,1350259200
ok,79.83,79.83,79.83,79.83,790,1355356800
ok,79.83,78.92,78.92,78.92,28,1355702400
ok,78.92,79.83,79.83,79.83,46,1355788800
ok,79.83,79.83,79.83,79.83,183,1355875200
ok,79.83,78.92,78.92,78.92,40,1357084800
ok,78.92,78.01,78.01,78.01,100,1357516800
ok,78.01,77.1,76.42,76.42,108,1359590400
ok,76.42,75.51,75.51,75.51,40,1360454400
ok,75.51,75.51,74.6,74.6,300,1361318400
ok,74.6,73.69,73.69,73.69,40,1364342400
ok,73.69,73.01,72.33,72.33,80,1364428800
ok,72.33,72.33,72.33,72.33,504,1365638400
ok,72.33,71.64,70.96,70.96,600,1366070400
ok,70.96,70.96,70.73,70.73,506,1366243200
ok,70.73,70.05,70.05,70.05,11,1366588800
ok,70.05,69.37,69.37,69.37,40,1367280000
ok,69.37,70.05,70.05,70.05,40,1367452800
ok,70.05,69.37,69.37,69.37,25,1368316800
ok,69.37,68.69,68.69,68.69,80,1369094400
ok,68.69,68.01,68.01,68.01,160,1369180800
ok,68.01,67.55,67.55,67.55,36,1369526400
ok,67.55,66.87,66.87,66.87,120,1369612800
ok,66.87,66.19,66.19,66.19,160,1369699200
ok,66.19,66.19,65.51,65.51,280,1370736000
ok,65.51,67.55,66.19,67.55,120,1372291200
ok,67.55,68.92,68.23,68.92,612,1372636800
ok,68.92,68.92,68.92,68.92,160,1372723200
ok,68.92,69.6,69.6,69.6,40,1372809600
ok,69.6,70.28,70.28,70.28,40,1372896000
ok,70.28,74.37,70.96,74.37,482,1373155200
ok,74.37,78.92,75.28,78.92,6134,1373241600
ok,78.92,83.92,79.83,83.92,835,1373328000
ok,83.92,86.88,84.83,86.88,59,1373414400
ok,86.88,92.56,88.01,92.56,4913,1373500800
ok,92.56,93.7,91.42,92.56,525,1373760000
ok,92.56,93.7,92.33,93.24,1263,1373846400
ok,93.24,93.47,92.11,92.11,3450,1373932800
ok,92.11,92.11,92.11,92.11,40,1374019200
ok,92.11,92.33,91.2,91.2,813,1374105600
ok,91.2,94.61,92.33,93.47,928,1374364800
ok,93.47,93.47,92.33,92.33,259,1374451200
ok,92.33,92.33,91.2,92.33,185,1374537600
ok,92.33,94.61,93.47,94.61,894,1374624000
ok,94.61,93.47,92.33,92.33,1000,1374710400
ok,92.33,94.61,93.47,94.61,579,1374969600
ok,94.61,94.61,93.47,94.61,537,1375056000
ok,94.61,94.61,94.38,94.38,1617,1375142400
ok,94.38,94.61,93.47,94.61,351,1375228800
ok,94.61,96.88,94.84,94.84,351,1375315200
ok,94.84,95.97,95.97,95.97,454,1375574400
ok,95.97,96.88,96.88,96.88,40,1375660800
ok,96.88,95.52,91.2,91.2,392,1375833600
ok,91.2,91.2,90.06,91.2,296,1376352000
ok,91.2,91.42,91.2,91.2,2518,1376438400
ok,91.2,93.47,92.33,93.47,140,1376524800
ok,93.47,93.47,91.42,91.42,641,1376784000
ok,91.42,90.29,90.29,90.29,36,1376956800
ok,90.29,92.56,91.42,92.56,3896,1377388800
ok,92.56,93.7,93.47,93.47,2740,1377475200
ok,93.47,94.61,94.61,94.61,240,1377561600
ok,94.61,93.47,93.47,93.47,80,1377993600
ok,93.47,94.61,94.61,94.61,36,1378080000
ok,94.61,93.47,93.47,93.47,125,1378166400
ok,93.47,92.33,92.33,92.33,500,1378252800
ok,92.33,91.2,91.2,91.2,80,1378684800
ok,91.2,90.29,88.92,88.92,296,1378857600
ok,88.92,87.79,86.65,86.65,46,1379203200
ok,86.65,88.92,87.79,88.92,5579,1379289600
ok,88.92,91.2,90.06,91.2,6101,1379376000
ok,91.2,92.33,91.2,91.2,186,1379548800
ok,91.2,94.15,94.15,94.15,10,1380499200
ok,94.15,94.38,94.38,94.38,38,1381104000
ok,94.38,93.24,93.24,93.24,48,1381190400
ok,93.24,96.43,96.43,96.43,10,1381968000
ok,96.43,95.29,95.29,95.29,70,1383004800
ok,95.29,94.15,94.15,94.15,80,1383091200
ok,94.15,93.47,92.33,93.47,390,1383696000
ok,93.47,95.74,93.47,95.74,258,1384041600
ok,95.74,95.74,95.74,95.74,80,1384214400
