s,o,h,l,c,v,t
ok,341.66,373.55,341.66,373.55,80,1595980800
ok,380.39,410.76,380.39,410.76,90,1596067200
ok,418.35,451.76,418.35,451.76,230,1596326400
ok,460.11,496.55,460.11,496.55,776,1596412800
ok,506.42,545.9,506.42,545.9,4464,1596585600
ok,572.48,599.81,542.87,545.9,31854,1596672000
ok,572.48,572.48,507.94,525.4,9707,1596931200
ok,521.61,577.79,520.09,566.4,11652,1597017600
ok,555.77,566.4,523.88,545.14,5870,1597104000
ok,535.27,553.5,531.48,535.27,3541,1597104000
ok,525.4,570.2,525.4,546.66,7146,1597276800
ok,536.03,539.07,516.29,527.68,5753,1597536000
ok,537.55,555.77,518.57,545.14,4011,1597622400
ok,534.51,539.07,528.44,539.07,2177,1597708800
ok,529.2,529.2,521.61,523.88,4465,1597795200
ok,533.75,533.75,516.29,526.92,2401,1597881600
ok,526.92,542.11,517.05,542.11,4104,1598140800
ok,537.55,548.18,532.24,545.9,5291,1598227200
ok,546.66,565.64,535.27,544.38,3897,1598313600
ok,535.27,548.18,535.27,542.11,4609,1598400000
ok,539.07,545.9,533.0,538.31,2704,1598486400
ok,538.31,538.31,517.05,533.75,1698,1598745600
ok,535.27,539.83,531.48,534.51,5805,1598832000
ok,540.59,549.7,532.24,536.03,4545,1599004800
ok,529.2,535.27,527.68,534.51,4522,1599091200
ok,561.09,561.09,529.2,533.0,5536,1599350400
ok,531.48,538.31,524.64,538.31,4312,1599436800
ok,539.07,544.38,532.24,538.31,5292,1599523200
ok,548.94,591.46,541.35,588.42,24756,1599609600
ok,617.27,617.27,577.79,593.74,11266,1599696000
ok,593.74,593.74,571.72,586.9,12177,1599955200
ok,577.03,583.87,559.57,577.03,12353,1600041600
ok,569.44,580.83,558.05,567.92,3362,1600128000
ok,578.55,589.94,558.05,565.64,5457,1600214400
ok,565.64,584.62,561.85,572.48,8153,1600300800
ok,583.87,584.62,561.85,562.61,3455,1600560000
ok,562.61,565.64,558.81,562.61,2758,1600646400
ok,562.61,562.61,550.46,555.77,5803,1600732800
ok,547.42,567.16,547.42,561.85,2153,1600819200
ok,552.74,561.85,552.74,560.33,3241,1600905600
ok,570.96,615.75,570.96,615.75,635,1610236800
ok,627.9,677.25,627.9,677.25,380,1610323200
ok,690.16,744.83,690.16,744.83,406,1610409600
ok,782.03,819.23,782.03,819.23,6886,1610496000
ok,859.47,900.47,859.47,900.47,3217,1610841600
ok,945.27,990.07,945.27,990.07,50962,1610928000
ok,1039.42,1088.77,999.94,1025.75,25761,1611014400
ok,1026.51,1049.29,990.07,1011.32,12093,1611100800
ok,1024.99,1031.82,1006.01,1029.55,13447,1611187200
ok,1040.18,1047.77,1021.19,1039.42,14177,1611446400
ok,1039.42,1049.29,1018.92,1020.44,9187,1611532800
ok,1040.18,1040.18,1002.97,1004.49,8353,1611619200
ok,1054.6,1104.71,1042.45,1104.71,30426,1611705600
ok,1159.38,1214.8,1159.38,1214.8,10343,1611792000
ok,1275.54,1305.91,1190.51,1198.86,22975,1612051200
ok,1222.4,1222.4,1166.97,1173.8,17175,1612137600
ok,1214.8,1223.16,1151.79,1208.73,15204,1612224000
ok,1229.23,1242.9,1177.6,1195.82,10811,1612310400
ok,1214.8,1225.43,1172.29,1216.32,17021,1612396800
ok,1277.06,1337.8,1245.93,1337.8,18899,1612656000
ok,1404.62,1471.43,1368.17,1409.93,25542,1612742400
ok,1404.62,1426.64,1328.69,1365.9,9159,1612828800
ok,1361.34,1365.9,1311.99,1340.08,8062,1612915200
ok,1366.65,1366.65,1252.77,1275.54,10266,1613001600
ok,1256.56,1263.4,1170.01,1211.01,11501,1613260800
ok,1234.54,1331.73,1234.54,1331.73,6306,1613347200
ok,1366.65,1421.32,1313.51,1328.69,9097,1613433600
ok,1328.69,1328.69,1283.14,1300.6,7176,1613520000
ok,1290.73,1290.73,1267.95,1286.17,4514,1613606400
ok,1261.12,1290.73,1245.17,1260.36,4982,1613865600
ok,1245.93,1290.73,1237.58,1277.82,5037,1613952000
ok,1252.77,1290.73,1204.93,1286.93,8640,1614038400
ok,1290.73,1290.73,1214.8,1229.99,16519,1614124800
ok,1291.49,1291.49,1162.42,1195.82,10947,1614211200
ok,1173.05,1184.43,1131.29,1135.08,8552,1614470400
ok,1116.1,1203.42,1091.05,1173.05,7835,1614556800
ok,1173.05,1207.21,1129.01,1131.29,4294,1614643200
ok,1109.27,1123.69,1087.25,1111.55,6086,1614729600
ok,1130.53,1176.08,1116.1,1164.69,4716,1614816000
