s,o,h,l,c,v,t
ok,142.71,145.57,142.71,145.57,20,1552262400
ok,152.7,152.7,145.57,152.7,10,1552348800
ok,160.32,166.02,152.7,166.02,30,1552435200
ok,174.11,174.11,174.11,174.11,10,1552521600
ok,182.67,191.24,182.67,191.24,50,1552780800
ok,200.75,200.75,200.75,200.75,10,1552867200
ok,210.74,220.73,210.74,220.73,40,1552953600
ok,231.67,242.62,231.67,242.62,500,1553126400
ok,254.51,264.02,231.2,234.05,31231,1553385600
ok,234.05,235.96,230.25,233.1,10094,1553472000
ok,233.1,233.1,228.82,232.63,5200,1553558400
ok,232.63,235.0,228.34,232.63,5701,1553644800
ok,236.91,236.91,228.82,230.72,3750,1553731200
ok,232.63,236.91,228.34,229.77,4030,1553990400
ok,228.82,230.25,226.44,227.87,3680,1554076800
ok,227.39,229.77,226.92,226.92,4050,1554163200
ok,225.97,228.82,225.01,228.34,3700,1554249600
ok,227.87,228.34,225.49,226.92,1730,1554336000
ok,224.54,225.01,220.26,221.68,3250,1554595200
ok,221.68,233.1,218.35,229.3,3120,1554681600
ok,231.67,231.67,225.49,225.49,2260,1554768000
ok,225.01,226.92,221.21,222.64,2020,1554854400
ok,218.35,225.01,218.35,224.06,2100,1554940800
ok,219.78,225.01,219.78,221.68,1710,1555286400
ok,220.26,228.34,220.26,223.11,990,1555372800
ok,223.11,231.67,223.11,224.06,2230,1555459200
ok,225.97,227.87,220.73,220.73,1670,1555545600
ok,220.73,227.87,220.73,225.49,1430,1555804800
ok,221.21,225.97,221.21,223.59,1350,1555891200
ok,221.21,221.68,217.4,221.68,2434,1555977600
ok,218.83,222.64,215.02,222.64,1655,1556064000
ok,225.49,225.49,219.78,219.78,1980,1556150400
ok,221.21,237.86,218.83,230.72,5761,1556409600
ok,230.72,232.15,222.16,224.54,3909,1556496000
ok,224.54,225.97,221.21,224.06,1290,1556582400
ok,224.06,224.06,220.73,220.73,2100,1556755200
ok,220.73,223.59,220.26,220.73,1960,1557014400
ok,220.26,221.21,218.83,221.21,1420,1557100800
ok,216.93,220.73,216.93,220.73,1710,1557187200
ok,218.35,225.01,214.07,223.59,4104,1557273600
ok,222.64,223.59,220.73,223.11,970,1557360000
ok,218.83,222.16,216.93,221.21,370,1557619200
ok,221.21,224.06,218.83,224.06,1050,1557705600
ok,225.97,225.97,218.35,221.68,670,1557792000
ok,218.35,224.06,218.35,220.73,1940,1557878400
ok,216.93,219.31,214.07,216.45,3019,1557964800
ok,214.55,220.26,210.27,210.27,2240,1558224000
ok,210.27,218.35,206.94,213.6,1790,1558310400
ok,213.6,221.68,205.98,214.07,1290,1558396800
ok,214.07,220.26,212.17,214.07,1050,1558483200
ok,212.17,222.64,211.69,211.69,1140,1558569600
ok,211.69,213.12,208.36,209.79,1480,1558828800
ok,213.6,213.6,208.36,210.27,915,1558915200
ok,209.32,209.79,206.94,209.32,1080,1559001600
ok,208.84,211.22,207.41,210.27,1840,1559088000
ok,211.69,222.64,204.56,211.22,4693,1559174400
