s,o,h,l,c,v,t
ok,321.3,347.64,321.3,347.64,140,1682985600
ok,354.57,368.81,354.57,368.81,40,1683072000
ok,376.13,399.05,376.13,399.05,50,1683158400
ok,407.0,431.83,407.0,431.83,50,1683417600
ok,440.42,458.09,440.42,458.09,30,1683504000
ok,467.24,476.55,467.24,476.55,20,1683590400
ok,486.02,495.72,486.02,495.72,20,1683676800
ok,505.59,525.96,505.59,525.96,30,1683763200
ok,536.46,578.56,536.46,578.56,60,1684022400
ok,590.09,613.89,590.09,613.89,40,1684108800
ok,613.81,675.23,613.81,675.23,110,1684195200
ok,688.68,742.71,688.68,742.71,50,1684281600
ok,742.71,816.95,742.71,816.95,90,1684368000
ok,833.26,898.59,833.26,898.59,100,1684627200
ok,916.49,988.42,916.49,988.42,150,1684713600
ok,1008.16,1087.25,1008.16,1087.25,110,1684800000
ok,1108.97,1195.94,1108.97,1195.94,110,1684886400
ok,1219.81,1315.54,1219.81,1315.54,380,1685232000
ok,1341.79,1447.07,1341.79,1447.07,620,1685404800
ok,1475.23,1591.72,1475.23,1591.72,4450,1685491200
ok,1623.55,1689.12,1453.75,1505.47,17373,1685577600
ok,1505.47,1572.31,1503.88,1550.83,7100,1685836800
ok,1535.71,1535.71,1511.84,1514.22,4152,1685923200
ok,1543.66,1575.33,1519.79,1560.37,4736,1686009600
ok,1543.66,1575.49,1543.66,1559.58,3555,1686096000
ok,1563.56,1563.56,1532.52,1544.46,2140,1686182400
ok,1544.46,1638.35,1544.46,1631.19,5549,1686441600
ok,1661.43,1663.02,1575.49,1623.23,3350,1686528000
ok,1595.38,1645.51,1565.15,1628.8,2808,1686614400
ok,1623.23,1694.85,1623.23,1639.15,5476,1686700800
ok,1647.11,1750.55,1624.83,1694.85,3887,1686787200
ok,1710.76,1864.33,1710.76,1864.33,4917,1687046400
ok,1901.57,2016.31,1871.49,1932.76,4367,1687132800
ok,1971.35,2049.73,1860.35,1861.95,1660,1687219200
ok,1893.77,1893.77,1826.46,1852.64,2854,1687305600
ok,1830.99,1883.43,1830.99,1846.11,1223,1687392000
ok,1853.99,1947.8,1846.03,1931.17,2393,1687651200
ok,1965.39,1986.87,1897.99,1917.64,1168,1687737600
ok,1916.85,2109.41,1909.69,2037.0,5220,1687824000
ok,2076.79,2077.58,1970.32,1982.26,3225,1687910400
ok,1943.11,1965.39,1877.94,1877.94,2100,1688256000
ok,1842.21,1909.69,1831.71,1860.35,1514,1688342400
ok,1896.96,1934.35,1830.12,1906.5,1274,1688428800
ok,1869.11,1871.49,1834.89,1863.54,1163,1688515200
ok,1900.14,1900.14,1828.69,1861.15,2249,1688601600
ok,1897.75,1909.69,1839.67,1909.69,1318,1688860800
ok,1947.88,1986.71,1874.84,1885.02,857,1688947200
ok,1853.19,1868.31,1830.12,1837.28,3080,1689033600
ok,1830.12,1929.58,1830.12,1877.86,1728,1689120000
ok,1906.5,1941.52,1865.13,1900.7,2206,1689206400
ok,1933.48,1933.48,1869.9,1880.96,980,1689465600
ok,1869.9,1913.67,1869.9,1901.81,1533,1689552000
ok,1901.73,1937.54,1895.92,1929.58,2604,1689638400
ok,1909.69,1929.58,1909.69,1917.64,1179,1689724800
ok,1917.64,1929.5,1850.01,1873.88,3026,1689811200
ok,1843.25,1945.49,1843.25,1917.64,1988,1690070400
ok,1929.58,1929.58,1882.63,1897.75,1090,1690156800
ok,1928.78,1928.78,1826.14,1838.15,3263,1690243200
ok,1838.87,1881.84,1801.47,1849.61,2235,1690329600
ok,1881.04,1881.04,1831.71,1834.89,759,1690416000
ok,1815.0,1822.16,1770.44,1794.31,1672,1690675200
ok,1762.48,1818.18,1762.48,1814.2,966,1690761600
ok,1826.14,1826.14,1758.5,1774.42,1109,1690848000
ok,1744.42,1806.25,1744.42,1772.83,520,1690934400
ok,1796.7,1796.7,1758.5,1763.28,557,1691020800
ok,1742.59,1759.3,1708.45,1726.68,1569,1691280000
ok,1696.44,1750.55,1696.44,1734.63,3052,1691366400
ok,1702.8,1710.76,1662.22,1700.42,2198,1691452800
ok,1667.79,1698.83,1641.54,1698.83,1256,1691539200
ok,1667.0,1686.89,1643.13,1671.14,1436,1691625600
ok,1663.02,1670.98,1639.47,1649.57,570,1691884800
ok,1649.57,1670.82,1635.17,1635.25,1267,1691971200
ok,1623.31,1635.25,1616.07,1635.17,1279,1692057600
ok,1667.79,1667.79,1623.23,1639.15,450,1692144000
ok,1616.07,1663.02,1616.07,1663.02,815,1692230400
ok,1670.18,1670.98,1631.19,1635.17,773,1692489600
