s,o,h,l,c,v,t
ok,316.0,347.6,316.0,347.6,212,1664064000
ok,347.6,368.7,347.6,368.7,60,1664236800
ok,368.7,398.9,368.7,398.9,41,1664323200
ok,406.8,438.7,406.8,438.7,50,1664409600
ok,447.4,456.3,447.4,456.3,30,1665273600
ok,456.3,501.9,456.3,501.9,90,1665360000
ok,511.0,552.0,511.0,552.0,60,1665446400
ok,563.0,607.2,563.0,607.2,70,1665532800
ok,619.3,667.9,619.3,667.9,50,1665619200
ok,681.2,734.6,681.2,734.6,1944,1665878400
ok,749.0,808.0,749.0,808.0,3780,1665964800
ok,824.1,888.8,824.1,888.8,6990,1666137600
ok,906.5,963.0,820.2,830.2,42382,1666224000
ok,830.0,830.0,764.4,767.1,16958,1666483200
ok,782.4,782.4,730.0,731.0,10764,1667174400
ok,731.0,795.0,706.0,778.0,9803,1667260800
ok,777.0,800.0,750.0,785.0,6290,1667347200
ok,780.0,785.0,755.0,759.0,3880,1667433600
ok,759.0,786.0,744.0,783.0,11612,1667692800
ok,790.0,794.0,770.1,774.0,10064,1667779200
ok,760.3,777.0,760.3,765.0,2826,1667865600
ok,764.0,764.0,747.0,747.0,3832,1667952000
ok,743.0,759.0,721.0,730.0,3358,1668038400
ok,740.0,744.0,710.0,720.0,3485,1668297600
ok,710.1,728.9,710.1,724.0,1880,1668384000
ok,724.0,724.0,711.3,713.2,2240,1668470400
ok,720.0,725.0,709.1,713.0,2109,1668556800
ok,725.0,735.0,715.4,730.1,1710,1668643200
ok,731.0,732.0,716.6,724.7,1530,1669075200
ok,725.0,725.0,716.1,719.0,1864,1669161600
ok,708.3,715.0,708.3,714.0,2013,1669248000
ok,710.1,738.0,708.0,738.0,4318,1669507200
ok,725.0,737.4,717.0,724.0,1905,1669593600
ok,710.5,727.0,710.5,724.9,2189,1669680000
ok,711.1,724.0,711.1,718.0,1441,1669766400
ok,715.5,720.0,712.1,716.2,2740,1669852800
ok,716.2,720.0,706.0,715.0,2645,1670112000
ok,710.1,715.9,705.0,705.0,3273,1670198400
ok,702.0,710.0,702.0,706.0,1460,1670284800
ok,706.0,710.0,703.5,705.0,1425,1670371200
ok,693.0,706.0,691.0,693.0,2157,1670716800
ok,681.2,700.0,681.2,693.0,1595,1670803200
ok,685.0,700.0,685.0,693.1,1235,1670889600
ok,706.0,721.0,693.0,700.0,1775,1670976000
ok,714.0,727.0,692.4,693.0,1246,1671062400
ok,681.0,689.5,675.0,677.0,2509,1671321600
ok,672.0,685.0,672.0,674.0,1515,1671408000
ok,670.0,685.0,670.0,683.0,1405,1671494400
ok,696.6,696.6,675.2,675.2,1171,1671580800
ok,662.0,675.0,662.0,667.1,1460,1671667200
ok,667.0,705.8,667.0,704.0,2748,1672012800
ok,718.0,732.0,703.0,717.0,4135,1672099200
