s,o,h,l,c,v,t
ok,17.99,17.76,17.76,17.76,20,1325721600
ok,17.76,17.52,17.29,17.29,30,1326240000
ok,17.29,17.05,17.05,17.05,21,1326844800
ok,17.05,17.09,17.09,17.09,977,1327449600
ok,17.09,16.97,16.97,16.97,20,1328486400
ok,16.97,17.21,17.21,17.21,158,1328659200
ok,17.21,16.97,16.74,16.74,138,1329350400
ok,16.74,16.54,16.07,16.07,50,1329955200
ok,16.07,15.87,15.28,15.28,178,1330387200
ok,15.28,15.48,15.48,15.48,82,1330473600
ok,15.48,15.28,14.38,14.38,1795,1330560000
ok,14.38,14.18,14.18,14.18,126,1330819200
ok,14.18,14.07,13.91,13.91,31,1330905600
ok,13.91,14.07,14.07,14.07,158,1332201600
ok,14.07,14.22,14.22,14.22,157,1332633600
ok,14.22,14.26,14.26,14.26,84,1332892800
ok,14.26,14.46,14.46,14.46,110,1333843200
ok,14.46,14.34,14.34,14.34,476,1334188800
ok,14.34,14.54,14.54,14.54,2175,1335398400
ok,14.54,15.13,14.73,15.13,1927,1336953600
ok,15.13,15.91,15.32,15.91,288,1337212800
ok,15.91,15.72,15.72,15.72,319,1337817600
ok,15.72,15.91,15.91,15.91,472,1339027200
ok,15.91,15.72,15.52,15.52,658,1339459200
ok,15.52,15.72,15.72,15.72,420,1339891200
ok,15.72,15.64,15.64,15.64,157,1341100800
ok,15.64,16.74,15.83,16.74,1141,1341964800
ok,16.74,17.95,16.97,17.95,160,1342483200
ok,17.95,19.29,18.19,19.29,443,1342569600
ok,19.29,20.11,19.29,19.29,906,1342656000
ok,19.29,19.13,19.09,19.09,58,1343001600
ok,19.09,19.92,19.37,19.92,644,1343088000
ok,19.92,19.64,19.64,19.64,16,1343260800
ok,19.64,19.64,19.37,19.64,1437,1343692800
ok,19.64,20.19,19.92,19.95,64,1343779200
ok,19.95,19.68,19.68,19.68,100,1344211200
ok,19.68,19.72,19.72,19.72,525,1344816000
ok,19.72,19.95,19.52,19.52,210,1345075200
ok,19.52,19.25,18.97,18.97,380,1345334400
ok,18.97,18.7,18.7,18.7,10,1346112000
ok,18.7,19.05,17.76,19.05,435,1346198400
ok,19.05,19.17,18.89,19.13,1755,1346284800
ok,19.13,19.41,19.41,19.41,21,1346544000
ok,19.41,19.17,19.17,19.17,796,1346630400
ok,19.17,19.48,19.21,19.21,344,1346716800
ok,19.21,19.48,19.48,19.48,42,1346803200
ok,19.48,19.48,19.21,19.21,880,1346889600
ok,19.21,19.13,19.13,19.13,420,1347148800
ok,19.13,19.05,18.86,19.05,2000,1347235200
ok,19.05,19.01,19.01,19.01,1000,1347321600
ok,19.01,19.33,19.09,19.33,230,1347408000
ok,19.33,20.82,19.33,20.82,2184,1347753600
ok,20.82,22.07,21.13,21.68,891,1347840000
ok,21.68,21.41,20.7,20.98,1457,1347926400
ok,20.98,21.29,20.98,20.98,50,1348012800
ok,20.98,21.29,20.98,21.05,563,1348099200
ok,21.05,20.74,20.74,20.74,261,1348358400
ok,20.74,20.43,20.19,20.19,618,1348444800
ok,20.19,20.31,20.31,20.31,50,1348531200
ok,20.31,20.62,20.58,20.62,370,1348617600
ok,20.62,20.74,20.54,20.74,107,1348704000
ok,20.74,20.9,20.9,20.9,100,1348963200
ok,20.9,21.21,21.21,21.21,26,1349222400
ok,21.21,21.09,20.78,20.78,377,1349654400
ok,20.78,21.09,21.09,21.09,21,1349740800
ok,21.09,21.72,21.37,21.72,304,1349827200
ok,21.72,23.02,22.03,23.02,69,1351555200
ok,23.02,22.9,22.15,22.15,1494,1351728000
ok,22.15,22.31,22.11,22.31,1002,1351987200
ok,22.31,22.66,22.47,22.47,730,1352073600
ok,22.47,23.53,22.82,23.17,288,1352160000
ok,23.17,22.94,22.9,22.94,155,1352246400
ok,22.94,23.21,22.86,23.06,1779,1352332800
ok,23.06,23.02,22.86,23.02,494,1352592000
ok,23.02,23.06,22.86,22.86,184,1352678400
ok,22.86,23.17,23.06,23.09,780,1353369600
ok,23.09,23.45,23.41,23.45,140,1353456000
ok,23.45,24.0,23.09,23.92,1027,1353542400
ok,23.92,23.76,23.76,23.76,20,1353801600
ok,28.6,23.59,23.59,23.59,100,1355184000
ok,23.59,24.28,23.94,24.28,100,1355356800
ok,24.28,25.07,24.28,25.07,255,1355616000
ok,25.07,25.07,25.07,25.07,106,1355702400
ok,25.07,25.85,25.46,25.85,40,1355961600
ok,25.85,25.51,25.51,25.51,48,1356307200
ok,25.51,26.15,25.26,25.26,4934,1358035200
ok,25.26,24.87,24.09,24.09,30,1358380800
ok,24.09,24.04,23.69,24.04,77,1358726400
ok,24.04,24.04,24.04,24.04,10,1358812800
ok,24.04,24.38,24.38,24.38,12,1358899200
ok,24.38,24.04,23.69,23.69,760,1358985600
ok,23.69,23.59,23.2,23.2,112,1359244800
ok,23.2,23.84,23.5,23.55,158,1359331200
ok,23.55,23.2,22.86,23.2,41,1359504000
ok,23.2,23.06,22.81,22.81,133,1359590400
ok,22.81,23.4,23.06,23.4,531,1359849600
ok,23.4,23.45,23.1,23.45,265,1360022400
ok,23.45,23.55,23.55,23.55,150,1360195200
ok,23.55,23.89,23.84,23.89,136,1360713600
ok,23.89,24.04,23.79,24.04,84,1360800000
ok,24.04,24.43,24.43,24.43,52,1361059200
ok,24.43,25.16,24.38,24.38,94,1361404800
ok,24.38,23.99,23.55,23.55,41,1361664000
ok,23.55,23.2,23.06,23.06,110,1361750400
ok,23.06,23.4,23.4,23.4,273,1361836800
ok,23.4,23.74,23.74,23.74,42,1361923200
ok,23.74,23.55,23.55,23.55,95,1362441600
ok,23.55,24.04,23.69,24.04,186,1362614400
ok,24.04,24.04,24.04,24.04,392,1362960000
ok,24.04,23.64,23.64,23.64,10,1363132800
ok,23.64,23.99,23.99,23.99,94,1363564800
ok,23.99,23.64,22.96,22.96,30,1363651200
ok,22.96,22.61,22.61,22.61,10,1363737600
ok,22.61,22.32,22.32,22.32,10,1363824000
ok,22.32,21.98,21.98,21.98,10,1364083200
ok,21.98,22.42,21.34,22.42,4799,1364342400
ok,22.42,22.07,22.07,22.07,1850,1364688000
ok,22.07,21.73,21.73,21.73,2504,1364774400
ok,21.73,21.39,21.34,21.34,3301,1364860800
ok,21.34,21.63,21.63,21.63,2029,1364947200
ok,21.63,21.98,21.98,21.98,2000,1365033600
ok,21.98,22.07,22.07,22.07,2000,1365292800
ok,22.07,22.81,21.83,22.81,2168,1365379200
ok,22.81,23.15,23.15,23.15,2000,1365465600
ok,23.15,23.4,23.06,23.4,1615,1365638400
ok,23.4,24.09,23.06,24.09,614,1365984000
ok,24.09,23.69,23.35,23.35,20,1366070400
ok,23.35,23.06,23.06,23.06,119,1366243200
ok,23.06,23.4,23.4,23.4,94,1366502400
ok,23.4,24.04,23.74,24.04,195,1366588800
ok,24.04,24.43,23.79,23.79,514,1366675200
ok,23.79,24.13,24.09,24.13,3099,1366848000
ok,24.13,24.13,23.94,24.13,4008,1367107200
ok,24.13,24.18,23.79,24.04,5803,1367193600
ok,24.04,24.09,24.04,24.04,1004,1367280000
ok,24.04,24.38,24.38,24.38,200,1367798400
ok,24.38,25.56,24.77,25.56,1210,1367884800
ok,25.56,25.41,25.31,25.31,200,1367971200
ok,25.31,25.61,25.21,25.61,160,1368057600
ok,25.61,25.21,25.02,25.02,147,1368316800
ok,25.02,24.63,24.63,24.63,556,1368403200
ok,24.63,25.02,25.02,25.02,200,1368921600
ok,25.02,25.41,25.41,25.41,10,1369008000
ok,25.41,25.41,25.41,25.41,158,1369094400
ok,25.41,25.66,25.66,25.66,20,1369180800
ok,25.66,27.77,25.75,27.77,447,1369267200
ok,27.77,28.65,28.21,28.65,22,1369612800
ok,28.65,29.09,29.09,29.09,12,1369872000
ok,29.09,28.6,26.83,26.83,298,1370217600
ok,26.83,26.73,26.2,26.2,1169,1370304000
ok,26.2,26.73,26.49,26.73,2657,1370390400
ok,26.73,26.49,26.34,26.34,653,1370736000
ok,26.34,26.24,26.24,26.24,195,1370995200
ok,26.24,26.0,25.85,25.85,317,1371427200
ok,25.85,25.85,25.85,25.85,53,1371600000
ok,25.85,25.75,25.75,25.75,42,1372204800
ok,25.75,25.51,25.51,25.51,525,1372291200
ok,25.51,25.7,25.51,25.51,699,1372550400
ok,25.51,26.29,25.51,26.29,589,1372809600
ok,26.29,27.03,26.59,27.03,22,1372896000
ok,27.03,28.84,27.47,28.84,2017,1373155200
ok,28.84,28.84,28.4,28.84,51,1373241600
ok,28.84,30.27,29.29,30.27,32,1373328000
ok,30.27,30.71,30.22,30.71,61,1373414400
ok,30.71,31.2,31.2,31.2,11,1373500800
ok,31.2,31.69,31.69,31.69,10,1373760000
ok,31.69,31.59,28.99,29.48,1549,1373846400
ok,29.48,28.99,28.99,28.99,220,1373932800
ok,28.99,28.94,28.94,28.94,100,1374019200
ok,28.94,28.89,28.45,28.45,111,1374105600
ok,28.45,29.83,28.89,29.83,31,1374364800
ok,29.83,30.32,29.83,29.83,130,1374451200
ok,29.83,29.34,28.84,28.94,167,1374537600
ok,28.94,29.92,29.43,29.92,23,1374624000
ok,29.92,29.43,28.94,28.94,300,1374710400
ok,28.94,29.19,28.94,28.94,921,1374969600
ok,28.94,29.43,29.43,29.43,100,1375056000
ok,29.43,29.19,27.81,27.86,7251,1375142400
ok,27.86,28.7,28.01,28.01,3694,1375228800
ok,28.01,28.7,28.45,28.7,1538,1375315200
ok,28.7,29.29,29.14,29.19,1074,1375574400
ok,29.19,28.7,28.7,28.7,40,1375660800
ok,28.7,29.14,29.14,29.14,31,1375747200
ok,29.14,29.68,29.19,29.68,208,1375833600
ok,29.68,29.19,29.19,29.19,84,1375920000
ok,29.19,31.4,29.29,31.4,788,1376179200
ok,31.4,34.09,31.94,33.95,1057,1376265600
ok,33.95,34.58,34.09,34.09,432,1376352000
ok,34.09,33.85,33.51,33.8,575,1376438400
ok,33.8,36.11,34.34,36.11,73,1376524800
ok,36.11,35.52,33.36,34.24,4415,1376784000
ok,34.24,35.32,34.04,35.32,196,1376870400
ok,35.32,35.32,34.83,35.32,597,1376956800
ok,35.32,35.91,34.73,35.91,156,1377388800
ok,35.91,36.94,35.66,35.66,829,1377475200
ok,35.66,36.2,35.08,36.2,600,1377561600
ok,36.2,36.3,36.06,36.3,404,1377734400
ok,36.3,37.58,36.94,37.58,40,1377993600
ok,37.58,38.51,38.22,38.51,60,1378080000
ok,38.51,39.15,35.91,35.91,4040,1378166400
ok,35.91,35.81,35.42,35.61,2204,1378252800
ok,35.61,36.06,35.81,35.86,826,1378339200
ok,35.86,37.72,36.45,37.72,30,1378684800
ok,37.72,41.01,38.36,41.01,774,1378771200
ok,41.01,43.12,41.7,43.12,62,1378857600
ok,43.12,43.17,41.7,41.7,237,1378944000
ok,41.7,40.96,40.96,40.96,100,1379289600
ok,40.96,40.28,38.22,38.22,232,1379376000
ok,38.22,37.58,36.94,36.94,261,1379548800
ok,36.94,36.3,36.3,36.3,100,1379808000
ok,36.3,36.74,35.86,35.86,1088,1379894400
ok,35.86,35.32,35.27,35.27,190,1379980800
ok,35.27,36.74,34.83,36.74,317,1380067200
ok,36.74,36.11,34.58,35.17,983,1380153600
ok,35.17,35.32,34.83,35.08,1948,1380412800
ok,35.08,35.32,35.03,35.32,791,1380499200
ok,35.32,36.5,35.32,36.5,347,1380585600
ok,36.5,36.25,36.25,36.25,90,1380672000
ok,36.25,36.4,35.81,36.4,136,1380758400
ok,36.4,35.76,35.17,35.76,156,1381017600
ok,35.76,38.22,36.35,38.22,53,1381104000
ok,38.22,38.51,38.51,38.51,125,1381190400
ok,38.51,38.75,38.75,38.75,536,1381276800
ok,38.75,38.75,38.75,38.75,32,1382227200
ok,38.75,38.75,37.48,37.48,1027,1382486400
ok,37.48,37.04,37.04,37.04,100,1382572800
ok,37.04,36.4,36.4,36.4,58,1382832000
ok,36.4,36.3,35.71,35.86,3876,1383004800
ok,35.86,36.45,36.45,36.45,100,1383177600
ok,36.45,37.28,36.79,37.04,1730,1383696000
ok,37.04,37.53,37.23,37.28,482,1383782400
ok,37.28,38.56,37.92,38.46,651,1384214400
ok,38.46,38.75,38.26,38.75,620,1384300800
ok,38.75,39.44,38.75,38.75,289,1384387200
ok,38.75,40.13,39.44,40.13,231,1384992000
ok,40.13,40.82,40.72,40.72,294,1385251200
ok,40.72,42.14,41.4,42.14,143,1385337600
ok,42.14,42.88,40.96,40.96,905,1385424000
ok,40.96,41.65,40.96,40.96,290,1385510400
ok,40.96,40.96,40.96,40.96,100,1385596800
ok,40.96,44.59,41.65,43.81,705,1385856000
ok,43.81,47.73,43.81,47.73,5082,1385942400
ok,47.73,52.0,48.57,50.82,7448,1386028800
ok,50.82,52.64,51.71,52.49,951,1386115200
ok,52.49,54.36,52.05,52.05,724,1386201600
ok,67.88,52.98,51.15,51.15,1277,1386547200
ok,51.15,50.23,50.23,50.23,107,1386633600
ok,50.23,49.32,49.32,49.32,125,1387065600
ok,49.32,50.17,50.17,50.17,78,1387152000
ok,50.17,51.08,51.08,51.08,252,1387670400
ok,51.08,51.08,50.17,51.08,508,1387756800
ok,51.08,51.15,50.17,51.15,481,1387843200
ok,51.15,50.23,50.17,50.17,497,1388275200
ok,50.17,51.08,49.51,51.08,1012,1389484800
ok,51.08,52.91,52.0,52.91,336,1389571200
ok,52.91,57.75,53.83,57.75,885,1389657600
ok,57.75,61.28,58.79,61.28,969,1390176000
ok,61.28,61.61,61.61,61.61,210,1390262400
ok,61.61,61.61,61.61,61.61,100,1390348800
ok,61.61,61.93,61.61,61.93,210,1390435200
ok,61.93,60.82,60.62,60.62,268,1390953600
ok,60.62,60.62,60.62,60.62,498,1391299200
ok,60.62,61.61,60.95,61.61,455,1391385600
ok,61.61,61.93,60.49,61.93,1247,1391472000
ok,61.93,63.24,62.06,62.06,1280,1391558400
ok,62.06,62.32,61.93,62.26,269,1391644800
ok,62.26,62.26,61.67,62.26,410,1391904000
ok,62.26,63.89,62.59,63.89,531,1391990400
ok,63.89,62.91,62.26,62.59,1824,1392076800
ok,62.59,61.61,61.47,61.61,318,1392163200
ok,61.61,63.24,62.72,63.24,282,1392249600
ok,63.24,64.42,64.42,64.42,67,1392508800
ok,64.42,64.42,63.57,63.57,281,1392595200
ok,63.57,63.89,63.63,63.63,773,1392681600
ok,63.63,63.57,62.59,63.57,1349,1392854400
ok,63.57,62.91,62.26,62.26,1476,1393113600
ok,62.26,63.89,63.37,63.37,551,1393200000
ok,63.37,63.3,62.19,63.24,792,1393286400
ok,63.24,62.59,62.13,62.19,298,1393372800
ok,62.19,61.08,59.97,59.97,281,1393804800
ok,59.97,59.97,59.97,59.97,139,1393891200
ok,59.97,61.08,61.08,61.08,158,1393977600
ok,61.08,63.3,62.19,63.3,180,1394064000
ok,63.3,62.59,62.59,62.59,180,1394323200
ok,62.59,61.47,59.32,59.32,1138,1394496000
ok,59.32,58.34,57.36,57.36,1068,1394582400
ok,57.36,58.4,57.36,57.36,1616,1394668800
ok,57.36,56.31,56.31,56.31,846,1395014400
ok,56.31,56.05,56.05,56.05,31,1395100800
ok,56.05,56.7,56.7,56.7,126,1395187200
ok,56.7,56.83,56.83,56.83,40,1395273600
ok,56.83,56.05,53.83,54.74,1163,1395532800
ok,54.74,55.72,55.4,55.72,238,1395619200
ok,55.72,56.7,56.05,56.7,375,1395792000
ok,56.7,55.72,55.72,55.72,119,1396224000
ok,55.72,56.7,56.05,56.7,933,1396310400
ok,56.7,60.04,57.75,60.04,1181,1396396800
ok,60.04,61.15,61.15,61.15,210,1396483200
ok,61.15,60.04,60.04,60.04,347,1396742400
ok,60.04,61.28,60.3,61.28,812,1396828800
ok,61.28,62.39,62.39,62.39,47,1397001600
ok,62.39,64.55,62.59,64.55,4926,1397088000
ok,64.55,66.51,64.87,66.51,913,1397347200
ok,66.51,67.75,67.75,67.75,44,1397520000
ok,67.75,66.57,64.09,64.09,456,1397692800
ok,64.09,62.91,61.08,61.08,1256,1397952000
ok,61.08,61.15,60.04,61.15,474,1398038400
ok,61.15,62.26,62.26,62.26,217,1398124800
ok,62.26,62.39,61.28,62.39,307,1398211200
ok,62.39,62.91,62.39,62.91,647,1398643200
ok,62.91,62.59,61.8,62.59,358,1398729600
ok,62.59,68.4,63.7,68.4,4135,1399161600
ok,68.4,74.35,69.65,70.1,5554,1399248000
ok,70.1,71.08,68.47,68.47,765,1399334400
ok,68.47,69.78,66.51,69.45,5386,1399420800
ok,69.45,68.21,68.21,68.21,105,1399507200
ok,68.21,68.47,66.83,67.16,851,1399766400
ok,67.16,67.49,66.83,67.16,1087,1399852800
ok,67.16,65.92,64.87,64.87,156,1399939200
ok,64.87,66.83,65.85,66.51,3755,1400112000
ok,66.51,66.9,66.77,66.9,490,1400371200
ok,66.9,71.41,66.9,71.41,5277,1400457600
ok,71.41,76.31,69.12,76.31,15816,1400544000
ok,76.31,82.2,77.36,82.2,9824,1400630400
ok,82.2,87.55,82.2,82.85,5062,1400716800
ok,82.85,86.77,83.37,83.37,4069,1400976000
ok,83.37,84.48,82.85,83.5,2602,1401062400
ok,83.5,84.42,82.78,84.42,441,1401148800
ok,84.42,84.16,82.2,83.18,1084,1401235200
ok,83.18,83.5,83.18,83.18,719,1401580800
ok,83.18,86.05,82.72,86.05,2308,1401667200
ok,86.05,86.05,82.78,82.85,1971,1401753600
ok,82.85,82.2,80.69,80.69,759,1401840000
ok,80.69,79.25,78.6,78.6,205,1401926400
ok,78.6,79.91,78.93,79.91,825,1402185600
ok,79.91,79.91,77.62,77.62,378,1402272000
ok,77.62,79.06,79.06,79.06,111,1402358400
ok,79.06,77.62,77.62,77.62,30,1402444800
ok,77.62,76.18,76.18,76.18,840,1402531200
ok,76.18,74.81,74.81,74.81,262,1402876800
ok,74.81,76.18,76.18,76.18,10,1402963200
ok,76.18,78.53,77.1,78.53,217,1403049600
ok,78.53,79.58,79.58,79.58,206,1403136000
ok,79.58,81.54,79.58,81.54,935,1403481600
ok,81.54,82.72,81.87,81.87,510,1403568000
ok,81.87,80.36,78.86,78.86,1261,1403654400
ok,78.86,80.36,77.55,77.62,1173,1403740800
ok,77.62,79.06,76.31,76.31,2576,1404000000
ok,76.31,80.36,76.31,80.36,903,1404086400
ok,80.36,87.95,81.87,87.95,2072,1404172800
ok,87.95,92.65,88.93,88.93,2798,1404259200
ok,88.93,87.75,87.75,87.75,40,1404345600
ok,87.75,89.71,88.01,89.71,657,1404604800
ok,89.71,91.41,89.71,90.69,1271,1404691200
ok,90.69,90.3,89.39,89.39,1579,1404777600
ok,89.39,89.39,88.73,88.73,167,1404864000
ok,88.73,89.39,87.69,87.69,263,1404950400
ok,87.69,94.29,87.75,93.31,2527,1405209600
ok,93.31,92.98,92.52,92.65,560,1405296000
ok,92.65,92.0,90.43,91.35,1338,1405382400
ok,91.35,100.04,93.05,100.04,12996,1405468800
ok,100.04,108.01,101.15,101.15,12519,1405555200
ok,101.15,110.82,103.05,110.82,5321,1405814400
ok,110.82,118.15,112.92,115.01,3974,1405900800
ok,115.01,115.01,113.57,113.9,1716,1405987200
ok,113.9,115.53,110.17,110.63,1878,1406073600
ok,110.63,111.35,109.65,110.82,1039,1406160000
ok,110.82,110.96,110.3,110.96,510,1406419200
ok,110.96,110.89,110.89,110.89,193,1406505600
ok,110.89,110.3,106.9,106.9,847,1406678400
ok,106.9,107.03,106.38,106.38,1036,1406764800
ok,106.38,105.07,102.52,102.59,1904,1407024000
ok,102.59,102.46,99.32,99.32,3001,1407110400
ok,99.32,104.03,100.82,104.03,5933,1407196800
ok,104.03,108.86,103.77,107.43,1448,1407283200
ok,107.43,106.05,103.77,105.46,701,1407369600
ok,105.46,105.73,105.73,105.73,252,1407801600
ok,105.73,103.77,103.77,103.77,420,1407888000
ok,103.77,105.4,103.77,104.81,1816,1407974400
ok,104.81,103.77,103.44,103.5,875,1408320000
ok,103.5,103.11,99.91,100.82,1907,1408406400
ok,100.82,100.1,98.93,100.1,495,1408492800
ok,100.1,101.15,97.29,97.29,1244,1408579200
ok,97.29,99.52,95.27,95.27,1108,1408838400
ok,95.27,93.5,89.39,89.39,597,1408924800
ok,89.39,91.67,88.08,88.4,1392,1409011200
ok,88.4,90.69,88.73,90.69,946,1409097600
ok,90.69,92.33,90.69,92.33,1845,1409184000
ok,92.33,93.18,92.78,92.78,574,1409443200
ok,92.78,93.05,91.35,92.0,686,1409529600
ok,92.0,92.46,90.76,92.46,143,1409702400
ok,92.46,92.46,90.82,90.82,851,1409788800
ok,90.82,92.52,90.82,90.82,309,1410220800
ok,90.82,92.13,89.39,91.28,729,1410307200
ok,91.28,92.0,90.37,92.0,313,1410393600
ok,92.0,93.96,92.65,92.98,1650,1410652800
ok,92.98,101.09,94.74,101.09,991,1410739200
ok,101.09,106.9,102.98,104.35,1942,1410825600
ok,104.35,109.65,106.31,106.84,4286,1410912000
ok,102.72,101.8,100.76,100.76,200,1411257600
ok,100.76,99.19,98.86,98.86,520,1411344000
ok,98.86,102.59,100.17,102.59,293,1411430400
ok,102.59,101.15,101.15,101.15,32,1411516800
ok,101.15,101.8,101.54,101.54,42,1411862400
ok,101.54,102.46,101.8,102.46,463,1411948800
ok,102.46,104.35,103.5,104.35,642,1412035200
ok,104.35,104.16,104.16,104.16,109,1412726400
ok,104.16,104.16,104.16,104.16,10,1413072000
ok,104.16,105.07,101.48,103.11,2204,1413158400
ok,103.11,103.11,102.46,102.46,1724,1413244800
ok,102.46,102.46,100.5,101.22,452,1413331200
ok,101.22,101.15,101.15,101.15,497,1413417600
ok,101.15,103.18,101.8,103.18,361,1413676800
ok,103.18,104.42,102.46,104.42,1409,1413763200
ok,104.42,103.44,102.78,103.44,579,1413849600
ok,103.44,104.16,102.78,102.78,1882,1413936000
ok,102.78,104.75,104.75,104.75,71,1414454400
ok,104.75,106.38,106.38,106.38,231,1414627200
ok,106.38,106.38,105.73,106.38,620,1414886400
ok,106.38,105.07,105.07,105.07,10,1414972800
ok,105.07,103.77,103.77,103.77,31,1415059200
ok,103.77,104.42,102.46,104.42,775,1415145600
ok,104.42,102.78,102.46,102.46,392,1415232000
ok,102.46,102.46,100.5,102.39,1812,1415491200
ok,102.39,102.46,100.5,101.48,656,1415664000
ok,101.48,104.42,102.46,102.46,882,1415750400
ok,102.46,105.73,102.78,105.73,1024,1415836800
ok,105.73,109.32,106.38,108.67,3074,1416096000
ok,108.67,109.65,105.73,105.73,2874,1416182400
ok,105.73,106.71,104.22,105.86,2869,1416268800
ok,105.86,108.67,105.92,108.01,4979,1416355200
ok,108.01,108.93,105.4,107.16,5004,1416441600
ok,107.12,105.18,105.18,105.18,84,1416787200
ok,105.18,105.89,105.89,105.89,24,1416873600
ok,105.89,103.86,103.86,103.86,500,1417305600
ok,103.86,101.92,101.92,101.92,125,1417392000
ok,101.92,102.45,102.45,102.45,95,1417564800
ok,102.45,100.51,100.51,100.51,218,1418256000
ok,100.51,98.83,98.83,98.83,50,1418601600
ok,98.83,100.68,100.68,100.68,52,1418774400
ok,100.68,109.6,102.54,109.6,1867,1419120000
ok,109.6,109.95,108.18,108.18,463,1419206400
ok,108.18,109.86,108.54,109.86,200,1419379200
ok,109.86,114.18,110.3,114.18,682,1419724800
ok,114.18,118.51,115.15,117.18,1424,1419811200
ok,117.18,117.18,116.48,116.83,792,1419984000
ok,116.83,119.57,116.92,118.24,2019,1420070400
ok,118.24,124.95,120.45,124.95,1930,1420329600
ok,124.95,127.33,123.54,123.54,458,1420416000
ok,123.54,128.3,125.92,128.3,86,1420588800
ok,128.3,130.6,129.71,130.16,825,1420675200
ok,130.16,128.39,128.39,128.39,280,1420934400
ok,128.39,127.69,125.3,127.69,318,1421020800
ok,127.69,127.51,127.07,127.07,600,1421107200
ok,127.07,130.51,125.74,130.51,632,1421193600
ok,130.51,135.63,130.51,133.07,772,1421625600
ok,133.07,132.8,130.6,130.6,516,1421712000
ok,130.6,128.13,128.13,128.13,168,1422144000
ok,128.13,128.39,127.95,128.39,80,1422230400
ok,128.39,128.39,127.95,127.95,300,1422316800
ok,127.95,128.39,127.95,128.39,540,1422403200
ok,128.39,130.6,129.36,129.36,186,1422748800
ok,129.36,128.57,127.95,127.95,998,1422835200
ok,127.95,128.83,127.95,128.39,2539,1423008000
ok,128.39,131.04,129.71,130.6,1717,1423094400
ok,130.6,131.04,130.16,130.6,1204,1423353600
