s,o,h,l,c,v,t
ok,1892.31,1942.69,1884.69,1929.23,9223,1641081600
ok,294.0,294.0,294.0,294.0,60,1655078400
ok,299.85,323.38,299.85,323.38,60,1655251200
ok,329.85,336.38,329.85,336.38,20,1655424000
ok,343.08,349.92,343.08,349.92,30,1655596800
ok,356.85,384.85,356.85,384.85,70,1655683200
ok,392.54,423.31,392.54,423.31,60,1655769600
ok,423.31,423.31,423.31,423.31,10,1655856000
ok,431.77,465.62,431.77,465.62,50,1655942400
ok,465.62,503.85,465.62,503.85,50,1656028800
ok,513.92,554.23,513.92,554.23,70,1656201600
ok,565.31,609.62,565.31,609.62,70,1656288000
ok,600.0,670.54,600.0,670.54,89,1656374400
ok,683.92,737.54,683.92,737.54,80,1656460800
ok,752.23,811.23,752.23,811.23,100,1656547200
ok,827.38,892.31,827.38,892.31,76,1656633600
ok,910.15,981.54,910.15,981.54,88,1656806400
ok,981.54,1079.69,981.54,1079.69,170,1656892800
ok,1101.23,1187.62,1101.23,1187.62,144,1656979200
ok,1187.62,1306.31,1187.62,1306.31,134,1657065600
ok,1332.38,1436.92,1332.38,1436.92,1150,1670716800
ok,1465.38,1580.62,1465.38,1580.62,1489,1670803200
ok,1549.31,1738.62,1549.31,1738.62,2019,1670889600
ok,1773.38,1912.46,1773.38,1912.46,760,1670976000
ok,1950.69,2103.69,1800.77,1850.0,25894,1671062400
ok,1850.0,1850.0,1796.23,1800.77,13170,1671321600
ok,1800.77,1938.46,1783.08,1908.46,5360,1671408000
ok,1922.31,2094.62,1900.0,2053.85,8826,1671494400
ok,2076.92,2084.62,2013.08,2036.92,8055,1671580800
ok,2061.54,2061.54,1936.92,1994.62,5725,1671667200
ok,2033.85,2033.85,1861.54,1901.54,11147,1672012800
ok,1907.69,1923.08,1863.85,1866.15,7093,1672099200
ok,1830.77,1888.46,1830.77,1866.92,3648,1672185600
ok,1846.15,1882.31,1846.15,1876.92,2489,1672272000
ok,1907.69,1907.69,1840.0,1884.62,5342,1672531200
ok,1892.31,1942.69,1884.69,1929.23,9223,1672617600
ok,1967.8,2087.0,1967.8,2000.0,8107,1672704000
ok,2040.0,2040.0,1977.0,2020.0,3375,1672790400
ok,2050.0,2144.0,2021.0,2106.1,3939,1672876800
ok,2148.0,2148.0,2050.0,2051.0,6353,1673136000
ok,2050.0,2050.0,2014.2,2018.0,5380,1673222400
ok,2057.9,2057.9,1975.0,1976.0,6054,1673308800
ok,2015.5,2019.0,1922.9,1944.0,4309,1673481600
ok,1980.0,1980.0,1910.0,1980.0,2478,1673913600
ok,1985.0,2010.0,1935.0,1940.0,1512,1674000000
ok,1915.0,1940.0,1902.2,1915.0,992,1674086400
ok,1920.0,1921.0,1890.0,1900.0,2326,1674432000
ok,1880.0,1908.8,1850.0,1908.8,2793,1674518400
ok,1877.0,1920.0,1877.0,1896.5,1143,1674604800
ok,1890.0,1942.0,1890.0,1890.3,2160,1674691200
ok,1863.0,1905.0,1863.0,1895.0,982,1674950400
ok,1861.0,1880.0,1861.0,1867.0,2130,1675036800
ok,1855.1,1855.1,1830.0,1855.0,2288,1675123200
ok,1830.0,1855.0,1825.3,1855.0,785,1675209600
ok,1818.0,1858.0,1803.2,1804.0,1340,1675296000
ok,1804.0,1825.0,1790.0,1805.0,1380,1675555200
ok,1800.0,1821.0,1786.0,1806.0,1108,1675641600
ok,1800.0,1883.0,1795.0,1883.0,2595,1675728000
ok,1899.0,1899.0,1840.1,1873.0,988,1675814400
ok,1840.1,1910.0,1835.0,1870.0,830,1675900800
ok,1869.9,1869.9,1806.1,1829.0,879,1676160000
ok,1800.0,1830.0,1800.0,1815.0,680,1676332800
ok,1780.0,1822.9,1780.0,1820.0,680,1676419200
ok,1785.1,1826.0,1785.1,1800.0,1207,1676505600
ok,1800.0,1800.0,1740.0,1789.0,1394,1676851200
ok,1780.0,1824.5,1721.1,1824.5,1875,1677024000
ok,1824.5,1824.5,1642.1,1642.1,818,1677110400
ok,1609.3,1690.0,1477.9,1690.0,5114,1677369600
ok,1690.0,1690.0,1571.0,1600.0,1793,1677456000
ok,1570.1,1632.0,1507.0,1632.0,1875,1677542400
ok,1599.4,1599.4,1510.0,1538.0,2265,1677628800
ok,1508.0,1538.0,1479.4,1483.0,880,1677715200
ok,1465.0,1465.0,1390.0,1408.0,1007,1677974400
ok,1380.1,1408.0,1335.0,1335.0,2877,1678147200
ok,1335.0,1384.9,1335.0,1365.0,1178,1678320000
ok,1345.2,1389.0,1345.2,1380.0,1272,1678579200
ok,1380.0,1380.0,1291.0,1345.0,3167,1678665600
ok,1195.0,1289.0,1195.0,1289.0,1612,1688342400
ok,1289.0,1417.9,1277.2,1280.0,18093,1688428800
ok,1270.0,1285.0,1195.0,1202.0,5850,1688515200
ok,1185.0,1205.0,1181.0,1199.9,4726,1688601600
ok,1200.0,1206.0,1175.0,1190.0,3834,1688860800
ok,1168.0,1205.0,1168.0,1190.0,4574,1688947200
ok,1175.4,1213.8,1175.0,1186.0,3091,1689033600
ok,1186.0,1304.6,1170.2,1304.6,8215,1689120000
ok,1305.0,1346.0,1277.0,1330.0,9547,1689206400
ok,1330.0,1410.0,1290.3,1410.0,7751,1689465600
ok,1381.8,1520.0,1366.1,1510.0,10089,1689552000
ok,1540.2,1560.0,1411.2,1470.0,10436,1689638400
ok,1440.6,1450.0,1385.0,1448.0,4788,1689724800
ok,1469.0,1498.2,1400.0,1497.0,4976,1689811200
ok,1468.0,1507.5,1431.1,1498.0,6000,1690070400
ok,1527.9,1527.9,1421.0,1450.0,4982,1690156800
ok,1479.0,1479.0,1400.0,1425.0,3458,1690243200
ok,1425.0,1425.0,1385.0,1385.0,2277,1690329600
ok,1400.0,1400.0,1340.0,1350.0,3299,1690416000
ok,1350.0,1360.0,1308.3,1341.0,2198,1690675200
ok,1367.8,1367.8,1313.2,1328.9,2324,1690761600
ok,1305.0,1335.0,1250.0,1295.0,4136,1690848000
ok,1309.9,1309.9,1265.0,1290.0,1456,1690934400
ok,1315.8,1315.8,1265.1,1270.0,1459,1691020800
ok,1265.0,1265.1,1186.6,1212.0,4618,1691280000
ok,1200.0,1240.0,1200.0,1219.9,2621,1691366400
ok,1215.0,1261.0,1184.0,1249.5,2282,1691452800
