s,o,h,l,c,v,t
ok,28.75,28.55,28.55,28.55,89,1325376000
ok,28.55,28.34,28.34,28.34,200,1325548800
ok,28.34,28.34,28.34,28.34,20,1325721600
ok,28.34,28.4,28.4,28.4,167,1325980800
ok,28.4,28.45,28.4,28.45,187,1326067200
ok,28.45,28.24,28.24,28.24,2400,1326153600
ok,28.24,28.04,27.84,27.84,270,1326844800
ok,27.84,27.64,27.44,27.44,552,1326844800
ok,27.44,27.24,27.04,27.24,377,1328054400
ok,27.24,27.64,27.44,27.64,285,1328140800
ok,27.64,27.64,27.64,27.64,221,1328400000
ok,27.64,27.84,27.84,27.84,7423,1329004800
ok,27.84,28.04,28.04,28.04,274,1329955200
ok,28.04,28.14,28.14,28.14,220,1330560000
ok,28.14,28.55,28.34,28.34,209,1331424000
ok,28.34,29.05,28.55,28.6,1086,1332201600
ok,28.6,28.4,27.99,27.99,40,1333238400
ok,27.99,27.79,27.79,27.79,10,1333497600
ok,27.79,27.99,27.89,27.99,987,1333584000
ok,27.99,27.99,27.99,27.99,110,1333843200
ok,27.99,28.09,28.04,28.09,220,1333929600
ok,28.09,28.29,28.29,28.29,20,1334188800
ok,28.29,28.7,28.5,28.7,40,1334448000
ok,28.7,28.9,28.9,28.9,10,1334620800
ok,28.9,29.35,29.1,29.35,1040,1334707200
ok,29.35,30.1,29.6,30.1,50,1334793600
ok,30.1,30.61,30.36,30.61,240,1335052800
ok,30.61,31.11,30.86,31.11,30,1335225600
ok,31.11,31.36,31.36,31.36,309,1335398400
ok,31.36,31.61,31.61,31.61,500,1335657600
ok,31.61,31.31,31.31,31.31,54,1335744000
ok,31.31,31.56,31.56,31.56,20,1336521600
ok,31.56,31.51,31.26,31.51,600,1336608000
ok,31.51,32.37,31.76,32.37,70,1336867200
ok,32.37,32.06,32.06,32.06,500,1337040000
ok,32.06,32.37,32.37,32.37,33,1337126400
ok,32.37,32.37,32.37,32.37,20,1337558400
ok,32.37,32.37,31.76,32.06,851,1337644800
ok,32.06,31.76,31.21,31.21,77,1337731200
ok,31.21,31.06,30.46,30.71,1130,1337817600
ok,30.71,30.51,30.51,30.51,220,1338076800
ok,30.51,30.25,29.3,29.3,190,1338249600
ok,29.3,30.05,29.55,30.05,408,1338854400
ok,30.05,30.3,30.3,30.3,167,1339545600
ok,30.3,30.05,30.05,30.05,366,1339891200
ok,30.05,30.05,29.8,30.05,234,1339977600
ok,30.05,30.2,30.15,30.2,650,1340150400
ok,30.2,30.3,30.3,30.3,500,1340236800
ok,30.3,30.05,30.05,30.05,257,1340841600
ok,30.05,30.56,30.3,30.56,34,1341360000
ok,30.56,31.06,30.81,31.06,60,1341446400
ok,31.06,31.31,31.31,31.31,30,1341792000
ok,31.31,31.06,31.01,31.01,300,1342051200
ok,31.01,30.76,30.56,30.56,1420,1342310400
ok,30.56,30.56,30.56,30.56,110,1342396800
ok,30.56,30.81,30.81,30.81,110,1342569600
ok,30.81,31.06,31.06,31.06,37,1342656000
ok,31.06,31.86,31.31,31.86,97,1342915200
ok,31.86,31.56,31.26,31.26,170,1343088000
ok,31.26,31.51,31.51,31.51,30,1343260800
ok,31.51,31.86,31.26,31.86,487,1343606400
ok,31.86,32.16,31.56,31.86,337,1344211200
ok,31.86,31.61,31.56,31.61,220,1344729600
ok,31.61,31.61,31.61,31.61,100,1344816000
ok,31.61,31.61,31.61,31.61,500,1344902400
ok,31.61,31.31,31.31,31.31,100,1344988800
ok,31.31,31.31,31.31,31.31,500,1345334400
ok,31.31,31.26,30.81,30.81,1330,1345593600
ok,30.81,30.56,30.3,30.3,1110,1345680000
ok,30.3,30.05,29.55,29.55,209,1346112000
ok,29.55,29.8,29.8,29.8,100,1346716800
ok,29.8,30.05,30.05,30.05,10,1347148800
ok,30.05,30.05,30.05,30.05,100,1347235200
ok,30.05,30.05,29.8,30.05,110,1347494400
ok,30.05,30.05,30.05,30.05,163,1347753600
ok,30.05,31.41,30.3,31.41,741,1347840000
ok,31.41,32.87,31.66,32.87,631,1347926400
ok,32.87,33.77,33.17,33.77,40,1348012800
ok,33.77,33.47,33.47,33.47,300,1348358400
ok,33.47,33.17,32.26,32.26,310,1348617600
ok,32.26,31.96,31.96,31.96,34,1349049600
ok,31.96,31.66,31.36,31.61,898,1349740800
ok,31.61,31.31,30.81,30.81,1074,1349827200
ok,30.81,30.56,30.36,30.36,203,1350172800
ok,30.36,30.46,30.2,30.46,733,1351555200
ok,30.46,30.86,30.71,30.71,113,1351641600
ok,30.71,30.51,30.51,30.51,10,1352246400
ok,30.51,30.76,30.51,30.76,3879,1352592000
ok,30.76,30.86,30.86,30.86,55,1353369600
ok,30.86,31.11,31.11,31.11,50,1353456000
ok,31.11,30.96,30.71,30.71,1100,1353801600
ok,30.71,30.96,30.71,30.96,189,1353974400
ok,30.96,31.06,31.06,31.06,100,1354060800
ok,31.06,31.81,31.31,31.81,1830,1354147200
ok,31.81,32.16,31.81,31.81,493,1354406400
ok,31.81,32.42,31.51,31.56,1091,1354492800
ok,31.56,31.76,31.76,31.76,100,1354579200
ok,31.76,31.76,31.46,31.46,294,1354665600
ok,31.46,31.31,31.06,31.06,513,1354752000
ok,31.06,31.31,31.11,31.11,411,1355011200
ok,31.11,31.36,31.31,31.31,400,1355097600
ok,31.31,31.56,31.56,31.56,229,1355184000
ok,31.56,31.46,31.06,31.31,1613,1355356800
ok,31.31,31.56,31.56,31.56,190,1355616000
ok,31.56,31.56,31.56,31.56,1400,1355702400
