s,o,h,l,c,v,t
ok,179.7,179.7,179.7,179.7,73,1666483200
ok,179.7,179.7,179.7,179.7,10,1667174400
ok,179.7,179.7,179.7,179.7,20,1667260800
ok,177.7,183.2,177.7,183.2,20,1667692800
ok,186.8,198.1,186.8,198.1,50,1667779200
ok,202.0,202.0,202.0,202.0,10,1668297600
ok,202.0,202.0,202.0,202.0,10,1668297600
ok,202.0,202.0,202.0,202.0,11,1668470400
ok,202.0,206.0,202.0,206.0,20,1668556800
ok,210.1,214.3,210.1,214.3,20,1668643200
ok,218.5,222.8,218.5,222.8,30,1669075200
ok,227.2,231.7,227.2,231.7,20,1669161600
ok,236.3,245.8,236.3,245.8,30,1669507200
ok,245.8,250.7,245.8,250.7,20,1669593600
ok,255.7,266.0,255.7,266.0,30,1669680000
ok,271.3,292.6,271.3,292.6,60,1669852800
ok,298.4,321.8,298.4,321.8,90,1670112000
ok,328.2,348.1,328.2,348.1,47,1670284800
ok,355.0,355.0,355.0,355.0,14,1670371200
ok,362.1,376.6,362.1,376.6,36,1670716800
ok,384.1,399.5,384.1,399.5,30,1670803200
ok,407.4,407.4,407.4,407.4,10,1670889600
ok,415.5,440.8,415.5,440.8,40,1670976000
ok,440.8,458.5,440.8,458.5,30,1671062400
ok,458.5,496.1,458.5,496.1,43,1671321600
ok,506.0,545.7,506.0,545.7,50,1671408000
ok,556.6,600.2,556.6,600.2,57,1671494400
ok,612.2,649.5,612.2,649.5,40,1671580800
ok,662.4,714.4,662.4,714.4,50,1671667200
ok,728.6,785.8,728.6,785.8,90,1672012800
ok,801.5,864.3,801.5,864.3,70,1672099200
ok,881.5,950.7,881.5,950.7,90,1672185600
ok,969.7,1045.7,969.7,1045.7,190,1672272000
ok,1066.5,1150.2,1066.5,1150.2,220,1672531200
ok,1150.2,1265.2,1150.2,1265.2,200,1672617600
ok,1265.2,1391.7,1265.2,1391.7,1583,1672704000
ok,1419.5,1530.8,1295.0,1375.0,15505,1672790400
ok,1402.0,1512.5,1330.0,1512.5,5812,1672876800
ok,1542.0,1662.0,1440.6,1599.0,8886,1673136000
ok,1629.9,1630.0,1540.0,1560.0,5379,1673222400
ok,1560.0,1591.2,1462.0,1463.0,4746,1673308800
ok,1463.0,1492.2,1365.0,1380.0,4615,1673481600
