s,o,h,l,c,v,t
ok,88.96,44.72,44.34,44.72,950,1339286400
ok,44.72,45.76,44.87,45.16,2898,1339372800
ok,45.16,45.16,44.49,44.49,12254,1339459200
ok,44.49,44.94,44.34,44.64,10961,1339545600
ok,44.64,44.72,44.42,44.64,3464,1339632000
ok,44.64,44.49,44.34,44.34,1720,1339891200
ok,44.34,44.49,44.34,44.49,208,1339977600
ok,44.49,44.64,44.64,44.64,98,1340064000
ok,44.64,44.79,44.64,44.64,724,1340150400
ok,44.64,44.49,44.34,44.34,2405,1340236800
ok,44.34,44.42,44.27,44.27,3945,1340582400
ok,44.27,44.49,44.2,44.49,3293,1340668800
ok,44.49,44.34,44.34,44.34,475,1340755200
ok,44.34,44.72,44.49,44.72,2074,1340841600
ok,44.72,44.64,44.42,44.42,4050,1341100800
ok,44.42,44.57,44.42,44.42,825,1341187200
ok,44.42,44.42,44.42,44.42,810,1341273600
ok,44.42,44.57,44.57,44.57,49,1341360000
ok,44.57,44.72,44.72,44.72,148,1341446400
ok,44.72,44.64,44.57,44.64,619,1341705600
ok,44.64,44.64,44.64,44.64,49,1341792000
ok,44.64,44.49,44.49,44.49,198,1341878400
ok,44.49,44.49,44.49,44.49,1655,1342051200
ok,44.49,44.49,44.49,44.49,98,1342396800
ok,44.49,45.39,44.64,45.01,1226,1342483200
ok,45.01,45.61,45.16,45.61,1639,1342569600
ok,45.61,46.06,45.83,46.06,98,1342656000
ok,46.06,46.13,46.06,46.06,246,1342915200
ok,46.06,45.91,45.39,45.39,295,1343088000
ok,45.39,45.24,45.24,45.24,49,1343260800
ok,45.24,45.09,45.09,45.09,49,1343520000
ok,45.09,45.09,45.01,45.09,827,1343779200
ok,45.09,45.09,44.94,45.09,249,1344124800
ok,45.09,45.24,45.09,45.24,1786,1344211200
ok,45.24,45.53,45.16,45.53,1972,1344297600
ok,45.53,45.98,45.76,45.98,40,1344384000
ok,45.98,45.76,45.76,45.76,247,1344729600
ok,45.76,45.61,45.39,45.39,198,1344816000
ok,45.39,45.16,45.16,45.16,795,1344902400
ok,45.16,45.16,45.16,45.16,109,1344988800
ok,45.16,45.16,44.87,45.16,851,1345334400
ok,45.16,45.16,45.16,45.16,98,1345507200
ok,45.16,45.31,45.31,45.31,109,1345593600
ok,45.31,45.39,45.09,45.09,532,1346112000
ok,45.09,45.24,45.16,45.24,751,1346198400
ok,45.24,45.39,45.16,45.24,587,1346284800
ok,45.24,45.39,45.31,45.39,128,1346544000
ok,45.39,46.5,45.39,46.5,1538,1346630400
ok,46.5,47.62,46.72,47.62,473,1346716800
ok,47.62,47.39,46.28,46.28,2891,1347235200
ok,46.28,46.13,45.39,46.06,17222,1347321600
ok,46.06,46.95,45.98,46.87,21357,1347408000
ok,46.87,46.65,46.28,46.5,10038,1347494400
ok,46.5,46.95,46.72,46.95,14390,1347753600
ok,46.95,47.54,47.17,47.54,4226,1347840000
ok,47.54,47.69,47.62,47.69,5895,1347926400
ok,47.69,47.62,47.54,47.62,8811,1348012800
ok,47.62,47.62,47.39,47.62,534,1348099200
ok,47.62,47.54,47.17,47.47,3242,1348358400
ok,47.47,48.14,47.39,48.14,1868,1348444800
ok,48.14,48.29,47.39,47.39,634,1348531200
ok,47.39,47.62,47.39,47.39,18052,1348617600
ok,47.39,47.17,46.95,47.17,879,1349654400
ok,47.17,47.17,47.17,47.17,12413,1349913600
ok,47.17,47.17,47.17,47.17,2925,1350259200
ok,47.17,46.95,46.95,46.95,49,1352332800
ok,46.95,46.72,46.72,46.72,49,1352592000
ok,46.72,46.65,46.65,46.65,981,1353888000
ok,46.65,46.5,46.5,46.5,49,1357430400
ok,46.5,46.5,46.5,46.5,49,1357689600
ok,46.5,47.1,46.5,46.58,10656,1358035200
ok,46.58,46.35,46.35,46.35,494,1358208000
ok,46.35,46.13,45.98,45.98,603,1358380800
ok,45.98,45.83,45.83,45.83,500,1358899200
ok,45.83,45.83,45.61,45.61,794,1358985600
ok,45.61,45.46,45.46,45.46,148,1359849600
ok,45.46,45.39,45.39,45.39,148,1359936000
ok,45.39,45.39,45.39,45.39,148,1360713600
ok,45.39,45.61,45.61,45.61,593,1361318400
ok,45.61,45.53,45.53,45.53,59,1361923200
ok,45.53,45.31,45.31,45.31,838,1363132800
ok,45.31,45.39,45.39,45.39,49,1363219200
ok,45.39,45.39,45.39,45.39,158,1363564800
ok,45.39,45.39,45.39,45.39,347,1363824000
ok,45.39,45.61,45.61,45.61,89,1364774400
ok,45.61,45.61,45.39,45.61,344,1365292800
ok,45.61,45.39,45.16,45.16,294,1366848000
ok,45.16,45.31,45.16,45.31,218,1367193600
ok,45.31,45.24,45.01,45.24,662,1367280000
ok,45.24,45.09,45.09,45.09,49,1367452800
ok,45.09,44.94,44.94,44.94,444,1368316800
ok,44.94,45.09,45.09,45.09,15,1370131200
ok,45.09,45.01,45.01,45.01,2925,1371600000
ok,45.01,46.06,45.24,46.06,692,1372032000
ok,46.06,46.95,46.28,46.95,196,1372118400
ok,46.95,47.39,47.17,47.39,69,1372291200
ok,47.39,47.62,47.24,47.62,12633,1372550400
ok,47.62,47.39,47.39,47.39,100,1373241600
ok,47.39,47.17,46.72,46.95,1139,1373328000
ok,46.95,46.95,46.72,46.95,287,1373414400
ok,46.95,46.95,46.95,46.95,198,1373500800
ok,46.95,47.32,46.87,47.32,592,1373846400
ok,47.32,47.62,47.54,47.62,147,1373932800
ok,47.62,48.06,47.84,48.06,148,1374451200
ok,48.06,48.51,48.29,48.51,80,1374537600
ok,48.51,48.73,48.21,48.36,6313,1374624000
ok,48.36,48.81,48.58,48.81,609,1375142400
ok,48.81,49.48,48.73,49.48,255,1375228800
ok,49.48,50.96,49.77,50.96,89,1375574400
ok,50.96,52.6,51.26,52.6,819,1375660800
ok,52.6,52.9,52.9,52.9,10,1375747200
ok,52.9,53.64,53.27,53.64,50,1376179200
ok,53.64,54.01,54.01,54.01,20,1376265600
ok,54.01,53.64,52.9,52.9,187,1376524800
ok,52.9,52.82,52.08,52.45,1797,1376784000
ok,52.45,52.45,52.23,52.23,316,1376870400
ok,52.23,52.52,52.45,52.45,455,1377388800
ok,52.45,52.45,52.45,52.45,59,1377475200
ok,52.45,52.75,52.75,52.75,500,1377561600
ok,52.75,52.45,52.45,52.45,98,1378080000
ok,52.45,52.45,52.45,52.45,49,1378166400
ok,52.45,52.45,52.45,52.45,49,1378598400
ok,52.45,52.15,52.15,52.15,178,1378684800
ok,52.15,52.08,52.08,52.08,1006,1380758400
ok,52.08,52.67,52.38,52.67,821,1382313600
ok,52.67,54.46,52.97,54.46,424,1382918400
ok,54.46,55.94,54.83,55.94,345,1383696000
ok,55.94,57.13,56.32,57.13,247,1383782400
ok,57.13,58.03,57.58,58.03,69,1384041600
ok,58.03,58.4,57.58,58.4,9424,1384128000
ok,58.4,58.4,57.8,58.4,15172,1384214400
ok,58.4,58.99,58.62,58.99,315,1384300800
ok,58.99,59.51,58.4,58.99,26643,1384387200
ok,58.99,59.44,59.44,59.44,19,1384992000
ok,59.44,60.78,59.89,60.78,543,1385251200
ok,60.78,63.38,61.3,63.38,1712,1385337600
ok,63.38,65.61,63.9,65.61,2499,1385510400
ok,65.61,66.21,65.24,65.24,405,1385596800
ok,65.24,65.24,64.64,65.24,782,1385856000
ok,65.24,68.29,65.09,68.29,17746,1385942400
ok,68.29,71.63,68.96,71.63,455,1386028800
ok,71.63,72.38,72.38,72.38,555,1386115200
ok,72.38,75.13,72.9,74.38,21657,1386201600
ok,74.38,75.95,74.38,75.95,1581,1386460800
ok,75.95,76.69,76.69,76.69,69,1386633600
ok,76.69,77.51,77.51,77.51,69,1387324800
ok,77.51,78.33,78.33,78.33,10,1387411200
ok,78.33,77.51,73.94,75.5,15337,1387670400
ok,75.5,74.68,74.68,74.68,119,1388275200
ok,74.68,73.94,72.53,73.27,10942,1389484800
ok,73.27,72.9,71.41,72.23,25172,1389571200
ok,72.23,74.76,72.3,74.76,5202,1389657600
ok,74.76,75.13,74.38,75.13,313,1389830400
ok,75.13,74.31,73.57,73.57,563,1390089600
ok,73.57,73.64,73.64,73.64,455,1390262400
ok,73.64,73.64,73.64,73.64,217,1390348800
ok,73.64,73.27,73.27,73.27,1454,1390435200
ok,73.27,73.27,73.27,73.27,119,1390694400
ok,73.27,73.27,72.9,72.9,562,1390780800
ok,72.9,72.53,72.53,72.53,109,1390867200
ok,72.53,73.34,73.27,73.34,256,1390953600
ok,73.34,74.01,74.01,74.01,810,1391299200
ok,74.01,73.27,73.27,73.27,69,1391385600
ok,73.27,73.34,73.34,73.34,99,1391472000
ok,73.34,75.57,74.09,75.57,268,1391558400
ok,75.57,76.39,73.27,73.27,2688,1391644800
ok,73.27,72.75,72.75,72.75,827,1391904000
ok,72.75,73.49,73.49,73.49,49,1392076800
ok,73.49,74.24,73.49,73.49,477,1392163200
ok,73.49,72.9,72.9,72.9,49,1392508800
ok,72.9,76.39,72.67,76.39,2403,1392854400
ok,76.39,80.56,77.21,80.56,5819,1393113600
ok,80.56,85.17,81.08,85.17,6017,1393200000
ok,85.17,85.54,84.2,85.54,3779,1393286400
ok,85.54,86.51,84.57,86.51,1219,1393372800
ok,86.51,85.46,85.46,85.46,200,1393977600
ok,85.46,86.28,86.28,86.28,129,1394064000
ok,86.28,85.32,85.32,85.32,50,1394323200
ok,85.32,84.35,84.35,84.35,122,1394409600
ok,84.35,83.38,83.38,83.38,49,1395014400
ok,83.38,82.42,78.47,78.47,866,1395187200
ok,78.47,77.66,76.24,76.24,439,1395705600
ok,76.24,75.43,75.43,75.43,119,1395792000
ok,75.43,74.61,74.61,74.61,109,1395878400
ok,74.61,73.86,73.86,73.86,200,1396224000
ok,73.86,73.64,73.2,73.2,700,1396310400
ok,73.2,77.06,73.94,77.06,298,1396396800
ok,77.06,81.3,77.88,79.52,9228,1396483200
ok,79.52,80.41,79.52,79.52,1797,1396742400
