s,o,h,l,c,v,t
ok,177.01,177.01,177.01,177.01,100,1495324800
ok,185.77,185.77,185.77,189.47,30,1496620800
ok,189.47,189.47,189.47,189.47,9,1496707200
ok,189.47,196.89,189.47,196.89,30,1496793600
ok,200.76,204.63,200.76,208.68,26,1497139200
ok,208.68,216.93,208.68,216.93,530,1497398400
ok,221.14,229.9,221.14,229.9,52,1497484800
ok,229.9,238.99,234.44,238.99,20,1497744000
ok,243.71,243.71,243.71,243.71,10,1497830400
ok,248.42,258.36,248.42,258.36,30,1498003200
ok,263.41,273.85,263.41,273.85,30,1498348800
ok,279.24,290.36,279.24,290.36,30,1498521600
ok,296.09,313.94,296.09,320.17,46,1498608000
ok,320.17,320.17,320.17,320.17,26,1498953600
ok,326.57,352.17,326.57,352.17,66,1499040000
ok,359.08,380.8,359.08,380.8,56,1499126400
ok,388.38,388.38,388.38,388.38,10,1499212800
ok,388.38,427.12,396.13,427.12,102,1499558400
ok,435.54,435.54,435.54,435.54,40,1499644800
ok,444.13,478.99,444.13,478.99,212,1499731200
ok,488.42,526.82,488.42,526.82,3230,1499817600
ok,537.27,569.94,537.27,542.49,39591,1499904000
ok,544.0,556.64,530.53,555.29,16692,1500163200
ok,555.46,601.27,549.06,596.55,14227,1500249600
ok,597.9,639.16,593.35,639.16,16051,1500336000
ok,644.21,651.79,623.33,624.85,15286,1500422400
ok,614.74,636.64,614.74,633.27,11248,1500508800
ok,631.58,645.9,629.9,642.53,9171,1500768000
ok,640.0,651.79,637.48,643.71,6313,1500854400
ok,641.69,657.01,636.8,646.07,5324,1500940800
ok,646.74,646.91,636.64,641.69,4911,1501027200
ok,636.64,656.85,632.59,640.0,4396,1501113600
ok,640.85,643.37,634.95,643.04,3113,1501372800
ok,641.69,644.21,640.0,640.68,6159,1501459200
ok,648.43,649.1,640.0,647.25,4826,1501545600
ok,646.74,673.69,645.9,670.32,7876,1501632000
ok,670.32,697.27,658.87,677.23,10587,1501718400
ok,673.69,677.06,665.44,668.64,5505,1501977600
ok,668.64,668.64,658.7,663.58,3357,1502064000
ok,663.58,663.58,648.43,656.0,5300,1502236800
ok,652.64,652.64,630.24,648.43,5334,1502323200
ok,648.43,648.43,633.27,636.64,5257,1502582400
ok,625.01,638.32,619.79,638.32,4078,1502755200
ok,631.58,649.94,626.7,649.94,4456,1502841600
ok,656.85,662.91,640.0,646.74,5340,1502928000
ok,640.0,645.06,639.16,640.0,3205,1503187200
ok,639.5,639.5,629.9,635.79,1242,1503273600
ok,631.58,636.64,631.41,634.95,2957,1503360000
ok,631.58,634.95,629.9,629.9,1656,1503446400
ok,629.9,633.27,624.85,631.58,2746,1503532800
ok,631.58,634.78,625.01,634.78,3776,1503792000
