s,o,h,l,c,v,t
ok,495.44,515.02,474.36,478.12,5440,1524960000
ok,478.1,500.69,466.81,491.65,19051,1525219200
ok,499.93,499.93,481.86,491.65,28360,1525305600
ok,482.61,501.43,478.84,482.61,6806,1525564800
ok,475.84,489.39,475.84,481.11,9642,1525651200
ok,481.84,503.67,475.82,503.67,4739,1525737600
ok,503.68,504.43,483.35,490.88,13120,1525824000
ok,490.88,488.62,481.85,481.85,9005,1525910400
ok,483.34,490.87,471.3,471.3,4437,1526256000
ok,480.33,487.86,465.27,472.05,1849,1526342400
ok,470.55,482.6,463.02,474.32,4131,1526428800
ok,474.31,483.34,471.3,473.56,5330,1526515200
ok,481.07,489.35,474.29,478.06,2447,1526774400
ok,474.27,485.56,470.51,485.56,5718,1526860800
ok,478.04,485.56,471.26,476.53,1450,1526947200
ok,474.25,489.31,472.75,482.53,1604,1527033600
ok,482.52,482.52,468.98,468.98,4580,1527120000
ok,462.21,468.99,462.21,464.47,9448,1527379200
ok,464.47,486.3,456.19,486.3,9675,1527465600
ok,493.92,494.68,475.74,477.26,11597,1527552000
ok,470.51,486.32,470.51,475.78,5305,1527638400
ok,478.03,481.04,466.74,466.74,5055,1527724800
ok,457.69,465.19,441.93,446.44,12369,1527984000
ok,438.91,454.72,438.16,441.17,5185,1528070400
ok,441.39,458.4,441.39,453.96,11010,1528243200
ok,462.18,462.18,439.64,440.39,8035,1528329600
ok,444.17,444.17,427.61,429.11,4335,1528588800
ok,421.6,444.18,421.6,432.89,10251,1528675200
ok,427.6,440.4,421.58,433.63,3890,1528761600
ok,434.31,477.29,429.03,469.75,23228,1528848000
ok,472.77,486.28,462.27,484.03,27640,1528934400
ok,493.05,502.08,478.74,488.53,35147,1529193600
ok,479.49,489.28,474.97,479.49,10805,1529280000
ok,481.76,490.04,470.47,472.73,12890,1529366400
ok,470.45,477.98,462.93,468.95,8990,1529452800
ok,461.41,473.45,458.4,458.4,4402,1529539200
ok,453.87,472.69,453.87,456.88,9348,1529798400
ok,447.87,462.17,447.87,451.63,9966,1529884800
ok,450.12,450.12,444.12,445.62,4678,1529971200
ok,444.11,460.67,437.34,451.64,2425,1530057600
ok,453.16,453.16,445.63,445.63,3360,1530144000
ok,429.89,434.38,429.89,430.63,4160,1530403200
ok,438.13,442.64,434.36,435.12,1040,1530403200
ok,431.39,438.1,423.94,429.9,4453,1530489600
ok,432.15,433.65,428.4,429.9,4080,1530489600
ok,424.69,435.86,424.69,432.14,980,1530576000
ok,424.7,444.07,424.7,443.33,3406,1530662400
ok,443.32,467.91,443.32,465.67,8340,1530748800
ok,469.4,469.4,455.24,457.48,19201,1531008000
ok,458.24,464.2,449.3,453.77,4080,1531094400
ok,453.77,458.24,440.36,453.77,11058,1531180800
ok,461.99,473.17,456.03,458.26,22771,1531267200
ok,467.2,467.2,438.14,447.08,12188,1531353600
