s,o,h,l,c,v,t
ok,327.02,327.02,327.02,327.02,22,1518048000
ok,327.02,327.02,323.58,323.58,70,1518307200
ok,323.58,323.58,317.7,317.7,86,1518393600
ok,312.24,312.24,312.24,312.24,28,1518566400
ok,317.91,335.12,317.91,335.12,47,1518652800
ok,335.12,341.19,327.02,327.02,199,1518912000
ok,320.94,320.94,315.07,315.07,128,1519084800
ok,309.4,311.83,303.73,303.73,202,1519171200
ok,301.71,306.77,301.71,306.77,87,1519257600
ok,306.57,306.77,301.1,295.63,107,1519516800
ok,296.24,296.64,294.62,296.64,235,1519603200
ok,291.58,297.05,286.92,297.05,567,1519689600
ok,292.59,292.59,291.58,291.78,73,1519776000
ok,286.32,286.32,286.32,286.32,10,1520121600
ok,262.42,262.42,253.11,253.11,110,1520294400
ok,257.56,271.74,257.56,266.47,192,1520380800
ok,271.33,266.47,247.84,248.05,373,1520726400
ok,248.05,248.25,236.1,244.6,331,1520812800
ok,243.59,247.84,240.96,246.02,103,1520899200
ok,243.39,248.05,243.39,248.05,116,1520985600
ok,252.5,252.5,252.5,252.5,17,1521072000
ok,256.15,256.15,255.74,251.49,153,1521331200
ok,256.15,256.15,251.49,251.49,208,1521417600
ok,253.11,253.11,238.33,250.07,1609,1521504000
ok,246.43,246.43,246.43,246.43,16,1521590400
ok,241.97,246.02,233.87,246.02,519,1521676800
ok,241.57,241.57,241.57,237.32,62,1522022400
ok,237.32,244.4,233.06,244.2,135,1522108800
ok,240.15,240.15,225.77,227.8,1104,1522195200
ok,229.82,229.82,217.88,225.77,311,1522281600
ok,225.77,227.8,220.1,220.31,144,1522540800
ok,220.1,220.1,217.67,217.67,146,1522627200
ok,217.67,220.71,215.85,216.66,1267,1522713600
ok,219.7,231.44,219.7,227.39,71,1522800000
ok,227.6,235.49,227.39,231.44,293,1522886400
ok,235.49,252.1,235.49,245.62,734,1523145600
ok,249.87,254.32,242.18,242.18,2452,1523232000
ok,23.29,23.29,23.29,242.18,3,1523318400
ok,237.92,237.92,233.87,237.92,87,1523404800
ok,242.18,242.18,229.82,233.87,489,1523491200
ok,233.87,235.9,230.03,230.03,81,1523750400
ok,231.65,250.68,231.65,250.68,774,1523836800
ok,250.68,273.36,255.13,273.36,538,1523923200
ok,278.22,293.4,274.37,293.4,1427,1524009600
ok,296.44,296.44,285.91,285.91,260,1524096000
ok,285.91,291.78,280.85,291.78,793,1524355200
ok,297.05,297.05,286.32,286.32,333,1524441600
ok,291.38,291.38,286.32,286.32,291,1524528000
ok,291.38,292.19,286.11,286.11,480,1524614400
ok,290.57,290.57,266.27,266.27,384,1524700800
ok,261.41,270.73,261.41,270.73,58,1524960000
ok,270.73,268.09,265.87,266.27,87,1525219200
ok,271.13,285.91,271.13,278.22,534,1525305600
ok,283.28,286.52,281.46,282.27,352,1525564800
ok,287.33,287.53,279.43,282.47,343,1525651200
ok,282.47,284.5,278.42,284.5,599,1525737600
ok,284.5,286.32,286.32,286.32,40,1525824000
ok,286.32,288.54,283.48,288.54,1153,1525910400
ok,284.5,286.52,282.67,284.5,346,1526256000
ok,284.5,284.5,284.5,284.5,20,1526342400
ok,289.56,289.56,286.52,286.52,69,1526428800
ok,282.67,282.67,282.47,282.47,32,1526515200
ok,277.41,277.41,277.41,277.41,75,1526774400
ok,277.41,292.59,274.98,292.59,156,1526860800
ok,292.59,308.59,292.39,308.59,918,1526947200
ok,306.77,308.19,298.87,308.19,482,1527033600
ok,308.19,304.95,302.92,302.92,62,1527120000
ok,302.92,308.39,297.45,306.77,280,1527465600
ok,312.44,312.44,295.63,296.64,421,1527552000
ok,291.18,306.77,291.18,297.66,447,1527638400
ok,292.59,293.2,285.91,290.97,371,1527724800
ok,285.71,285.71,281.05,281.05,49,1527984000
ok,275.99,277.21,261.61,262.83,494,1528070400
ok,267.49,277.21,267.49,267.49,170,1528243200
ok,267.28,267.28,260.2,266.27,534,1528329600
ok,266.27,266.27,256.75,256.75,144,1528588800
ok,257.16,265.26,256.15,261.21,304,1528675200
ok,257.16,265.87,252.1,265.87,846,1528761600
ok,261.21,268.09,256.75,262.22,375,1528848000
ok,272.95,272.95,256.75,261.41,142,1528934400
ok,258.17,258.17,256.75,258.17,77,1529193600
ok,259.18,263.84,259.18,263.84,317,1529280000
ok,267.28,267.28,262.42,262.42,30,1529366400
ok,257.97,259.18,257.97,259.18,41,1529452800
ok,262.22,262.22,256.15,256.15,130,1529539200
ok,254.73,254.73,254.73,254.73,19,1529798400
ok,255.13,255.13,255.13,255.13,19,1529884800
ok,254.73,256.15,250.27,250.27,195,1529971200
ok,254.73,254.73,254.73,254.73,100,1530057600
ok,258.78,258.78,257.16,257.16,35,1530144000
ok,256.55,256.55,256.15,256.55,121,1530403200
ok,254.12,254.32,254.12,254.12,90,1530403200
ok,250.07,254.12,250.07,254.12,115,1530489600
ok,250.07,252.1,250.07,251.89,179,1530576000
ok,252.1,258.58,252.1,256.15,111,1530662400
ok,260.2,267.89,255.54,267.89,616,1530748800
ok,272.75,272.75,272.75,267.89,55,1531008000
ok,267.89,267.89,263.03,260.2,88,1531094400
ok,258.37,260.2,258.37,258.37,101,1531180800
ok,263.03,276.19,263.03,272.14,330,1531267200
ok,277.0,286.52,266.47,266.47,247,1531353600
ok,265.26,266.27,260.2,266.27,172,1531612800
ok,271.13,275.99,266.27,275.99,144,1531699200
ok,280.85,285.51,280.45,280.45,187,1531785600
ok,280.45,280.45,270.52,274.37,53,1531872000
ok,266.47,266.47,265.66,265.66,23,1531958400
ok,261.21,261.21,261.01,261.21,29,1532217600
ok,259.99,261.61,256.96,261.61,88,1532304000
ok,266.27,271.13,266.27,266.27,120,1532390400
ok,261.41,261.41,261.41,261.41,118,1532476800
ok,256.96,256.96,255.13,255.13,158,1532563200
ok,259.59,259.59,254.93,254.93,45,1532822400
ok,250.48,250.48,250.48,246.02,159,1532908800
ok,252.1,252.1,252.1,252.1,19,1532995200
ok,256.55,256.55,256.15,256.55,121,1533081600
ok,255.13,255.13,254.53,254.93,108,1533427200
ok,250.48,250.48,246.02,250.48,89,1533600000
ok,246.02,246.22,239.14,241.97,180,1533686400
ok,241.77,242.99,241.77,241.97,222,1533772800
ok,239.95,239.95,239.95,239.95,10,1534032000
ok,241.97,241.97,239.95,239.95,40,1534118400
ok,235.7,241.97,231.65,241.97,131,1534204800
ok,244.0,248.25,244.0,248.25,31,1534291200
ok,248.25,255.54,248.05,250.07,1128,1534377600
ok,243.8,243.8,243.59,243.59,116,1534636800
ok,239.34,239.34,235.09,235.09,20,1534723200
ok,231.04,236.91,230.84,233.87,192,1534809600
ok,232.66,232.66,232.66,232.66,17,1534896000
ok,228.81,232.66,228.81,231.04,114,1534982400
ok,232.86,232.86,228.81,228.81,41,1535241600
ok,224.76,236.91,224.76,236.91,175,1535414400
ok,235.9,235.9,231.85,231.85,38,1535500800
ok,227.8,227.8,227.8,227.8,19,1535587200
ok,227.8,235.9,227.8,235.9,173,1535846400
ok,236.91,253.92,236.91,253.92,82,1535932800
ok,250.07,250.07,249.46,250.07,110,1536019200
ok,253.92,263.03,253.92,263.03,99,1536105600
ok,258.58,261.21,253.72,261.21,259,1536192000
ok,256.55,256.55,252.1,254.12,318,1536451200
ok,252.1,252.1,252.1,252.1,16,1536537600
ok,256.55,265.87,256.55,256.55,131,1536624000
ok,261.21,261.21,258.17,258.17,73,1536796800
ok,262.22,262.22,261.21,261.21,155,1537056000
ok,256.55,258.17,256.55,258.17,72,1537142400
ok,254.53,254.53,254.12,254.12,91,1537228800
ok,250.07,254.12,250.07,252.1,132,1537401600
ok,256.55,256.55,256.15,251.89,92,1537660800
ok,251.89,256.15,251.89,256.15,145,1537833600
ok,254.12,265.46,254.12,264.04,295,1537920000
ok,265.26,266.88,262.22,266.88,386,1538006400
ok,262.02,265.87,261.21,261.21,238,1538265600
ok,257.16,261.01,257.16,257.16,290,1538352000
ok,252.91,257.16,252.91,254.12,117,1538438400
ok,254.12,263.03,254.12,258.37,784,1538524800
ok,254.32,255.13,254.12,254.32,281,1538611200
ok,254.12,256.15,252.1,256.15,449,1538956800
ok,260.8,278.42,260.2,270.12,3271,1539043200
ok,265.46,265.46,265.46,265.46,101,1539129600
ok,265.46,265.46,261.21,264.04,137,1539216000
ok,264.04,264.04,256.15,256.15,78,1540080000
ok,251.69,251.69,251.69,251.69,38,1540166400
ok,256.15,260.2,256.15,260.2,139,1540252800
ok,263.03,272.75,263.03,272.75,611,1540339200
ok,277.61,287.73,277.61,280.45,1601,1540425600
ok,280.45,280.45,277.41,277.81,980,1540684800
ok,274.37,274.37,269.51,270.32,253,1540771200
ok,274.37,276.4,267.49,267.49,1241,1540857600
ok,272.35,276.4,272.35,274.37,293,1540944000
ok,274.37,280.45,274.37,280.45,1100,1541030400
ok,280.36,285.49,280.36,280.36,46,1541289600
ok,285.49,295.03,285.49,295.03,86,1541376000
ok,295.27,295.73,295.27,295.73,10,1542153600
ok,295.73,295.73,290.14,293.4,134,1542240000
ok,293.4,293.4,284.09,293.17,142,1542499200
ok,293.17,294.1,288.75,288.75,380,1542585600
ok,288.75,288.75,284.56,288.75,51,1542672000
ok,288.75,289.68,288.51,289.68,226,1542758400
ok,289.68,291.08,287.82,287.82,213,1542844800
ok,287.82,287.82,282.93,282.93,22,1543104000
ok,282.93,282.93,277.8,277.8,10,1543190400
ok,277.8,281.76,277.8,279.43,310,1543276800
ok,279.43,279.43,273.61,273.61,200,1543363200
ok,273.61,275.71,266.39,266.39,139,1543449600
ok,266.39,266.39,256.15,256.15,173,1543708800
ok,260.57,265.46,251.96,251.96,182,1543795200
ok,253.82,253.82,242.18,242.18,123,1543881600
ok,239.38,239.85,235.66,236.12,54,1544054400
ok,236.12,237.75,233.56,237.75,49,1544486400
ok,237.75,240.55,237.52,239.85,182,1544572800
ok,239.85,239.85,238.68,238.68,36,1544659200
ok,238.68,247.07,238.68,247.07,22,1545004800
ok,246.83,248.0,246.83,248.0,34,1545091200
ok,248.0,251.26,246.83,251.26,111,1545177600
ok,251.26,256.15,251.26,256.15,131,1545264000
ok,256.38,279.43,256.38,279.43,109,1545523200
ok,279.43,305.05,279.43,305.05,2768,1545609600
ok,305.05,316.22,305.05,306.21,659,1545696000
ok,306.21,311.8,305.51,307.38,586,1545782400
ok,307.38,312.03,300.86,300.86,169,1545868800
ok,300.86,300.86,292.24,292.24,119,1546128000
ok,292.24,292.24,286.88,286.88,57,1546214400
ok,286.88,289.91,286.42,286.42,160,1546300800
ok,286.42,286.42,285.25,286.42,57,1546387200
ok,286.42,286.88,281.53,286.88,129,1546473600
ok,286.88,286.88,281.76,286.88,164,1546819200
ok,286.88,292.01,286.88,291.08,361,1547337600
ok,291.08,296.43,291.08,296.43,10,1547424000
ok,296.43,312.03,296.2,312.03,310,1547510400
ok,312.03,312.03,300.62,302.72,63,1547596800
ok,302.72,308.31,298.06,302.72,129,1547683200
ok,302.72,302.72,302.72,302.72,38,1547942400
ok,302.72,302.72,298.29,302.72,153,1548028800
ok,302.72,302.72,302.72,302.72,50,1548115200
ok,302.72,306.21,297.36,306.21,399,1548288000
ok,306.21,306.21,297.13,297.13,258,1548547200
ok,297.13,297.6,297.13,297.13,83,1548633600
ok,297.13,297.13,291.77,293.4,91,1548720000
ok,293.4,304.12,293.4,302.25,1932,1548806400
ok,302.25,313.2,300.62,302.25,1803,1548892800
ok,302.25,302.25,300.86,300.86,38,1549152000
ok,298.06,300.86,295.73,295.73,55,1549238400
ok,295.73,301.09,295.73,300.39,1782,1549324800
ok,295.27,300.39,295.27,296.9,43,1549411200
ok,293.4,296.9,293.4,293.4,2824,1549497600
ok,288.75,293.4,288.75,288.75,19,1549756800
ok,291.08,291.08,288.75,289.21,70,1549843200
ok,289.21,289.91,284.32,284.32,52,1549929600
ok,284.09,285.02,281.99,281.99,75,1550016000
ok,276.87,281.99,272.21,277.1,157,1550102400
ok,273.61,277.1,268.72,268.72,114,1550361600
ok,268.72,269.65,268.72,269.65,294,1550448000
ok,274.54,284.56,269.65,284.56,844,1550534400
