s,o,h,l,c,v,t
ok,186.66,186.66,186.66,186.66,20,1559433600
ok,195.36,195.36,195.36,195.36,10,1559520000
ok,204.72,208.74,204.72,208.74,20,1559606400
ok,218.77,218.77,218.77,218.77,10,1559779200
ok,229.48,229.48,229.48,229.48,10,1560643200
ok,240.85,240.85,240.85,240.85,750,1560729600
ok,252.89,257.58,252.89,257.58,20,1560816000
ok,270.29,283.0,270.29,283.0,200,1560988800
ok,297.05,311.1,297.05,311.1,210,1561248000
ok,326.49,341.88,305.08,309.09,10977,1561334400
ok,311.77,311.77,294.37,294.37,6120,1561420800
ok,309.09,309.09,273.63,275.64,4160,1561507200
ok,270.96,274.3,265.61,270.96,2900,1561593600
ok,270.96,274.3,254.23,254.9,3915,1561852800
ok,254.9,264.27,246.87,262.93,1780,1561939200
ok,260.92,264.27,255.57,258.92,1310,1562025600
ok,258.92,271.63,256.24,266.27,1475,1562112000
ok,262.26,274.3,262.26,266.27,1300,1562198400
ok,267.61,270.96,256.91,262.26,900,1562457600
ok,260.92,264.27,253.56,259.58,880,1562544000
ok,260.92,268.95,256.91,268.95,1000,1562630400
ok,264.94,267.61,262.26,262.26,450,1562716800
ok,266.94,268.28,262.26,267.61,900,1562803200
ok,267.61,267.61,257.58,257.58,400,1563062400
ok,262.26,270.96,258.25,267.61,470,1563148800
ok,267.61,267.61,260.92,267.61,440,1563235200
ok,262.26,267.61,257.58,261.59,240,1563321600
ok,260.92,267.61,260.92,264.27,130,1563408000
ok,264.27,266.27,257.58,266.27,560,1563667200
ok,261.59,266.94,258.25,263.6,310,1563753600
ok,264.27,270.96,262.93,265.61,900,1563840000
ok,267.61,278.32,267.61,270.96,895,1563926400
ok,267.61,274.3,266.27,269.62,1300,1564012800
ok,267.61,269.62,265.61,268.28,280,1564272000
ok,264.94,295.04,264.94,285.68,1765,1564358400
ok,291.03,301.73,287.01,299.73,3520,1564444800
ok,301.06,329.16,298.39,329.16,7063,1564531200
ok,334.52,361.95,334.52,361.95,8440,1564617600
ok,364.62,394.73,364.62,387.37,5695,1564876800
ok,388.04,395.4,349.23,351.24,4423,1564963200
ok,345.89,347.23,318.46,325.15,3035,1565049600
ok,319.13,357.26,313.11,357.26,4515,1565136000
ok,363.28,371.98,355.26,361.95,3265,1565222400
ok,368.64,368.64,349.23,357.93,685,1565481600
ok,361.28,367.97,355.26,361.28,1640,1565568000
ok,354.59,367.3,349.9,357.93,1530,1565654400
ok,357.93,357.93,348.57,352.58,1960,1565740800
ok,357.93,357.93,340.54,351.91,3340,1565827200
ok,345.22,345.22,333.85,335.18,610,1566086400
ok,334.52,348.57,334.52,348.57,535,1566172800
ok,344.55,354.59,331.17,331.84,290,1566259200
ok,327.16,333.85,321.8,321.8,935,1566345600
ok,321.8,341.21,321.14,321.14,530,1566432000
ok,325.15,330.5,319.8,330.5,960,1566691200
ok,324.48,327.83,318.46,327.16,350,1566777600
ok,321.14,327.83,316.45,325.82,440,1566864000
ok,320.47,322.47,315.11,317.12,1085,1566950400
ok,313.11,324.48,313.11,317.79,390,1567036800
ok,314.44,321.14,307.09,321.14,720,1567296000
ok,315.11,315.11,304.41,306.42,530,1567382400
ok,311.77,318.46,305.75,315.11,905,1567468800
ok,309.09,327.83,305.75,327.83,715,1567555200
ok,322.47,323.14,311.77,319.8,1080,1567641600
ok,325.82,327.83,311.1,313.11,475,1567900800
ok,315.11,316.45,310.43,310.43,520,1567987200
ok,311.1,312.44,306.42,307.75,290,1568073600
ok,307.75,310.43,304.41,305.75,120,1568160000
ok,302.4,307.75,299.06,299.06,360,1568246400
ok,303.07,303.07,287.68,287.68,360,1568505600
ok,287.68,287.68,277.65,278.32,1075,1568592000
ok,278.99,305.08,278.99,305.08,420,1568678400
ok,305.08,331.84,302.4,331.84,350,1568764800
ok,331.84,331.84,303.07,303.74,1440,1568851200
ok,298.39,301.06,289.02,289.02,780,1569110400
ok,284.34,297.05,284.34,295.04,480,1569196800
ok,291.03,297.72,291.03,297.72,230,1569283200
ok,285.01,291.03,283.67,285.68,490,1569456000
ok,282.33,287.68,282.33,287.68,200,1569715200
ok,286.35,293.04,286.35,287.68,400,1569801600
ok,291.03,296.38,291.03,291.7,150,1569888000
ok,288.35,288.35,287.68,287.68,180,1569974400
ok,293.04,293.04,292.37,292.37,50,1570060800
ok,292.37,292.37,287.68,287.68,20,1570665600
ok,283.67,287.68,283.67,285.68,160,1571011200
ok,287.68,287.68,287.68,287.68,100,1571097600
ok,284.34,285.01,280.99,285.01,100,1571184000
ok,283.0,290.36,283.0,290.36,140,1571270400
ok,287.68,288.35,278.99,279.66,410,1571529600
ok,276.98,285.01,275.64,279.66,375,1571616000
