s,o,h,l,c,v,t
ok,161.85,161.85,161.85,161.85,10,1559779200
ok,169.36,169.36,169.36,169.36,10,1560124800
ok,177.56,177.56,177.56,177.56,10,1560211200
ok,186.44,186.44,186.44,186.44,10,1560297600
ok,195.32,198.73,195.32,198.73,20,1560643200
ok,208.29,212.39,208.29,212.39,20,1560816000
ok,222.63,222.63,222.63,222.63,10,1560902400
ok,233.56,244.49,233.56,244.49,550,1561248000
ok,256.1,268.39,256.1,268.39,90,1561334400
ok,281.36,295.02,281.36,295.02,890,1561420800
ok,309.36,315.51,289.56,296.39,21479,1561507200
ok,293.66,299.12,293.66,297.75,6495,1561593600
ok,297.75,302.53,288.19,295.02,7780,1561852800
ok,289.56,296.39,289.56,290.92,2960,1561939200
ok,288.19,298.44,288.19,296.39,2060,1562025600
ok,296.39,325.07,290.92,314.14,5670,1562112000
ok,314.14,320.29,307.32,316.88,3691,1562198400
ok,310.73,314.14,304.58,307.32,1590,1562457600
ok,307.32,308.68,300.49,303.9,1928,1562544000
ok,303.9,309.36,292.97,299.12,830,1562630400
ok,293.66,301.17,293.66,301.17,576,1562716800
ok,298.44,303.9,298.44,303.9,2205,1562803200
ok,303.9,307.32,295.02,300.49,790,1563062400
ok,297.07,305.95,295.71,305.95,1450,1563148800
ok,301.17,307.32,301.17,304.58,1300,1563235200
ok,301.17,313.46,301.17,310.05,1380,1563321600
ok,310.05,314.83,308.68,310.05,560,1563408000
ok,308.68,317.56,308.68,317.56,1705,1563667200
ok,314.14,324.39,314.14,323.71,2250,1563753600
ok,320.97,337.36,320.29,336.68,1954,1563840000
ok,338.05,367.41,338.05,367.41,3695,1563926400
ok,360.58,367.41,349.66,353.75,6768,1564012800
ok,351.71,359.9,331.9,355.8,5185,1564272000
ok,361.95,368.78,346.92,363.31,7930,1564358400
ok,368.78,389.27,361.95,378.34,7035,1564444800
ok,382.44,415.9,367.41,415.9,9471,1564531200
ok,423.41,456.88,400.88,432.29,12138,1564617600
ok,440.49,446.63,418.63,418.63,6605,1564876800
ok,418.63,426.83,394.05,397.46,7514,1564963200
ok,389.95,389.95,362.63,378.34,2950,1565049600
ok,371.51,410.44,366.05,403.61,3728,1565136000
ok,402.92,402.92,389.27,394.73,2070,1565222400
ok,394.73,408.39,382.44,387.22,1150,1565481600
ok,379.7,399.51,379.7,397.46,1160,1565568000
ok,396.1,404.29,391.31,396.78,2038,1565654400
ok,396.1,399.51,391.31,396.1,1170,1565740800
ok,388.58,392.0,385.17,385.17,965,1565827200
ok,389.27,389.27,383.8,385.17,1300,1566086400
ok,381.75,404.29,380.39,396.78,570,1566172800
ok,399.51,401.56,383.8,388.58,1550,1566259200
ok,381.07,389.27,358.53,367.41,4726,1566345600
ok,361.95,368.78,354.44,359.9,2160,1566432000
ok,359.9,361.95,351.02,353.75,1490,1566691200
ok,359.22,360.58,351.71,351.71,1240,1566777600
ok,351.71,372.19,349.66,364.68,1314,1566864000
ok,371.51,371.51,355.12,359.22,520,1566950400
ok,355.12,358.53,353.75,353.75,450,1567036800
ok,355.12,355.12,348.29,351.02,390,1567296000
ok,351.71,351.71,332.58,341.46,1051,1567382400
ok,335.31,351.71,334.63,348.97,731,1567468800
ok,351.71,358.53,343.51,358.53,1081,1567555200
ok,359.22,361.27,348.97,349.66,1065,1567641600
ok,355.8,355.8,343.51,343.51,1680,1567900800
ok,345.56,352.39,338.73,342.83,910,1567987200
ok,341.46,348.29,338.05,339.41,1590,1568073600
ok,341.46,341.46,333.27,340.1,607,1568160000
ok,333.95,336.0,329.17,333.95,390,1568246400
ok,340.1,340.1,305.95,305.95,2645,1568505600
ok,301.85,314.14,301.85,313.46,960,1568592000
ok,314.14,329.85,308.0,329.85,1270,1568678400
ok,329.85,342.83,322.34,342.83,847,1568764800
