s,o,h,l,c,v,t
ok,452.9,469.24,452.9,469.24,330,1496188800
ok,466.04,466.04,453.22,453.22,200,1496275200
ok,453.54,453.22,453.22,453.22,10,1496534400
ok,453.22,457.7,421.49,457.7,605,1496620800
ok,465.72,473.73,454.5,473.41,1302,1496707200
ok,474.05,482.06,460.59,461.23,580,1496793600
ok,452.25,477.89,452.25,469.24,1795,1496880000
ok,471.8,471.8,453.54,456.1,1194,1497139200
ok,447.77,461.87,443.6,453.22,1272,1497225600
ok,454.82,464.75,445.2,450.01,306,1497312000
ok,453.22,459.63,450.01,453.22,998,1497398400
ok,453.22,465.72,451.61,459.63,328,1497484800
ok,459.63,467.96,451.61,459.63,228,1497744000
ok,454.82,458.02,450.01,458.02,356,1497830400
ok,460.91,461.23,452.57,452.57,569,1497916800
ok,444.56,444.56,437.83,437.83,25,1498003200
ok,445.84,453.86,438.79,453.86,155,1498089600
ok,453.86,462.19,451.61,451.61,597,1498348800
ok,444.56,455.78,444.56,455.78,273,1498521600
ok,453.22,459.63,453.22,458.98,420,1498608000
ok,450.65,450.65,450.65,450.65,50,1498953600
ok,451.61,458.02,450.01,453.22,372,1499040000
ok,445.52,466.04,445.52,466.04,761,1499212800
ok,474.37,483.02,459.63,468.92,859,1499299200
ok,468.92,482.06,437.19,454.5,2452,1499558400
ok,453.22,461.55,440.08,448.09,1255,1499644800
ok,446.81,456.1,446.81,454.82,979,1499731200
ok,453.22,458.02,448.73,458.02,510,1499817600
ok,449.69,456.42,449.69,453.86,210,1499904000
ok,461.23,461.23,443.92,443.92,235,1500163200
ok,446.81,456.42,440.4,450.33,822,1500249600
ok,453.22,461.55,453.22,454.82,619,1500336000
ok,461.23,461.23,453.22,459.63,775,1500422400
ok,451.61,456.42,443.92,453.22,1149,1500508800
ok,453.22,462.83,453.22,462.83,1053,1500768000
ok,462.83,463.15,446.81,446.81,1667,1500854400
ok,446.81,451.61,443.92,444.56,415,1500940800
ok,442.0,473.09,442.0,473.09,4058,1501027200
ok,469.24,481.74,460.91,467.64,736,1501113600
ok,461.23,461.23,459.63,459.95,247,1501372800
ok,466.04,477.89,463.15,469.24,2049,1501459200
ok,472.13,488.47,468.92,485.59,4972,1501545600
ok,485.59,489.75,469.56,485.27,3071,1501632000
ok,485.27,485.27,474.05,474.05,948,1501718400
ok,465.39,482.06,456.42,482.06,749,1501977600
ok,473.73,478.86,472.45,475.65,836,1502064000
ok,475.65,479.5,470.2,470.2,1992,1502236800
ok,470.2,480.14,469.24,478.86,3351,1502323200
ok,485.27,485.27,459.63,467.32,1442,1502582400
ok,462.83,462.83,446.17,458.98,4061,1502755200
ok,450.97,462.83,450.01,459.31,2219,1502841600
ok,456.74,459.31,455.46,459.31,1505,1502928000
ok,453.22,460.91,453.22,459.63,115,1503187200
ok,453.22,453.22,446.81,453.22,335,1503273600
ok,453.22,461.23,453.22,461.23,181,1503360000
ok,453.54,459.63,447.13,449.37,1692,1503446400
ok,449.37,456.42,450.01,456.42,254,1503532800
ok,456.42,464.75,454.82,455.46,176,1503792000
ok,453.22,459.31,453.22,459.31,596,1503878400
ok,458.34,458.34,450.01,450.65,1808,1504051200
ok,450.65,458.02,449.69,449.69,2211,1504137600
ok,457.7,457.7,446.81,447.45,1071,1504483200
ok,453.22,467.64,450.01,467.64,3467,1504656000
ok,469.24,469.24,459.95,462.83,1603,1504742400
ok,454.5,454.5,438.15,438.15,678,1505001600
ok,445.2,461.55,437.83,459.31,556,1505088000
ok,450.97,451.61,443.6,451.61,320,1505174400
ok,443.6,443.6,440.4,442.0,235,1505260800
ok,433.99,450.01,427.9,443.92,379,1505347200
ok,448.41,448.41,434.31,445.2,667,1505606400
ok,453.22,453.22,445.2,446.49,217,1505692800
ok,452.9,452.9,443.6,445.2,368,1505865600
ok,452.9,452.9,446.49,452.57,230,1506211200
ok,446.81,455.78,444.88,445.52,150,1506297600
ok,453.54,455.78,445.2,452.25,152,1506384000
ok,444.24,444.24,436.23,442.0,145,1507420800
ok,435.59,435.59,435.59,435.59,15,1507507200
ok,443.28,443.28,422.13,422.13,120,1507593600
ok,429.82,433.99,421.17,421.17,268,1507680000
ok,416.36,427.58,416.36,427.58,107,1507766400
ok,427.26,427.58,413.15,415.08,140,1508025600
ok,421.17,436.55,421.17,436.55,30,1508112000
ok,444.24,451.61,442.0,451.61,65,1508198400
ok,451.61,451.61,451.61,451.61,5,1508716800
ok,451.61,459.63,459.63,459.63,10,1508803200
ok,467.96,467.96,417.32,421.17,487,1509321600
ok,428.86,428.86,423.73,424.37,1597,1509408000
ok,421.17,425.97,413.8,421.17,3454,1509494400
ok,421.17,421.17,406.74,406.74,640,1509580800
ok,408.35,411.55,405.14,405.14,540,1509840000
ok,405.14,398.73,379.5,379.5,391,1509926400
ok,376.3,376.3,369.57,369.57,250,1510012800
ok,365.08,365.08,357.07,360.27,240,1510099200
ok,353.86,357.07,353.86,357.07,40,1510185600
ok,363.48,363.48,363.48,363.48,30,1510531200
ok,369.89,386.55,363.48,386.55,215,1510617600
ok,379.82,391.04,371.49,371.49,984,1510704000
ok,365.08,365.08,365.08,365.08,65,1510790400
