s,o,h,l,c,v,t
ok,162.01,178.21,162.01,178.21,70,1562544000
ok,186.93,195.76,186.93,195.76,2030,1562630400
ok,205.1,214.97,205.1,214.97,1170,1562716800
ok,225.36,229.51,205.1,205.62,33978,1562803200
ok,205.62,206.66,196.28,200.43,9560,1563062400
ok,199.39,207.18,199.39,204.07,6312,1563148800
ok,204.07,207.7,203.03,207.7,3470,1563235200
ok,206.66,206.66,204.59,205.1,3115,1563321600
ok,205.1,207.7,202.51,204.07,3580,1563408000
ok,203.03,204.59,201.99,204.07,4220,1563667200
ok,204.07,204.59,201.47,203.55,2380,1563753600
ok,207.18,207.7,203.03,204.59,4115,1563840000
ok,204.59,210.3,204.59,209.78,8278,1563926400
ok,209.78,209.78,204.07,207.18,4425,1564012800
ok,210.3,214.45,207.18,213.41,7960,1564272000
ok,216.01,228.47,212.89,228.47,7883,1564358400
ok,232.63,241.97,228.47,239.38,16362,1564444800
ok,241.45,261.18,234.18,259.63,16916,1564531200
ok,264.82,285.59,252.88,276.76,17210,1564617600
ok,281.95,286.11,254.95,263.26,14349,1564876800
ok,264.82,266.38,242.49,244.57,10930,1564963200
ok,239.89,244.05,227.95,243.01,5996,1565049600
ok,238.34,260.66,226.91,254.43,8803,1565136000
ok,251.84,251.84,240.93,247.68,3480,1565222400
ok,246.13,252.36,236.78,246.13,2700,1565481600
ok,246.13,257.03,244.05,249.24,5140,1565568000
ok,249.24,254.43,246.65,249.76,4465,1565654400
ok,245.61,252.36,245.61,246.65,2635,1565740800
ok,246.65,251.32,243.01,248.2,1190,1565827200
ok,251.84,251.84,240.41,242.49,2520,1566086400
ok,238.34,249.24,238.34,246.13,3469,1566172800
ok,244.05,250.8,242.49,244.05,2380,1566259200
ok,239.89,244.05,236.26,239.89,5410,1566345600
ok,243.01,244.05,238.86,241.45,2455,1566432000
ok,241.45,241.45,235.22,235.22,2820,1566691200
ok,234.18,238.86,233.66,234.18,3185,1566777600
ok,229.51,243.53,229.51,237.3,1735,1566864000
ok,237.82,237.82,233.66,234.7,2270,1566950400
ok,233.66,236.26,231.07,236.26,2280,1567036800
ok,236.26,236.26,231.07,233.66,1030,1567296000
ok,233.66,233.66,226.39,226.91,1260,1567382400
ok,223.28,236.26,223.28,235.74,1720,1567468800
ok,235.74,240.41,231.07,237.3,1340,1567555200
ok,238.86,238.86,230.03,232.63,1320,1567641600
ok,232.63,236.26,228.47,231.07,1764,1567900800
ok,231.07,231.07,226.39,227.43,1200,1567987200
ok,224.32,228.47,224.32,226.39,1020,1568073600
ok,224.84,227.95,223.8,223.8,1070,1568160000
ok,223.28,226.39,222.24,223.8,555,1568246400
ok,223.8,225.88,218.09,218.61,1330,1568505600
ok,215.49,219.12,213.41,217.57,1390,1568592000
ok,217.57,227.95,217.57,227.95,2320,1568678400
ok,227.95,238.34,226.39,236.78,2823,1568764800
ok,236.78,236.78,228.99,228.99,2272,1568851200
ok,228.47,228.47,219.64,222.76,1658,1569110400
ok,222.76,224.84,217.57,224.32,998,1569196800
ok,220.16,225.88,220.16,225.88,700,1569283200
ok,218.09,223.28,218.09,219.64,2136,1569456000
ok,223.8,223.8,218.09,220.16,1400,1569715200
ok,217.05,220.68,217.05,218.61,380,1569801600
ok,216.53,223.28,216.53,223.28,985,1569888000
ok,227.43,227.43,217.05,218.61,1040,1569974400
ok,220.16,222.76,219.64,222.76,170,1570060800
ok,222.76,222.76,218.61,218.61,110,1570665600
ok,216.53,218.09,216.01,217.05,340,1571011200
ok,217.57,218.61,217.57,218.61,100,1571097600
ok,214.45,221.2,214.45,218.61,190,1571184000
ok,218.61,219.64,217.05,217.05,730,1571270400
ok,214.45,217.57,214.45,216.01,830,1571529600
ok,215.49,219.64,214.97,215.49,560,1571616000
ok,215.49,216.53,211.34,216.53,390,1571702400
ok,218.09,218.09,214.45,215.49,300,1571788800
ok,216.01,218.09,213.93,216.53,910,1571875200
ok,220.68,236.78,220.68,225.88,2010,1572480000
ok,225.88,230.55,224.32,227.43,1280,1572739200
ok,228.99,229.51,225.36,227.43,1210,1572825600
ok,225.36,230.03,225.36,227.95,1345,1572912000
ok,230.55,234.7,228.99,232.11,3628,1572998400
ok,228.99,234.18,228.99,234.18,1177,1573084800
