s,o,h,l,c,v,t
ok,361.99,391.73,352.49,391.73,100,1627516800
ok,399.1,430.9,399.1,430.9,210,1627776000
ok,430.9,448.25,430.9,448.25,132,1627862400
ok,448.25,493.05,448.25,493.05,220,1627948800
ok,494.59,542.31,494.59,542.31,160,1628035200
ok,542.31,596.53,542.31,596.53,145,1628121600
ok,598.71,656.18,598.71,656.18,308,1628380800
ok,668.85,721.77,668.85,721.77,240,1628467200
ok,736.18,793.93,736.18,793.93,250,1628553600
ok,793.93,873.29,793.93,873.29,250,1628640000
ok,873.29,960.62,890.76,960.62,320,1628726400
ok,971.04,1056.67,971.04,1056.67,540,1628985600
ok,1077.78,1162.33,1077.78,1162.33,200,1629072000
ok,1185.54,1278.53,1185.54,1278.53,280,1629158400
ok,1304.08,1406.38,1304.08,1406.38,294,1629244800
ok,1434.5,1547.02,1434.5,1547.02,548,1629331200
ok,1577.95,1701.72,1577.95,1701.72,959,1629763200
ok,1735.74,1871.86,1735.74,1871.86,2881,1629849600
ok,1909.29,2059.03,1909.29,2059.03,39086,1629936000
ok,2100.18,2184.98,1901.84,2011.55,145451,1630195200
ok,2011.55,2011.55,1910.95,1915.31,56195,1630368000
ok,1901.05,2015.51,1889.21,1948.97,31824,1630454400
ok,1980.26,1980.26,1897.13,1901.05,22335,1630540800
ok,1901.05,1901.05,1795.34,1801.64,31477,1630800000
ok,1782.23,1958.87,1770.35,1940.65,21268,1630886400
ok,1979.47,1979.47,1853.52,1885.21,11413,1630972800
ok,1920.85,1920.85,1825.8,1845.6,9190,1631059200
ok,1821.84,1853.52,1817.88,1821.44,13102,1631145600
ok,1813.92,1891.15,1813.92,1879.35,16737,1631404800
ok,1881.25,1900.26,1841.64,1842.43,9952,1631491200
ok,1827.38,1841.64,1813.92,1818.27,9328,1631577600
ok,1792.53,1813.92,1781.84,1786.19,12100,1631664000
ok,1782.23,1786.19,1726.79,1737.08,17454,1631750400
ok,1742.63,1750.55,1644.01,1644.05,22231,1632096000
ok,1643.22,1757.28,1576.68,1639.66,17138,1632182400
ok,1639.66,1746.59,1639.66,1741.84,21037,1632268800
ok,1742.63,1777.88,1678.71,1689.16,14756,1632355200
ok,1683.22,1689.16,1627.77,1631.73,9047,1632614400
ok,1631.73,1643.62,1584.21,1588.96,9090,1632700800
ok,1564.41,1623.81,1560.44,1560.44,10409,1632787200
ok,1560.44,1619.85,1544.21,1619.85,11067,1632873600
ok,1623.81,1643.42,1584.21,1584.25,9626,1632960000
ok,1588.17,1590.15,1536.68,1537.51,7638,1633219200
ok,1528.76,1572.33,1505.0,1533.12,9261,1633305600
ok,1544.6,1602.03,1544.6,1592.13,11213,1633392000
ok,1623.81,1726.79,1623.81,1698.15,17512,1633478400
ok,1732.09,1867.78,1732.09,1859.46,39706,1633824000
ok,1895.11,1895.11,1750.55,1801.64,20121,1633910400
ok,1782.63,1841.64,1782.63,1827.78,6832,1634428800
ok,1864.34,1864.34,1722.83,1738.67,14859,1634515200
ok,1703.89,1704.61,1647.18,1675.3,15380,1634601600
ok,1707.38,1762.04,1687.58,1718.87,7143,1634688000
ok,1718.87,1742.63,1685.6,1703.82,7581,1634774400
ok,1722.83,1734.71,1695.1,1720.85,7632,1635033600
ok,1742.63,1782.23,1720.85,1767.18,13434,1635120000
ok,1770.35,1825.8,1770.35,1782.23,12162,1635206400
ok,1782.23,1802.43,1750.55,1780.25,9663,1635292800
ok,1756.49,1938.67,1756.49,1932.73,38874,1635379200
ok,1940.65,1970.36,1863.42,1906.99,15823,1635638400
ok,1906.99,1916.89,1851.54,1861.44,15108,1635724800
ok,1861.44,1881.25,1827.38,1851.54,9543,1635811200
ok,1861.44,1924.81,1841.64,1868.57,11572,1635897600
ok,1861.44,1869.37,1812.73,1829.76,12820,1636329600
ok,1821.84,1827.78,1774.31,1778.27,14468,1636416000
ok,1782.23,1807.58,1723.22,1782.23,11172,1636588800
ok,1792.14,1792.14,1738.67,1770.39,8000,1636848000
ok,1743.02,1801.64,1743.02,1796.14,8308,1636934400
ok,1832.06,1841.64,1798.08,1817.48,8561,1637020800
ok,1817.48,1839.66,1798.08,1804.02,11254,1637107200
ok,1802.04,1835.7,1790.15,1802.04,8631,1637193600
ok,1772.33,1825.8,1772.33,1807.58,8923,1637452800
ok,1802.04,1821.84,1802.04,1807.18,7693,1637539200
ok,1782.23,1807.18,1758.47,1772.33,11717,1637625600
ok,1742.63,1762.43,1742.63,1757.28,6925,1637712000
ok,1757.68,1782.23,1746.59,1764.41,6430,1637798400
ok,1734.71,1760.45,1703.42,1725.24,10618,1638057600
ok,1725.6,1748.57,1699.46,1706.98,5851,1638144000
ok,1684.01,1715.3,1684.01,1701.04,4468,1638230400
ok,1703.82,1728.77,1703.02,1705.0,5560,1638316800
ok,1706.98,1752.53,1692.33,1699.89,6020,1638403200
ok,1699.06,1699.06,1623.81,1639.66,12306,1638662400
ok,1608.37,1643.62,1584.21,1625.79,14209,1638748800
ok,1643.22,1667.38,1615.89,1615.89,5919,1638835200
ok,1617.87,1623.81,1580.29,1581.04,6215,1638921600
ok,1584.21,1592.13,1550.54,1565.99,11093,1639008000
ok,1575.49,1597.2,1505.0,1507.77,9037,1639267200
ok,1485.19,1485.19,1421.83,1426.58,15050,1639353600
ok,1455.09,1554.9,1445.59,1542.23,5788,1639440000
ok,1573.04,1601.24,1511.81,1544.6,11402,1639526400
