s,o,h,l,c,v,t
ok,56.59,60.68,56.59,60.68,590,1449705600
ok,61.55,65.1,61.55,65.1,100,1450310400
ok,67.58,68.55,67.58,68.55,190,1458691200
ok,68.55,73.83,71.14,73.83,440,1458777600
ok,73.83,76.74,76.74,76.74,30,1459036800
ok,76.74,79.76,79.76,79.76,50,1459123200
ok,71.35,72.43,72.43,72.43,10,1459382400
ok,72.43,73.51,73.51,73.51,10,1462233600
ok,74.59,74.59,74.59,74.59,10,1462838400
ok,75.66,75.66,75.66,75.66,10,1463270400
ok,75.66,78.58,78.58,78.58,10,1463529600
ok,78.58,80.95,79.76,80.95,20,1464652800
ok,82.24,82.24,82.24,82.24,10,1465430400
ok,82.24,85.47,85.47,85.47,10,1466380800
ok,85.47,86.77,86.77,86.77,10,1466899200
ok,90.32,90.32,90.32,90.32,10,1467676800
ok,91.72,91.72,91.72,91.72,10,1468454400
ok,91.72,99.27,93.23,99.27,1125,1468713600
ok,99.27,100.89,100.89,100.89,10,1468800000
ok,102.5,102.5,102.5,102.5,10,1468886400
ok,106.81,106.81,106.81,106.81,10,1468972800
ok,106.81,108.54,108.54,108.54,10,1469577600
ok,108.54,113.17,113.17,113.17,10,1469664000
ok,113.17,117.05,115.11,117.05,20,1470528000
ok,117.05,124.17,122.12,124.17,20,1470614400
ok,129.56,129.56,129.56,129.56,10,1470700800
ok,135.16,135.16,135.16,135.16,20,1471132800
ok,139.47,139.47,139.47,139.47,10,1471305600
ok,141.95,141.95,141.95,141.95,10,1471737600
ok,144.43,146.91,144.43,146.91,20,1472342400
ok,149.5,152.08,149.5,152.08,20,1472601600
ok,158.87,158.87,158.87,158.87,40,1472947200
ok,161.68,161.68,161.68,161.68,10,1473292800
ok,164.59,164.59,164.59,164.59,10,1473552000
ok,167.5,167.5,167.5,167.5,10,1473811200
ok,175.04,175.04,175.04,175.04,20,1474156800
ok,178.17,178.17,178.17,178.17,10,1474329600
ok,186.25,186.25,186.25,186.25,10,1474502400
ok,186.25,186.25,186.25,186.25,10,1474761600
ok,193.04,200.05,193.04,200.05,30,1475020800
ok,203.71,207.38,203.71,207.38,20,1475452800
ok,216.97,220.96,216.97,220.96,20,1475625600
ok,225.05,225.05,225.05,225.05,10,1476576000
ok,229.15,229.15,229.15,229.15,10,1476662400
ok,233.35,237.67,233.35,237.67,20,1476835200
ok,242.08,246.61,242.08,246.61,20,1477267200
ok,251.14,255.77,251.14,255.77,20,1477353600
ok,260.52,279.7,260.52,279.7,80,1477440000
ok,284.98,306.11,284.98,306.11,420,1477526400
ok,311.82,335.1,311.82,335.1,490,1478131200
ok,338.88,344.8,317.53,344.26,1620,1478476800
ok,338.88,349.65,328.2,345.34,1345,1478563200
ok,345.34,345.34,328.74,328.74,620,1478649600
ok,323.79,338.88,323.79,327.99,560,1478736000
ok,332.41,338.66,322.71,328.64,750,1478995200
ok,328.64,329.17,324.32,324.65,420,1479081600
ok,328.1,328.1,319.47,321.63,200,1479168000
ok,321.63,321.63,310.85,310.85,450,1479254400
ok,305.03,305.03,295.76,295.76,120,1479340800
ok,290.16,290.16,275.39,275.39,130,1479600000
ok,270.22,270.22,252.65,262.35,320,1479686400
ok,257.5,261.27,248.01,248.66,680,1479772800
ok,252.65,252.65,238.2,238.2,860,1479859200
ok,236.48,247.26,234.0,234.0,310,1479945600
ok,234.32,236.48,215.03,215.03,690,1480204800
ok,211.04,218.91,195.09,218.91,580,1480291200
ok,214.92,226.78,207.38,226.78,1595,1480377600
ok,226.74,230.88,230.88,230.88,50,1480464000
ok,235.14,239.93,235.14,239.93,200,1480550400
ok,240.58,241.09,236.7,241.09,30,1480809600
ok,243.16,246.53,241.87,246.53,110,1480896000
ok,242.52,242.52,233.59,233.59,160,1480982400
ok,233.59,233.59,233.59,233.59,10,1481068800
ok,237.86,246.78,237.86,246.78,40,1481155200
ok,251.31,251.31,246.65,246.65,30,1481414400
ok,242.13,243.81,242.13,243.81,30,1481500800
ok,239.41,239.93,239.41,239.93,200,1481673600
ok,235.66,237.99,235.53,237.99,30,1482019200
ok,234.11,234.11,234.11,234.11,10,1482105600
ok,229.97,237.34,229.97,234.24,160,1482192000
ok,230.36,230.36,226.35,226.35,210,1482278400
ok,226.99,228.29,226.99,228.29,20,1482364800
ok,232.43,249.5,232.43,249.5,1390,1482710400
ok,245.23,250.28,240.71,250.28,210,1482796800
ok,254.93,259.72,250.02,250.02,110,1482883200
ok,254.67,254.67,250.02,250.02,110,1482969600
ok,254.67,254.67,254.67,254.67,10,1483228800
ok,256.1,257.13,254.8,257.0,80,1483315200
ok,252.35,252.35,247.69,247.69,80,1483401600
ok,243.29,248.34,243.29,243.68,50,1483488000
ok,241.22,241.22,241.22,241.22,30,1483574400
ok,241.22,245.62,237.08,245.62,130,1483833600
ok,245.75,245.75,245.75,245.75,40,1483920000
ok,250.28,254.93,250.28,250.28,280,1484006400
ok,248.34,248.34,248.34,248.34,10,1484092800
ok,243.68,243.68,239.28,239.28,220,1484179200
ok,234.88,239.8,234.88,239.8,60,1484438400
ok,235.4,239.8,235.4,238.12,30,1484524800
ok,242.52,256.1,242.52,256.1,70,1484697600
ok,252.86,252.86,248.98,250.02,170,1484784000
ok,252.22,259.72,252.22,257.39,282,1485043200
ok,252.99,252.99,252.99,252.99,10,1485129600
ok,252.99,254.67,248.6,250.28,210,1485216000
ok,246.4,246.4,242.0,242.0,88,1485302400
ok,237.47,237.47,229.06,230.23,280,1485388800
ok,226.09,226.09,208.89,208.89,70,1485734400
ok,205.14,208.89,201.39,201.39,260,1485820800
ok,205.01,219.88,205.01,215.87,120,1485993600
ok,219.23,219.23,219.23,219.23,30,1486339200
ok,219.23,223.24,219.23,220.01,90,1486425600
ok,220.01,220.27,216.13,217.16,120,1486512000
ok,213.16,213.16,208.24,208.24,130,1486598400
ok,206.95,206.95,202.42,202.55,160,1486857600
ok,199.06,199.06,189.62,189.62,113,1486944000
ok,191.43,197.25,191.43,197.25,40,1487030400
ok,200.87,213.41,200.87,213.41,180,1487116800
ok,209.66,209.66,209.66,209.66,10,1487203200
ok,206.43,206.43,206.43,206.43,10,1487462400
ok,210.18,210.18,210.18,210.18,10,1487635200
ok,206.3,206.3,202.55,206.17,60,1487808000
ok,202.42,206.04,202.42,206.04,20,1488067200
ok,206.04,210.05,206.04,210.05,80,1488240000
ok,206.3,225.7,206.3,225.7,210,1488326400
ok,226.35,235.79,226.35,235.79,410,1488412800
ok,234.76,239.93,234.11,239.93,180,1488672000
ok,240.58,240.58,240.58,240.58,20,1488758400
ok,244.97,244.97,244.46,244.46,20,1488844800
ok,240.45,240.45,240.45,240.45,10,1489017600
ok,236.05,236.05,231.65,231.65,20,1489363200
ok,235.92,240.32,235.92,240.32,20,1489622400
ok,240.32,244.71,244.71,244.71,10,1489881600
ok,244.71,263.34,244.71,263.34,80,1489968000
ok,268.25,282.61,268.25,282.61,280,1490054400
ok,287.91,293.61,287.91,293.61,180,1490140800
ok,293.61,305.76,293.61,300.07,170,1490227200
ok,300.07,328.53,300.07,328.53,310,1490486400
ok,328.53,338.1,334.74,338.1,30,1490659200
ok,338.1,344.44,336.29,337.58,150,1490745600
ok,337.58,339.52,333.06,339.52,220,1490832000
ok,345.99,359.31,345.99,359.31,50,1491091200
ok,352.46,352.46,345.73,345.73,120,1491177600
ok,339.26,339.52,320.51,320.51,150,1491264000
ok,320.51,320.77,306.54,318.44,160,1491436800
ok,318.44,345.99,312.49,345.99,158,1491782400
ok,339.39,366.04,338.88,355.17,320,1491868800
ok,361.9,379.49,355.17,379.49,340,1491955200
ok,372.25,372.25,371.08,371.08,220,1492041600
ok,378.07,382.85,364.74,377.68,578,1492300800
ok,370.44,371.08,349.87,351.81,330,1492473600
ok,351.81,371.21,351.81,371.21,210,1492560000
ok,371.21,378.32,364.1,364.1,130,1492646400
ok,364.87,364.87,359.57,359.57,30,1492905600
ok,373.02,377.55,365.39,370.44,350,1492992000
ok,370.44,383.37,369.92,383.37,500,1493078400
