s,o,h,l,c,v,t
ok,108.05,108.05,102.04,108.05,40,1391558400
ok,108.05,114.05,110.05,114.05,30,1391644800
ok,114.05,114.05,114.05,114.05,10,1391990400
ok,114.05,118.34,116.05,118.34,43,1392076800
ok,118.34,130.06,120.62,130.06,80,1392163200
ok,130.06,135.2,132.63,135.2,43,1392249600
ok,135.2,148.64,137.77,148.64,276,1392508800
ok,148.64,163.5,151.49,163.5,70,1392595200
ok,163.5,179.79,166.64,179.79,90,1392681600
ok,179.79,197.51,188.65,197.51,65,1392854400
ok,197.51,217.24,201.23,217.24,854,1393113600
ok,217.24,238.96,221.53,238.96,2829,1393200000
ok,238.96,262.69,220.1,262.4,10245,1393286400
ok,262.4,262.97,244.39,244.68,3820,1393372800
ok,244.68,240.1,222.95,232.39,3330,1393804800
ok,232.39,228.67,222.95,227.81,5326,1393891200
ok,227.81,230.39,224.38,227.24,1518,1393977600
ok,227.24,228.67,221.53,221.53,616,1394064000
ok,221.53,222.95,216.09,222.95,1834,1394323200
ok,222.95,221.53,208.66,218.67,2660,1394409600
ok,218.67,217.24,211.52,214.38,1294,1394496000
ok,214.38,212.95,207.23,210.95,1136,1394582400
ok,210.95,214.38,208.66,214.38,1177,1394668800
ok,214.38,212.95,200.37,201.52,1250,1395014400
ok,201.52,202.66,194.66,194.66,2024,1395100800
ok,194.66,197.23,190.65,194.66,1156,1395187200
ok,194.66,197.23,191.51,197.23,800,1395273600
ok,197.23,198.66,188.65,194.37,896,1395532800
ok,194.37,192.37,186.94,190.37,392,1395619200
ok,190.37,196.09,188.65,192.94,1075,1395705600
ok,192.94,196.94,185.8,194.08,1839,1395792000
ok,194.08,198.09,192.08,198.09,2719,1395878400
ok,198.09,202.95,196.09,202.95,857,1396224000
ok,202.95,205.8,202.95,202.95,756,1396310400
ok,202.95,205.8,200.09,200.37,230,1396396800
ok,200.37,200.37,194.37,194.37,492,1396483200
ok,194.37,195.8,194.37,194.66,249,1396742400
ok,194.66,202.95,195.51,200.09,2708,1396828800
ok,200.09,201.52,196.37,201.52,834,1397001600
ok,201.52,204.37,197.23,201.23,478,1397088000
ok,201.23,201.52,200.09,200.37,274,1397347200
ok,200.37,207.52,200.09,203.52,1348,1397520000
ok,203.52,206.66,202.95,204.37,240,1397606400
ok,204.37,204.37,202.66,202.95,731,1397692800
ok,202.95,202.95,202.37,202.95,263,1397952000
ok,202.95,202.95,195.8,195.8,1684,1398038400
ok,195.8,199.52,188.37,199.52,308,1398124800
