s,o,h,l,c,v,t
ok,94.42,94.42,94.42,94.42,41,1413244800
ok,94.42,101.21,95.77,101.21,320,1414368000
ok,101.21,104.83,104.83,104.83,20,1414886400
ok,104.83,108.0,106.42,108.0,30,1414972800
ok,108.0,114.34,109.59,114.34,40,1415664000
ok,114.34,116.6,116.6,116.6,10,1416182400
ok,116.6,125.66,118.42,125.66,163,1416268800
ok,125.66,135.62,127.47,135.62,51,1416355200
ok,135.62,144.23,137.66,144.23,120,1416441600
ok,144.23,156.0,146.49,156.0,51,1416700800
ok,156.0,168.91,158.49,168.91,152,1416787200
ok,168.91,183.17,171.62,183.17,3404,1416873600
ok,183.17,190.19,169.36,174.12,8526,1417305600
ok,174.12,172.98,164.83,165.96,3619,1417392000
ok,165.96,165.28,159.17,159.85,1721,1417478400
ok,159.85,160.76,157.36,157.36,1176,1417564800
ok,157.36,162.34,158.27,158.49,938,1417651200
ok,158.49,160.76,157.36,160.76,639,1417910400
ok,160.76,163.02,156.23,156.45,672,1417996800
ok,156.45,157.36,153.06,156.23,718,1418083200
ok,156.23,159.62,155.78,156.23,1625,1418169600
ok,156.23,158.49,155.78,158.49,824,1418256000
ok,158.49,166.19,160.3,164.15,1044,1418515200
ok,164.15,165.28,160.76,165.28,913,1418601600
ok,165.28,165.28,156.68,160.3,567,1418688000
ok,160.3,165.28,159.62,160.76,1116,1418774400
ok,160.76,160.76,156.45,160.76,154,1418860800
ok,160.76,162.57,158.27,162.57,605,1419120000
ok,162.57,163.25,158.04,158.49,478,1419206400
ok,158.49,158.27,153.96,155.1,1667,1419292800
ok,155.1,156.23,153.96,156.23,1124,1419379200
ok,156.23,160.98,154.42,160.76,1836,1419724800
ok,160.76,160.76,158.49,158.72,414,1419811200
ok,158.72,169.59,160.76,169.59,3374,1419984000
ok,169.59,180.0,167.1,176.38,2297,1420070400
ok,176.38,183.4,173.44,182.95,2597,1420329600
ok,182.95,189.74,178.87,187.25,3742,1420416000
ok,187.25,189.28,184.76,187.93,3056,1420502400
ok,187.93,199.02,181.59,199.02,4161,1420588800
ok,199.02,216.23,196.98,216.23,3941,1420675200
ok,216.23,233.21,200.61,217.59,3515,1420934400
ok,217.59,217.36,203.78,210.12,4090,1421020800
ok,210.12,215.1,206.27,215.1,1141,1421107200
ok,215.1,218.49,210.57,211.25,1433,1421193600
ok,211.25,208.3,203.78,207.4,1064,1421539200
ok,207.4,214.64,204.91,204.91,996,1421625600
ok,204.91,209.66,200.61,204.0,466,1421712000
ok,204.0,203.78,200.38,200.38,987,1421884800
ok,200.38,207.17,196.98,206.04,501,1422144000
ok,206.04,209.66,204.91,206.27,1924,1422230400
ok,206.27,206.72,204.0,206.04,656,1422316800
ok,206.04,207.17,206.04,206.27,719,1422403200
ok,206.27,207.17,205.81,205.81,375,1422489600
ok,205.81,203.78,203.1,203.78,246,1422748800
ok,203.78,206.04,203.78,206.04,1883,1422835200
ok,206.04,211.25,206.49,209.89,989,1422921600
ok,209.89,220.76,208.76,219.62,1802,1423008000
ok,219.62,219.62,212.61,217.59,555,1423094400
ok,217.59,213.96,210.34,211.7,562,1423353600
ok,211.7,212.83,209.66,212.83,454,1423440000
ok,212.83,213.96,211.02,213.96,1278,1423526400
ok,213.96,216.0,211.7,212.83,1091,1423612800
ok,212.83,214.64,211.93,214.64,689,1423699200
ok,214.64,228.0,215.1,228.0,2738,1423958400
ok,228.0,244.3,228.68,238.87,1621,1424044800
ok,238.87,240.0,231.4,238.87,5379,1424304000
ok,238.87,242.95,224.15,228.0,352,1424563200
ok,228.0,240.0,220.53,240.0,2947,1424649600
ok,240.0,260.61,224.61,260.61,3661,1424736000
ok,260.61,256.08,240.0,247.93,7160,1424822400
ok,247.93,245.66,245.66,245.66,30,1424908800
ok,250.19,248.61,238.87,248.61,175,1425168000
ok,248.61,250.19,237.74,244.53,4138,1425254400
ok,244.53,248.61,242.27,242.27,2318,1425340800
ok,242.27,245.21,240.23,240.68,840,1425427200
ok,240.68,247.02,243.63,243.63,447,1425859200
ok,243.63,243.63,233.66,237.74,171,1425945600
ok,237.74,238.87,234.12,238.19,485,1426032000
ok,238.19,236.15,232.08,234.34,464,1426118400
ok,234.34,236.61,230.49,234.34,942,1426377600
ok,234.34,235.47,224.15,224.15,350,1426464000
ok,224.15,231.17,227.55,230.72,1003,1426550400
ok,230.72,230.95,225.51,230.95,411,1426636800
ok,230.95,230.72,228.68,230.72,112,1426723200
ok,230.72,230.95,226.42,227.55,160,1426982400
ok,227.55,228.68,224.15,225.29,594,1427068800
ok,225.29,225.29,216.46,223.02,949,1427155200
ok,223.02,220.98,216.23,219.62,1162,1427241600
ok,219.62,219.62,215.1,217.36,2077,1427328000
ok,217.36,219.62,218.49,219.62,332,1427587200
ok,219.62,221.89,219.17,221.89,530,1427673600
ok,221.89,224.15,212.15,223.7,502,1427760000
ok,223.7,223.47,218.49,219.62,377,1427846400
ok,219.62,216.91,212.15,216.91,104,1427932800
ok,216.91,213.51,213.29,213.29,123,1428192000
ok,213.29,216.23,211.7,216.23,134,1428278400
ok,216.23,213.06,213.06,213.06,41,1428364800
ok,213.06,221.89,212.83,217.36,950,1428451200
ok,217.36,221.21,215.78,219.62,385,1428537600
ok,219.62,223.25,216.46,220.76,435,1428796800
ok,220.76,222.34,217.36,222.34,438,1428883200
ok,222.34,218.49,215.1,215.32,732,1429056000
ok,215.32,217.36,215.1,217.36,406,1429142400
ok,217.36,213.51,213.06,213.51,67,1429401600
ok,213.51,217.36,213.96,216.23,413,1429574400
ok,216.23,216.23,213.96,215.1,50,1429660800
ok,217.81,217.81,215.1,215.78,568,1429747200
ok,215.78,212.15,196.98,196.98,232,1433203200
ok,196.98,207.4,194.72,207.4,1434,1433289600
ok,207.4,212.15,208.76,208.76,283,1433376000
ok,208.76,213.96,209.44,213.96,53,1433635200
ok,213.96,217.59,211.7,211.93,547,1433721600
ok,211.93,213.96,212.61,212.61,40,1433808000
ok,212.61,210.79,203.55,206.95,1523,1433894400
ok,206.95,206.95,203.55,204.91,80,1433980800
ok,204.91,204.91,201.74,203.78,334,1434240000
ok,203.78,204.68,198.34,204.23,1976,1434326400
ok,204.23,204.23,200.83,200.83,119,1434412800
ok,200.83,204.23,197.66,204.23,213,1434499200
ok,204.23,207.62,207.62,207.62,10,1434585600
ok,201.51,201.51,201.51,201.51,22,1435017600
ok,201.51,201.51,199.7,200.15,110,1435104000
ok,196.76,205.36,196.76,204.91,222,1435190400
ok,205.59,205.59,204.91,205.59,50,1435449600
ok,203.78,207.17,203.78,207.17,121,1435536000
ok,203.55,206.04,203.55,203.78,130,1435622400
ok,201.74,201.96,201.74,201.96,20,1435708800
ok,201.96,201.96,198.12,198.34,487,1435795200
ok,195.85,195.85,192.68,195.4,190,1436054400
ok,192.45,195.62,190.19,194.72,402,1436140800
ok,196.98,201.51,196.98,201.51,253,1436227200
ok,204.91,208.3,204.68,204.68,60,1436313600
ok,206.04,210.57,206.04,210.57,2625,1436400000
ok,214.19,224.15,212.83,223.02,2639,1436659200
ok,226.42,234.34,226.42,228.68,2799,1436745600
ok,232.08,232.3,225.29,228.68,845,1436832000
ok,226.42,232.08,226.42,232.08,1913,1436918400
ok,232.08,235.25,229.81,235.25,616,1437004800
ok,235.25,242.95,233.44,242.27,835,1437523200
ok,242.27,245.66,236.61,236.61,505,1437609600
ok,236.61,240.68,232.3,232.3,233,1437955200
ok,232.3,228.68,213.74,213.74,373,1438041600
ok,213.74,216.23,213.96,215.1,205,1438128000
ok,215.1,222.57,218.72,221.89,461,1438214400
ok,221.89,221.89,221.89,221.89,10,1438473600
ok,221.89,218.04,211.02,217.36,417,1438560000
ok,217.36,225.06,211.7,219.62,1061,1438646400
ok,219.62,224.15,219.62,222.12,488,1438732800
ok,222.12,222.12,214.64,215.55,369,1438819200
ok,215.55,217.36,212.15,212.83,309,1439078400
ok,212.83,221.21,213.96,218.49,1371,1439164800
ok,218.49,222.34,211.02,215.1,918,1439251200
ok,215.1,215.1,212.83,213.96,1144,1439337600
ok,214.19,214.87,210.34,211.7,2216,1439424000
ok,211.7,213.51,200.38,201.74,481,1439683200
ok,201.74,207.85,201.74,207.85,60,1439769600
ok,207.85,209.44,206.27,209.44,776,1439856000
ok,209.44,210.57,207.17,208.3,739,1439942400
ok,204.68,209.44,203.78,206.95,1483,1440028800
ok,206.95,208.3,203.78,206.27,2159,1440288000
ok,209.89,209.89,209.89,209.89,10,1440374400
ok,213.51,213.51,213.51,213.51,10,1440979200
ok,217.13,220.76,217.13,220.76,113,1441670400
ok,219.85,219.85,219.85,219.85,10,1441756800
ok,223.7,223.7,223.7,223.7,10,1441843200
ok,227.55,227.55,227.55,227.55,10,1442102400
ok,231.4,247.7,231.4,247.7,516,1442275200
ok,249.51,253.59,249.51,253.59,241,1442361600
ok,251.32,251.32,251.32,251.32,654,1443052800
ok,247.93,247.93,246.8,246.8,120,1443484800
ok,251.1,251.1,251.1,251.1,41,1443916800
ok,246.8,246.8,237.96,238.87,104,1444003200
ok,238.87,241.13,238.87,241.13,693,1444089600
ok,237.74,237.74,237.74,237.74,41,1444176000
ok,241.81,244.53,241.13,244.53,231,1444262400
ok,240.23,240.23,238.64,238.64,250,1444780800
ok,235.47,235.47,228.68,233.89,1069,1444867200
ok,235.25,235.25,228.68,228.68,150,1445126400
ok,228.68,228.68,227.55,227.55,152,1445212800
ok,227.55,227.55,219.85,219.85,70,1445904000
ok,216.0,216.0,207.17,207.17,70,1445990400
ok,206.04,209.44,206.04,209.44,61,1446076800
ok,206.04,206.04,206.04,206.04,10,1446336000
ok,206.04,209.66,206.04,209.66,51,1446422400
ok,209.44,209.44,209.44,209.44,100,1446508800
ok,205.81,205.81,205.81,205.81,10,1446595200
ok,206.04,206.04,206.04,206.04,20,1446681600
ok,208.3,209.66,206.49,209.44,170,1446940800
ok,213.29,228.0,213.29,228.0,252,1447027200
ok,231.85,248.15,231.85,248.15,2340,1447113600
ok,252.46,252.46,241.36,249.06,1614,1447545600
ok,244.76,245.66,244.53,245.66,550,1447632000
ok,249.96,251.55,247.93,251.32,576,1447804800
ok,247.93,250.19,243.63,250.19,353,1447891200
ok,246.34,246.34,242.49,242.49,223,1448150400
ok,240.0,240.0,234.34,238.87,988,1448236800
ok,244.3,244.3,244.3,244.3,21,1448323200
ok,245.66,245.66,245.44,245.66,234,1448409600
ok,241.36,241.36,238.87,239.78,243,1448496000
ok,239.78,240.0,236.61,237.74,723,1448841600
ok,240.0,244.53,242.27,244.53,264,1448928000
ok,241.13,247.02,236.61,245.66,1421,1449014400
ok,242.27,247.93,242.27,247.93,40,1449100800
ok,252.23,263.78,252.23,262.64,2179,1449187200
ok,268.53,268.53,259.25,261.29,432,1449446400
ok,260.38,267.4,259.02,267.4,146,1449532800
ok,272.15,291.63,272.15,291.63,4738,1449619200
ok,296.83,307.7,280.98,300.68,2345,1449705600
ok,295.25,295.25,287.55,287.78,1424,1449964800
ok,287.78,312.0,287.78,312.0,2824,1450051200
ok,306.8,319.25,306.8,319.25,2674,1450137600
ok,319.25,348.68,318.8,348.68,5714,1450224000
ok,355.02,381.06,355.02,381.06,4117,1450310400
ok,381.06,416.61,387.17,407.1,9264,1450569600
ok,407.1,407.1,371.32,378.12,3050,1450656000
ok,379.25,407.55,379.25,400.76,3579,1450742400
ok,400.76,398.49,386.72,398.49,780,1450828800
ok,398.49,407.1,392.15,400.76,4427,1450915200
ok,400.74,415.93,400.74,406.22,661,1451260800
ok,406.22,417.17,399.74,414.68,641,1451347200
ok,414.68,438.34,414.68,438.34,2321,1451520000
ok,446.31,479.69,446.31,479.69,2563,1451779200
ok,479.69,497.87,462.5,473.21,1010,1451865600
ok,473.21,482.18,465.74,465.74,620,1451952000
ok,463.25,468.23,459.51,462.25,199,1452038400
ok,463.25,463.5,460.76,463.5,127,1452124800
ok,463.5,461.26,458.27,460.76,981,1452384000
ok,454.53,458.27,454.53,454.53,415,1452470400
ok,448.31,456.77,448.31,453.29,789,1452556800
ok,453.29,478.94,461.76,478.94,551,1452643200
ok,478.94,478.94,468.48,470.72,1025,1452729600
ok,470.72,473.21,467.24,467.24,312,1452988800
ok,479.44,480.68,475.7,480.44,174,1453075200
ok,473.21,486.66,473.21,486.66,598,1453161600
ok,486.91,495.63,486.91,495.63,1266,1453248000
ok,495.63,514.31,498.12,511.82,1290,1453334400
ok,511.82,541.45,510.82,541.45,1785,1453593600
ok,535.48,535.48,521.78,521.78,110,1453939200
ok,520.53,543.95,520.53,543.95,1247,1454198400
ok,543.95,572.84,550.42,561.63,801,1454284800
ok,561.63,561.63,547.93,547.93,971,1454371200
ok,547.93,543.45,527.76,527.76,3197,1454457600
ok,532.99,548.18,527.26,527.26,2244,1454544000
ok,527.26,545.44,530.75,545.44,810,1454803200
ok,545.44,552.91,542.95,552.91,503,1454889600
ok,552.91,552.91,545.44,545.44,996,1455148800
ok,537.97,541.95,537.97,541.7,290,1455408000
ok,535.48,535.48,518.04,523.02,890,1455494400
ok,523.02,542.95,523.02,537.97,775,1455580800
ok,537.97,545.69,535.48,535.48,737,1455667200
ok,535.48,535.48,523.02,532.99,1944,1455753600
ok,541.7,541.7,523.02,525.51,451,1456012800
ok,535.48,535.48,529.25,529.25,580,1456099200
ok,529.25,535.48,523.02,530.5,793,1456185600
ok,528.01,530.5,528.01,528.01,1191,1456272000
ok,524.27,534.23,524.27,532.74,381,1456358400
ok,534.23,544.19,535.48,544.19,866,1456617600
ok,544.19,564.87,537.47,551.67,1753,1456704000
ok,562.13,567.85,555.4,565.36,1342,1456790400
ok,567.85,571.59,560.63,564.12,1051,1456876800
ok,572.84,580.31,572.84,576.57,1113,1456963200
ok,591.02,591.27,579.06,591.27,373,1457222400
ok,602.47,636.35,597.74,624.14,889,1457568000
ok,622.65,622.65,620.16,622.65,350,1457827200
ok,622.65,622.65,607.95,608.2,179,1457913600
ok,596.75,622.65,589.02,622.65,837,1458000000
ok,622.65,622.65,615.18,615.18,131,1458086400
ok,612.69,625.14,612.69,612.69,1780,1458172800
ok,610.19,622.9,610.19,622.65,893,1458432000
ok,622.65,622.65,614.18,622.15,1494,1458518400
ok,620.16,620.16,608.7,613.93,1184,1458691200
ok,615.18,609.7,605.21,605.21,181,1458777600
ok,605.21,597.74,590.27,590.27,321,1459036800
ok,590.27,605.21,585.29,605.21,1214,1459123200
ok,593.76,605.21,582.8,597.74,688,1459209600
ok,597.74,610.19,586.78,607.7,214,1459296000
ok,607.7,610.19,596.5,602.97,374,1459382400
ok,602.97,602.72,591.52,602.72,137,1459641600
ok,602.72,628.87,597.74,628.87,417,1459728000
ok,616.92,616.92,608.95,608.95,188,1459814400
ok,608.95,610.19,597.49,610.19,829,1459900800
ok,610.19,612.93,601.48,601.48,136,1460246400
ok,601.48,616.42,605.21,616.42,160,1460332800
ok,616.42,612.69,610.19,612.69,345,1460419200
ok,612.69,624.39,612.69,622.65,412,1460592000
ok,625.14,642.57,624.89,642.32,2114,1460851200
ok,642.57,655.03,643.82,651.29,1489,1460937600
ok,651.29,660.01,635.1,647.55,768,1461024000
ok,647.55,651.04,637.59,648.05,771,1461110400
ok,648.05,646.31,637.59,646.31,370,1461196800
ok,646.31,635.6,635.1,635.6,75,1461456000
ok,635.6,667.48,647.55,660.01,732,1461542400
ok,660.01,660.01,641.58,641.58,623,1461628800
ok,641.58,652.54,640.08,640.08,1982,1461715200
ok,640.08,664.74,647.55,655.03,969,1461801600
ok,655.03,655.03,642.57,647.55,871,1462147200
ok,647.55,642.57,627.88,631.37,655,1462233600
ok,631.37,635.1,627.88,627.88,102,1462320000
ok,627.88,647.55,635.1,635.1,187,1462406400
ok,635.1,640.08,618.91,635.1,1054,1462665600
ok,637.59,645.06,637.59,642.57,853,1462752000
ok,656.27,656.27,642.57,645.06,405,1462838400
ok,645.06,645.06,635.1,635.1,223,1462924800
ok,633.86,635.1,633.86,635.1,248,1463011200
ok,635.1,647.55,635.1,647.55,741,1463270400
ok,647.55,647.55,639.33,642.57,1736,1463356800
ok,647.55,660.01,645.06,660.01,242,1463443200
ok,660.01,666.23,657.52,666.23,317,1463529600
ok,666.23,678.69,671.21,672.71,428,1463616000
ok,672.71,678.69,672.46,672.46,803,1463875200
ok,672.46,692.88,672.46,689.89,181,1463961600
ok,689.89,719.78,689.64,719.78,1477,1464048000
ok,719.78,747.18,719.78,739.71,2539,1464134400
ok,739.71,740.95,722.27,734.72,1098,1464220800
ok,734.72,734.72,722.27,722.27,449,1464480000
ok,722.27,722.52,719.78,722.27,436,1464566400
ok,722.27,734.72,722.27,734.72,470,1464652800
ok,734.72,759.38,722.27,736.22,1156,1464825600
ok,736.22,722.52,684.91,698.61,641,1465084800
ok,698.61,716.05,699.86,716.05,544,1465171200
ok,722.27,737.22,722.27,734.72,409,1465257600
ok,734.72,747.18,737.22,744.69,413,1465344000
ok,734.72,754.65,734.72,747.18,524,1465430400
ok,747.18,802.22,745.93,796.99,1883,1465689600
ok,796.99,799.48,779.56,796.99,2016,1465776000
ok,812.43,837.84,784.54,796.99,2006,1465862400
ok,796.99,796.99,774.57,774.57,265,1465948800
ok,774.57,796.99,774.32,781.55,683,1466035200
ok,781.55,774.57,758.39,774.57,132,1466294400
ok,774.57,820.15,774.82,820.15,546,1466380800
ok,820.15,820.65,801.22,817.91,928,1466467200
ok,802.22,837.84,802.22,834.35,1335,1466553600
ok,834.35,850.54,834.1,834.1,182,1466640000
ok,834.1,834.35,822.14,829.37,290,1466899200
ok,829.37,831.86,809.44,831.86,749,1466985600
ok,831.86,815.92,815.92,815.92,10,1467072000
