s,o,h,l,c,v,t
ok,1303.9,1406.2,1303.9,1406.2,1391,1723507200
ok,1434.3,1546.8,1434.3,1546.8,5416,1723593600
ok,1577.7,1701.4,1577.7,1682.5,63003,1723680000
ok,1716.0,1716.0,1555.0,1555.0,20531,1723939200
ok,1555.0,1580.0,1445.0,1462.0,17465,1724198400
ok,1435.0,1485.0,1433.0,1465.0,8512,1724284800
ok,1465.0,1599.0,1425.0,1480.0,12980,1724544000
ok,1470.0,1498.0,1425.0,1430.0,6109,1724716800
ok,1450.0,1487.0,1400.0,1405.0,5524,1724803200
ok,1395.0,1431.0,1360.0,1361.0,8089,1724889600
ok,1388.0,1435.0,1345.0,1351.0,6397,1725148800
ok,1340.4,1397.4,1340.4,1397.4,2683,1725235200
ok,1410.1,1537.1,1410.1,1537.1,14487,1725321600
ok,1567.8,1690.8,1540.0,1551.0,35953,1725408000
ok,1520.0,1599.0,1490.0,1569.8,10501,1725494400
ok,1569.8,1600.0,1500.0,1500.0,13504,1725753600
ok,1500.0,1528.0,1412.0,1528.0,11398,1725840000
ok,1558.2,1558.2,1446.0,1490.0,7024,1725926400
ok,1460.2,1488.7,1431.0,1443.0,4818,1726012800
ok,1470.0,1587.0,1441.0,1500.0,8220,1726099200
ok,1499.0,1520.0,1460.0,1490.0,3912,1726358400
ok,1467.1,1475.0,1413.0,1475.0,7182,1726444800
ok,1500.0,1505.0,1421.0,1460.0,5873,1726617600
ok,1488.0,1517.0,1415.0,1466.0,2980,1726963200
ok,1436.7,1540.0,1410.0,1540.0,4487,1727049600
ok,1509.2,1509.2,1415.0,1458.0,3134,1727136000
ok,1428.9,1514.0,1400.4,1466.0,5774,1727222400
ok,1436.7,1523.0,1408.0,1449.4,3193,1727308800
ok,1420.5,1445.0,1401.0,1443.0,2980,1727568000
ok,1415.2,1451.0,1400.1,1450.0,1864,1727654400
ok,1421.0,1470.0,1402.0,1470.0,5359,1727740800
ok,1440.9,1478.0,1420.0,1454.0,3798,1727827200
ok,1425.0,1484.0,1425.0,1479.0,4714,1728172800
ok,1449.5,1505.0,1420.6,1449.0,4638,1728259200
ok,1420.1,1449.0,1420.1,1435.0,3312,1728345600
ok,1420.0,1446.5,1420.0,1440.0,2459,1728432000
ok,1458.9,1458.9,1425.0,1450.0,1201,1728950400
ok,1421.0,1460.0,1421.0,1459.0,2269,1729036800
