s,o,h,l,c,v,t
ok,78.43,78.43,78.43,78.43,10,1473033600
ok,81.11,81.11,81.11,81.11,10,1473292800
ok,82.23,82.23,82.23,82.23,10,1479945600
ok,83.36,86.74,83.36,86.74,50,1480982400
ok,88.01,90.55,88.01,90.55,92,1481760000
ok,91.82,93.09,91.82,93.09,20,1482019200
ok,94.5,98.68,94.5,98.68,40,1482278400
ok,100.08,106.12,100.08,106.12,50,1482710400
ok,107.67,107.67,107.67,107.67,10,1484784000
ok,109.22,110.93,109.22,110.93,41,1485129600
ok,112.64,112.64,112.64,112.64,10,1485216000
ok,23.18,23.18,23.18,114.34,18,1486339200
ok,114.34,117.75,114.34,117.75,30,1486598400
ok,119.61,123.33,119.61,123.33,74,1486857600
ok,125.19,127.21,125.19,127.21,20,1486944000
ok,129.22,129.22,129.22,129.22,10,1487030400
ok,131.24,133.26,131.24,133.26,20,1488067200
ok,135.43,139.77,135.43,139.77,30,1488326400
ok,142.09,144.42,142.09,144.42,41,1488412800
ok,146.74,146.74,146.74,146.74,10,1489449600
ok,23.18,23.18,23.18,149.07,4,1489968000
ok,149.07,154.03,149.07,154.03,50,1490054400
ok,156.51,159.15,156.51,159.15,27,1490140800
ok,161.78,161.78,161.78,161.78,10,1490486400
ok,23.18,23.18,23.18,177.29,10,1491696000
ok,177.29,183.33,177.29,183.33,35,1491868800
ok,186.43,186.43,186.43,186.43,20,1491955200
ok,189.69,189.69,189.69,189.69,10,1492041600
ok,192.95,203.02,192.95,203.02,40,1492646400
ok,206.59,206.59,206.59,206.59,20,1492992000
ok,210.15,210.15,210.15,210.15,10,1493164800
ok,213.88,228.76,213.88,232.79,312,1493251200
ok,232.79,236.98,232.79,236.98,22,1493510400
ok,241.16,245.5,241.16,245.5,28,1493856000
ok,249.84,263.49,249.84,263.49,43,1494115200
ok,268.29,287.52,268.29,287.52,75,1494201600
ok,314.79,314.79,314.79,314.79,10,1494460800
ok,320.54,320.54,320.54,320.54,10,1494806400
ok,326.43,350.15,326.43,350.15,72,1494979200
ok,389.84,418.67,389.84,418.53,478,1495324800
ok,426.43,458.06,426.43,466.74,1780,1495411200
ok,466.74,501.47,440.23,449.53,23569,1495497600
ok,437.13,437.13,425.97,429.07,4617,1495929600
ok,421.01,427.83,417.13,423.95,3110,1496102400
ok,418.06,418.06,406.43,412.64,3711,1496275200
ok,411.55,411.55,392.48,401.47,1476,1496534400
ok,403.02,408.76,402.25,407.05,3213,1496620800
ok,410.77,417.75,407.05,416.67,2535,1496707200
ok,424.11,426.12,413.88,414.65,5278,1496793600
ok,410.77,414.65,407.67,412.33,2104,1496880000
ok,406.9,406.9,397.29,400.08,2170,1497139200
ok,393.72,403.02,391.4,402.87,2655,1497225600
ok,403.02,410.77,387.98,394.81,936,1497312000
ok,395.27,398.22,389.22,396.51,900,1497398400
ok,392.17,402.87,387.52,394.96,2083,1497484800
ok,385.97,390.46,374.65,376.67,1495,1497830400
ok,375.89,384.57,372.02,378.99,1178,1497916800
ok,378.99,382.09,372.33,375.43,777,1498003200
ok,372.95,378.22,372.95,378.22,597,1498089600
ok,374.34,379.92,374.34,377.44,605,1498348800
ok,379.77,384.42,375.12,376.2,1125,1498521600
ok,369.22,375.43,369.22,372.02,1418,1498608000
ok,370.46,378.22,366.74,367.05,925,1498953600
ok,364.26,371.09,364.26,370.46,1136,1499040000
ok,370.46,371.24,364.57,365.81,843,1499126400
ok,365.81,376.67,362.71,376.67,1061,1499212800
ok,379.77,387.52,376.67,383.64,859,1499299200
ok,365.19,371.71,365.19,365.81,1620,1499644800
ok,365.66,370.46,364.26,366.28,701,1499731200
ok,366.43,371.24,365.81,367.98,689,1499817600
ok,367.98,368.76,364.26,364.88,734,1499904000
ok,365.04,366.59,361.94,362.71,804,1500163200
ok,362.4,372.02,357.44,372.02,1941,1500249600
ok,373.57,382.87,368.14,380.54,3126,1500336000
ok,378.22,382.87,366.59,373.57,2192,1500422400
ok,369.69,375.74,368.14,373.57,879,1500508800
ok,373.88,376.67,372.17,374.19,1704,1500768000
ok,367.36,372.02,366.43,368.45,2418,1500854400
ok,367.67,371.24,367.36,368.91,791,1500940800
ok,372.02,372.17,363.64,363.64,779,1501027200
ok,364.57,397.6,364.57,391.4,3123,1501113600
ok,386.74,395.27,376.98,392.17,2077,1501372800
ok,390.62,395.27,385.04,388.29,1418,1501459200
ok,387.52,405.97,384.57,405.97,3586,1501545600
ok,403.02,403.02,395.43,398.06,1858,1501632000
ok,421.63,421.63,403.8,403.8,3983,1501977600
ok,401.47,403.02,392.17,401.16,1563,1502064000
ok,401.16,426.12,397.13,413.26,8108,1502236800
ok,416.98,418.37,407.05,407.05,4364,1502323200
ok,404.57,404.57,390.31,392.48,2800,1502582400
ok,392.17,392.33,385.19,391.4,1035,1502755200
ok,399.46,399.77,392.95,396.98,1354,1502841600
ok,394.5,395.58,389.22,392.17,1310,1502928000
ok,386.12,400.23,385.97,399.92,755,1503187200
ok,392.95,393.72,387.67,387.98,619,1503273600
ok,387.52,401.01,386.74,388.29,1149,1503360000
ok,388.45,391.4,387.52,388.29,1360,1503446400
ok,395.27,395.27,385.04,385.97,2066,1503878400
ok,385.97,393.72,385.97,387.52,1752,1504051200
ok,383.49,383.49,373.72,379.77,1490,1504483200
ok,382.87,395.12,382.87,385.5,1177,1504656000
ok,387.52,393.26,384.42,393.26,1125,1504742400
ok,395.43,401.47,379.77,391.24,6000,1505001600
ok,391.24,393.41,385.35,388.29,1762,1505088000
ok,388.29,388.29,380.54,380.54,1802,1505174400
ok,373.57,385.97,373.57,382.09,1137,1505260800
ok,387.36,387.36,376.67,379.46,1267,1505347200
ok,379.77,387.52,379.77,383.64,3844,1505606400
ok,383.55,397.05,383.55,383.55,1683,1505692800
ok,380.93,380.93,375.89,377.1,404,1505865600
ok,380.73,380.93,369.84,369.84,291,1506211200
ok,369.64,369.64,364.81,365.81,288,1506297600
ok,367.83,369.64,360.98,369.64,4029,1506384000
ok,369.64,369.64,369.64,369.64,44,1506988800
ok,365.81,365.81,363.8,363.8,79,1507075200
ok,357.35,357.35,350.7,352.51,191,1507420800
ok,346.46,347.67,342.03,342.64,385,1507507200
ok,338.81,341.83,338.81,339.81,348,1507593600
ok,335.58,339.81,335.58,339.81,287,1507680000
ok,337.8,339.61,337.6,337.6,188,1507766400
ok,337.6,337.6,333.57,336.59,219,1508025600
ok,337.6,350.09,337.6,347.67,198,1508112000
ok,348.68,361.78,348.68,353.72,820,1508198400
ok,351.71,359.16,349.69,358.76,706,1508284800
ok,359.77,364.81,358.76,352.11,152,1508630400
ok,359.77,359.77,355.94,355.94,145,1508803200
ok,351.71,362.39,351.71,362.39,121,1508889600
ok,362.39,362.39,344.65,350.9,567,1509235200
ok,345.66,345.66,344.25,344.25,251,1509321600
ok,341.63,345.66,341.63,341.83,55,1509408000
ok,335.58,340.62,335.58,337.6,209,1509494400
ok,337.6,338.6,331.55,334.57,574,1509580800
ok,325.5,325.5,319.46,323.49,477,1509840000
ok,320.46,320.46,319.66,320.06,243,1510012800
ok,314.22,314.22,308.37,308.37,682,1510099200
ok,308.37,315.43,308.37,311.19,827,1510185600
ok,309.38,315.43,309.38,314.62,931,1510531200
ok,318.45,323.49,316.64,321.47,1083,1510617600
ok,323.29,328.53,322.48,322.48,648,1510704000
ok,321.47,321.47,318.45,318.65,131,1510790400
ok,318.45,318.45,309.58,310.39,129,1511049600
ok,311.4,311.4,307.36,308.37,211,1511136000
ok,307.36,318.45,307.36,308.37,808,1511222400
ok,302.73,309.38,302.73,308.37,563,1511308800
ok,317.04,320.46,314.82,314.82,815,1511740800
ok,309.38,313.41,309.38,312.4,111,1511827200
ok,310.39,323.89,309.38,320.26,705,1511913600
ok,319.46,320.46,313.61,319.26,670,1512000000
ok,314.62,316.03,314.62,315.83,221,1512345600
ok,315.63,315.63,311.4,311.4,211,1512432000
ok,311.4,322.88,311.4,322.88,607,1512518400
ok,328.73,328.73,328.33,328.53,202,1512864000
ok,322.48,322.48,316.43,316.84,433,1513036800
ok,314.42,315.43,314.42,315.43,33,1513123200
ok,310.39,316.03,310.39,315.43,66,1513209600
ok,316.43,316.43,312.4,312.4,80,1513468800
ok,312.4,312.4,306.76,312.4,287,1513555200
ok,312.4,318.05,309.38,309.38,239,1513641600
ok,308.17,312.4,308.17,309.78,362,1513728000
ok,311.4,311.4,305.75,305.75,180,1513814400
ok,305.35,307.36,305.35,306.36,602,1514073600
ok,305.35,306.96,300.71,303.33,430,1514246400
ok,297.89,303.33,297.89,292.65,258,1514332800
ok,301.32,302.33,295.88,298.29,820,1514419200
ok,295.27,295.27,283.18,288.22,370,1514678400
ok,285.19,301.12,285.19,301.12,413,1514764800
ok,296.28,301.72,296.28,301.32,201,1514851200
ok,300.31,300.71,296.28,296.28,646,1514937600
ok,294.26,301.32,291.04,299.91,310,1515024000
ok,295.27,304.34,294.06,303.94,86,1515283200
ok,305.35,305.35,294.46,298.29,255,1515369600
ok,300.31,300.31,296.28,298.29,683,1515542400
ok,295.27,296.48,293.26,293.26,951,1515888000
ok,291.24,293.26,286.0,290.23,1009,1516060800
ok,290.23,295.47,288.82,293.26,234,1516147200
ok,293.66,293.66,290.23,291.24,623,1516492800
ok,291.24,291.24,287.81,289.22,175,1516579200
ok,290.23,290.23,285.19,287.21,338,1516665600
ok,286.2,287.21,286.2,286.2,307,1516752000
ok,288.02,292.25,286.2,292.25,342,1516838400
ok,292.25,295.27,288.02,290.84,1104,1517097600
ok,286.2,289.83,286.2,289.02,918,1517184000
ok,286.0,288.22,285.4,286.4,734,1517356800
ok,290.43,293.26,289.43,290.23,393,1517443200
ok,287.81,288.42,287.61,287.81,277,1517702400
ok,285.19,285.4,283.18,283.78,518,1517788800
ok,283.18,285.19,283.18,283.78,477,1517875200
ok,283.78,289.22,282.17,283.58,402,1517961600
ok,281.16,288.82,279.15,284.39,772,1518048000
ok,282.17,286.81,282.17,284.19,94,1518307200
ok,279.15,284.19,279.15,282.37,429,1518393600
ok,282.17,288.22,281.16,288.22,323,1518566400
ok,293.46,310.99,289.83,310.99,1232,1518652800
ok,302.53,302.53,290.23,290.23,676,1519084800
ok,290.23,291.64,290.23,291.24,292,1519171200
ok,290.43,296.48,290.23,292.25,291,1519257600
ok,301.92,301.92,287.21,291.24,263,1519516800
ok,286.2,289.22,283.78,289.22,1105,1519603200
ok,283.98,289.02,279.55,280.15,919,1519689600
ok,279.15,284.19,275.72,279.15,566,1519776000
ok,274.11,274.11,256.98,265.04,2391,1520121600
ok,253.95,265.04,245.89,260.0,847,1520294400
ok,260.0,262.02,257.38,259.19,715,1520380800
ok,259.19,260.0,254.56,254.76,818,1520726400
ok,254.76,254.96,244.88,247.91,942,1520812800
ok,243.67,252.14,243.67,252.14,147,1520899200
ok,252.14,256.57,250.93,256.57,237,1520985600
ok,259.19,260.0,256.57,255.36,621,1521072000
ok,255.57,255.57,250.73,252.95,198,1521331200
ok,250.53,250.53,247.91,249.32,281,1521417600
ok,245.09,248.91,244.88,245.49,1047,1521504000
ok,242.87,242.87,236.82,236.82,1567,1521590400
ok,232.59,235.81,231.78,232.79,663,1521676800
ok,228.76,228.76,211.83,213.64,2141,1522022400
ok,210.22,225.53,208.0,225.53,819,1522108800
ok,229.57,229.57,220.09,220.09,2168,1522195200
ok,217.67,220.7,217.67,218.68,1090,1522281600
ok,214.85,218.68,214.65,217.88,316,1522540800
ok,218.68,218.68,217.67,217.67,669,1522627200
ok,217.47,218.28,216.06,216.26,2062,1522713600
ok,217.67,224.73,216.87,223.12,4661,1522800000
ok,226.95,233.6,222.71,232.79,4665,1522886400
ok,236.82,246.9,229.16,246.7,4456,1523145600
ok,244.88,260.0,244.88,245.09,3042,1523232000
ok,240.65,246.09,240.65,240.85,795,1523318400
ok,236.62,240.65,232.39,240.65,463,1523404800
ok,242.87,245.89,236.42,239.24,2400,1523491200
ok,238.84,242.87,234.6,242.06,360,1523750400
ok,245.89,254.96,239.84,253.55,1763,1523836800
ok,276.12,276.12,264.23,264.23,2586,1524009600
ok,268.87,270.08,261.01,270.08,3806,1524096000
ok,295.67,295.67,273.1,283.38,5634,1524441600
ok,279.15,283.78,269.27,275.32,2291,1524528000
ok,270.28,276.12,268.06,272.09,1287,1524614400
ok,273.1,276.12,261.01,264.84,1483,1524700800
ok,260.2,269.47,251.53,263.02,1091,1524960000
ok,263.02,271.89,253.75,271.89,998,1525219200
ok,276.73,277.94,271.49,272.29,2317,1525305600
ok,267.46,270.08,267.46,268.26,458,1525564800
ok,263.63,265.04,261.21,265.04,932,1525651200
ok,266.05,274.91,256.37,274.91,1183,1525737600
ok,263.83,266.05,256.57,258.99,1466,1526256000
