s,o,h,l,c,v,t
ok,59.95,59.95,59.95,59.95,123,1403740800
ok,59.95,60.97,60.66,60.97,49,1404345600
ok,60.97,60.97,60.97,60.97,20,1405555200
ok,60.97,61.68,61.68,61.68,10,1406073600
ok,61.68,62.39,62.39,62.39,10,1407283200
ok,62.39,64.02,63.21,64.02,20,1408320000
ok,64.02,66.57,64.94,66.57,30,1408579200
ok,66.57,68.21,67.39,68.21,20,1408838400
ok,68.21,69.12,69.12,69.12,38,1409184000
ok,69.12,70.96,70.04,70.96,20,1409443200
ok,70.96,73.41,73.41,73.41,10,1410048000
ok,73.41,74.43,74.43,74.43,10,1410220800
ok,74.43,79.63,76.97,79.63,50,1410307200
ok,79.63,82.48,82.48,82.48,10,1410393600
ok,82.48,86.66,85.44,86.66,20,1410652800
ok,86.66,89.21,87.88,89.21,20,1410739200
ok,89.21,95.94,92.57,95.94,40,1410825600
ok,95.94,103.28,97.37,103.28,412,1410912000
ok,111.44,120.41,113.17,120.41,681,1411257600
ok,120.41,124.28,110.62,110.62,2189,1411344000
ok,110.62,108.89,103.28,103.69,959,1411430400
ok,103.69,105.32,103.28,103.69,262,1411516800
ok,103.69,103.69,100.83,102.16,288,1411862400
ok,102.16,108.07,102.36,108.07,246,1411948800
ok,108.07,109.7,107.26,107.77,519,1412035200
ok,107.77,107.26,107.26,107.26,20,1412726400
ok,107.26,108.89,107.26,107.77,94,1412812800
ok,107.77,111.03,107.66,107.66,203,1413072000
ok,107.66,109.3,107.66,108.68,266,1413158400
ok,108.68,107.26,105.63,106.24,130,1413244800
ok,106.24,107.36,105.22,106.24,113,1413331200
ok,106.24,108.79,106.75,108.38,273,1413417600
ok,108.38,109.3,108.28,108.28,124,1413676800
ok,108.28,108.28,103.18,103.18,278,1413763200
ok,103.18,104.81,103.28,103.48,208,1413849600
ok,103.48,103.69,103.18,103.69,94,1413936000
ok,103.69,111.85,103.18,111.85,89,1414281600
ok,111.85,115.21,112.36,115.21,123,1414368000
ok,115.21,113.88,112.15,113.88,264,1414454400
ok,113.88,112.05,106.24,106.24,188,1414627200
ok,106.24,107.87,106.14,107.77,252,1414886400
ok,107.77,107.77,106.14,106.14,60,1414972800
ok,106.14,106.24,106.24,106.24,40,1415059200
ok,106.24,106.24,106.24,106.24,10,1415145600
ok,106.24,109.3,106.24,109.3,126,1415232000
ok,109.3,107.77,106.24,106.24,119,1415577600
ok,106.24,106.75,101.85,102.26,66,1415664000
ok,102.26,105.22,103.18,105.22,324,1415750400
ok,105.22,105.73,103.59,103.59,171,1415836800
ok,103.59,105.22,103.18,105.22,93,1416096000
ok,105.22,105.22,103.69,105.22,51,1416182400
ok,105.22,103.59,101.65,103.18,272,1416268800
ok,103.18,106.44,103.18,106.03,329,1416355200
ok,106.03,109.3,107.66,107.97,637,1416441600
ok,107.99,109.7,107.99,107.99,120,1416700800
ok,107.99,107.99,107.99,107.99,10,1417564800
ok,107.99,108.48,107.26,107.26,29,1417996800
ok,107.26,107.26,107.01,107.26,113,1418083200
ok,107.26,107.87,107.87,107.87,20,1418601600
ok,107.87,109.58,108.97,108.97,20,1418688000
ok,108.97,109.46,109.46,109.46,10,1418774400
ok,109.46,109.7,109.7,109.7,10,1418860800
ok,109.7,111.42,111.42,111.42,10,1419120000
ok,111.42,116.68,111.42,111.42,972,1419206400
ok,111.42,111.78,109.7,111.78,227,1419292800
ok,111.78,113.13,113.13,113.13,197,1419724800
ok,113.13,120.1,113.37,120.1,1294,1419811200
ok,120.1,129.89,122.06,129.89,1112,1419984000
ok,129.89,139.07,131.85,139.07,1061,1420070400
ok,139.07,150.82,141.27,150.82,686,1420329600
ok,150.82,161.22,150.94,153.75,593,1420416000
ok,153.75,156.2,151.31,151.31,578,1420502400
ok,151.31,148.86,146.41,146.41,178,1420588800
ok,146.41,151.31,146.41,147.63,401,1420675200
ok,147.63,148.86,145.19,148.86,104,1420934400
ok,148.86,146.41,143.96,143.96,20,1421020800
ok,143.96,142.74,141.52,142.74,70,1421107200
ok,142.74,140.42,140.42,140.42,93,1421193600
ok,140.42,140.78,138.46,140.78,20,1421539200
ok,140.78,141.52,141.52,141.52,10,1421712000
ok,141.52,139.68,139.68,139.68,30,1422230400
ok,139.68,137.36,137.36,137.36,90,1422316800
ok,137.36,137.36,137.36,137.36,63,1422403200
ok,137.36,139.07,134.66,134.66,190,1422835200
ok,134.66,135.77,133.56,135.77,95,1422921600
ok,135.77,140.29,137.97,138.58,115,1423008000
ok,138.58,140.9,140.9,140.9,63,1423094400
ok,140.9,140.9,140.29,140.29,160,1423440000
ok,140.29,145.55,140.9,145.55,93,1423526400
ok,145.55,146.17,141.52,146.17,593,1423612800
ok,146.17,143.72,143.72,143.72,141,1423699200
ok,143.72,141.39,141.39,141.39,63,1423958400
ok,141.39,150.57,143.72,148.25,758,1424044800
ok,148.25,147.02,146.53,146.53,173,1424304000
ok,146.53,144.09,141.64,143.35,80,1424736000
ok,143.35,145.68,142.74,143.96,192,1424822400
ok,143.96,143.84,141.52,143.84,20,1425168000
ok,143.84,147.63,145.19,145.92,576,1425254400
ok,145.92,150.82,148.37,150.82,102,1425427200
ok,150.82,150.08,150.08,150.08,30,1425859200
ok,150.08,150.69,150.08,150.69,93,1426032000
ok,150.69,150.08,150.08,150.08,97,1426118400
ok,150.08,148.86,148.86,148.86,17,1426377600
ok,148.86,146.41,143.96,143.96,138,1426464000
ok,143.96,143.96,139.31,143.96,242,1426550400
ok,143.96,145.19,145.06,145.19,96,1426636800
ok,145.19,145.19,143.47,145.19,75,1426723200
ok,145.19,142.86,142.86,142.86,63,1427068800
ok,142.86,140.54,138.21,138.21,24,1427241600
ok,138.21,140.54,139.68,140.54,24,1427328000
ok,140.54,138.21,138.21,138.21,12,1427587200
ok,138.21,140.29,140.29,140.29,10,1427673600
ok,140.29,140.29,140.29,140.29,83,1427760000
ok,140.29,137.97,136.62,136.62,27,1427932800
ok,136.62,135.4,134.42,134.79,160,1428192000
ok,134.79,139.19,136.99,139.19,22,1428364800
ok,139.19,141.52,139.19,139.19,614,1428451200
ok,139.19,140.78,138.46,140.78,24,1428537600
ok,140.78,140.9,138.46,138.58,198,1429142400
ok,138.58,136.26,134.05,134.18,373,1429401600
ok,134.18,136.38,134.79,136.38,75,1429488000
ok,136.38,143.23,138.58,141.52,222,1429574400
ok,141.52,139.19,139.07,139.07,145,1429660800
ok,139.07,136.74,135.4,135.4,64,1429747200
ok,135.4,133.2,133.2,133.2,13,1432684800
ok,133.2,130.99,130.99,130.99,10,1433030400
ok,130.99,128.91,126.83,126.83,87,1433116800
ok,126.83,126.22,121.33,126.22,449,1433203200
ok,126.22,127.08,125.0,127.08,512,1433289600
