s,o,h,l,c,v,t
ok,397.5,397.5,397.5,397.5,90,1633478400
ok,403.2,403.2,403.2,403.2,20,1633824000
ok,403.2,411.2,403.2,411.2,20,1634428800
ok,419.4,427.7,419.4,427.7,20,1634601600
ok,436.2,462.7,436.2,462.7,40,1635033600
ok,471.9,471.9,471.9,471.9,10,1635120000
ok,481.3,490.9,481.3,490.9,20,1635206400
ok,500.7,520.9,500.7,520.9,30,1635292800
ok,520.9,552.7,520.9,552.7,53,1635379200
ok,563.7,598.0,563.7,598.0,41,1635638400
ok,609.9,657.8,609.9,657.8,71,1635724800
ok,657.8,657.8,657.8,657.8,6,1635811200
ok,670.9,697.9,670.9,697.9,30,1635897600
ok,711.8,767.6,711.8,767.6,79,1636329600
ok,782.9,844.3,782.9,844.3,10,1636416000
ok,861.1,928.7,861.1,928.7,60,1636588800
ok,947.2,1021.5,947.2,1021.5,100,1636848000
ok,1041.9,1123.6,1041.9,1123.6,60,1636934400
ok,1146.0,1235.9,1146.0,1235.9,50,1637020800
ok,1260.6,1359.4,1260.6,1359.4,101,1637107200
ok,1386.5,1495.3,1386.5,1495.3,189,1637193600
ok,1525.2,1644.8,1525.2,1644.8,370,1637452800
ok,1677.0,1809.2,1677.0,1809.2,900,1637539200
ok,1845.3,1990.1,1845.3,1990.1,1310,1637625600
ok,2029.9,2189.1,1985.0,1999.0,26187,1637712000
ok,2005.0,2005.0,1851.0,1860.5,10621,1637798400
ok,1823.3,1823.3,1675.0,1710.0,11732,1638057600
ok,1676.0,1677.0,1618.0,1630.0,4964,1638144000
ok,1630.0,1720.0,1605.0,1720.0,1831,1638230400
ok,1720.0,1720.0,1666.0,1690.0,1430,1638316800
ok,1661.0,1680.0,1621.2,1630.0,2460,1638403200
ok,1630.0,1630.0,1525.0,1553.0,4205,1638662400
ok,1525.0,1640.0,1500.0,1600.0,2350,1638748800
ok,1600.0,1605.0,1520.1,1550.0,1981,1638835200
ok,1540.0,1540.0,1470.0,1518.0,1400,1638921600
ok,1510.0,1510.0,1466.2,1468.1,860,1639008000
ok,1421.0,1451.5,1400.0,1400.1,1740,1639267200
ok,1372.1,1372.1,1266.0,1280.0,2799,1639353600
ok,1300.0,1408.0,1300.0,1400.0,970,1639440000
ok,1428.0,1510.0,1428.0,1470.0,2638,1639526400
ok,1470.0,1470.0,1384.8,1401.0,1300,1639612800
ok,1429.0,1429.0,1370.0,1370.0,1500,1639958400
ok,1350.0,1370.0,1343.0,1370.0,670,1640044800
ok,1350.0,1474.9,1346.0,1390.0,929,1640131200
ok,1370.0,1414.0,1370.0,1385.0,1170,1640217600
ok,1386.0,1400.0,1359.0,1385.0,790,1640476800
ok,1385.0,1408.0,1340.0,1340.0,1205,1640563200
ok,1335.0,1393.3,1309.1,1335.0,816,1640649600
ok,1322.0,1347.0,1309.0,1314.0,1398,1640736000
ok,1314.0,1375.0,1290.0,1340.0,1120,1641081600
ok,1366.8,1421.0,1330.0,1361.0,850,1641168000
ok,1388.2,1399.0,1337.0,1390.0,1138,1641254400
ok,1390.0,1446.0,1361.0,1390.0,930,1641340800
ok,1363.0,1400.0,1363.0,1388.0,960,1641427200
ok,1388.0,1437.0,1388.0,1400.0,2681,1641686400
ok,1395.0,1415.0,1381.0,1400.0,1050,1641772800
ok,1400.0,1540.0,1400.0,1500.0,5380,1641859200
ok,1515.0,1616.0,1500.0,1530.0,5859,1641945600
ok,1530.0,1600.0,1522.0,1600.0,3540,1642032000
ok,1600.0,1695.0,1600.0,1655.0,4063,1642291200
ok,1656.0,1685.0,1600.0,1621.0,2350,1642377600
ok,1590.0,1653.0,1539.0,1540.0,4705,1642464000
ok,1541.3,1565.0,1535.0,1538.0,3221,1642550400
ok,1522.0,1600.0,1516.2,1550.0,2935,1642636800
ok,1540.0,1581.0,1530.0,1535.0,1307,1642896000
ok,1515.0,1515.0,1469.0,1470.0,1569,1642982400
ok,1450.0,1485.0,1441.0,1462.0,1413,1643068800
ok,1435.0,1450.0,1400.0,1400.0,1441,1643155200
ok,1428.0,1460.0,1406.0,1453.0,730,1643241600
ok,1482.0,1590.0,1482.0,1550.0,2751,1643500800
ok,1580.0,1600.0,1530.0,1572.2,1940,1643587200
ok,1570.9,1571.9,1531.0,1560.0,1251,1643673600
ok,1535.0,1561.0,1520.0,1520.0,2875,1643846400
ok,1489.6,1500.0,1477.0,1500.0,1020,1644105600
ok,1471.0,1500.0,1471.0,1490.0,903,1644192000
ok,1500.0,1530.0,1450.0,1461.1,1119,1644278400
ok,1432.0,1455.0,1426.0,1450.0,990,1644364800
ok,1430.0,1458.0,1430.0,1432.0,570,1644451200
ok,1403.5,1420.0,1372.0,1372.0,1975,1644710400
ok,1370.0,1405.0,1370.0,1390.0,585,1644796800
ok,1369.0,1420.0,1369.0,1420.0,860,1644883200
ok,1421.0,1447.0,1402.0,1422.0,468,1644969600
ok,1422.0,1425.0,1394.0,1400.0,1135,1645056000
ok,1399.0,1410.0,1349.0,1382.0,770,1645315200
ok,1400.0,1430.0,1380.0,1385.5,1356,1645401600
ok,1380.0,1425.0,1380.0,1403.0,1260,1645488000
ok,1420.0,1448.0,1403.0,1432.0,935,1645574400
ok,1420.0,1420.0,1390.2,1393.0,754,1645660800
ok,1393.0,1395.0,1376.0,1377.2,300,1645920000
ok,1400.0,1404.7,1357.3,1358.1,753,1646006400
ok,1333.0,1359.0,1301.0,1307.0,651,1646179200
ok,1333.0,1345.0,1311.0,1334.9,455,1646524800
ok,1340.0,1352.0,1321.0,1349.0,300,1646611200
ok,1336.0,1345.0,1333.0,1335.0,471,1646784000
ok,1316.1,1350.0,1316.1,1350.0,470,1646870400
ok,1340.0,1394.0,1340.0,1394.0,633,1647129600
ok,1421.0,1430.0,1366.2,1390.0,250,1647216000
ok,1375.0,1380.2,1366.0,1370.1,590,1647302400
ok,1395.0,1410.0,1382.0,1390.0,695,1647388800
ok,1389.0,1389.0,1363.0,1380.0,480,1647734400
ok,1390.0,1390.0,1362.0,1375.0,395,1647820800
ok,1400.0,1400.0,1368.0,1369.0,670,1647907200
ok,1351.1,1374.0,1351.1,1374.0,1537,1647993600
ok,1350.1,1460.0,1350.1,1414.0,1200,1648080000
ok,1386.1,1390.0,1350.0,1390.0,1043,1648339200
ok,1365.0,1369.9,1340.0,1367.9,510,1648425600
ok,1360.0,1360.0,1327.1,1340.0,410,1648512000
ok,1315.1,1400.0,1315.1,1369.0,1385,1648598400
ok,1350.0,1355.0,1330.1,1330.1,450,1648684800
ok,1312.0,1380.0,1312.0,1343.0,1063,1648944000
ok,1319.2,1340.0,1317.0,1318.0,485,1649030400
ok,1339.5,1340.0,1270.5,1281.5,536,1649116800
ok,1281.5,1292.0,1261.2,1292.0,305,1649203200
ok,1266.2,1310.6,1266.2,1295.0,850,1649289600
ok,1302.0,1302.0,1275.0,1275.0,680,1649635200
ok,1260.0,1265.0,1245.0,1250.0,705,1649721600
ok,1250.0,1269.0,1205.0,1268.0,1040,1649808000
ok,1250.0,1259.0,1232.0,1259.0,630,1650153600
ok,1233.9,1233.9,1200.0,1205.0,534,1650240000
ok,1183.0,1216.0,1183.0,1205.0,220,1650326400
ok,1181.1,1201.0,1177.0,1177.0,480,1650412800
ok,1154.0,1200.0,1154.0,1198.0,280,1650499200
ok,1174.1,1270.0,1170.0,1250.0,630,1650758400
ok,1235.0,1259.7,1227.0,1244.0,375,1650844800
ok,1221.0,1221.0,1188.1,1220.0,925,1650931200
ok,1196.0,1200.0,1174.0,1182.0,320,1651017600
ok,1187.0,1229.1,1187.0,1216.0,540,1651104000
ok,1192.0,1200.0,1171.0,1190.0,416,1651449600
ok,1190.0,1207.0,1170.0,1200.0,815,1651622400
ok,1176.0,1200.0,1165.0,1192.0,485,1651708800
ok,1170.0,1196.0,1170.0,1176.0,250,1651968000
ok,1166.0,1217.0,1166.0,1189.0,375,1652054400
ok,1185.0,1215.0,1185.0,1200.0,554,1652140800
ok,1200.0,1239.9,1200.0,1239.9,100,1652227200
ok,1264.0,1264.0,1205.0,1207.0,268,1652313600
ok,1185.1,1202.0,1176.0,1176.0,551,1652745600
ok,1160.0,1193.0,1160.0,1170.0,160,1652832000
ok,1160.0,1192.0,1149.0,1170.0,382,1652918400
ok,1185.0,1185.0,1155.0,1158.0,300,1653004800
ok,1140.0,1160.0,1140.0,1141.1,410,1653264000
ok,1125.0,1145.0,1125.0,1145.0,253,1653350400
ok,1141.0,1170.0,1136.0,1150.0,315,1653436800
ok,1150.0,1158.0,1130.0,1158.0,180,1653523200
ok,1141.0,1150.0,1140.0,1150.0,130,1653609600
ok,1127.0,1148.9,1127.0,1148.9,120,1653868800
ok,1130.0,1165.0,1115.0,1165.0,170,1653955200
ok,1165.0,1165.0,1105.1,1110.0,120,1654041600
ok,1110.0,1120.0,1100.0,1102.0,346,1654128000
ok,1100.0,1102.0,1080.0,1080.0,682,1654214400
