s,o,h,l,c,v,t
ok,201.32,205.0,201.32,205.0,30,1615852800
ok,64.35,205.0,205.0,205.0,4,1615939200
ok,205.0,205.0,205.0,205.0,1,1616025600
ok,202.24,212.81,202.24,212.81,31,1616371200
ok,216.95,225.22,216.95,225.22,30,1616457600
ok,229.36,233.5,229.36,233.5,20,1616544000
ok,238.09,247.29,238.09,247.29,30,1616630400
ok,259.24,271.65,259.24,271.65,50,1616976000
ok,276.7,276.7,276.7,276.7,10,1617062400
ok,282.22,304.28,282.22,304.28,50,1617148800
ok,319.45,325.42,319.45,325.42,20,1617235200
ok,331.86,338.29,331.86,338.29,20,1617494400
ok,330.02,351.62,330.02,351.62,32,1617580800
ok,358.52,386.56,358.52,386.56,50,1617667200
ok,393.91,425.17,393.91,425.17,60,1617753600
ok,433.44,467.45,433.44,467.45,90,1618185600
ok,476.64,505.14,476.64,505.14,50,1618272000
ok,514.79,555.24,514.79,555.24,70,1618444800
ok,566.27,610.4,566.27,610.4,80,1618704000
ok,622.35,671.07,622.35,671.07,120,1618790400
ok,684.4,738.18,684.4,738.18,120,1618876800
ok,774.95,811.72,774.95,811.72,270,1618963200
ok,827.81,892.62,827.81,892.62,370,1619049600
ok,910.08,981.79,910.08,981.79,1025,1619308800
ok,1001.09,1079.69,1001.09,1079.69,1231,1619395200
ok,1133.47,1187.25,1133.47,1187.25,1390,1619481600
ok,1271.36,1305.83,1271.36,1305.83,1280,1619568000
ok,1369.26,1436.37,1369.26,1436.37,1850,1619654400
ok,1508.07,1579.78,1508.07,1579.78,1810,1619913600
ok,1658.37,1737.43,1658.37,1737.43,2420,1620000000
ok,1824.3,1911.17,1824.3,1911.17,2430,1620086400
ok,2006.32,2101.92,2006.32,2101.92,2245,1620172800
ok,2206.72,2311.98,2206.72,2311.98,12843,1620259200
ok,2427.35,2524.79,2080.78,2080.78,51088,1620518400
ok,2022.41,2226.95,1959.44,2160.3,28160,1620604800
ok,2160.3,2206.26,2137.32,2171.79,6971,1620691200
ok,2160.3,2160.3,2137.78,2146.51,6316,1620777600
ok,2146.51,2146.51,2106.98,2107.44,9166,1620864000
ok,2100.55,2141.91,2095.95,2140.53,11595,1621123200
ok,2137.32,2143.75,2116.63,2131.8,7610,1621209600
ok,2123.53,2144.21,2123.53,2135.02,8135,1621296000
ok,2147.89,2148.35,2104.22,2114.33,6930,1621382400
ok,2082.16,2137.32,2082.16,2121.23,8460,1621468800
ok,2079.86,2122.61,2079.86,2109.74,4561,1621728000
ok,2098.25,2123.53,2098.25,2106.52,5060,1621814400
ok,2105.14,2114.33,2096.41,2101.01,3725,1621900800
ok,2068.37,2070.21,2016.89,2022.41,12727,1622073600
ok,2022.41,2061.02,1977.82,1994.37,5070,1622332800
ok,1983.34,2022.41,1982.88,1986.56,4288,1622419200
ok,1976.44,1999.43,1971.85,1978.74,3375,1622505600
ok,1978.74,1990.23,1964.03,1985.64,3588,1622592000
ok,1985.64,2184.2,1985.64,2184.2,13953,1622678400
ok,2293.13,2402.53,2293.13,2402.53,19299,1622937600
ok,2522.49,2642.46,2297.73,2477.45,39837,1623024000
ok,2528.01,2573.97,2413.1,2435.62,7851,1623110400
ok,2555.59,2555.59,2321.17,2404.83,5274,1623196800
ok,2413.1,2449.87,2367.14,2384.6,5106,1623283200
ok,2384.6,2482.05,2344.61,2345.07,4948,1623542400
ok,2376.33,2376.33,2321.17,2321.17,5019,1623628800
ok,2344.15,2436.08,2299.11,2311.98,4994,1623715200
ok,2311.98,2437.92,2240.74,2314.28,7023,1623801600
ok,2360.24,2407.12,2298.19,2300.03,3842,1623888000
ok,2344.15,2344.15,2183.28,2224.65,7297,1624147200
ok,2190.18,2268.77,2162.14,2174.09,4168,1624233600
ok,2206.26,2224.65,2162.6,2206.26,3538,1624320000
ok,2169.49,2212.7,2130.42,2146.51,2396,1624406400
ok,2146.51,2212.7,2132.72,2146.51,2422,1624492800
ok,2183.28,2189.26,2107.44,2141.91,1252,1624752000
ok,2114.79,2210.86,2114.79,2206.26,3633,1624838400
ok,2316.58,2316.58,2169.95,2174.09,2746,1624924800
ok,2160.3,2198.91,2141.91,2192.47,1270,1625011200
ok,2160.3,2183.28,2137.32,2159.84,1644,1625097600
ok,2146.51,2192.47,2137.32,2137.32,1675,1625356800
ok,2137.32,2183.28,2126.29,2160.3,2880,1625443200
ok,2160.3,2169.49,2128.12,2160.3,2873,1625529600
ok,2164.9,2209.48,2164.9,2197.07,2063,1625616000
ok,2169.95,2206.72,2169.95,2206.26,2429,1625702400
ok,2247.63,2334.5,2229.24,2323.93,7027,1625961600
ok,2366.68,2387.82,2279.8,2298.19,5188,1626048000
