s,o,h,l,c,v,t
ok,303.91,303.91,303.91,303.91,10,1503792000
ok,303.91,309.63,309.63,309.63,100,1504137600
ok,315.53,321.42,315.53,321.42,110,1507420800
ok,327.5,327.5,327.5,327.5,10,1509235200
ok,333.75,340.01,333.75,340.01,30,1509840000
ok,340.01,366.63,346.44,366.63,40,1509926400
ok,373.59,380.74,373.59,380.74,20,1510099200
ok,380.83,388.07,388.07,388.07,10,1511049600
ok,395.3,402.81,395.3,402.81,20,1512518400
ok,410.58,418.35,410.58,418.35,20,1512864000
ok,426.39,434.43,426.39,434.43,20,1512950400
ok,442.74,451.32,442.74,451.32,20,1513036800
ok,459.89,477.58,459.89,477.58,30,1513123200
ok,486.69,486.69,486.69,486.69,10,1513209600
ok,505.72,525.28,505.72,525.28,30,1513468800
ok,550.74,550.74,550.74,550.74,10,1513555200
ok,561.46,572.18,561.46,572.18,120,1513728000
ok,583.17,605.95,583.17,605.95,35,1513814400
ok,635.43,660.36,635.43,660.36,30,1514073600
ok,673.22,724.95,673.22,724.95,60,1514246400
ok,739.15,795.97,739.15,795.97,170,1514332800
ok,811.51,874.22,811.51,874.22,880,1514419200
ok,891.38,908.8,840.45,857.61,5336,1514678400
ok,845.01,860.29,845.01,857.61,2071,1514764800
ok,844.21,845.55,828.13,841.53,1540,1514851200
ok,827.59,843.67,817.94,822.77,955,1514937600
ok,822.77,822.77,810.17,812.58,520,1515024000
ok,799.99,830.81,799.99,813.39,360,1515283200
ok,817.14,829.2,816.87,818.75,591,1515369600
ok,818.75,818.48,809.63,814.73,250,1515456000
ok,805.35,808.03,804.27,804.27,270,1515542400
ok,791.14,812.05,777.74,795.97,500,1515888000
ok,791.95,817.41,790.61,817.41,370,1516060800
ok,817.41,817.41,798.65,801.86,243,1516147200
ok,804.01,804.01,791.14,791.95,260,1516492800
ok,791.95,791.95,783.91,787.93,130,1516579200
ok,785.25,790.34,775.87,777.47,320,1516665600
ok,792.48,792.48,771.85,773.45,270,1516752000
ok,773.45,787.93,772.92,785.25,190,1516838400
ok,773.72,779.89,773.72,775.6,220,1517097600
ok,775.33,777.21,772.11,776.94,120,1517184000
ok,777.21,782.57,777.21,782.57,100,1517356800
ok,790.61,790.61,776.67,776.67,50,1517443200
ok,791.68,801.33,781.23,790.61,280,1517702400
