s,o,h,l,c,v,t
ok,1845.45,1846.12,1827.97,1832.52,40494600.0,1509494400
ok,1832.52,1832.71,1813.99,1818.26,44623800.0,1509580800
ok,1818.26,1822.12,1781.66,1787.67,73344496.0,1509840000
ok,1787.67,1805.88,1775.88,1776.45,59516100.0,1509926400
ok,1776.45,1790.65,1758.34,1758.78,51459200.0,1510012800
ok,1758.78,1759.61,1727.16,1737.2,55760000.0,1510099200
ok,1737.2,1758.57,1718.27,1738.5,79774304.0,1510185600
ok,1738.5,1743.17,1716.67,1739.78,40810600.0,1510444800
ok,1739.78,1750.87,1728.51,1750.77,51062200.0,1510531200
ok,1750.77,1817.77,1750.14,1809.62,72696704.0,1510617600
ok,1809.62,1821.54,1789.14,1791.48,85170704.0,1510704000
ok,1791.48,1791.25,1771.25,1777.7,45789700.0,1510790400
ok,1777.7,1777.7,1745.25,1752.83,34177500.0,1511049600
ok,1752.83,1754.09,1740.61,1742.07,32349900.0,1511136000
ok,1742.07,1753.76,1736.49,1745.36,32723400.0,1511222400
ok,1742.07,1758.8,1743.73,1751.96,0.0,1511308800
ok,1751.96,1777.97,1751.78,1776.35,65635300.0,1511395200
ok,1776.35,1806.13,1776.35,1804.87,66891500.0,1511654400
ok,1804.87,1816.72,1798.92,1802.08,88553504.0,1511740800
ok,1802.08,1815.95,1798.23,1815.95,114906000.0,1511827200
ok,1815.95,1875.75,1814.25,1857.57,136644000.0,1511913600
ok,1857.57,1864.76,1840.57,1863.64,94417504.0,1512000000
ok,1863.64,1877.13,1842.18,1843.58,75419696.0,1512345600
ok,1843.58,1853.3,1835.26,1850.19,35471100.0,1512432000
ok,1850.19,1874.77,1849.52,1874.77,77257696.0,1512518400
ok,1874.77,1901.53,1853.58,1854.43,73264704.0,1512864000
ok,1854.43,1856.72,1845.42,1848.96,41989000.0,1512950400
ok,1848.96,1849.36,1826.15,1828.33,51899600.0,1513036800
ok,1828.33,1842.91,1820.31,1842.89,31193700.0,1513123200
ok,1842.89,1845.48,1837.18,1845.48,72623400.0,1513209600
ok,1845.48,1847.12,1831.19,1833.02,105989000.0,1513468800
ok,1833.02,1841.97,1828.8,1830.98,74447000.0,1513555200
ok,1833.02,1833.22,1809.58,1810.75,51964800.0,1513641600
ok,1810.75,1812.19,1797.11,1803.13,42607500.0,1513728000
ok,1803.13,1807.23,1781.32,1782.08,42849900.0,1513814400
ok,1782.08,1797.89,1778.12,1778.73,68418200.0,1514073600
ok,1778.73,1778.26,1744.54,1746.06,55520800.0,1514246400
ok,1746.06,1746.01,1716.7,1722.34,50564500.0,1514332800
ok,1722.34,1742.45,1708.84,1719.25,53549600.0,1514419200
ok,1719.25,1720.55,1675.59,1681.73,65363900.0,1514678400
ok,1386.33,1392.66,1378.59,1389.16,27514600.0,1514764800
ok,1751.2,1766.17,1731.83,1742.94,74621200.0,1514851200
ok,1742.94,1745.02,1712.3,1716.26,50646500.0,1514937600
ok,1716.26,1725.29,1705.97,1724.54,41762000.0,1515024000
ok,1724.54,1752.43,1722.61,1745.14,28624900.0,1515283200
ok,1745.14,1753.72,1740.12,1747.99,49410300.0,1515369600
ok,1747.99,1769.35,1747.76,1765.94,41413000.0,1515456000
ok,1765.94,1765.94,1739.49,1741.97,47036800.0,1515542400
ok,1741.97,1744.33,1711.62,1715.67,51281900.0,1515888000
ok,1715.67,1719.43,1693.47,1697.97,33859400.0,1516060800
ok,1697.97,1706.46,1687.28,1701.98,29166200.0,1516147200
ok,1701.98,1702.87,1688.34,1689.81,50106400.0,1516492800
ok,1689.81,1689.81,1675.35,1676.52,56288400.0,1516579200
ok,1676.52,1677.79,1664.61,1667.31,35202900.0,1516665600
ok,1667.31,1671.99,1660.15,1664.69,22640700.0,1516752000
ok,1664.69,1687.12,1664.69,1687.12,35981200.0,1516838400
ok,1687.12,1691.34,1679.62,1681.67,26356400.0,1517097600
ok,1681.67,1685.49,1671.51,1678.09,21591600.0,1517184000
ok,1678.09,1686.13,1672.98,1686.13,22153700.0,1517356800
ok,1686.13,1700.87,1686.22,1698.54,32898200.0,1517443200
