s,o,h,l,c,v,t
ok,229.58,229.58,229.58,229.58,10,1534982400
ok,239.13,247.04,239.13,247.04,30,1535587200
ok,251.32,251.32,251.32,251.32,10,1535932800
ok,255.6,259.88,255.6,259.88,20,1536019200
ok,264.16,264.16,264.16,264.16,10,1536451200
ok,268.77,268.77,268.77,268.77,10,1536796800
ok,273.39,273.39,273.39,273.39,10,1537056000
ok,285.24,285.24,285.24,285.24,10,1537228800
ok,290.18,295.13,290.18,295.13,20,1537833600
ok,300.07,305.34,300.07,305.34,20,1538006400
ok,310.61,310.61,310.61,310.61,10,1538265600
ok,315.88,338.27,315.88,338.27,60,1538352000
ok,344.2,368.58,344.2,368.58,110,1538438400
ok,375.16,401.84,375.16,401.84,270,1538524800
ok,409.09,438.74,409.09,438.74,120,1538611200
ok,446.64,479.25,446.64,479.25,380,1538870400
ok,488.14,523.72,488.14,523.72,2640,1538956800
ok,533.27,572.79,533.27,540.84,24470,1539043200
ok,540.18,540.18,523.72,524.7,5250,1539129600
ok,515.15,522.4,507.25,521.41,3040,1539216000
ok,523.72,543.48,523.72,543.48,3020,1539475200
ok,544.14,556.65,533.6,545.13,3630,1539561600
ok,535.24,540.18,535.24,537.55,1160,1540080000
ok,536.89,543.48,536.56,537.88,1480,1540166400
ok,536.89,537.88,524.04,525.69,3890,1540252800
ok,525.69,530.3,520.42,522.73,2630,1540339200
ok,516.47,530.3,516.47,522.07,1870,1540425600
ok,523.72,527.01,513.83,513.83,2710,1540684800
ok,504.28,513.83,501.65,510.54,1290,1540771200
ok,510.54,515.48,502.64,508.89,1600,1540857600
ok,502.96,508.89,502.96,505.93,770,1540944000
ok,496.71,509.88,490.78,500.66,1110,1541030400
ok,491.44,503.95,491.44,497.04,1500,1541289600
ok,494.4,529.97,494.07,520.42,1120,1541376000
ok,496.38,499.01,487.81,495.72,1080,1542153600
ok,495.72,499.34,494.73,494.73,1380,1542240000
ok,495.72,504.94,490.78,491.44,1430,1542499200
ok,491.44,492.42,482.54,484.19,1060,1542585600
ok,485.18,487.48,477.6,478.26,3450,1542672000
ok,479.25,480.9,471.01,478.26,3550,1542758400
ok,478.26,484.19,477.6,479.25,6155,1542844800
ok,480.9,487.48,471.67,480.9,1105,1543104000
ok,480.9,503.95,480.9,499.34,1620,1543190400
ok,499.34,503.95,490.12,497.36,2446,1543276800
ok,497.36,500.66,474.97,478.92,550,1543363200
ok,478.92,478.92,471.01,471.67,880,1543449600
ok,471.67,493.41,468.38,471.01,5075,1543708800
ok,471.01,480.24,451.25,451.25,3240,1543881600
ok,438.08,451.25,438.08,451.25,1300,1544054400
ok,451.25,463.11,451.25,461.13,850,1544313600
ok,461.13,487.48,461.13,478.26,1660,1544400000
ok,478.26,480.9,471.67,472.99,1020,1544486400
ok,472.99,474.31,464.43,474.31,190,1544572800
ok,474.31,483.53,474.31,478.26,1146,1544659200
ok,478.26,497.36,478.26,493.41,1550,1544918400
ok,493.41,510.54,488.8,509.88,1770,1545004800
ok,509.88,514.49,497.36,507.25,1700,1545091200
ok,507.25,507.25,493.41,497.36,460,1545177600
ok,497.36,512.52,488.8,495.39,1000,1545264000
ok,495.39,525.03,495.39,510.54,1420,1545523200
ok,510.54,513.83,500.66,501.98,640,1545609600
ok,501.98,503.95,497.36,500.66,740,1545696000
ok,500.66,520.42,494.07,520.42,2190,1545782400
ok,520.42,543.48,508.56,508.56,3921,1545868800
ok,508.56,533.6,508.56,521.74,1409,1546128000
ok,521.74,521.74,515.15,517.13,1760,1546214400
ok,517.13,520.42,507.25,515.15,500,1546300800
ok,515.15,525.69,507.25,517.79,1814,1546387200
ok,517.79,525.69,510.54,518.45,650,1546473600
ok,518.45,527.01,510.54,523.72,1365,1546732800
ok,523.72,523.72,514.49,523.72,310,1546819200
ok,523.72,523.72,513.83,523.72,525,1546905600
ok,523.72,527.67,523.72,525.69,1065,1546992000
ok,525.69,530.3,518.45,524.37,520,1547078400
ok,524.37,527.01,514.49,523.72,470,1547337600
ok,523.72,527.01,518.45,527.01,420,1547424000
ok,527.01,537.55,527.01,533.6,440,1547510400
ok,533.6,536.89,527.67,527.67,820,1547596800
ok,527.67,532.28,525.03,525.03,770,1547683200
ok,525.03,527.01,507.91,521.08,310,1547942400
ok,521.08,527.01,515.15,516.47,740,1548028800
ok,516.47,523.72,507.25,523.72,470,1548115200
ok,523.72,523.72,514.49,519.1,490,1548201600
ok,519.1,522.4,517.13,520.42,550,1548288000
ok,520.42,520.42,510.54,511.2,1410,1548547200
ok,511.2,520.42,505.27,511.86,300,1548633600
ok,511.86,522.4,503.29,515.15,1450,1548720000
ok,515.15,519.1,513.83,515.81,380,1548806400
ok,515.81,522.4,515.15,520.42,505,1548892800
ok,515.81,520.42,511.86,517.79,300,1549152000
ok,513.83,517.79,513.83,515.81,360,1549238400
ok,515.81,525.69,513.83,515.15,785,1549324800
ok,507.25,515.15,507.25,513.83,710,1549411200
ok,513.83,513.83,507.91,513.83,270,1549497600
ok,523.72,523.72,503.95,503.95,540,1549756800
ok,507.25,510.54,500.0,509.88,200,1549843200
ok,519.76,519.76,503.95,505.93,540,1549929600
ok,506.59,506.59,496.71,502.64,935,1550016000
