s,o,h,l,c,v,t
ok,2833.26,2887.53,2792.12,2812.25,8671,1641081600
ok,654.44,694.35,654.44,694.35,110,1648425600
ok,694.35,763.76,694.35,763.76,104,1648512000
ok,763.76,840.09,763.76,840.09,112,1648598400
ok,840.09,924.03,840.09,924.03,96,1648684800
ok,917.02,1016.37,917.02,1016.37,148,1648944000
ok,1015.93,1117.99,1015.93,1117.99,146,1649030400
ok,1117.99,1229.76,1117.99,1229.76,145,1649116800
ok,1226.0,1352.74,1226.0,1352.74,204,1649203200
ok,1352.74,1487.96,1352.74,1487.96,353,1649289600
ok,1517.72,1636.76,1517.72,1636.76,471,1649635200
ok,1618.99,1800.44,1618.99,1800.44,724,1649721600
ok,1771.29,1980.48,1771.29,1980.48,765,1649808000
ok,2020.04,2178.47,2020.04,2178.47,1300,1650153600
ok,2221.97,2396.24,2221.97,2396.24,1428,1650240000
ok,2444.11,2635.8,2444.11,2635.8,3871,1650326400
ok,2688.49,2899.34,2372.25,2372.25,50565,1650412800
ok,2324.81,2494.53,2146.17,2450.77,41189,1650499200
ok,2450.77,2463.02,2358.86,2380.83,18523,1650758400
ok,2363.24,2398.25,2312.47,2320.35,18085,1650844800
ok,2293.22,2379.87,2284.55,2337.07,11409,1650931200
ok,2317.72,2363.24,2317.72,2334.44,5666,1651017600
ok,2332.6,2371.99,2319.47,2323.85,10171,1651104000
ok,2301.97,2319.47,2231.95,2241.66,8862,1651449600
ok,2207.44,2251.73,2198.69,2203.06,7040,1651622400
ok,2188.18,2202.19,2170.68,2172.52,8502,1651708800
ok,2144.42,2212.69,2144.42,2212.69,7185,1651968000
ok,2212.69,2275.71,2210.07,2214.44,7140,1652054400
ok,2221.44,2318.6,2214.53,2308.97,6983,1652140800
ok,2319.47,2354.4,2264.33,2285.34,5825,1652227200
ok,2285.34,2285.34,2240.7,2253.83,8371,1652313600
ok,2274.84,2274.84,2187.31,2188.18,5327,1652745600
ok,2231.95,2276.59,2127.79,2149.67,7601,1652832000
ok,2144.42,2186.43,2122.54,2122.54,4008,1652918400
ok,2100.74,2142.67,2100.66,2105.91,3249,1653004800
ok,2085.78,2085.78,2035.01,2043.76,8576,1653264000
ok,2014.88,2074.4,2014.0,2017.51,4027,1653350400
ok,2017.51,2071.77,2017.51,2042.01,3154,1653436800
ok,2014.18,2082.28,2014.18,2065.65,2585,1653523200
ok,2065.65,2074.4,2036.76,2048.14,2306,1653609600
ok,2039.39,2052.52,2004.38,2008.75,3059,1653868800
ok,1973.74,2049.02,1951.86,1979.87,4393,1653955200
ok,1970.33,2004.38,1970.33,1978.12,2840,1654041600
ok,1995.62,2021.88,1929.98,1938.73,4530,1654128000
ok,1926.48,1933.48,1913.35,1921.23,3050,1654214400
ok,1943.11,1960.61,1922.1,1936.19,3164,1654473600
ok,1918.6,1943.11,1890.59,1900.74,3883,1654560000
ok,1908.1,1999.12,1890.59,1969.37,6880,1654646400
ok,1969.37,2007.88,1934.35,1934.35,3993,1654732800
ok,1934.35,1964.03,1916.85,1930.85,2718,1654819200
ok,1917.72,1951.86,1916.85,1934.35,1665,1655078400
ok,1908.1,1968.49,1901.09,1901.97,4952,1655164800
ok,1882.71,1901.97,1843.33,1856.46,3833,1655251200
ok,1855.58,1908.1,1846.83,1864.33,2641,1655337600
ok,1901.09,1901.09,1852.08,1855.58,937,1655424000
ok,1842.45,1864.33,1821.44,1829.32,3175,1655596800
ok,1792.74,1820.57,1792.74,1801.4,3950,1655683200
ok,1794.31,1837.2,1765.51,1790.81,2885,1655769600
ok,1755.8,1795.19,1755.8,1762.89,2573,1655856000
ok,1759.3,1763.68,1706.78,1713.79,2949,1655942400
ok,1681.4,1748.01,1623.81,1719.04,9663,1656028800
ok,1719.04,1811.73,1684.9,1810.07,6931,1656201600
ok,1845.34,1845.34,1724.29,1759.3,2445,1656288000
ok,1724.29,1759.3,1716.41,1740.92,2534,1656374400
ok,1740.92,1807.44,1715.71,1794.31,4427,1656460800
ok,1786.43,1920.35,1786.43,1877.46,5754,1656547200
ok,1877.55,1890.59,1846.91,1875.71,3070,1656633600
ok,1851.2,2063.28,1848.58,2063.28,10473,1656806400
ok,2100.66,2188.18,2031.51,2077.9,13957,1656892800
ok,2036.41,2147.05,2036.41,2061.27,9451,1656979200
ok,2056.89,2118.16,2021.88,2118.16,5496,1657065600
ok,2118.16,2160.18,2030.63,2048.14,9593,1657152000
ok,2017.51,2030.63,1929.98,1982.49,3950,1657238400
ok,1942.84,1968.49,1899.69,1902.84,3256,1657497600
ok,1939.61,1940.48,1884.46,1884.55,3237,1657584000
ok,1912.47,1978.38,1899.34,1964.9,3643,1657670400
ok,2004.03,2033.26,1987.75,2004.38,3947,1657756800
ok,1986.96,2013.13,1969.45,1995.62,1472,1657843200
ok,1986.87,2021.88,1978.12,2013.13,2803,1658016000
ok,2013.13,2062.14,2004.38,2048.14,4626,1658102400
ok,2048.14,2131.9,2048.14,2116.41,9520,1658188800
ok,2091.9,2118.16,2090.15,2096.28,4494,1658275200
ok,2074.4,2113.79,2074.4,2091.9,3374,1658361600
ok,2100.66,2100.66,2056.89,2056.89,3226,1658448000
ok,2098.03,2122.54,2035.89,2119.91,6711,1658620800
ok,2126.91,2266.87,2126.91,2258.21,14307,1658707200
ok,2266.96,2353.61,2187.31,2263.63,19568,1658793600
ok,2232.04,2489.98,2205.69,2489.28,31389,1658880000
ok,2538.99,2625.82,2440.26,2512.04,15530,1658966400
ok,2538.29,2586.43,2468.27,2547.05,9591,1659052800
ok,2580.31,2659.96,2538.29,2623.19,17653,1659225600
ok,2623.19,2722.98,2560.18,2564.55,15727,1659312000
ok,2564.55,2821.01,2521.66,2739.61,24113,1659398400
ok,2793.87,2844.64,2652.08,2678.34,9675,1659484800
