s,o,h,l,c,v,t
ok,331.0,364.0,331.0,364.0,230,1594252800
ok,371.0,400.0,371.0,400.0,260,1594512000
ok,408.0,440.0,408.0,440.0,400,1594598400
ok,448.0,484.0,448.0,484.0,250,1594684800
ok,508.0,532.0,508.0,532.0,1050,1594771200
ok,542.0,585.0,542.0,585.0,1170,1594857600
ok,614.0,626.0,614.0,626.0,20,1595116800
ok,657.0,688.0,657.0,688.0,8160,1595203200
ok,722.0,756.0,722.0,756.0,38948,1595289600
ok,793.0,831.0,793.0,805.0,221826,1595376000
ok,820.0,820.0,781.0,793.0,89223,1595462400
ok,795.0,795.0,775.0,781.0,80655,1595721600
ok,780.0,855.0,780.0,820.0,93959,1595808000
ok,811.0,839.0,810.0,830.0,59825,1595894400
ok,840.0,840.0,807.0,812.0,53350,1595980800
ok,812.0,820.0,800.0,806.0,44120,1596067200
ok,810.0,810.0,783.0,787.0,52090,1596326400
ok,775.0,799.0,772.0,787.0,29520,1596412800
ok,785.0,785.0,768.0,772.0,28956,1596585600
ok,775.0,775.0,760.0,763.0,27895,1596672000
ok,755.0,764.0,730.0,756.0,43385,1596931200
ok,742.0,795.0,742.0,793.0,34851,1597017600
ok,793.0,793.0,772.0,778.0,30656,1597104000
ok,775.0,780.0,765.0,767.0,26710,1597190400
ok,753.0,770.0,753.0,759.0,30385,1597276800
ok,759.0,795.0,759.0,795.0,239,1617148800
ok,834.0,874.0,834.0,874.0,431,1617235200
ok,917.0,961.0,917.0,961.0,3440,1617494400
ok,980.0,1057.0,980.0,1057.0,1217,1617580800
ok,1109.0,1162.0,1109.0,1162.0,1052,1617667200
ok,1220.0,1278.0,1220.0,1278.0,1359,1617753600
ok,1297.0,1405.0,1297.0,1405.0,721,1617840000
ok,1545.0,1545.0,1545.0,1545.0,2242,1618185600
ok,1622.0,1699.0,1622.0,1699.0,10426,1618272000
ok,1783.0,1868.0,1783.0,1868.0,269135,1618444800
ok,1961.0,2037.0,1831.0,1899.0,288975,1618704000
ok,1918.0,1940.0,1840.0,1849.0,123334,1618790400
ok,1900.0,1900.0,1802.0,1818.0,85694,1618876800
ok,1900.0,1900.0,1785.0,1793.0,77827,1618963200
ok,1882.0,1885.0,1764.0,1837.0,116471,1619049600
ok,1900.0,1900.0,1761.0,1764.0,71662,1619308800
ok,1750.0,1794.0,1700.0,1701.0,73976,1619395200
ok,1701.0,1760.0,1700.0,1755.0,38917,1619481600
ok,1760.0,1806.0,1718.0,1729.0,28733,1619568000
ok,1730.0,1750.0,1711.0,1726.0,20952,1619654400
ok,1730.0,1748.0,1710.0,1736.0,39847,1619913600
ok,1744.0,1765.0,1721.0,1738.0,28252,1620000000
ok,1738.0,1830.0,1725.0,1809.0,62225,1620086400
ok,1850.0,1910.0,1825.0,1873.0,119789,1620172800
ok,1880.0,1885.0,1820.0,1821.0,48227,1620259200
ok,1821.0,1821.0,1764.0,1769.0,36361,1620518400
ok,1750.0,1800.0,1747.0,1780.0,21338,1620604800
ok,1780.0,1805.0,1771.0,1780.0,25790,1620691200
ok,1786.0,1795.0,1766.0,1773.0,21623,1620777600
ok,1750.0,1800.0,1750.0,1772.0,19962,1620864000
ok,1775.0,1795.0,1775.0,1790.0,29210,1621123200
ok,1790.0,1810.0,1780.0,1783.0,29173,1621209600
ok,1800.0,1800.0,1780.0,1790.0,39058,1621296000
ok,1800.0,1836.0,1781.0,1798.0,66643,1621382400
ok,1800.0,1820.0,1776.0,1783.0,31918,1621468800
ok,1750.0,1793.0,1750.0,1780.0,33784,1621728000
ok,1780.0,1790.0,1760.0,1762.0,35799,1621814400
ok,1780.0,1785.0,1758.0,1758.0,23995,1621900800
ok,1671.0,1733.0,1607.0,1673.0,111261,1622073600
ok,1670.0,1700.0,1655.0,1658.0,41047,1622332800
ok,1655.0,1683.0,1644.0,1650.0,43055,1622419200
ok,1650.0,1666.0,1622.0,1633.0,26567,1622505600
ok,1670.0,1670.0,1631.0,1643.0,20574,1622592000
