s,o,h,l,c,v,t
ok,117.85,117.85,117.85,117.85,10,1463443200
ok,171.41,174.02,171.41,174.02,20,1465862400
ok,176.7,187.41,176.7,187.41,70,1465948800
ok,231.53,246.58,231.53,246.58,160,1466553600
ok,301.22,304.09,299.31,301.73,320,1467676800
ok,301.22,306.32,294.85,304.47,470,1467763200
ok,293.57,302.75,293.57,301.22,320,1468454400
ok,272.53,284.33,272.53,284.33,590,1468886400
ok,282.09,282.09,275.78,282.09,490,1468972800
ok,306.45,307.6,299.12,301.54,292,1470787200
ok,306.77,313.91,304.54,304.73,200,1470873600
ok,304.73,308.87,301.35,307.6,275,1471132800
ok,302.5,302.5,296.82,297.08,180,1471219200
ok,297.14,298.67,297.08,297.72,126,1471305600
ok,302.82,305.11,298.23,305.11,252,1471392000
ok,305.05,305.05,297.27,297.27,305,1471737600
ok,302.37,302.37,292.3,292.62,116,1471824000
ok,292.62,295.48,291.66,295.48,180,1471910400
ok,295.48,295.48,294.85,295.48,53,1471996800
ok,292.3,298.03,291.66,298.03,272,1472342400
ok,298.03,298.03,291.66,294.85,468,1472428800
ok,299.95,301.22,298.03,298.67,295,1472515200
ok,295.17,295.17,295.17,295.17,31,1472601600
ok,301.22,301.22,296.38,296.38,250,1472688000
ok,298.03,303.14,296.5,303.14,96,1472947200
ok,303.77,320.35,303.77,307.92,211,1473033600
ok,307.6,313.97,305.37,310.79,308,1473120000
ok,311.42,312.38,311.42,312.38,32,1473206400
ok,312.38,316.53,310.79,310.79,281,1473292800
ok,310.79,317.8,310.79,317.8,1197,1473552000
ok,320.35,325.96,317.16,325.45,505,1473638400
ok,326.66,338.97,324.81,333.17,572,1473811200
ok,328.0,333.1,326.73,326.79,305,1474156800
ok,329.92,331.19,320.99,328.0,1330,1474329600
ok,328.64,329.28,320.48,322.9,835,1474416000
ok,322.9,328.51,321.94,326.09,413,1474502400
ok,322.9,328.51,321.94,326.09,413,1474761600
ok,306.32,317.04,298.1,305.69,289,1474848000
ok,301.22,309.7,301.22,309.64,399,1474934400
ok,307.6,307.6,305.69,305.69,114,1475020800
ok,310.98,320.73,309.64,313.97,465,1475107200
ok,313.97,317.16,310.79,311.42,415,1475366400
ok,316.84,316.84,300.9,306.07,319,1475452800
ok,301.22,305.69,300.97,305.69,195,1475539200
ok,307.6,307.6,302.5,307.6,398,1475625600
ok,304.41,306.96,304.35,306.96,320,1475712000
ok,304.41,306.96,303.39,303.52,99,1476576000
ok,301.22,302.5,298.67,298.67,88,1476662400
ok,298.03,298.03,296.76,296.76,76,1476748800
ok,294.85,296.82,294.85,296.76,103,1476835200
ok,298.03,301.22,295.48,301.22,118,1476921600
ok,301.22,306.32,301.22,302.5,728,1477180800
ok,302.5,309.0,300.9,307.6,1449,1477267200
ok,302.5,311.42,301.22,308.56,791,1477353600
ok,304.41,305.05,301.22,302.82,343,1477440000
ok,308.05,310.79,306.32,309.0,482,1477526400
ok,310.49,338.14,314.87,338.14,2129,1478131200
ok,332.36,368.45,332.36,368.45,454,1478476800
ok,368.45,401.88,368.45,369.54,1334,1478563200
ok,367.2,367.98,361.11,361.11,179,1478649600
ok,367.51,367.51,360.17,360.17,64,1478736000
ok,360.17,360.17,357.05,357.05,330,1478995200
ok,350.64,350.64,346.11,349.23,71,1479081600
ok,355.48,356.26,355.48,355.48,165,1479168000
ok,353.92,353.92,352.36,352.36,92,1479254400
ok,346.11,346.11,333.61,333.61,70,1479340800
ok,339.55,339.55,339.55,339.55,64,1479600000
ok,336.74,336.74,331.27,331.27,353,1479686400
ok,329.24,329.24,329.24,329.24,20,1479772800
ok,330.49,330.49,324.24,324.71,181,1479945600
ok,318.93,318.93,318.93,318.93,11,1480377600
ok,318.93,318.93,314.09,314.09,71,1480464000
ok,319.55,319.55,296.12,296.12,621,1480550400
ok,299.25,300.34,296.12,296.12,656,1480809600
ok,297.68,297.68,290.97,290.97,384,1480896000
ok,286.75,290.65,286.75,290.65,335,1480982400
ok,287.53,287.53,283.62,283.62,47,1481068800
ok,288.62,288.62,288.62,288.62,11,1481155200
ok,283.62,283.62,283.62,283.62,31,1481414400
ok,280.5,280.5,269.1,278.16,163,1481500800
ok,278.16,278.16,278.16,278.16,10,1481673600
ok,278.16,278.16,271.44,275.81,160,1481760000
ok,276.13,276.13,267.22,267.22,33,1482019200
ok,262.69,271.6,262.69,271.6,62,1482105600
ok,271.13,271.13,265.66,267.22,199,1482192000
ok,264.88,271.75,260.19,266.44,908,1482278400
ok,266.44,268.78,263.47,266.44,166,1482364800
ok,266.44,266.44,257.22,261.6,786,1482710400
ok,257.07,257.07,252.69,254.57,387,1482796800
ok,251.6,260.35,251.6,260.35,318,1482883200
ok,263.32,264.88,263.32,264.88,144,1482969600
ok,267.07,267.07,267.07,267.07,50,1483228800
ok,268.0,285.97,268.0,285.97,576,1483315200
ok,288.31,288.31,283.62,283.62,130,1483401600
ok,278.94,278.94,274.1,274.1,110,1483488000
ok,269.57,269.57,266.6,266.6,500,1483574400
ok,262.54,266.91,262.54,264.1,246,1483833600
ok,268.63,276.6,268.63,276.44,170,1484006400
ok,271.91,271.91,271.91,271.91,20,1484611200
ok,268.0,268.0,268.0,268.0,11,1484697600
ok,264.41,265.66,264.41,265.66,71,1484784000
ok,263.32,263.63,263.32,263.32,120,1485043200
ok,262.54,263.32,262.54,263.32,22,1485129600
ok,260.19,262.54,258.79,258.79,83,1485216000
ok,258.63,260.19,258.63,260.19,21,1485302400
ok,261.76,260.97,255.66,255.66,47,1485388800
ok,255.51,255.51,255.51,255.51,11,1485734400
ok,255.51,255.51,255.51,255.51,70,1485820800
ok,259.26,265.66,259.26,265.66,308,1485907200
ok,265.04,267.38,264.88,267.38,91,1485993600
ok,268.0,268.0,268.0,268.0,11,1486339200
ok,268.0,268.78,268.0,268.32,92,1486425600
ok,268.32,268.32,259.41,259.41,133,1486512000
ok,255.04,255.04,247.07,248.01,117,1486598400
ok,243.79,243.79,235.67,235.67,44,1486857600
ok,239.1,239.1,227.23,231.14,206,1486944000
ok,231.45,235.04,231.45,232.07,125,1487030400
ok,235.98,246.13,235.98,246.13,62,1487116800
ok,250.35,254.57,239.1,254.57,291,1487203200
ok,250.82,263.32,250.82,263.32,51,1487462400
ok,267.85,271.91,263.32,263.32,380,1487548800
ok,267.85,267.85,259.41,259.41,41,1487635200
ok,255.51,262.54,255.51,262.54,73,1487721600
ok,258.01,258.01,249.26,249.26,33,1488067200
ok,245.04,252.38,244.57,252.23,332,1488326400
ok,256.44,256.44,254.88,256.44,94,1488412800
ok,253.94,253.94,253.94,253.94,5,1488672000
ok,258.63,258.63,254.26,254.26,21,1488844800
ok,252.38,256.76,252.38,256.76,21,1489363200
ok,260.19,260.19,260.19,260.19,20,1489449600
ok,260.51,260.51,260.51,260.51,61,1489536000
ok,265.04,265.04,264.88,265.04,41,1489622400
ok,265.04,269.57,269.57,269.57,54,1489881600
ok,274.25,285.19,274.25,285.19,94,1489968000
ok,290.19,300.18,283.62,300.18,310,1490054400
ok,305.49,326.74,305.49,326.74,275,1490140800
ok,330.33,330.33,313.93,313.93,333,1490227200
ok,314.87,327.36,314.87,321.43,359,1490486400
ok,321.43,315.8,315.8,315.8,44,1490659200
ok,315.8,318.77,315.8,318.77,394,1490745600
ok,318.77,317.99,314.87,314.87,115,1490832000
ok,320.49,337.83,320.49,337.83,244,1491091200
ok,343.77,343.77,332.05,332.05,415,1491177600
ok,332.05,337.99,330.49,330.49,324,1491264000
ok,330.49,324.71,318.93,318.93,33,1491436800
ok,324.55,328.93,322.68,328.93,545,1491696000
ok,324.4,358.45,324.24,358.45,484,1491782400
ok,364.86,385.01,363.92,379.7,552,1491868800
ok,386.57,414.22,386.57,411.72,1283,1491955200
ok,401.1,410.0,396.1,399.22,613,1492041600
ok,400.78,425.0,400.78,401.1,1141,1492300800
ok,402.35,408.6,392.97,395.32,864,1492473600
ok,395.32,417.19,402.35,417.19,301,1492560000
ok,417.19,417.19,410.16,410.16,62,1492646400
ok,417.66,417.66,410.0,410.0,644,1492905600
ok,410.0,410.0,402.5,408.44,168,1492992000
ok,408.6,416.72,408.44,416.09,484,1493078400
ok,416.72,454.68,416.72,454.68,3048,1493164800
ok,462.96,480.14,461.4,466.71,1152,1493251200
ok,475.3,490.14,459.68,486.7,1260,1493510400
ok,481.23,530.75,472.33,530.75,1582,1493683200
ok,540.6,540.6,494.51,505.45,945,1493769600
ok,496.08,507.01,486.86,502.32,374,1493856000
ok,494.51,494.51,469.52,482.02,145,1494115200
ok,486.7,497.32,479.2,491.39,709,1494201600
ok,491.39,491.7,479.05,483.58,411,1494288000
ok,478.11,498.42,477.49,498.42,159,1494460800
ok,498.42,498.42,478.11,478.11,190,1494806400
ok,478.11,485.45,472.8,482.8,150,1494892800
ok,485.45,486.08,479.67,486.08,61,1494979200
ok,486.08,489.83,463.27,489.83,602,1495065600
ok,497.95,497.95,488.73,488.73,133,1495324800
ok,479.99,486.7,479.99,482.17,314,1495411200
ok,489.05,506.23,489.05,491.39,1396,1495497600
ok,491.39,500.45,475.77,500.45,349,1495584000
ok,500.45,500.45,499.98,499.98,36,1495929600
ok,490.76,490.76,478.89,483.58,274,1496102400
ok,483.58,492.17,483.58,488.26,389,1496188800
ok,493.73,493.73,479.67,479.67,214,1496275200
ok,478.11,478.11,470.92,473.42,133,1496534400
ok,474.21,482.95,474.21,479.2,283,1496620800
ok,488.11,494.36,486.7,486.7,417,1496707200
ok,495.76,504.98,486.86,487.17,964,1496793600
ok,491.39,506.85,483.27,506.85,1689,1496880000
ok,513.26,513.26,489.98,489.98,364,1497139200
ok,482.17,489.83,479.05,480.77,129,1497225600
ok,471.86,480.45,467.96,480.45,510,1497312000
ok,486.7,486.7,460.15,466.71,905,1497398400
ok,469.52,475.14,460.3,466.39,1598,1497484800
ok,466.39,461.71,455.46,455.46,835,1497744000
ok,453.12,455.46,447.34,449.52,517,1497830400
ok,441.4,474.83,441.4,450.3,1421,1497916800
ok,447.65,458.58,446.87,457.8,557,1498003200
ok,457.8,457.8,455.46,455.46,324,1498089600
ok,455.46,463.9,455.46,461.55,507,1498348800
ok,453.9,463.27,453.9,460.15,1898,1498521600
ok,452.8,459.83,449.37,455.46,1206,1498608000
ok,449.21,451.55,448.12,448.12,1136,1498953600
ok,447.65,458.58,447.65,452.34,209,1499040000
ok,459.05,459.05,449.21,457.8,1167,1499126400
ok,450.93,455.46,450.15,455.46,333,1499212800
ok,463.9,469.52,455.46,461.71,1453,1499299200
ok,461.71,465.61,453.9,461.71,2368,1499558400
ok,470.14,472.02,462.49,464.68,2481,1499644800
ok,456.24,477.33,456.24,471.08,6931,1499731200
ok,479.83,479.83,469.99,472.64,875,1499817600
ok,465.61,478.27,465.61,478.27,727,1499904000
ok,473.42,489.83,473.42,487.48,1808,1500163200
ok,487.48,502.01,487.48,496.08,2419,1500249600
ok,505.29,505.29,489.05,494.98,2167,1500336000
ok,497.64,497.64,488.26,488.58,2825,1500422400
ok,481.23,494.04,481.23,486.86,3574,1500508800
ok,492.95,499.04,492.95,493.58,1756,1500768000
ok,485.92,494.51,485.92,490.61,458,1500854400
