s,o,h,l,c,v,t
ok,80.56,80.56,80.56,80.56,10,1486512000
ok,82.16,82.16,82.16,82.16,10,1487030400
ok,83.75,90.28,83.75,90.28,1000,1487462400
ok,92.03,95.53,92.03,95.53,40,1487808000
ok,97.44,97.44,97.44,97.44,10,1489449600
ok,99.35,99.35,99.35,99.35,10,1489968000
ok,101.26,103.17,101.26,105.08,30,1490054400
ok,105.08,105.08,105.08,105.08,19,1491696000
ok,108.27,108.27,108.27,108.27,29,1491868800
ok,110.34,110.34,110.34,110.34,10,1492041600
ok,112.41,112.41,112.41,112.41,10,1493683200
ok,112.41,117.98,117.98,117.98,20,1495065600
ok,120.21,129.76,120.21,129.76,70,1495411200
ok,129.76,137.41,132.31,137.41,30,1495584000
ok,140.11,145.53,140.11,145.53,30,1496102400
ok,148.39,148.39,148.39,148.39,40,1496707200
ok,148.39,148.39,148.39,148.39,10,1496880000
ok,155.72,158.74,155.72,158.74,29,1497225600
ok,161.77,164.95,161.77,164.95,20,1497312000
ok,168.14,168.14,168.14,168.14,10,1497398400
ok,168.14,178.17,168.14,178.17,58,1497484800
ok,181.67,188.83,181.67,188.83,30,1497916800
ok,192.5,196.32,192.5,196.32,30,1498003200
ok,206.03,206.03,206.03,206.03,10,1498521600
ok,210.01,214.15,210.01,214.15,39,1499040000
ok,218.29,218.29,218.29,222.59,39,1499126400
ok,222.59,226.89,222.59,226.89,20,1499212800
ok,231.35,231.35,231.35,231.35,10,1499299200
ok,235.96,240.58,235.96,240.58,20,1499644800
ok,245.36,250.13,245.36,250.13,30,1499817600
ok,262.55,272.9,262.55,272.9,50,1499904000
ok,278.31,283.73,278.31,283.73,20,1500163200
ok,289.3,306.81,289.3,306.81,140,1500249600
ok,312.87,312.87,312.87,312.87,10,1500422400
ok,319.07,319.07,319.07,319.07,20,1500508800
ok,325.44,331.81,325.44,331.81,20,1500940800
ok,338.34,345.03,338.34,345.03,30,1501027200
ok,351.87,366.04,351.87,366.04,30,1501113600
ok,373.21,402.51,373.21,402.51,123,1501372800
ok,410.47,442.63,410.47,442.63,80,1501459200
ok,464.76,486.89,464.76,486.89,152,1501545600
ok,496.6,535.45,496.6,535.45,1369,1501632000
ok,535.45,588.95,546.12,588.95,8523,1501718400
ok,600.57,613.79,581.15,613.79,11155,1501977600
ok,614.59,614.59,598.82,604.24,5405,1502064000
ok,605.03,605.83,597.07,598.82,3152,1502236800
ok,598.82,598.82,592.77,593.09,2559,1502323200
ok,604.87,604.71,566.98,570.0,1769,1502582400
ok,562.04,577.96,557.27,577.96,1928,1502755200
ok,577.96,588.31,567.14,582.74,1838,1502841600
ok,573.19,581.31,573.19,580.03,1551,1502928000
ok,573.19,578.76,573.19,573.35,2129,1503187200
ok,573.19,573.19,565.23,568.57,835,1503273600
ok,568.41,573.19,558.86,568.41,1476,1503360000
ok,559.18,568.41,559.18,567.62,542,1503446400
ok,567.62,572.39,559.02,570.0,1072,1503532800
ok,570.0,581.15,567.62,570.32,1155,1503792000
ok,559.65,578.76,559.65,578.76,1980,1503878400
ok,581.15,586.4,574.94,581.15,2153,1504051200
ok,581.15,581.15,574.14,576.21,658,1504137600
ok,573.98,577.96,572.39,575.1,1114,1504483200
ok,566.02,584.33,566.02,577.96,645,1504656000
ok,577.96,590.7,577.96,580.19,758,1504742400
ok,576.37,576.37,570.16,571.12,2231,1505001600
ok,560.45,582.74,560.45,580.83,1368,1505088000
ok,571.12,582.74,571.12,581.15,1675,1505174400
ok,587.52,587.52,570.32,570.48,1415,1505260800
ok,566.82,566.82,513.32,513.32,1914,1505347200
ok,503.13,522.24,493.1,519.05,3981,1505606400
ok,525.42,539.91,519.21,533.38,1253,1505692800
ok,536.57,536.57,515.07,525.58,253,1505865600
ok,519.05,528.61,519.05,528.61,256,1506211200
ok,528.61,533.38,523.35,533.38,233,1506297600
ok,533.38,533.38,533.22,533.38,62,1506384000
ok,533.38,533.38,528.61,533.38,259,1506988800
ok,530.2,534.98,530.2,532.59,317,1507075200
ok,526.22,526.22,517.46,518.26,551,1507420800
ok,518.26,521.44,517.46,518.26,644,1507507200
ok,517.46,517.46,512.69,512.69,195,1507593600
ok,510.46,519.69,509.66,513.0,580,1507680000
ok,513.0,513.0,508.07,508.23,1028,1507766400
ok,512.69,517.46,507.11,509.5,339,1508025600
ok,514.28,519.69,509.5,512.69,366,1508112000
ok,511.09,515.87,503.13,504.09,768,1508198400
ok,507.91,511.09,503.13,510.3,805,1508630400
ok,510.3,516.67,509.5,516.67,80,1508716800
ok,516.67,515.87,506.63,506.95,76,1508803200
ok,506.95,506.95,493.74,501.38,1809,1508889600
ok,497.56,498.36,495.97,495.97,332,1509235200
ok,486.41,488.8,484.03,484.18,2646,1509321600
ok,482.43,495.17,477.66,495.17,141,1509408000
ok,485.3,485.46,477.66,480.84,186,1509494400
ok,477.66,481.64,471.29,473.04,925,1509580800
ok,462.53,463.33,460.14,463.33,970,1509840000
ok,463.33,471.29,454.09,461.73,1621,1509926400
ok,461.73,461.73,454.57,454.57,379,1510012800
ok,456.96,460.14,448.2,456.96,726,1510099200
ok,457.75,467.79,457.75,459.98,638,1510185600
ok,459.98,461.73,458.55,461.73,115,1510444800
ok,454.41,461.42,454.41,459.35,315,1510531200
ok,460.14,477.66,460.14,474.47,230,1510617600
ok,474.47,477.66,473.68,473.68,441,1510704000
ok,466.51,468.58,466.51,468.42,379,1510790400
ok,468.42,468.26,459.19,468.26,272,1511049600
ok,469.7,469.7,456.96,456.96,120,1511136000
ok,448.2,461.73,448.2,451.7,117,1511222400
ok,451.7,455.37,450.59,454.25,147,1511308800
ok,454.25,463.33,445.97,463.33,150,1511395200
ok,463.33,469.7,463.33,469.7,69,1511654400
ok,469.7,477.5,466.51,466.51,274,1511740800
ok,475.75,480.84,466.51,479.25,2298,1511827200
