s,o,h,l,c,v,t
ok,599.6,646.6,599.6,646.6,864,1716076800
ok,659.5,711.2,659.5,711.2,4504,1716163200
ok,725.4,782.3,725.4,782.3,45318,1716249600
ok,797.9,860.5,782.1,790.0,302424,1716336000
ok,790.0,790.0,750.0,751.0,66898,1716681600
ok,746.9,759.0,736.1,746.0,28805,1716768000
ok,757.0,757.0,714.6,717.9,41973,1716940800
ok,732.2,732.2,689.0,689.0,34156,1717027200
ok,700.0,727.0,691.0,710.1,24091,1717286400
ok,724.3,759.0,706.2,733.0,25396,1717372800
ok,747.0,747.6,726.0,729.0,27975,1717459200
ok,735.0,741.0,720.1,729.8,20251,1717545600
ok,739.0,739.0,721.0,723.7,34501,1717632000
ok,725.0,735.0,710.0,710.0,21502,1717891200
ok,710.0,719.0,705.0,712.0,27636,1717977600
ok,708.2,717.0,703.0,708.0,22691,1718064000
ok,710.0,724.0,710.0,719.0,26382,1718150400
ok,728.0,729.0,709.0,709.0,30497,1718236800
ok,717.0,717.0,688.9,694.0,45306,1718496000
ok,686.2,698.9,686.0,690.0,11911,1718668800
ok,690.0,700.0,681.0,690.0,20335,1718755200
ok,693.4,700.0,685.0,687.0,10374,1718841600
ok,688.0,690.0,678.0,679.0,12840,1719100800
ok,680.0,690.0,676.0,683.0,16379,1719187200
ok,696.0,696.0,680.0,684.5,10789,1719273600
ok,693.0,694.0,670.0,674.0,16848,1719360000
ok,686.8,694.0,667.4,667.4,12464,1719446400
ok,665.0,673.0,661.0,661.0,8064,1719705600
ok,673.0,673.0,660.0,663.0,6071,1719792000
ok,676.2,703.4,664.6,670.0,21736,1719878400
ok,681.0,681.0,665.7,671.2,10352,1719964800
ok,675.0,690.0,671.0,675.0,15117,1720051200
ok,688.5,693.0,680.0,683.0,29961,1720310400
ok,685.0,694.0,685.0,689.0,17860,1720396800
ok,689.0,727.0,688.0,717.0,63311,1720483200
ok,725.0,748.9,725.0,742.5,50750,1720569600
ok,754.0,754.0,722.1,727.1,31884,1720656000
ok,741.6,771.0,726.8,738.0,29390,1720915200
ok,732.0,743.0,718.1,720.2,27095,1721001600
ok,732.8,739.9,718.0,735.0,27151,1721088000
ok,748.0,749.0,731.1,745.0,29609,1721174400
ok,749.0,808.0,745.0,789.0,117794,1721260800
ok,790.0,818.0,777.1,804.5,59640,1721520000
ok,815.0,815.0,785.0,795.0,44495,1721606400
ok,788.0,824.0,788.0,820.0,36574,1721692800
ok,820.0,835.0,795.0,800.0,34855,1721779200
ok,800.0,875.0,800.0,871.0,121125,1721865600
ok,888.4,897.0,839.0,875.0,69494,1722124800
ok,865.0,873.0,845.0,845.0,75029,1722211200
ok,836.1,861.0,832.0,849.0,58275,1722297600
ok,865.9,883.2,849.0,856.0,51722,1722384000
ok,870.0,877.0,845.1,848.2,57961,1722470400
ok,855.0,860.0,840.0,849.0,31873,1722816000
ok,852.0,853.0,791.0,803.0,48155,1722902400
ok,818.9,837.0,805.0,837.0,40375,1722988800
ok,840.0,846.9,814.0,820.0,39574,1723075200
ok,836.4,902.0,836.4,902.0,230828,1723334400
ok,920.0,988.0,920.0,935.1,157868,1723420800
ok,950.0,980.0,901.9,905.1,94514,1723507200
ok,906.0,906.0,867.3,892.0,69168,1723593600
ok,900.0,908.0,882.2,887.9,101113,1723680000
ok,895.0,919.0,870.0,870.0,108548,1723939200
ok,887.4,923.0,880.0,882.0,77656,1724198400
ok,895.0,900.0,883.0,890.0,60642,1724284800
ok,907.8,925.0,880.0,897.0,114157,1724544000
ok,905.0,920.0,863.0,867.0,58777,1724716800
ok,884.3,899.0,849.0,850.0,38206,1724803200
ok,860.0,860.0,820.1,821.0,57646,1724889600
ok,822.0,835.0,820.0,821.0,20365,1725148800
ok,835.0,840.0,819.3,839.0,35711,1725235200
ok,840.0,874.1,838.0,844.0,33027,1725321600
ok,844.0,865.0,820.3,823.0,43034,1725408000
ok,823.0,850.0,807.0,832.0,32840,1725494400
ok,815.4,860.0,815.4,840.0,39485,1725753600
ok,832.1,832.1,811.3,818.0,26814,1725840000
ok,832.0,832.0,795.0,799.0,24157,1725926400
ok,810.0,814.0,785.0,790.0,20592,1726012800
ok,800.0,805.8,786.0,799.0,24714,1726099200
ok,814.9,819.0,777.2,777.2,19825,1726358400
ok,792.0,792.0,755.0,755.2,19459,1726444800
ok,760.0,770.0,750.0,750.5,13600,1726617600
ok,765.5,781.8,757.0,763.0,16610,1726963200
ok,763.0,778.0,746.0,754.0,21663,1727049600
ok,740.0,757.0,735.0,737.0,15411,1727136000
ok,750.0,750.0,735.0,737.0,21930,1727222400
ok,737.0,750.0,723.0,729.0,18081,1727308800
ok,726.0,743.5,719.0,726.0,7936,1727568000
ok,721.0,740.5,716.0,740.0,12784,1727654400
ok,754.8,775.0,746.0,775.0,25095,1727740800
ok,780.0,788.9,761.0,766.1,14866,1727827200
ok,781.0,781.4,770.0,779.0,10091,1728172800
ok,780.0,810.0,780.0,800.0,21077,1728259200
ok,800.0,815.9,783.1,784.0,10613,1728345600
ok,785.0,800.0,780.0,793.9,6707,1728432000
ok,809.7,809.7,788.9,806.0,3326,1728950400
ok,814.0,817.9,803.1,814.0,6520,1729036800
ok,805.5,824.0,805.5,807.2,18737,1729123200
ok,823.3,823.3,775.0,784.0,20385,1729382400
ok,795.0,795.0,760.0,760.1,11900,1729468800
ok,760.0,780.3,760.0,780.0,9605,1729555200
ok,768.0,779.9,760.2,770.0,11958,1729641600
ok,770.0,770.0,756.0,758.0,11822,1729728000
ok,758.0,760.1,750.3,750.3,7520,1729987200
ok,760.0,769.0,755.0,769.0,6102,1730073600
ok,761.0,789.9,761.0,789.9,9745,1730160000
ok,782.3,789.7,770.0,772.0,9138,1730246400
ok,770.0,780.0,766.1,780.0,6593,1730764800
ok,795.6,795.6,766.1,778.0,6297,1730851200
ok,773.0,790.0,773.0,787.0,19673,1731196800
ok,797.0,818.0,791.0,818.0,48255,1731283200
ok,808.0,825.0,807.0,812.0,16220,1731369600
ok,828.2,828.2,789.1,795.0,18767,1731456000
ok,779.1,779.1,750.0,766.3,74964,1731542400
ok,760.1,780.0,760.0,765.0,30423,1731801600
ok,765.0,765.0,740.1,745.0,33029,1731974400
ok,757.0,757.0,736.1,740.0,16239,1732060800
ok,735.0,742.5,714.0,720.0,44113,1732147200
ok,728.0,733.0,717.0,717.0,11858,1732406400
ok,720.0,729.0,717.0,719.0,5533,1732492800
ok,723.1,725.0,714.0,723.0,12184,1732579200
ok,730.0,735.0,724.7,731.5,11501,1732665600
ok,718.1,746.0,718.1,726.0,16171,1732752000
ok,724.0,725.0,712.0,712.0,17419,1733011200
ok,720.0,722.6,706.0,707.0,13540,1733097600
ok,717.0,729.0,706.0,706.0,11804,1733184000
ok,716.0,720.0,705.0,710.0,11020,1733270400
ok,712.0,715.0,698.1,699.9,10528,1733356800
ok,699.9,700.0,686.0,686.1,10362,1733616000
ok,699.0,699.0,677.3,681.0,8672,1733702400
ok,681.0,694.6,680.0,687.0,5714,1733788800
ok,677.0,690.0,676.5,690.0,7153,1733875200
ok,690.0,700.0,687.0,688.1,12990,1733961600
ok,681.0,690.0,670.0,672.0,11168,1734307200
ok,680.0,680.0,668.0,668.0,9845,1734393600
ok,675.0,678.0,663.0,663.0,7738,1734480000
ok,660.1,668.9,660.1,664.0,6857,1734566400
ok,661.0,670.0,655.0,662.0,4994,1734825600
ok,667.9,671.0,660.0,671.0,7991,1734912000
ok,679.9,684.0,675.0,680.0,8707,1734998400
ok,680.0,690.0,673.0,675.0,11659,1735171200
ok,675.0,689.0,675.0,676.0,13459,1735430400
ok,684.0,684.0,645.2,652.0,20921,1735603200
ok,651.0,670.0,650.0,655.0,6670,1735689600
ok,652.0,656.0,650.0,650.4,6818,1735776000
ok,650.0,660.0,641.1,645.0,15232,1736035200
ok,652.0,667.0,646.0,664.7,15594,1736121600
ok,664.7,680.0,658.2,679.8,9738,1736208000
ok,685.0,702.9,683.0,699.0,20252,1736294400
ok,688.0,700.0,682.1,683.0,6512,1736380800
ok,683.0,683.0,660.0,662.0,10467,1736640000
ok,662.0,670.0,650.0,657.0,8046,1736726400
ok,654.0,667.1,651.0,651.0,3921,1736899200
ok,661.0,661.0,652.4,652.4,6055,1736985600
ok,662.0,662.0,652.2,657.9,8598,1737244800
ok,651.1,664.0,650.0,656.7,6097,1737331200
ok,651.0,660.0,648.0,659.0,11099,1737417600
ok,669.0,670.0,660.0,665.0,5141,1737504000
ok,675.0,675.0,661.0,665.7,11412,1737590400
ok,665.7,684.0,665.7,678.9,19252,1737849600
ok,678.0,685.0,670.1,681.2,17559,1737936000
ok,683.1,695.0,683.1,693.0,18852,1738022400
ok,703.0,730.1,692.1,724.3,49794,1738454400
ok,733.0,740.0,711.0,717.1,23862,1738540800
ok,726.0,736.0,711.0,715.0,20167,1738627200
ok,725.0,725.0,713.0,718.0,11506,1738713600
ok,718.5,722.0,707.0,710.1,11522,1738800000
ok,700.0,705.0,691.0,697.9,21032,1739059200
ok,700.0,704.0,686.0,690.0,11923,1739145600
ok,701.0,701.0,680.1,690.0,14578,1739232000
ok,690.3,701.0,685.0,687.0,9479,1739318400
ok,684.2,697.8,683.0,684.5,10713,1739404800
ok,693.0,715.0,683.1,706.0,25650,1739664000
ok,718.9,725.0,710.0,712.0,22959,1739750400
ok,712.0,720.0,700.0,702.0,17598,1739836800
ok,700.0,703.0,695.1,699.0,11679,1740009600
ok,685.1,699.9,673.0,692.0,16776,1740268800
ok,700.0,705.0,685.0,685.0,12838,1740355200
ok,683.1,710.9,683.0,685.1,12368,1740441600
ok,698.8,740.0,693.5,695.1,11574,1740614400
ok,709.0,721.9,701.5,711.0,13549,1740873600
ok,720.0,727.0,711.0,713.0,26734,1740960000
ok,727.2,727.2,699.0,699.0,15033,1741046400
ok,711.0,711.0,691.0,704.0,9965,1741132800
ok,694.1,704.0,694.1,696.1,10004,1741219200
ok,696.0,696.0,683.0,685.0,10623,1741478400
ok,686.2,689.0,680.1,685.0,5764,1741564800
ok,680.5,690.0,675.0,675.0,9252,1741651200
ok,675.0,680.0,670.4,670.4,9993,1741737600
ok,665.0,672.0,664.3,665.0,10727,1742083200
ok,663.0,676.3,662.2,675.4,13237,1742169600
ok,662.0,688.1,662.0,672.2,3901,1742256000
ok,668.0,675.0,663.0,663.1,5365,1742342400
ok,661.2,670.0,661.2,664.72,10872,1742428800
ok,659.0,668.0,650.0,651.18,13936,1742688000
