s,o,h,l,c,v,t
ok,14.44,13.34,13.34,13.34,89,1328054400
ok,13.34,13.56,13.56,13.56,20,1330819200
ok,13.56,13.34,13.34,13.34,370,1333411200
ok,13.34,13.11,13.11,13.11,20,1334188800
ok,13.11,13.11,13.11,13.11,30,1334534400
ok,13.11,13.34,13.34,13.34,363,1334793600
ok,13.34,13.34,13.34,13.34,345,1335657600
ok,13.34,13.56,13.56,13.56,58,1336521600
ok,13.56,13.34,13.11,13.11,621,1337817600
ok,13.11,12.89,12.89,12.89,47,1338940800
ok,12.89,13.11,12.45,12.45,579,1339632000
ok,12.45,12.45,12.45,12.45,29,1339891200
ok,12.45,12.3,12.3,12.3,13,1340064000
ok,12.3,12.08,12.08,12.08,21,1341187200
ok,12.08,11.86,11.64,11.86,114,1342483200
ok,11.86,11.79,11.79,11.79,212,1342915200
ok,11.79,11.79,11.79,11.79,83,1343260800
ok,11.79,11.57,11.57,11.57,14,1343606400
ok,11.57,11.35,11.35,11.35,392,1344729600
ok,11.35,11.35,11.13,11.13,642,1345939200
ok,11.13,11.2,11.2,11.2,207,1346025600
ok,11.2,12.23,11.42,12.23,537,1346112000
ok,12.23,12.45,12.45,12.45,50,1346198400
ok,12.45,12.67,12.67,12.67,40,1346284800
ok,12.67,13.34,12.89,13.34,451,1346544000
ok,13.34,14.0,13.56,14.0,480,1346630400
ok,14.0,14.22,14.22,14.22,29,1346716800
ok,14.22,14.0,14.0,14.0,199,1349827200
ok,14.0,13.78,13.34,13.34,743,1349913600
ok,13.34,13.11,13.11,13.11,207,1350259200
ok,13.11,12.97,12.97,12.97,31,1350518400
ok,12.97,13.11,12.89,12.89,189,1352160000
ok,12.89,12.89,12.89,12.89,107,1352592000
ok,12.89,13.11,13.11,13.11,963,1353888000
ok,13.11,12.97,12.97,12.97,31,1354060800
ok,15.25,15.25,15.25,15.25,535,1355356800
ok,15.25,14.74,14.74,14.74,500,1355616000
ok,14.74,14.74,14.74,14.74,168,1355788800
ok,14.74,14.81,14.81,14.81,1851,1355875200
ok,14.81,14.74,14.74,14.74,76,1355961600
ok,14.74,15.32,15.03,15.32,259,1357430400
