s,o,h,l,c,v,t
ok,71.24,72.32,71.24,72.32,30,1486512000
ok,72.85,72.85,72.85,72.85,10,1487635200
ok,73.48,75.35,73.48,75.35,50,1487808000
ok,75.98,77.23,75.98,77.23,30,1488067200
ok,77.94,80.8,77.94,80.8,72,1488326400
ok,81.51,84.64,81.51,84.64,58,1488412800
ok,85.44,88.92,85.44,88.92,90,1488672000
ok,89.82,92.67,89.82,93.66,54,1488758400
ok,93.66,97.76,93.66,97.76,236,1488844800
ok,98.83,103.39,98.83,103.39,58,1489017600
ok,106.42,109.55,106.42,109.55,182,1489363200
ok,110.84,112.17,110.84,112.17,50,1490054400
ok,113.5,113.5,113.5,114.94,14,1490140800
ok,113.5,117.1,117.1,117.1,14,1490745600
ok,41.42,41.42,41.42,118.54,14,1491264000
ok,118.54,118.54,118.54,118.54,10,1491782400
ok,120.08,120.08,120.08,120.08,10,1492041600
ok,121.62,123.16,121.62,123.16,20,1492473600
ok,124.7,124.7,124.7,124.7,10,1492992000
ok,126.34,129.63,126.34,129.63,38,1493078400
ok,131.37,133.12,131.37,133.12,28,1493164800
ok,41.42,41.42,41.42,134.86,10,1493251200
ok,134.86,134.86,134.86,134.86,20,1493510400
ok,136.71,142.36,136.71,142.36,44,1493683200
ok,144.31,144.31,144.31,144.31,10,1493856000
ok,146.36,146.36,146.36,146.36,10,1494201600
ok,146.36,41.42,41.42,41.42,10,1494288000
ok,151.6,153.76,151.6,153.76,24,1494460800
ok,41.42,41.42,41.42,153.76,10,1494892800
ok,155.91,160.43,155.91,160.43,30,1495324800
ok,162.79,165.15,162.79,165.15,20,1495411200
ok,167.62,172.65,167.62,172.65,38,1495497600
ok,172.65,185.69,175.22,185.69,80,1495584000
ok,188.57,197.4,188.57,197.4,40,1495929600
ok,200.48,203.56,200.48,203.56,20,1496102400
ok,203.56,216.7,206.74,216.7,54,1496188800
ok,220.19,223.68,220.19,223.68,20,1496275200
ok,227.28,241.86,227.28,241.86,58,1496534400
ok,245.86,261.88,245.86,261.88,60,1496620800
ok,266.19,283.85,266.19,283.85,60,1496707200
ok,288.68,308.09,288.68,308.09,68,1496793600
ok,313.32,334.68,313.32,334.68,178,1496880000
ok,340.54,363.95,340.54,363.95,4040,1497139200
ok,370.31,396.19,344.95,356.66,17573,1497225600
ok,350.5,353.06,344.33,349.47,6005,1497312000
ok,349.26,349.26,337.35,338.48,2670,1497398400
ok,335.09,350.39,333.04,339.3,3317,1497484800
ok,339.3,338.17,334.07,335.2,1279,1497744000
ok,334.07,335.5,332.01,332.94,910,1497830400
ok,330.99,337.15,330.47,333.04,1464,1497916800
ok,333.04,341.97,331.09,334.68,702,1498003200
ok,334.78,338.17,331.09,337.97,1405,1498089600
ok,332.32,348.44,332.32,345.36,1034,1498348800
ok,345.36,348.44,339.2,340.43,1136,1498521600
ok,339.2,344.85,339.2,341.87,1203,1498608000
ok,339.2,344.85,339.2,342.28,898,1498953600
ok,339.2,341.25,339.2,340.74,522,1499040000
ok,340.74,342.28,338.38,340.23,358,1499126400
ok,341.25,351.42,340.23,351.42,617,1499212800
ok,352.55,352.55,346.39,352.04,1798,1499299200
ok,352.04,358.2,339.71,342.79,1222,1499558400
ok,347.41,347.41,342.69,344.33,861,1499644800
ok,344.33,349.47,343.72,347.41,1698,1499731200
ok,347.41,347.41,344.33,346.9,993,1499817600
ok,343.31,344.33,337.66,344.33,898,1499904000
ok,339.71,341.56,339.51,341.25,1030,1500163200
ok,342.28,347.41,339.3,343.41,1115,1500249600
ok,349.37,349.47,344.33,349.47,1985,1500336000
ok,349.47,350.5,343.31,349.37,2010,1500422400
ok,343.31,367.95,343.31,363.84,6474,1500508800
ok,366.92,373.39,359.22,360.76,5689,1500768000
ok,364.87,364.87,333.35,353.78,1723,1500854400
ok,359.94,359.94,353.58,357.79,1914,1500940800
ok,357.89,361.79,354.6,358.81,1592,1501027200
ok,353.16,371.34,353.06,358.71,1750,1501113600
ok,352.55,362.92,352.55,358.71,2152,1501372800
ok,359.74,361.79,357.79,359.74,2068,1501459200
ok,359.84,372.57,359.74,371.44,3326,1501545600
ok,371.03,374.11,364.87,367.13,2762,1501632000
ok,367.13,373.6,365.38,367.34,2575,1501718400
ok,367.95,370.93,364.87,364.97,2167,1501977600
ok,365.9,367.44,361.79,364.87,1874,1502064000
ok,359.74,367.85,359.74,365.49,1613,1502236800
ok,359.84,368.98,359.84,358.5,2598,1502323200
ok,364.97,364.97,358.71,359.74,1314,1502582400
ok,364.87,364.87,350.5,352.04,1269,1502755200
ok,349.47,359.74,349.47,350.7,1433,1502841600
ok,355.63,353.58,349.47,351.52,902,1502928000
ok,350.5,352.04,347.93,351.01,1137,1503187200
ok,351.01,351.42,345.57,345.57,680,1503273600
ok,346.39,355.63,345.36,343.82,1045,1503360000
