s,o,h,l,c,v,t
ok,63.11,63.11,63.11,63.11,21,1689552000
ok,64.33,64.33,64.33,64.33,10,1690156800
ok,64.33,64.33,64.33,64.33,6,1690416000
ok,64.33,64.33,64.33,64.33,4,1690675200
ok,65.56,65.56,65.56,65.56,10,1691020800
ok,65.56,65.56,65.56,65.56,10,1691366400
ok,64.8,64.8,64.8,64.8,10,1691452800
ok,66.0,66.0,66.0,66.0,10,1691625600
ok,67.3,67.3,67.3,67.3,10,1691884800
ok,67.3,67.3,67.3,67.3,392,1692057600
ok,67.3,68.6,67.3,68.6,20,1692489600
ok,69.9,69.9,69.9,69.9,10,1692835200
ok,71.2,71.2,71.2,71.2,10,1693353600
ok,72.6,72.6,72.6,72.6,10,1693785600
ok,74.0,74.0,74.0,74.0,10,1693872000
ok,75.4,75.4,75.4,75.4,156,1695254400
ok,76.9,76.9,76.9,76.9,10,1695600000
ok,78.4,78.4,78.4,78.4,10,1695686400
ok,78.4,79.9,78.4,79.9,20,1696118400
ok,79.9,81.4,79.9,81.4,15,1696291200
ok,83.0,83.0,83.0,83.0,10,1696464000
ok,83.0,83.0,83.0,83.0,10,1696723200
ok,84.6,84.6,84.6,84.6,10,1696809600
ok,86.2,86.2,86.2,86.2,10,1696982400
ok,86.2,86.2,86.2,86.2,10,1697068800
ok,87.9,87.9,87.9,87.9,10,1698624000
ok,87.9,87.9,87.9,87.9,3,1698796800
ok,89.6,89.6,89.6,89.6,10,1698883200
ok,91.3,91.3,91.3,91.3,10,1699315200
ok,93.1,93.1,93.1,93.1,20,1699401600
ok,94.9,96.7,94.9,96.7,195,1699488000
ok,98.6,104.5,98.6,104.5,40,1700438400
ok,106.5,106.5,106.5,106.5,20,1700524800
ok,108.6,110.7,108.6,110.7,30,1700956800
ok,112.9,112.9,112.9,112.9,10,1701216000
ok,112.9,112.9,112.9,112.9,10,1701561600
ok,115.1,122.0,115.1,122.0,40,1701648000
ok,124.4,124.4,124.4,124.4,10,1701820800
ok,126.8,136.8,126.8,136.8,70,1701907200
ok,139.5,139.5,139.5,139.5,10,1702339200
ok,142.2,142.2,142.2,142.2,10,1702857600
ok,142.2,142.2,142.2,142.2,174,1702944000
ok,145.0,145.0,145.0,145.0,10,1703030400
ok,147.9,150.8,147.9,150.8,20,1703116800
ok,153.8,153.8,153.8,153.8,10,1703376000
ok,156.8,163.0,156.8,163.0,30,1703635200
ok,163.0,176.2,163.0,176.2,50,1703721600
ok,179.7,183.2,179.7,183.2,20,1704067200
ok,186.8,190.5,186.8,190.5,20,1704153600
ok,194.3,198.1,194.3,198.1,20,1704240000
ok,202.0,214.3,202.0,214.3,40,1704326400
ok,218.5,231.7,218.5,231.7,40,1704585600
ok,236.3,254.8,236.3,254.8,50,1704672000
ok,259.8,259.8,259.8,259.8,10,1704758400
ok,264.9,270.1,264.9,270.1,20,1704844800
ok,275.5,297.1,275.5,297.1,60,1704931200
ok,303.0,303.0,303.0,303.0,46,1705190400
ok,309.0,309.0,309.0,309.0,10,1705363200
ok,315.1,321.4,315.1,321.4,20,1705449600
ok,327.8,340.9,327.8,340.9,40,1705536000
ok,347.7,374.9,347.7,374.9,70,1705795200
ok,371.7,379.1,371.7,379.1,20,1705881600
ok,386.6,386.6,386.6,386.6,20,1705968000
ok,394.3,410.1,394.3,410.1,30,1706054400
ok,418.3,418.3,418.3,418.3,10,1706140800
ok,418.3,443.8,418.3,443.8,39,1706400000
ok,452.6,480.2,452.6,480.2,40,1706486400
ok,489.8,528.2,489.8,528.2,70,1706572800
ok,528.2,549.4,528.2,549.4,47,1706659200
ok,560.3,582.9,560.3,582.9,30,1706745600
ok,594.5,630.7,594.5,630.7,40,1707004800
ok,643.3,693.7,643.3,693.7,50,1707091200
ok,707.5,763.0,707.5,763.0,70,1707177600
ok,762.9,839.3,762.9,839.3,110,1707264000
ok,839.2,923.2,839.2,923.2,110,1707350400
ok,941.6,1015.5,941.6,1015.5,180,1707609600
ok,1035.8,1117.0,1035.8,1117.0,100,1707696000
ok,1139.3,1228.7,1139.3,1228.7,130,1707782400
ok,1253.2,1351.5,1253.2,1351.5,60,1707868800
ok,1378.5,1486.6,1378.5,1486.6,420,1707955200
ok,1515.0,1635.2,1515.0,1635.2,1300,1708214400
ok,1667.9,1798.7,1667.9,1798.7,10084,1708387200
ok,1800.0,1978.5,1800.0,1978.5,1437,1708473600
ok,2018.0,2176.3,2018.0,2176.3,1396,1708560000
ok,2219.8,2393.9,1958.7,1958.7,7241,1708819200
ok,1919.6,1919.6,1762.9,1762.9,380,1708905600
ok,1727.7,1793.0,1586.7,1715.0,6148,1708992000
ok,1681.0,1726.0,1614.5,1656.1,1802,1709078400
ok,1650.0,1821.7,1630.0,1720.7,1815,1709164800
ok,1749.0,1753.9,1650.0,1690.0,1627,1709424000
ok,1723.8,1723.8,1723.8,1723.8,20,1709510400
ok,1757.0,1758.0,1639.0,1698.0,2613,1709596800
ok,1664.1,1729.9,1664.1,1690.0,1140,1709683200
ok,1671.0,1684.0,1661.0,1662.0,930,1709769600
ok,1670.2,1740.0,1670.2,1734.0,1994,1710028800
ok,1739.0,1836.0,1734.1,1795.0,1606,1710201600
ok,1795.0,1974.5,1782.0,1957.0,5620,1710288000
ok,1996.0,2152.7,1990.0,2098.0,3706,1710374400
ok,2077.0,2247.5,2000.0,2040.0,5932,1710633600
ok,2070.0,2166.0,2031.2,2090.0,2100,1710720000
ok,2131.0,2214.0,2010.0,2090.0,1868,1710806400
ok,2130.0,2130.0,1966.0,2039.0,2229,1710892800
ok,1998.3,1998.3,1926.0,1940.0,680,1710979200
ok,1910.1,1925.7,1837.0,1925.7,355,1711324800
ok,1925.0,1943.0,1900.0,1925.0,546,1711411200
ok,1907.0,2110.0,1888.0,1985.9,1391,1711497600
ok,1946.5,2025.0,1907.6,2025.0,1629,1711584000
ok,2000.0,2000.0,1896.0,1946.0,860,1711843200
ok,1907.5,1940.0,1894.0,1896.0,885,1711929600
ok,1859.0,1915.0,1859.0,1915.0,624,1712016000
ok,1877.1,1992.3,1877.1,1965.0,617,1712102400
ok,1925.7,1999.0,1890.1,1958.0,300,1712188800
ok,1923.0,1999.2,1918.0,1989.0,1111,1712448000
ok,1950.0,1991.0,1945.0,1970.0,597,1712620800
ok,1931.0,1971.0,1865.0,1971.0,2315,1712707200
ok,1975.0,1975.0,1901.0,1910.0,823,1713052800
ok,1948.0,1986.0,1890.0,1890.0,121,1713139200
ok,1890.0,1917.0,1850.0,1917.0,720,1713225600
ok,1880.0,1880.0,1825.0,1880.0,349,1713398400
ok,1850.0,1870.0,1799.3,1840.0,886,1713657600
ok,1814.0,1876.0,1780.0,1876.0,537,1713744000
ok,1840.1,1840.1,1815.0,1840.0,386,1713916800
ok,1820.0,1856.0,1803.0,1855.0,200,1714003200
ok,1818.1,1928.0,1818.1,1889.5,170,1714262400
ok,1855.0,1887.0,1825.0,1850.0,419,1714348800
ok,1815.0,1880.0,1815.0,1880.0,410,1714435200
ok,1915.0,1983.9,1850.0,1969.0,2459,1714608000
ok,1931.1,2025.0,1931.1,2008.0,755,1714867200
ok,1970.0,1970.0,1900.0,1900.0,545,1714953600
ok,1880.0,1974.0,1863.0,1863.0,1908,1715040000
ok,1868.0,1949.0,1868.0,1881.0,670,1715126400
ok,1918.6,2035.0,1856.1,1958.0,1100,1715212800
ok,1994.8,1994.8,1900.0,1900.0,860,1715472000
ok,1900.0,2090.0,1871.0,2090.0,5877,1715558400
ok,2090.0,2299.0,2090.0,2299.0,6828,1715644800
ok,2344.0,2488.2,2253.1,2400.0,2326,1715731200
ok,2352.0,2444.0,2265.0,2352.0,4745,1715817600
ok,2305.0,2440.0,2267.0,2300.0,2330,1716076800
ok,2346.0,2392.0,2220.0,2230.0,1797,1716163200
ok,2230.0,2275.0,2230.0,2237.0,785,1716249600
ok,2260.0,2280.0,2118.0,2118.0,1068,1716336000
ok,2080.0,2160.0,2080.0,2117.0,385,1716681600
ok,2076.0,2200.0,2076.0,2100.0,400,1716768000
ok,2130.0,2142.0,2049.0,2049.0,470,1716940800
ok,2070.0,2095.9,2028.6,2070.0,480,1717027200
ok,2070.0,2111.0,2028.6,2081.0,695,1717286400
ok,2040.0,2222.0,2000.0,2165.0,2074,1717372800
ok,2200.0,2266.9,2160.0,2160.0,745,1717459200
ok,2129.6,2225.0,2115.0,2119.0,710,1717545600
ok,2161.0,2193.0,2140.0,2150.0,1165,1717632000
ok,2150.0,2150.0,2115.0,2139.0,728,1717891200
ok,2140.0,2223.9,2112.0,2139.0,752,1717977600
ok,2097.0,2210.0,2097.0,2190.0,1725,1718064000
ok,2200.0,2222.0,2176.0,2177.0,2422,1718150400
ok,2200.0,2264.9,2176.1,2220.0,1340,1718236800
ok,2263.0,2264.4,2185.1,2190.0,610,1718496000
ok,2151.0,2409.0,2151.0,2409.0,10537,1718668800
ok,2457.1,2649.9,2457.1,2647.0,2524,1718755200
ok,2690.0,2690.0,2475.0,2530.0,2623,1718841600
ok,2579.0,2579.0,2335.0,2527.5,1780,1719100800
ok,2477.0,2520.0,2392.0,2445.0,1121,1719187200
ok,2397.0,2496.9,2397.0,2410.3,841,1719273600
ok,2458.5,2585.0,2410.0,2500.0,1091,1719360000
ok,2450.0,2548.0,2450.0,2546.0,721,1719446400
ok,2500.0,2653.0,2450.0,2653.0,2710,1719705600
ok,2600.0,2600.0,2500.1,2599.0,1040,1719792000
ok,2599.0,2780.0,2558.0,2780.0,1621,1719878400
ok,2725.0,2980.0,2630.0,2710.0,2014,1719964800
ok,2750.0,2980.0,2666.0,2960.0,1807,1720051200
ok,3019.2,3141.0,2750.2,3100.0,5168,1720310400
ok,3038.0,3400.0,2861.0,3400.0,8836,1720396800
ok,3332.0,3519.0,3060.0,3410.0,7165,1720483200
ok,3350.0,3350.0,3073.0,3073.0,4823,1720569600
ok,3073.0,3073.0,2850.0,2932.0,4563,1720656000
ok,2990.6,3050.0,2951.0,2995.0,1858,1720915200
ok,3054.9,3114.0,2926.0,2926.0,1276,1721001600
ok,2890.0,2975.0,2890.0,2925.0,825,1721088000
ok,2983.5,3043.0,2924.1,2996.0,1333,1721174400
ok,3048.0,3048.0,2863.0,2890.0,2980,1721260800
ok,2945.0,3000.0,2891.0,2950.0,2568,1721520000
ok,2894.0,2949.8,2850.0,2870.0,1431,1721606400
ok,2900.0,2982.0,2866.6,2883.0,1252,1721692800
ok,2882.3,2900.0,2826.0,2827.0,1178,1721779200
ok,2883.0,3060.0,2870.0,2990.0,3008,1721865600
ok,3048.9,3108.9,2875.6,2900.0,1053,1722124800
ok,2900.0,2915.0,2815.0,2888.0,1280,1722211200
ok,2875.0,2940.0,2820.0,2920.0,1054,1722297600
ok,2900.1,2900.1,2804.8,2880.0,1915,1722384000
ok,2825.0,2880.0,2808.0,2810.0,1848,1722470400
ok,2810.0,2810.0,2695.0,2745.0,2363,1722816000
ok,2691.1,2725.0,2691.1,2700.0,1842,1722902400
ok,2650.1,2863.0,2650.0,2819.0,858,1722988800
ok,2870.0,2875.0,2765.0,2780.0,1193,1723075200
ok,2835.0,2927.3,2835.0,2905.0,2506,1723334400
ok,2906.0,2945.0,2840.0,2850.2,1704,1723420800
ok,2907.2,2907.2,2755.0,2764.0,1758,1723507200
ok,2818.0,2875.0,2773.2,2820.0,1226,1723593600
ok,2780.1,2870.0,2765.1,2765.1,1737,1723680000
ok,2756.1,2820.4,2725.0,2725.0,1270,1723939200
ok,2779.5,2891.0,2680.0,2729.0,1154,1724198400
ok,2750.0,2754.0,2683.0,2691.0,1150,1724284800
ok,2694.0,2915.0,2694.0,2874.0,3289,1724544000
ok,2931.4,2990.0,2785.0,2788.0,2432,1724716800
ok,2843.7,2900.0,2779.8,2790.0,932,1724803200
ok,2835.0,2880.0,2780.0,2800.0,1301,1724889600
ok,2856.0,2913.0,2711.2,2773.0,1090,1725148800
ok,2828.0,2828.0,2772.0,2828.0,831,1725235200
ok,2835.0,2890.0,2785.2,2812.0,626,1725321600
ok,2868.0,3093.2,2826.0,3093.2,8769,1725408000
ok,3155.0,3370.0,3155.0,3260.0,5213,1725494400
ok,3325.0,3391.0,3250.0,3297.0,4136,1725753600
ok,3232.0,3268.0,3080.0,3130.0,2883,1725840000
ok,3130.0,3130.0,2976.0,3040.0,867,1725926400
ok,3100.0,3340.0,2979.3,3247.0,3160,1726012800
ok,3250.0,3412.9,3250.0,3412.0,3913,1726099200
ok,3420.0,3544.5,3276.0,3360.1,3698,1726358400
ok,3293.2,3315.0,3175.4,3294.0,1808,1726444800
ok,3228.2,3417.0,3100.9,3100.9,1237,1726617600
ok,3162.0,3225.0,3060.0,3105.0,887,1726963200
ok,3162.0,3166.0,2883.0,3033.1,1554,1727049600
ok,2981.3,3040.0,2842.0,2930.0,1450,1727136000
ok,2986.5,3050.0,2986.5,3044.0,545,1727222400
ok,3060.0,3121.0,2986.0,3042.0,858,1727308800
ok,3099.0,3099.0,2930.1,2960.0,523,1727568000
ok,2970.0,3053.9,2970.0,3001.1,264,1727654400
ok,3061.0,3180.0,3061.0,3149.0,815,1727740800
ok,3130.0,3149.0,2989.0,3000.0,775,1727827200
ok,3000.0,3121.1,3000.0,3026.1,539,1728172800
ok,3050.0,3250.0,3027.1,3051.0,697,1728259200
ok,3005.1,3170.0,3005.1,3100.0,508,1728345600
ok,3052.1,3100.0,3040.0,3050.0,782,1728432000
ok,3019.0,3081.9,3001.5,3050.0,434,1728950400
ok,2999.9,3099.8,2999.9,3087.0,587,1729036800
ok,3130.0,3275.0,3067.4,3245.0,2411,1729123200
ok,3180.1,3413.4,3124.0,3260.0,1354,1729382400
ok,3260.0,3430.0,3260.0,3320.0,1318,1729468800
ok,3350.0,3370.0,3215.1,3320.0,717,1729555200
ok,3380.0,3400.0,3313.0,3321.1,1336,1729641600
ok,3290.0,3290.0,3212.0,3221.0,1080,1729728000
ok,3249.9,3314.0,3185.0,3259.0,2310,1729987200
ok,3206.0,3324.0,3206.0,3324.0,1061,1730073600
ok,3300.0,3650.0,3300.0,3629.0,3736,1730160000
ok,3629.0,3773.0,3557.0,3690.0,1926,1730246400
ok,3616.2,4057.0,3600.0,4057.0,2770,1730764800
ok,3975.9,3975.9,3783.0,3805.0,3671,1730851200
ok,3730.0,3730.0,3610.0,3620.2,3616,1731196800
ok,3600.0,3823.0,3500.0,3823.0,3249,1731283200
ok,3750.0,4100.0,3746.0,4100.0,3425,1731369600
ok,4181.0,4181.0,3802.0,3898.0,2233,1731456000
ok,3949.0,3949.0,3657.0,3795.0,3310,1731542400
ok,3795.0,3800.0,3675.1,3686.0,1343,1731801600
ok,3626.1,3650.0,3498.0,3498.0,2281,1731974400
ok,3567.0,3672.0,3550.0,3597.0,1321,1732060800
ok,3665.0,3817.0,3550.0,3700.0,2636,1732147200
ok,3750.0,3750.0,3551.0,3671.0,595,1732406400
ok,3600.0,3700.0,3600.0,3700.0,685,1732492800
