s,o,h,l,c,v,t
ok,906.0,996.6,906.0,996.6,170,1671494400
ok,978.3,1096.2,978.3,1096.2,130,1671580800
ok,1075.0,1205.8,1075.0,1205.8,220,1671667200
ok,1205.8,1326.3,1205.8,1326.3,130,1672012800
ok,1352.8,1458.9,1352.8,1458.9,150,1672099200
ok,1488.0,1604.7,1488.0,1604.7,170,1672185600
ok,1604.6,1765.1,1604.6,1765.1,250,1672272000
ok,1800.0,1941.6,1800.0,1941.6,350,1672531200
ok,1980.4,2135.7,1980.4,2135.7,3500,1672617600
ok,2178.4,2349.2,2075.0,2203.0,19859,1672704000
ok,2203.0,2215.0,2150.0,2215.0,12332,1672790400
ok,2215.0,2436.5,2215.0,2436.5,5240,1672876800
ok,2485.2,2485.2,2332.0,2336.5,11098,1673136000
ok,2292.2,2355.0,2292.2,2312.0,11957,1673222400
ok,2281.0,2356.0,2210.0,2244.0,7907,1673308800
ok,2280.0,2302.0,2231.0,2289.0,7738,1673481600
ok,2329.9,2329.9,2257.0,2265.0,6847,1673913600
ok,2265.0,2345.0,2252.0,2298.0,5249,1674000000
ok,2255.0,2299.0,2255.0,2270.0,4575,1674086400
ok,2270.0,2366.0,2250.0,2320.1,7755,1674432000
ok,2281.0,2350.0,2281.0,2340.0,2975,1674518400
ok,2321.2,2420.0,2321.2,2405.0,5299,1674604800
ok,2400.0,2414.0,2365.0,2365.0,2446,1674691200
ok,2355.0,2404.0,2353.5,2359.0,3435,1674950400
ok,2400.0,2400.0,2278.1,2310.0,5100,1675036800
ok,2264.0,2309.0,2263.0,2300.0,2520,1675123200
ok,2260.1,2300.0,2260.0,2267.0,1475,1675209600
ok,2267.0,2289.9,2220.0,2222.0,3473,1675296000
ok,2222.0,2266.0,2220.0,2221.0,2850,1675555200
ok,2201.1,2240.0,2200.5,2240.0,1711,1675641600
ok,2225.2,2310.0,2225.2,2299.9,1858,1675728000
ok,2318.9,2330.0,2254.0,2269.0,1804,1675814400
ok,2270.0,2280.0,2235.1,2265.0,1285,1675900800
ok,2221.0,2244.0,2141.0,2200.0,2640,1676160000
ok,2165.0,2190.0,2157.3,2172.0,1595,1676332800
ok,2172.0,2190.0,2130.0,2130.0,2028,1676419200
ok,2100.1,2110.0,2055.0,2090.0,2479,1676505600
ok,2051.0,2072.0,2015.5,2040.0,1336,1676851200
ok,2020.0,2020.0,1917.0,1920.0,3258,1677024000
ok,1882.0,1882.0,1728.0,1728.0,6906,1677110400
ok,1693.5,1769.0,1555.2,1701.0,4663,1677369600
ok,1735.0,1735.0,1620.1,1679.0,1544,1677456000
ok,1651.0,1708.0,1650.0,1675.0,1442,1677542400
ok,1653.0,1705.5,1601.0,1608.1,2862,1677628800
ok,1600.0,1600.0,1560.1,1569.0,1924,1677715200
ok,1537.7,1610.0,1508.0,1510.0,1097,1677974400
ok,1510.0,1538.0,1452.4,1474.9,1315,1678147200
ok,1474.9,1533.0,1474.9,1515.0,900,1678320000
ok,1530.0,1540.0,1485.0,1525.0,1130,1678579200
ok,1505.0,1524.0,1465.0,1519.0,663,1678665600
ok,1490.0,1515.0,1490.0,1495.0,490,1678752000
ok,1470.2,1477.0,1470.0,1471.0,483,1678838400
ok,1475.0,1500.0,1420.0,1500.0,1154,1678924800
ok,1470.0,1470.0,1350.0,1390.0,8230,1679184000
ok,1390.0,1409.0,1375.5,1380.0,548,1679270400
ok,1380.0,1405.0,1315.1,1376.0,1797,1679443200
ok,1348.5,1375.0,1250.0,1282.0,2006,1679529600
ok,1256.4,1256.4,1190.0,1190.0,2878,1679788800
ok,1167.0,1194.0,1102.0,1194.0,2014,1679875200
ok,1180.0,1313.3,1126.2,1313.3,1856,1679961600
ok,1290.0,1290.0,1241.0,1270.0,757,1680048000
ok,1265.0,1265.0,1221.1,1230.0,1091,1680134400
ok,1230.0,1275.0,1207.0,1228.0,780,1680393600
ok,1210.0,1232.0,1186.0,1232.0,470,1680480000
ok,1232.0,1249.0,1186.1,1220.0,221,1680566400
ok,1196.0,1239.0,1195.0,1225.0,425,1680652800
ok,1226.0,1227.0,1185.0,1206.0,472,1680739200
ok,1182.0,1200.0,1176.1,1190.5,210,1680998400
ok,1175.0,1198.0,1159.0,1198.0,390,1681084800
ok,1220.0,1290.0,1182.0,1290.0,865,1681171200
ok,1265.0,1342.0,1260.0,1335.0,1656,1681257600
ok,1335.0,1335.0,1241.1,1275.0,800,1681344000
ok,1250.0,1271.0,1232.0,1233.0,435,1681603200
