s,o,h,l,c,v,t
ok,48.51,48.51,44.48,48.51,2783,1381190400
ok,48.51,52.9,49.39,52.9,16506,1381276800
ok,52.9,56.78,51.95,54.73,23565,1381363200
ok,54.73,54.95,53.78,54.44,2986,1381968000
ok,54.44,55.1,51.95,52.54,1943,1382227200
ok,52.54,53.49,51.8,53.27,10997,1382313600
ok,53.27,53.56,52.54,53.56,6847,1382400000
ok,53.56,54.15,53.27,54.0,14041,1382486400
ok,54.0,55.46,53.71,55.39,11302,1382572800
ok,55.39,56.2,53.63,54.73,12862,1382832000
ok,54.73,55.1,53.12,54.81,4891,1382918400
ok,54.81,55.1,53.63,54.59,3268,1383004800
ok,54.59,55.17,54.59,54.95,4868,1383091200
ok,54.95,55.32,54.59,54.81,11043,1383177600
ok,54.81,54.22,52.9,54.0,7253,1383696000
ok,54.0,54.81,54.0,54.51,3669,1383782400
ok,54.51,55.54,54.66,55.1,4399,1384041600
ok,55.1,55.61,54.73,55.46,14879,1384128000
ok,55.46,57.3,55.68,56.64,10501,1384214400
ok,56.64,58.76,56.34,57.3,7925,1384300800
ok,57.3,58.03,56.78,57.22,7175,1384387200
ok,57.22,58.25,58.25,58.25,16,1384992000
ok,58.25,62.79,58.17,58.17,3633,1385251200
ok,58.17,59.13,56.93,58.17,5297,1385337600
ok,58.17,59.86,56.64,59.13,3137,1385424000
ok,59.13,59.86,58.76,59.49,2179,1385510400
ok,59.49,60.52,58.39,60.44,2292,1385596800
ok,60.44,62.05,60.22,60.59,3395,1385856000
ok,60.59,64.54,60.59,64.54,7326,1385942400
ok,64.54,70.55,64.47,70.55,7229,1386028800
ok,70.55,77.14,71.87,76.7,4329,1386115200
ok,76.7,80.21,75.23,76.63,20168,1386201600
ok,76.63,78.02,71.28,72.31,2766,1386460800
ok,72.31,72.67,70.99,72.67,2635,1386547200
ok,72.67,72.6,70.26,70.48,1391,1386633600
ok,70.48,73.26,70.91,71.94,3154,1386720000
ok,71.94,74.43,70.62,72.09,1644,1386806400
ok,72.09,77.07,72.09,77.07,3430,1387065600
ok,77.07,78.46,77.43,78.46,467,1387152000
ok,78.46,79.85,76.99,78.53,8172,1387324800
ok,78.53,78.09,74.28,77.43,3787,1387411200
ok,77.43,78.9,76.7,77.43,10809,1387670400
ok,77.43,77.5,75.97,75.97,6906,1387756800
ok,75.97,77.43,73.04,77.07,7827,1387843200
ok,77.07,79.04,75.97,79.04,16840,1388016000
ok,90.27,81.34,80.5,81.0,135,1388275200
ok,81.0,82.52,79.99,79.99,8081,1388448000
ok,79.99,82.52,79.99,82.52,976,1388534400
ok,82.52,85.8,79.83,85.8,803,1388620800
ok,85.8,87.4,84.79,84.79,501,1388880000
ok,84.79,85.3,83.36,85.3,7631,1388966400
ok,85.3,85.8,80.84,85.8,3080,1389052800
ok,85.8,87.4,85.3,86.9,376,1389139200
ok,86.9,87.99,86.23,87.99,1992,1389225600
ok,87.99,94.73,87.99,94.73,345,1389484800
ok,94.73,100.12,96.5,97.68,401,1389571200
ok,97.68,100.2,97.68,99.45,1937,1389657600
ok,99.45,101.89,99.36,101.89,746,1389830400
ok,101.89,100.2,100.03,100.2,49,1390089600
ok,100.2,98.52,96.75,96.75,140,1390176000
ok,96.75,96.83,93.47,93.47,1638,1390262400
ok,93.47,91.78,90.94,90.94,74,1390348800
ok,90.94,91.78,91.78,91.78,516,1390435200
ok,91.78,94.73,90.94,93.47,358,1390694400
ok,93.47,91.78,88.41,88.58,218,1390780800
ok,88.58,90.94,88.41,90.94,171,1390867200
ok,90.94,93.47,90.1,91.78,375,1390953600
ok,91.78,93.89,91.78,93.89,725,1391299200
ok,93.89,92.62,90.52,90.52,56,1391385600
ok,90.52,93.47,90.52,90.94,1023,1391472000
ok,90.94,93.47,90.94,93.47,326,1391558400
ok,93.47,97.76,95.15,97.76,653,1391644800
ok,97.76,98.43,96.41,96.41,564,1391904000
ok,96.41,101.89,98.18,101.89,265,1391990400
ok,101.89,100.2,98.52,99.36,1926,1392076800
ok,99.36,97.68,95.82,95.99,1348,1392163200
ok,95.99,98.52,94.31,98.52,13635,1392249600
ok,98.52,100.37,98.52,100.37,32,1392508800
ok,100.37,98.94,96.83,96.83,46,1392595200
ok,96.83,100.79,95.99,100.79,3631,1392681600
ok,100.79,109.89,101.05,105.26,2559,1392854400
ok,105.26,109.89,106.1,107.78,4050,1393113600
ok,107.78,107.02,105.68,107.02,1189,1393200000
ok,107.02,109.04,105.26,107.44,1609,1393286400
ok,107.44,107.44,105.34,106.1,759,1393372800
ok,106.1,108.12,101.05,101.05,2117,1393804800
ok,101.05,101.89,97.68,100.2,989,1393891200
ok,100.2,101.05,99.19,100.62,1182,1393977600
ok,100.62,101.05,97.26,97.26,1797,1394064000
ok,97.26,99.11,97.26,98.94,2221,1394323200
ok,98.94,97.68,96.83,97.68,293,1394409600
ok,97.68,98.52,95.82,97.76,3164,1394496000
ok,97.76,96.83,95.91,95.99,503,1394582400
ok,95.99,98.52,97.26,98.1,419,1394668800
ok,98.1,97.68,95.74,96.83,583,1395014400
ok,96.83,95.15,90.1,90.1,859,1395100800
ok,90.1,93.8,88.41,93.8,2381,1395187200
ok,93.8,95.24,92.71,95.24,1602,1395273600
ok,95.24,95.99,94.73,95.99,610,1395532800
ok,95.99,97.85,94.48,97.68,1218,1395619200
ok,97.68,99.11,96.83,96.83,954,1395705600
ok,96.83,96.83,96.75,96.83,672,1395792000
ok,96.83,97.68,95.66,97.68,1293,1395878400
ok,97.68,100.79,97.76,100.79,1520,1396224000
ok,100.79,102.56,100.37,100.37,1302,1396310400
ok,100.37,102.73,98.52,101.47,552,1396396800
ok,101.47,101.63,99.36,99.36,1288,1396483200
ok,99.36,97.51,94.98,95.57,11132,1396742400
ok,95.57,97.68,95.57,97.68,4059,1396828800
ok,97.68,104.08,97.26,99.7,7866,1397001600
ok,99.7,104.83,101.05,104.24,3793,1397088000
ok,104.24,106.94,103.32,105.26,2943,1397347200
ok,105.26,108.29,106.94,106.94,1057,1397520000
ok,106.94,105.26,103.57,105.26,1615,1397606400
ok,105.68,107.36,104.83,107.36,2481,1397952000
ok,107.36,106.86,105.68,106.86,2437,1398038400
ok,106.86,108.62,106.52,108.12,1449,1398124800
ok,108.12,109.47,107.36,109.47,1096,1398211200
ok,109.47,113.25,109.89,112.5,1782,1398556800
ok,112.5,115.36,111.99,113.93,11108,1398643200
ok,113.93,117.04,113.68,116.62,4278,1398729600
ok,116.62,116.2,114.94,116.12,4173,1398816000
ok,116.12,118.31,115.36,117.89,5303,1399161600
ok,117.89,121.25,117.46,121.25,2828,1399248000
ok,121.25,119.15,117.04,117.04,1644,1399334400
ok,117.04,116.2,112.92,114.52,3051,1399420800
ok,114.52,113.68,109.47,112.41,4266,1399507200
ok,112.41,110.73,107.78,108.37,4206,1399766400
ok,108.37,113.68,107.95,113.25,1433,1399852800
ok,113.25,113.68,110.81,113.25,9155,1399939200
ok,113.25,113.68,111.49,112.41,6027,1400112000
ok,112.41,114.43,109.55,111.15,2584,1400371200
ok,111.15,111.15,108.2,110.14,3295,1400457600
ok,110.14,110.31,108.2,108.96,4068,1400544000
ok,108.96,110.81,108.71,109.55,3425,1400630400
ok,109.55,110.31,106.18,109.47,4786,1400716800
ok,109.47,111.57,109.47,110.22,3374,1400976000
ok,110.22,111.23,109.47,110.14,3523,1401062400
ok,110.14,111.15,109.63,110.31,3364,1401148800
ok,110.31,112.41,109.63,111.49,4636,1401235200
ok,111.49,111.15,109.55,111.07,3976,1401580800
ok,111.07,111.57,110.31,110.73,4205,1401667200
ok,110.73,112.41,109.47,109.47,4020,1401753600
ok,109.47,111.57,100.29,102.73,6894,1401840000
ok,102.73,103.57,99.36,103.57,5807,1401926400
ok,103.57,107.02,104.41,104.83,603,1402185600
ok,104.83,107.19,104.41,104.83,3616,1402272000
ok,104.83,105.26,103.66,104.58,6192,1402358400
ok,104.58,106.18,103.57,103.57,2257,1402444800
ok,103.57,105.26,103.15,103.15,1778,1402531200
ok,103.15,104.83,103.15,103.99,1549,1402790400
ok,103.99,108.62,105.93,108.62,7262,1402876800
ok,108.62,108.54,105.68,108.54,4433,1402963200
ok,108.54,108.62,107.78,107.78,2642,1403049600
ok,107.78,109.47,105.93,105.93,9555,1403136000
ok,105.93,107.95,102.56,107.11,3395,1403481600
ok,107.11,107.36,106.1,106.27,1415,1403568000
ok,106.27,107.02,105.68,106.94,1501,1403654400
ok,106.94,110.31,105.26,108.62,14096,1403740800
ok,108.62,114.18,110.64,112.83,4413,1404000000
ok,112.83,116.62,113.76,114.01,5086,1404086400
ok,114.01,117.89,114.6,116.2,4499,1404172800
ok,116.2,121.0,116.62,119.57,4667,1404259200
ok,119.57,118.73,117.13,117.21,6832,1404345600
ok,117.21,119.57,117.04,119.4,1293,1404604800
ok,119.4,119.82,118.73,118.73,1966,1404691200
ok,118.73,120.83,118.73,119.49,2703,1404777600
ok,119.49,120.41,118.81,120.41,2653,1404864000
ok,120.41,118.73,116.2,117.13,963,1404950400
ok,117.13,119.15,117.13,118.31,3330,1405209600
ok,118.31,122.01,117.89,117.89,1389,1405296000
ok,117.89,118.31,116.96,117.38,1962,1405382400
ok,117.38,121.84,117.89,119.06,2573,1405468800
ok,119.06,122.52,120.41,122.35,7409,1405555200
ok,122.35,134.14,124.71,134.14,3529,1405814400
ok,134.14,147.1,136.66,143.06,5598,1405900800
ok,143.06,143.06,138.94,141.04,9938,1405987200
ok,141.04,143.15,139.86,140.37,1877,1406073600
ok,140.37,142.56,138.94,138.94,2860,1406160000
ok,138.94,139.36,136.41,136.41,2390,1406419200
ok,136.41,135.99,133.88,135.99,172,1406505600
ok,135.99,138.1,133.13,133.13,1867,1406678400
ok,133.13,130.6,127.99,130.1,598,1406764800
ok,130.1,135.57,130.1,131.36,748,1407024000
ok,131.36,130.52,128.41,130.52,1894,1407110400
ok,130.52,133.13,127.15,127.15,3800,1407196800
ok,127.15,133.88,128.83,132.62,9757,1407283200
ok,132.62,136.41,129.25,132.2,5745,1407369600
ok,132.2,134.73,131.36,132.37,1388,1407801600
ok,132.37,132.2,130.52,131.36,884,1407888000
ok,131.36,133.04,130.52,133.04,1594,1407974400
ok,133.04,131.36,127.99,127.99,220,1408320000
ok,127.99,129.25,125.46,125.46,2019,1408406400
ok,125.46,125.04,120.41,120.41,4742,1408492800
ok,120.41,120.41,114.94,116.2,3697,1408579200
ok,116.2,118.39,113.68,113.68,6519,1408838400
ok,113.68,114.52,109.38,109.38,1509,1408924800
ok,109.38,111.57,104.5,105.26,4037,1409011200
ok,105.26,114.1,106.27,113.68,985,1409097600
ok,113.68,123.11,115.78,121.09,5079,1409184000
ok,121.09,121.09,114.43,114.43,3869,1409443200
ok,114.43,113.68,111.15,113.68,1818,1409529600
ok,113.68,114.1,111.99,113.68,1270,1409702400
ok,113.68,111.57,109.47,111.23,1893,1409788800
ok,111.23,111.15,105.17,105.17,2144,1410048000
ok,105.17,113.51,106.94,112.41,2633,1410220800
ok,112.41,118.05,108.2,111.07,2198,1410307200
ok,111.07,118.9,106.94,117.89,5256,1410393600
ok,117.72,123.36,116.29,123.36,3115,1410739200
ok,123.36,130.94,123.78,130.94,4689,1410825600
