s,o,h,l,c,v,t
ok,47.3,25.98,25.98,25.98,50,1371600000
ok,25.98,26.28,26.04,26.28,314,1371686400
ok,26.28,26.61,26.35,26.61,1886,1371945600
ok,26.61,26.97,26.67,26.97,1552,1372032000
ok,26.97,27.38,26.77,27.18,2375,1372118400
ok,27.18,27.38,27.38,27.38,10,1372204800
ok,27.38,27.3,26.93,26.93,1314,1372291200
ok,26.93,26.85,26.57,26.57,438,1372550400
ok,26.57,26.57,26.51,26.53,275,1372636800
ok,26.53,26.71,26.59,26.63,212,1372723200
ok,26.63,26.65,26.53,26.65,195,1372809600
ok,26.65,26.65,26.59,26.65,356,1372896000
ok,26.65,27.01,26.71,27.01,477,1373155200
ok,27.01,27.09,26.93,27.01,247,1373241600
ok,27.01,27.18,27.05,27.18,441,1373328000
ok,27.18,27.24,27.13,27.18,505,1373414400
ok,27.18,27.6,27.09,27.6,887,1373500800
ok,27.6,27.66,27.58,27.58,404,1373760000
ok,27.58,27.82,27.58,27.72,386,1373846400
ok,27.72,27.88,27.64,27.88,666,1373932800
ok,27.88,28.31,27.92,28.31,1245,1374019200
ok,28.31,28.55,27.94,28.55,188,1374364800
ok,28.55,28.65,28.35,28.65,743,1374451200
ok,28.65,28.96,28.65,28.96,192,1374537600
ok,28.96,28.84,28.75,28.75,118,1374624000
ok,28.75,28.96,28.75,28.86,584,1374710400
ok,28.86,28.96,28.86,28.88,90,1374969600
ok,28.88,29.08,28.92,29.04,1607,1375056000
ok,29.04,29.16,28.92,29.06,950,1375142400
ok,29.06,29.1,29.1,29.1,18,1375228800
ok,29.1,29.16,29.04,29.04,108,1375315200
ok,29.04,29.06,28.98,28.98,106,1375574400
ok,28.98,29.1,28.98,28.98,170,1375660800
ok,28.98,28.96,28.86,28.96,530,1375747200
ok,28.96,28.96,28.92,28.92,30,1375833600
ok,28.92,29.02,28.96,29.02,277,1375920000
ok,29.02,28.92,28.92,28.92,48,1376179200
ok,28.92,29.14,28.88,28.88,476,1376265600
ok,28.88,29.16,28.96,29.06,236,1376352000
ok,29.06,29.22,28.98,29.22,554,1376438400
ok,29.22,29.85,29.12,29.85,319,1376524800
ok,29.85,30.54,29.89,30.29,932,1376784000
ok,30.29,30.62,30.33,30.33,331,1376870400
ok,30.33,30.5,30.07,30.17,1589,1376956800
ok,30.17,30.07,30.03,30.07,212,1377388800
