s,o,h,l,c,v,t
ok,347.8,347.8,347.8,347.8,1010,1548028800
ok,347.8,354.68,347.8,354.68,10,1548547200
ok,354.68,371.9,354.68,371.9,10,1548633600
ok,371.9,390.5,371.9,390.5,10,1548720000
ok,390.5,417.36,390.5,417.36,20,1548806400
ok,417.36,446.28,417.36,446.28,20,1548892800
ok,468.32,490.36,446.28,490.36,200,1549324800
ok,514.46,539.26,490.36,539.26,620,1549411200
ok,566.12,592.98,528.93,586.78,20090,1549497600
ok,588.15,588.15,556.47,557.16,7266,1549756800
ok,550.96,567.49,542.01,555.1,3340,1549843200
ok,557.85,559.23,552.34,553.72,1391,1549929600
ok,550.96,553.72,547.52,550.96,2310,1550016000
ok,550.96,550.96,537.19,544.08,2470,1550102400
ok,553.72,554.41,537.88,539.26,1760,1550361600
ok,537.88,539.26,532.37,537.19,1460,1550448000
ok,537.19,573.0,530.3,573.0,1000,1550534400
ok,561.98,573.0,537.19,542.7,800,1550620800
ok,539.94,544.77,534.44,535.81,1957,1550707200
ok,526.17,541.32,522.73,541.32,3120,1550966400
ok,550.28,550.28,529.61,539.94,890,1551052800
ok,540.63,541.32,530.99,531.68,980,1551139200
ok,531.68,549.59,526.86,533.75,1280,1551225600
ok,526.86,535.81,526.86,530.99,520,1551571200
ok,537.19,537.19,526.86,530.3,810,1551744000
ok,539.94,539.94,521.35,528.93,2035,1551830400
ok,537.19,539.26,524.1,535.12,810,1551916800
ok,526.86,535.12,523.42,524.1,150,1552089600
ok,526.86,535.12,523.42,524.1,150,1552176000
ok,530.3,534.44,524.1,526.86,430,1552262400
ok,523.42,530.3,521.35,525.48,1020,1552348800
ok,526.86,528.24,519.97,522.04,480,1552435200
ok,522.04,526.86,517.22,526.17,1134,1552521600
ok,533.75,533.75,513.09,516.53,1115,1552780800
ok,509.64,519.28,509.64,510.33,1755,1552867200
ok,510.33,510.33,500.69,503.44,720,1552953600
ok,497.93,503.44,493.11,493.8,640,1553126400
ok,493.8,509.64,482.09,509.64,1560,1553385600
ok,484.16,488.98,478.65,483.47,820,1553558400
ok,482.09,487.6,481.4,482.09,1020,1553731200
ok,482.09,482.09,468.32,469.7,590,1553990400
ok,469.7,478.65,466.25,471.76,550,1554076800
ok,464.88,482.09,464.88,471.76,220,1554163200
ok,473.14,478.65,465.56,468.32,320,1554249600
ok,468.32,468.32,461.43,461.43,1273,1554336000
ok,470.39,479.34,438.02,438.02,170,1554595200
ok,448.35,457.99,446.28,446.28,550,1554768000
ok,440.08,454.55,440.08,454.55,190,1554854400
ok,454.55,461.43,446.28,447.66,580,1554940800
ok,438.71,452.48,438.71,439.39,460,1555286400
ok,447.66,470.39,427.69,465.56,970,1555372800
ok,453.86,453.86,440.08,451.1,910,1555545600
ok,444.9,447.66,438.71,447.66,160,1555804800
ok,447.66,463.5,447.66,448.35,190,1555891200
ok,444.9,447.66,437.33,440.77,750,1555977600
ok,432.51,471.07,432.51,471.07,140,1556064000
ok,477.27,477.27,477.27,477.27,10,1556150400
ok,477.27,477.27,440.77,466.25,1470,1556409600
ok,464.88,464.88,440.77,454.55,430,1556496000
ok,460.06,460.06,437.33,442.84,200,1556582400
ok,434.57,444.9,433.88,435.95,300,1556755200
ok,433.88,440.08,430.44,432.51,750,1557014400
ok,432.51,433.88,424.93,427.0,220,1557100800
ok,420.11,429.75,418.73,418.73,870,1557187200
ok,410.47,423.55,410.47,417.36,400,1557273600
ok,420.11,431.82,410.47,413.22,900,1557360000
ok,413.22,420.8,405.65,406.34,1462,1557619200
ok,413.91,422.18,413.22,420.11,380,1557705600
