s,o,h,l,c,v,t
ok,76.4,76.4,76.4,76.4,10,1497830400
ok,76.4,76.4,76.4,77.12,9,1501027200
ok,76.4,76.4,76.4,77.12,1,1501113600
ok,77.12,77.12,77.12,77.12,10,1502755200
ok,77.85,77.85,77.85,77.85,1000,1503187200
ok,78.57,78.57,78.57,78.57,10,1503878400
ok,80.46,80.46,80.46,80.46,10,1505001600
ok,81.18,81.18,81.18,81.18,10,1505865600
ok,81.99,85.24,81.99,85.24,130,1509840000
ok,86.14,89.75,86.14,89.75,130,1510185600
ok,86.14,89.75,86.14,90.74,10,1510531200
ok,90.74,91.74,90.74,91.74,60,1510704000
ok,92.77,92.77,92.77,92.77,10,1511740800
ok,95.36,95.36,95.36,95.36,10,1513555200
ok,98.07,98.07,98.07,98.07,10,1513641600
ok,100.88,100.88,100.88,100.88,10,1514764800
ok,103.91,103.91,103.91,103.91,10,1517702400
ok,103.91,103.91,103.91,105.11,20,1521331200
ok,103.91,103.91,103.91,93.58,201,1522281600
ok,107.05,107.05,107.05,107.05,10,1522713600
ok,107.05,110.95,108.35,110.95,30,1525219200
ok,112.36,115.17,112.36,115.17,30,1525305600
ok,116.58,118.1,116.58,118.1,20,1525564800
ok,119.61,121.13,119.61,121.13,20,1525651200
ok,122.64,125.89,122.64,125.89,30,1525737600
ok,125.89,129.24,127.51,129.24,20,1525824000
ok,129.24,134.55,130.98,134.55,30,1525910400
ok,136.39,136.39,136.39,136.39,10,1526256000
ok,138.23,138.23,138.23,138.23,10,1526428800
ok,143.1,143.1,143.1,143.1,10,1526515200
ok,145.16,147.21,145.16,147.21,34,1526774400
ok,149.27,149.27,149.27,149.27,10,1526860800
ok,151.44,151.44,151.44,151.44,79,1527033600
ok,153.6,153.6,153.6,153.6,12,1527379200
ok,153.6,160.31,155.76,160.31,32,1527465600
ok,166.26,168.75,166.26,168.75,24,1527552000
ok,171.24,171.24,171.24,171.24,14,1528070400
ok,173.84,176.44,173.84,176.44,24,1528243200
ok,173.84,176.44,173.84,176.44,24,1528329600
ok,179.15,184.67,179.15,187.48,46,1528588800
ok,187.48,193.33,187.48,195.38,44,1528675200
ok,196.36,196.36,196.36,196.36,316,1528761600
ok,199.39,202.53,199.39,205.77,24,1528848000
ok,205.77,215.73,205.77,215.73,46,1528934400
ok,219.2,233.27,219.2,233.27,96,1529193600
ok,237.06,252.54,237.06,252.54,66,1529280000
ok,256.76,273.75,256.76,273.75,740,1529366400
ok,278.41,297.03,275.59,279.92,4813,1529452800
ok,281.33,281.33,270.4,274.94,1730,1529539200
ok,271.59,272.89,268.99,270.07,2329,1529798400
ok,265.85,271.26,262.06,263.25,4261,1529884800
