s,o,h,l,c,v,t
ok,111.27,113.29,111.27,113.29,20,1560729600
ok,118.93,118.93,118.93,118.93,10,1561334400
ok,124.57,124.57,124.57,124.57,10,1561507200
ok,130.62,136.67,130.62,136.67,70,1561852800
ok,143.12,143.12,143.12,143.12,10,1561939200
ok,149.97,152.79,149.97,152.79,20,1562112000
ok,160.05,167.71,160.05,167.71,50,1562198400
ok,175.77,184.24,175.77,184.24,4077,1562457600
ok,193.11,197.54,181.42,187.46,9483,1562544000
ok,187.06,193.11,185.85,192.71,3110,1562630400
ok,189.48,191.5,187.06,187.46,1230,1562716800
ok,185.05,189.08,185.05,187.87,1800,1562803200
ok,187.87,189.48,186.26,187.46,1400,1563062400
ok,189.48,191.5,187.46,190.29,850,1563148800
ok,190.29,193.51,187.46,189.88,550,1563235200
ok,187.06,193.11,187.06,191.5,770,1563321600
ok,191.5,195.12,190.69,190.69,360,1563408000
ok,187.46,201.17,187.46,201.17,1668,1563667200
ok,198.75,209.64,195.12,198.75,895,1563753600
ok,208.43,208.43,193.92,199.16,1340,1563840000
ok,196.33,209.23,196.33,209.23,3478,1563926400
ok,205.61,214.07,199.16,208.03,8690,1564012800
ok,210.85,210.85,200.37,202.78,1200,1564272000
ok,205.61,221.73,205.61,221.73,2730,1564358400
ok,226.17,240.68,219.31,240.68,2292,1564444800
ok,240.68,264.47,237.86,264.47,3250,1564531200
ok,269.71,290.67,267.69,290.67,3670,1564617600
ok,305.18,319.7,304.78,319.7,1770,1564876800
ok,325.75,351.55,314.46,332.6,10582,1564963200
ok,328.57,328.57,299.54,301.96,3869,1565049600
ok,296.32,326.55,278.17,324.54,2070,1565136000
ok,318.09,319.7,302.36,319.7,530,1565222400
ok,325.75,351.55,325.75,337.44,3870,1565481600
ok,332.6,341.87,329.37,334.21,1060,1565568000
ok,328.57,340.26,328.16,332.2,825,1565654400
ok,325.75,332.2,325.75,332.2,1060,1565740800
ok,326.15,334.21,326.15,334.21,510,1565827200
ok,328.97,334.61,322.92,332.6,1400,1566086400
ok,326.55,341.47,326.55,336.23,940,1566172800
ok,330.58,336.63,329.78,336.63,470,1566259200
ok,330.58,330.58,324.94,326.95,670,1566345600
ok,326.95,330.58,324.13,326.95,360,1566432000
ok,326.95,330.58,319.7,330.58,840,1566691200
ok,326.55,330.58,322.52,327.36,1340,1566777600
ok,322.52,330.99,322.52,329.78,510,1566864000
ok,329.78,329.78,322.52,328.16,790,1566950400
ok,326.55,329.37,323.33,329.37,90,1567036800
ok,323.33,327.36,323.33,327.36,210,1567296000
ok,322.52,325.75,321.31,325.75,1190,1567382400
ok,319.29,338.65,319.29,338.65,451,1567468800
ok,335.82,335.82,322.92,327.76,370,1567555200
ok,322.52,328.57,322.52,328.57,580,1567641600
ok,325.34,326.55,322.52,326.15,170,1567900800
ok,320.5,324.54,320.1,324.54,320,1567987200
ok,324.54,327.36,319.29,326.55,320,1568073600
ok,326.55,326.55,321.71,324.54,190,1568160000
ok,322.52,322.52,318.89,321.71,249,1568246400
ok,327.76,327.76,316.47,322.52,690,1568505600
ok,316.88,324.54,316.88,324.54,210,1568592000
ok,328.57,332.6,320.5,325.34,170,1568678400
ok,325.34,331.79,322.52,330.99,440,1568764800
ok,324.54,330.58,320.5,320.91,170,1568851200
ok,318.49,318.49,310.83,318.49,80,1569110400
ok,312.84,320.91,312.84,320.91,120,1569196800
ok,321.31,322.52,314.46,322.52,240,1569283200
ok,322.92,322.92,316.88,320.5,340,1569456000
ok,316.47,326.55,316.47,322.52,180,1569715200
ok,316.07,318.49,312.44,316.47,90,1569801600
ok,322.52,326.15,322.52,322.92,350,1569888000
ok,319.29,319.29,318.89,318.89,20,1569974400
ok,322.52,324.94,322.52,322.92,141,1570060800
ok,316.88,316.88,313.65,314.86,530,1571011200
ok,310.43,314.46,310.43,314.46,70,1571097600
ok,310.83,316.88,310.83,313.25,800,1571270400
ok,313.25,313.25,310.43,312.44,50,1571529600
ok,314.46,314.46,312.84,314.46,149,1571616000
ok,308.81,312.44,308.81,310.83,90,1571702400
ok,308.01,308.01,306.39,306.39,30,1571788800
ok,310.43,312.44,306.39,312.04,100,1571875200
ok,312.04,314.46,310.83,311.23,60,1572480000
ok,308.41,309.62,308.01,309.62,60,1572739200
ok,315.26,320.5,315.26,320.5,110,1572825600
ok,315.67,315.67,312.44,312.44,140,1572912000
ok,310.83,313.65,310.43,313.65,100,1572998400
ok,310.83,318.49,310.83,314.46,170,1573084800
ok,314.46,316.47,312.04,312.44,843,1573344000
ok,310.43,330.99,310.43,330.99,373,1573430400
ok,328.57,330.99,310.43,314.46,90,1573516800
ok,314.46,315.26,309.22,314.46,120,1573603200
ok,314.46,320.91,314.46,320.91,140,1573948800
ok,326.95,326.95,316.47,322.52,689,1574035200
ok,328.97,328.97,318.09,319.7,270,1574121600
ok,322.52,324.54,319.7,320.5,490,1574208000
ok,316.88,317.28,314.46,314.46,160,1574294400
ok,313.65,315.67,309.62,315.67,240,1574553600
ok,314.46,322.52,312.04,322.52,170,1574640000
ok,318.49,318.49,312.44,316.47,70,1574726400
ok,311.23,322.52,311.23,322.52,150,1574812800
ok,322.52,328.97,322.52,328.16,840,1574899200
ok,322.52,328.97,322.52,328.16,840,1574899200
ok,321.71,321.71,303.57,310.83,380,1575158400
ok,312.44,322.52,310.43,316.07,220,1575244800
ok,316.07,320.5,310.83,318.09,160,1575331200
ok,316.07,327.36,316.07,326.55,770,1575417600
ok,326.15,334.21,326.15,332.2,1590,1575504000
ok,338.65,338.65,331.39,338.24,510,1575763200
ok,341.87,369.29,341.87,356.79,630,1575849600
ok,357.19,370.9,343.08,370.9,1053,1575936000
ok,363.64,382.19,354.77,374.93,836,1576022400
ok,367.67,378.56,365.66,378.56,1407,1576108800
ok,371.3,372.11,364.85,372.11,250,1576368000
ok,362.84,374.12,360.01,366.46,2238,1576454400
ok,373.72,388.23,359.21,380.17,810,1576540800
ok,372.91,378.96,359.61,378.96,1230,1576627200
ok,371.7,371.7,350.74,368.08,1491,1576713600
ok,365.66,365.66,358.8,364.04,190,1576972800
ok,356.79,368.48,356.79,365.66,460,1577059200
ok,358.4,372.91,351.55,361.63,130,1577145600
ok,358.8,363.64,353.16,354.77,600,1577232000
ok,360.82,361.63,353.97,360.82,220,1577318400
ok,355.58,367.67,355.18,360.42,510,1577577600
ok,353.56,362.84,353.56,358.0,1000,1577664000
ok,357.19,370.09,352.76,352.76,2170,1577750400
ok,357.19,360.01,353.56,353.56,650,1577836800
ok,360.42,377.35,356.79,376.14,5842,1577923200
ok,378.96,399.92,372.91,399.92,2910,1578182400
ok,399.92,399.92,387.43,395.09,2049,1578268800
ok,402.34,403.96,395.09,399.92,1665,1578355200
ok,399.92,432.18,397.1,431.37,3610,1578441600
