s,o,h,l,c,v,t
ok,1067.0,1162.7,1067.0,1162.7,5314,1723939200
ok,1185.9,1278.9,1090.0,1099.0,142108,1724198400
ok,1120.0,1120.0,1064.0,1078.0,36931,1724284800
ok,1056.5,1115.0,1025.0,1040.0,27092,1724544000
ok,1024.1,1060.0,998.0,999.9,20466,1724716800
ok,1019.8,1020.0,965.0,965.0,13394,1724803200
ok,956.5,1003.0,945.7,967.0,12183,1724889600
ok,986.3,988.0,926.4,926.4,12163,1725148800
ok,926.4,954.5,916.0,954.5,14912,1725235200
ok,956.0,1049.0,955.0,1020.0,19965,1725321600
ok,1012.0,1072.0,983.0,990.0,21344,1725408000
ok,973.0,1023.0,968.0,992.0,14160,1725494400
ok,1011.8,1073.0,1000.0,1009.0,22487,1725753600
ok,1029.0,1029.0,980.0,989.0,8917,1725840000
ok,1004.0,1004.0,967.0,967.3,6374,1725926400
ok,967.3,980.0,958.0,975.0,10305,1726012800
ok,971.0,986.0,957.1,980.0,9452,1726099200
ok,985.0,993.0,951.0,958.0,6701,1726358400
ok,941.0,955.0,922.0,923.0,8147,1726444800
ok,941.0,941.0,905.0,911.1,6661,1726617600
ok,929.0,929.3,897.1,905.0,5225,1726963200
ok,895.0,905.0,882.0,882.5,5095,1727049600
ok,890.0,890.0,852.0,855.0,7027,1727136000
ok,850.0,870.0,842.0,865.0,8222,1727222400
ok,865.0,868.0,848.0,848.0,5938,1727308800
ok,864.7,870.0,826.0,852.0,4507,1727568000
ok,835.0,871.0,835.0,871.0,2664,1727654400
ok,875.0,900.0,871.0,900.0,6254,1727740800
ok,902.0,915.0,880.0,888.9,5011,1727827200
ok,875.5,936.0,855.1,920.0,4818,1728172800
ok,938.0,970.0,920.3,940.9,8275,1728259200
ok,923.0,938.0,900.0,900.0,4017,1728345600
ok,918.0,930.0,882.1,924.0,5232,1728432000
ok,910.0,930.0,910.0,928.0,1154,1728950400
ok,925.1,997.0,925.0,949.0,4572,1729036800
ok,931.0,984.9,931.0,948.0,8142,1729123200
ok,929.1,945.0,910.6,921.1,4596,1729382400
ok,923.0,935.0,896.0,900.0,4052,1729468800
ok,890.0,928.2,890.0,911.0,4327,1729555200
ok,929.2,929.2,902.3,910.0,3389,1729641600
ok,928.2,928.2,895.1,899.0,5550,1729728000
ok,900.0,912.0,887.1,912.0,5412,1729987200
ok,928.0,928.0,901.6,904.5,1044,1730073600
ok,920.0,932.0,907.0,917.0,4372,1730160000
ok,917.0,936.0,917.0,923.0,3922,1730246400
ok,934.9,935.0,916.4,929.0,1386,1730764800
ok,929.0,942.0,921.1,925.0,1861,1730851200
ok,925.0,948.7,918.0,945.0,5388,1731196800
ok,926.1,1006.0,926.1,969.0,22164,1731283200
ok,975.0,988.5,955.0,955.5,4434,1731369600
ok,955.0,958.0,936.0,941.0,4711,1731456000
ok,959.8,997.0,931.0,960.0,8220,1731542400
ok,975.0,1000.0,961.0,988.0,17027,1731801600
ok,1000.0,1000.0,945.8,957.0,13609,1731974400
ok,939.3,981.2,939.3,961.6,5991,1732060800
ok,942.4,1019.9,942.4,1000.0,32192,1732147200
ok,1000.0,1012.9,970.0,992.5,10328,1732406400
ok,972.7,997.0,972.7,990.0,2890,1732492800
ok,990.0,1000.0,975.1,998.0,6339,1732579200
ok,978.1,1060.0,978.1,1035.0,34433,1732665600
ok,1054.0,1055.0,1010.0,1025.0,13325,1732752000
ok,1004.5,1031.3,995.0,1025.0,13436,1733011200
ok,1045.5,1110.0,1015.0,1082.0,32691,1733097600
ok,1103.6,1148.0,1060.0,1097.0,19113,1733184000
ok,1075.1,1205.0,1070.0,1070.0,37324,1733270400
ok,1048.6,1091.0,1025.0,1032.0,21633,1733356800
ok,1011.4,1030.0,980.1,995.0,13041,1733616000
ok,975.2,1035.8,970.0,979.1,7476,1733702400
ok,998.6,998.6,958.0,960.0,7792,1733788800
ok,979.2,1018.0,965.0,970.0,3610,1733875200
ok,989.4,1009.0,952.2,957.0,3013,1733961600
ok,950.0,951.0,925.1,938.0,6434,1734307200
ok,920.0,954.9,920.0,925.0,5251,1734393600
ok,943.5,943.5,910.0,920.0,4842,1734480000
ok,938.4,938.4,905.0,910.0,7327,1734566400
ok,898.0,971.8,898.0,928.0,4857,1734825600
ok,937.0,951.6,910.3,949.5,2843,1734912000
ok,930.6,968.0,930.6,948.8,4060,1734998400
ok,930.1,946.0,930.0,946.0,1521,1735171200
ok,928.0,964.9,911.1,940.0,5790,1735430400
ok,922.0,958.0,897.0,925.0,7321,1735603200
ok,925.0,927.0,900.1,906.0,3220,1735689600
ok,901.8,942.0,888.8,911.2,2444,1735776000
ok,900.1,963.9,900.1,929.0,4997,1736035200
ok,911.1,965.0,911.1,940.0,2684,1736121600
ok,921.4,955.0,915.0,948.0,4733,1736208000
ok,929.1,985.0,929.1,939.0,4767,1736294400
ok,920.3,994.0,920.3,930.0,5403,1736380800
ok,921.1,994.0,914.1,946.0,6899,1736640000
ok,940.0,940.0,903.1,938.1,6761,1736726400
ok,938.1,951.9,907.0,937.0,2437,1736899200
ok,922.0,954.0,909.0,916.0,1933,1736985600
ok,900.0,970.0,900.0,938.0,7589,1737244800
ok,949.9,949.9,910.0,912.1,2241,1737331200
ok,905.4,940.0,905.0,929.0,6487,1737417600
ok,912.0,931.0,912.0,927.4,5942,1737504000
ok,908.9,963.0,901.0,904.0,12545,1737590400
ok,890.1,977.9,890.1,927.0,17217,1737849600
ok,943.5,943.5,918.0,929.0,4676,1737936000
ok,946.0,946.0,921.0,930.0,9634,1738022400
ok,947.1,984.3,930.1,975.0,18755,1738454400
ok,955.5,1012.0,955.5,983.0,18196,1738540800
ok,999.9,1000.0,980.0,989.0,18268,1738627200
ok,970.0,1040.0,970.0,998.9,7491,1738713600
ok,979.0,1017.0,979.0,986.8,5830,1738800000
ok,991.1,1000.0,980.0,980.1,10719,1739059200
ok,981.0,997.9,979.3,984.9,9134,1739145600
ok,1000.0,1005.0,983.0,990.0,14302,1739232000
ok,970.2,1025.0,970.2,999.5,8802,1739318400
ok,979.6,1038.0,979.6,1000.0,13066,1739404800
ok,1010.0,1055.0,1005.1,1044.0,27905,1739664000
ok,1024.0,1107.0,1024.0,1060.0,17436,1739750400
ok,1065.0,1080.0,1035.1,1042.0,12918,1739836800
ok,1023.0,1032.0,1022.0,1030.0,10588,1740009600
ok,1010.0,1040.0,990.0,1020.0,11302,1740268800
ok,1007.0,1035.0,991.0,992.0,16438,1740355200
ok,1010.0,1010.0,975.0,997.0,12185,1740441600
ok,1016.0,1026.0,990.0,990.0,6074,1740614400
ok,992.0,1031.0,985.1,1013.0,9442,1740873600
ok,1033.0,1033.0,980.0,995.0,10972,1740960000
ok,990.0,994.0,975.0,984.0,12161,1741046400
ok,984.0,993.0,965.3,970.0,8341,1741132800
ok,988.9,1000.0,953.0,965.0,4396,1741219200
ok,952.0,960.0,931.0,957.9,6904,1741478400
ok,950.0,970.0,945.1,950.0,4630,1741564800
ok,969.0,969.0,935.0,950.0,7392,1741651200
ok,931.0,968.0,931.0,939.0,4001,1741737600
ok,921.0,950.0,921.0,939.7,4888,1742083200
ok,939.7,964.0,939.7,940.0,5702,1742169600
ok,950.0,958.5,940.2,957.9,2504,1742256000
ok,977.0,977.0,943.0,966.0,3274,1742342400
ok,985.0,985.0,955.0,966.52,8708,1742428800
ok,953.0,972.0,936.0,940.38,5811,1742688000
ok,924.0,958.8,924.0,949.75,4653,1742774400
ok,936.0,940.0,916.0,921.04,3919,1742860800
ok,925.0,950.0,915.0,948.65,7037,1742947200
ok,932.0,958.9,930.0,944.26,12495,1743033600
ok,941.1,960.0,940.0,956.45,3798,1743292800
ok,945.0,994.0,918.7,955.36,5638,1743465600
ok,937.1,974.9,937.1,946.0,4787,1743552000
ok,946.0,956.6,937.1,938.01,5429,1743638400
ok,920.0,955.0,920.0,928.27,6097,1743984000
ok,927.0,940.0,922.0,933.18,2989,1744070400
ok,922.0,948.8,922.0,934.59,3259,1744156800
ok,919.5,952.9,919.5,938.03,5667,1744243200
ok,922.0,990.0,918.8,971.08,13200,1744502400
ok,972.0,990.5,939.0,982.3,7448,1744675200
ok,995.0,995.0,955.0,979.77,11882,1744761600
ok,985.0,1050.0,983.0,1015.7,32025,1744848000
ok,1005.1,1033.0,990.0,991.2,12124,1745107200
ok,971.4,1008.7,970.0,986.14,4693,1745193600
ok,970.0,988.9,968.0,970.62,7334,1745280000
ok,988.9,988.9,952.2,975.54,9233,1745366400
ok,958.0,986.0,945.0,947.65,4586,1745452800
ok,960.0,960.0,940.0,944.03,3874,1745712000
ok,944.0,960.0,926.0,955.9,7408,1745798400
