s,o,h,l,c,v,t
ok,16.61,16.61,16.61,16.61,125,1325376000
ok,16.61,17.19,16.33,17.19,345,1325462400
ok,17.19,17.41,17.41,17.41,58,1325548800
ok,17.41,17.19,17.19,17.19,302,1325980800
ok,17.19,17.91,17.34,17.91,206,1326067200
ok,17.91,17.91,17.34,17.34,502,1326153600
ok,17.34,17.63,17.34,17.34,146,1326240000
ok,17.34,17.48,16.61,17.48,3956,1326326400
ok,17.48,17.55,17.26,17.55,1284,1326672000
ok,17.55,17.26,16.98,16.98,4712,1326758400
ok,16.98,16.69,16.69,16.69,2000,1326844800
ok,16.69,16.4,16.04,16.04,5837,1327190400
ok,16.04,15.75,15.75,15.75,3000,1327276800
ok,15.75,16.47,16.04,16.47,376,1327536000
ok,16.47,16.76,16.76,16.76,32,1328054400
ok,16.76,17.05,17.05,17.05,10,1328140800
ok,17.05,17.34,16.98,17.05,156,1328400000
ok,17.05,17.34,16.54,16.54,2522,1328486400
ok,16.54,17.19,16.25,17.19,881,1328572800
ok,17.19,17.63,16.18,16.61,3581,1328659200
ok,17.45,17.67,17.67,17.67,207,1330905600
ok,17.67,16.31,15.02,15.09,220,1331769600
ok,15.09,14.87,14.71,14.71,1449,1332028800
ok,14.71,14.49,14.41,14.41,1332,1332115200
ok,14.41,14.56,14.56,14.56,66,1332201600
ok,14.56,14.79,14.64,14.79,119,1332288000
ok,14.79,15.02,14.79,15.02,126,1332720000
ok,15.02,15.25,15.25,15.25,100,1332892800
ok,15.25,14.94,14.71,14.71,20,1332979200
ok,14.71,16.16,14.94,16.16,668,1334188800
ok,16.16,17.07,16.46,17.07,30,1334448000
ok,17.07,17.37,17.37,17.37,215,1334620800
ok,17.37,17.37,17.37,17.37,196,1334707200
ok,17.37,17.82,17.67,17.82,200,1334793600
ok,17.82,18.2,18.13,18.2,204,1335052800
ok,18.2,18.51,18.51,18.51,10,1335312000
ok,18.51,18.81,18.81,18.81,177,1335398400
ok,18.81,19.11,18.81,18.81,180,1335657600
ok,18.81,19.49,19.11,19.11,250,1335744000
ok,19.11,19.49,19.49,19.49,100,1336003200
ok,19.49,19.87,19.87,19.87,18,1336435200
ok,19.87,19.87,19.87,19.87,323,1336521600
ok,19.87,20.25,19.87,20.25,935,1336608000
ok,20.25,19.87,19.19,19.19,180,1336953600
ok,19.19,19.95,19.57,19.95,482,1337040000
ok,19.95,20.71,20.33,20.71,60,1337212800
ok,20.71,20.4,20.4,20.4,100,1337558400
ok,20.4,20.4,20.02,20.1,500,1337644800
ok,20.1,19.8,19.8,19.8,1020,1337817600
ok,19.8,20.56,19.8,20.56,1230,1338076800
ok,20.56,20.18,18.51,18.51,597,1338249600
ok,18.51,18.2,17.6,17.6,664,1338336000
ok,17.6,17.6,17.6,17.6,32,1338422400
ok,17.6,17.6,17.6,17.6,171,1338768000
ok,17.6,18.13,17.9,18.13,1192,1338854400
ok,18.13,18.43,18.43,18.43,200,1338940800
ok,18.43,18.43,18.43,18.43,461,1339027200
ok,18.43,18.2,18.2,18.2,10,1339286400
ok,18.2,18.81,18.51,18.81,112,1339545600
ok,18.81,18.51,18.51,18.51,10,1339632000
ok,18.51,18.81,18.2,18.81,68,1339891200
ok,18.81,18.81,18.2,18.81,4325,1340064000
ok,18.81,18.51,18.51,18.51,194,1340236800
ok,18.51,18.81,18.81,18.81,10,1340582400
ok,18.81,18.81,18.51,18.81,270,1340668800
ok,18.81,18.89,18.58,18.89,730,1340755200
ok,18.89,19.19,18.58,19.19,69,1340841600
ok,19.19,19.11,18.81,19.11,30,1341100800
ok,19.11,19.49,18.96,19.49,360,1341187200
ok,19.49,18.66,18.28,18.28,7320,1341273600
ok,18.28,18.28,18.28,18.28,600,1341360000
ok,18.28,18.58,18.28,18.28,920,1341446400
ok,18.28,18.2,17.6,17.6,970,1341705600
