s,o,h,l,c,v,t
ok,562.63,579.25,551.91,573.5,7721,1641081600
ok,968.54,968.54,889.46,889.46,1339,1652313600
ok,872.12,872.12,800.52,800.52,1298,1652745600
ok,784.55,784.55,720.5,720.5,1371,1652832000
ok,706.62,708.77,665.74,683.59,16061,1652918400
ok,690.79,708.77,669.2,669.2,4580,1653004800
ok,655.81,655.81,636.82,644.01,3626,1653264000
ok,656.61,658.4,605.23,616.67,10440,1653350400
ok,628.97,639.7,606.45,631.78,6856,1653436800
ok,631.78,636.75,618.83,626.02,3286,1653523200
ok,632.5,632.5,611.7,624.59,3085,1653609600
ok,624.59,624.59,597.24,600.84,5166,1653868800
ok,600.84,600.84,578.53,582.13,3811,1653955200
ok,582.13,605.52,571.34,571.34,6105,1654041600
ok,571.34,582.13,564.86,564.93,5935,1654128000
ok,557.67,564.14,543.27,544.71,10284,1654214400
ok,555.58,555.58,540.4,545.43,4105,1654473600
ok,553.28,553.35,534.64,542.55,4257,1654560000
ok,549.03,576.37,539.68,568.46,4832,1654646400
ok,579.83,590.05,546.87,559.82,3424,1654732800
ok,550.47,564.14,543.27,554.07,879,1654819200
ok,554.07,554.07,539.68,539.68,1772,1655078400
ok,543.27,543.27,519.53,519.53,3264,1655164800
ok,519.53,539.68,510.89,525.28,2240,1655251200
ok,518.16,543.27,518.16,531.69,1819,1655337600
ok,531.69,539.68,531.69,537.81,565,1655424000
ok,536.8,536.8,513.05,514.56,3746,1655596800
ok,505.14,505.14,485.71,487.87,5036,1655683200
ok,497.58,511.61,493.7,503.7,3718,1655769600
ok,497.94,507.3,496.5,504.42,2221,1655856000
ok,496.5,502.98,479.23,502.26,3285,1655942400
ok,492.26,510.03,483.05,509.45,1356,1656028800
ok,510.89,542.55,510.17,539.68,3242,1656201600
ok,550.47,550.47,516.94,528.16,4031,1656288000
ok,517.66,529.89,511.61,515.21,1939,1656374400
ok,522.41,556.23,513.05,538.88,8927,1656460800
ok,543.27,592.71,540.4,592.71,15537,1656547200
ok,604.44,605.16,582.85,597.24,4590,1656633600
ok,597.24,610.05,585.73,608.03,5632,1656806400
ok,598.32,626.02,584.29,584.29,17988,1656892800
ok,573.5,597.96,565.58,575.65,6610,1656979200
ok,565.58,579.25,561.26,573.5,4085,1657065600
ok,584.94,586.45,559.82,559.82,3003,1657152000
ok,559.82,559.82,541.12,557.67,3732,1657238400
ok,557.67,557.67,522.41,528.16,5163,1657497600
ok,528.16,543.06,525.28,540.97,3933,1657584000
ok,539.68,565.15,539.68,564.86,6079,1657670400
ok,569.18,572.78,556.23,563.42,2218,1657756800
ok,563.42,568.46,554.07,563.42,879,1657843200
ok,554.07,571.84,554.07,567.02,2018,1658016000
ok,556.37,577.09,555.72,565.58,2371,1658102400
ok,576.88,585.01,568.46,575.65,5094,1658188800
ok,573.5,581.41,567.02,567.02,3790,1658275200
ok,575.65,575.65,564.14,568.46,3144,1658361600
ok,566.3,567.02,542.55,542.55,5533,1658448000
ok,553.35,579.25,552.99,579.25,9872,1658620800
ok,583.57,637.18,583.57,637.18,29103,1658707200
ok,636.82,699.42,636.82,679.99,33007,1658793600
ok,669.2,693.59,655.17,689.35,13309,1658880000
ok,703.02,707.98,674.88,679.99,18929,1658966400
ok,674.24,679.99,669.2,674.95,4018,1659052800
ok,674.95,684.31,652.29,667.76,14700,1659225600
ok,654.81,654.81,632.5,640.42,18500,1659312000
ok,636.82,643.94,623.87,638.98,9251,1659398400
ok,628.18,657.69,626.74,647.61,9749,1659484800
ok,646.89,646.89,627.54,629.69,4349,1659571200
ok,622.43,626.02,606.6,610.91,6438,1659657600
ok,614.51,628.9,609.47,618.83,6829,1659830400
ok,631.21,631.21,604.44,615.95,5399,1659916800
ok,624.59,624.59,586.45,586.45,5333,1660003200
ok,574.93,597.96,574.72,592.2,5491,1660089600
ok,580.69,613.07,575.65,579.97,3123,1660176000
ok,586.45,589.33,568.53,572.06,3704,1660435200
ok,572.06,595.8,569.9,594.36,6413,1660521600
ok,587.96,603.72,579.25,584.29,7367,1660608000
ok,578.53,589.33,576.37,579.4,1031,1660694400
ok,580.19,590.05,579.47,584.29,3531,1660780800
ok,595.8,603.72,590.05,597.17,12481,1661040000
ok,597.1,604.44,590.05,599.4,7208,1661126400
ok,607.68,607.68,594.44,597.96,1866,1661212800
ok,595.08,598.68,590.77,598.68,3312,1661299200
ok,597.24,597.31,572.78,574.22,6058,1661385600
ok,569.9,569.9,557.67,565.29,2747,1661472000
ok,564.14,564.14,546.87,547.59,4323,1661644800
ok,536.8,552.63,536.65,551.91,1787,1661731200
ok,561.19,561.19,546.22,546.22,2276,1661817600
ok,542.55,545.07,536.87,539.68,1720,1661904000
ok,532.55,550.47,532.55,535.65,2065,1661990400
ok,536.08,546.87,535.93,546.87,1640,1662076800
ok,546.87,553.35,540.4,550.47,2032,1662249600
ok,543.27,561.26,541.91,554.07,1502,1662336000
ok,544.07,544.07,533.2,541.83,4099,1662422400
ok,543.27,543.27,527.52,542.91,2556,1662508800
ok,532.55,550.47,532.48,546.87,1391,1662595200
ok,536.08,546.8,536.08,536.15,3763,1662854400
ok,530.32,536.08,529.6,533.92,1457,1662940800
ok,539.68,549.03,532.55,543.27,3314,1663027200
ok,546.15,555.51,541.12,554.07,4031,1663113600
ok,564.14,564.14,528.88,528.88,3290,1663200000
ok,518.81,523.05,508.73,520.25,3112,1663286400
ok,521.69,521.69,500.68,510.1,4290,1663459200
ok,503.7,509.45,493.62,505.14,2398,1663632000
ok,497.22,513.05,497.22,513.05,1852,1663718400
ok,502.98,503.7,496.5,503.63,1275,1663804800
ok,493.7,502.26,483.55,492.18,2478,1664064000
ok,482.83,503.7,482.4,502.98,1838,1664236800
ok,496.5,503.7,490.03,503.7,1243,1664323200
ok,503.7,513.77,500.82,513.77,3939,1664409600
ok,510.89,534.28,505.86,513.77,1845,1665273600
ok,514.49,523.7,505.86,514.49,1329,1665360000
ok,507.51,510.89,503.7,510.89,718,1665446400
ok,504.49,517.37,503.7,517.15,936,1665532800
ok,514.49,514.49,500.82,505.28,1466,1665619200
ok,503.7,510.89,500.1,500.1,3099,1665878400
ok,494.34,510.89,493.62,497.22,1562,1665964800
ok,503.7,503.7,490.03,495.78,689,1666137600
ok,495.78,501.54,492.18,496.5,661,1666224000
ok,503.7,503.7,494.34,496.5,399,1666483200
ok,505.14,505.86,496.5,505.86,662,1667174400
ok,507.3,515.21,502.26,510.89,2273,1667260800
ok,510.89,528.16,509.45,527.44,3267,1667347200
ok,524.57,524.57,508.02,510.17,1337,1667433600
ok,510.17,530.61,510.17,520.97,5336,1667692800
ok,518.81,528.88,518.09,524.57,3002,1667779200
ok,516.65,522.41,512.33,522.41,1105,1667865600
ok,532.48,532.48,504.42,508.73,2342,1667952000
ok,500.1,510.17,491.46,491.46,3934,1668038400
ok,486.43,501.18,483.69,492.18,2318,1668297600
ok,501.97,501.97,490.75,491.46,3397,1668384000
ok,485.85,505.86,485.85,500.82,1535,1668470400
ok,510.82,510.82,491.46,496.65,914,1668556800
ok,506.58,522.48,497.22,503.7,3938,1668643200
ok,504.42,513.77,500.82,508.02,725,1669075200
ok,503.7,503.7,492.98,492.98,896,1669161600
ok,496.5,506.43,491.54,502.98,1114,1669248000
ok,496.5,514.49,496.5,514.49,1476,1669507200
ok,512.33,518.09,508.02,518.09,3073,1669593600
ok,518.09,526.0,508.09,511.68,3845,1669680000
ok,508.73,519.53,508.73,519.53,2729,1669766400
ok,510.89,527.44,510.89,519.74,2710,1669852800
ok,519.53,530.03,518.16,521.69,1917,1670112000
ok,516.0,516.0,498.8,500.82,1444,1670198400
ok,507.3,513.77,502.26,508.02,1057,1670284800
ok,499.45,510.17,499.38,510.17,1041,1670371200
ok,510.89,528.88,503.7,503.7,2985,1670716800
ok,504.42,512.33,500.1,512.33,1947,1670803200
ok,512.33,522.33,508.73,518.09,672,1670889600
ok,518.09,518.09,507.73,513.05,766,1670976000
ok,504.42,510.17,500.1,510.17,2793,1671062400
ok,502.26,502.26,495.06,502.26,2097,1671321600
ok,493.7,511.61,493.7,511.61,1232,1671408000
ok,502.98,520.25,502.98,512.33,698,1671494400
ok,512.33,513.12,503.12,510.89,1564,1671580800
ok,500.82,511.61,500.82,510.89,1986,1671667200
ok,518.02,525.28,512.33,525.28,960,1672012800
ok,535.36,535.36,521.04,526.08,8901,1672099200
ok,521.69,530.32,521.69,528.16,4185,1672185600
ok,525.28,561.48,525.28,561.26,6876,1672272000
ok,550.54,579.25,550.54,574.07,7917,1672531200
ok,562.63,579.25,551.91,573.5,7721,1672617600
ok,564.93,597.96,564.86,595.08,8737,1672704000
ok,593.64,647.61,593.64,647.61,12331,1672790400
ok,647.61,656.97,623.15,635.38,11710,1672876800
ok,629.62,687.19,623.94,678.48,23849,1673136000
ok,690.07,690.79,665.6,684.31,15906,1673222400
ok,690.79,701.58,634.66,649.05,18598,1673308800
ok,656.25,669.2,611.99,612.35,9656,1673481600
ok,624.59,645.88,600.12,642.21,11770,1673913600
ok,654.81,679.27,638.98,657.69,17761,1674000000
ok,670.78,684.17,635.38,667.69,11981,1674086400
ok,654.38,687.91,654.38,655.53,4943,1674432000
ok,642.57,719.57,641.85,719.57,8868,1674518400
ok,705.18,720.29,679.27,706.62,15614,1674604800
ok,715.25,715.25,670.71,694.31,9608,1674691200
ok,680.71,685.03,657.69,657.69,11867,1674950400
ok,670.78,670.78,626.46,647.61,11553,1675036800
ok,647.61,647.61,628.18,636.75,3777,1675123200
ok,624.08,640.42,619.55,640.42,4097,1675209600
ok,652.43,652.43,626.02,632.5,3788,1675296000
ok,632.43,633.94,620.2,622.43,2645,1675555200
ok,619.55,631.06,619.55,628.18,2154,1675641600
ok,637.54,648.33,630.34,648.33,5504,1675728000
ok,660.56,661.28,633.22,633.22,3530,1675814400
ok,636.82,653.37,629.69,638.98,3925,1675900800
ok,629.62,629.62,617.03,620.99,4797,1676160000
ok,615.23,634.66,615.23,618.83,3235,1676332800
ok,618.83,626.02,615.23,625.3,2891,1676419200
