s,o,h,l,c,v,t
ok,748.69,778.92,748.69,778.92,40,1653609600
ok,777.56,843.03,777.56,843.03,70,1653868800
ok,843.03,912.4,843.03,912.4,50,1653955200
ok,930.63,949.24,930.63,949.24,30,1654041600
ok,968.22,987.57,968.22,987.57,20,1654128000
ok,991.22,1086.31,991.22,1086.31,60,1654214400
ok,1108.01,1194.93,1108.01,1194.93,130,1654473600
ok,1218.79,1314.37,1218.79,1314.37,190,1654560000
ok,1340.65,1445.81,1340.65,1445.81,90,1654646400
ok,1474.68,1590.36,1474.68,1590.36,160,1654732800
ok,1590.11,1749.37,1590.11,1749.37,1857,1654819200
ok,1784.3,1924.27,1669.24,1670.48,20060,1655078400
ok,1693.97,1693.97,1582.69,1585.16,11051,1655164800
ok,1585.78,1585.78,1499.23,1550.66,5667,1655251200
ok,1520.87,1576.51,1520.87,1576.51,3304,1655337600
ok,1607.36,1608.04,1561.85,1573.42,1720,1655424000
ok,1564.14,1576.51,1539.47,1546.83,2230,1655596800
ok,1517.77,1545.6,1486.92,1493.04,3197,1655683200
ok,1483.77,1551.78,1483.77,1544.98,2325,1655769600
ok,1521.48,1530.76,1496.2,1523.96,1530,1655856000
ok,1494.9,1502.32,1471.41,1475.12,2552,1655942400
ok,1459.04,1532.36,1448.53,1501.08,855,1656028800
ok,1531.07,1591.34,1511.59,1570.32,2977,1656201600
ok,1585.78,1601.24,1527.05,1543.18,2608,1656288000
ok,1521.48,1545.53,1512.83,1536.32,1137,1656374400
ok,1505.66,1576.51,1505.66,1561.05,1688,1656460800
ok,1561.05,1667.39,1561.05,1635.24,3160,1656547200
ok,1666.77,1667.39,1606.18,1642.04,1478,1656633600
ok,1638.33,1730.45,1608.59,1730.45,2651,1656806400
ok,1765.01,1853.97,1695.21,1700.15,4905,1656892800
ok,1666.15,1797.03,1635.24,1675.43,2558,1656979200
ok,1687.79,1705.66,1646.37,1687.79,1991,1657065600
ok,1687.79,1761.92,1670.48,1679.13,1485,1657152000
ok,1712.52,1712.52,1651.13,1653.79,945,1657238400
ok,1622.87,1622.87,1590.11,1604.33,1830,1657497600
ok,1607.42,1625.97,1582.69,1619.78,1218,1657584000
ok,1644.51,1661.14,1619.78,1661.14,1417,1657670400
ok,1669.24,1693.97,1646.99,1663.06,1739,1657756800
ok,1630.91,1668.62,1630.36,1668.62,500,1657843200
ok,1653.79,1729.83,1653.79,1698.92,1120,1658016000
ok,1700.15,1752.7,1684.7,1751.47,2226,1658102400
ok,1751.47,1823.8,1751.47,1817.06,3657,1658188800
ok,1783.62,1838.02,1781.14,1817.62,2685,1658275200
ok,1819.54,1851.62,1787.94,1820.71,1695,1658361600
ok,1823.18,1829.98,1794.81,1814.53,1001,1658448000
ok,1849.15,1928.78,1812.06,1885.63,3901,1658620800
ok,1885.63,2017.93,1885.63,1984.54,3446,1658707200
ok,1984.54,1996.29,1935.09,1936.32,5092,1658793600
ok,1898.61,2017.93,1897.62,1996.91,2983,1658880000
ok,1996.91,2069.86,1990.73,2015.46,5604,1658966400
ok,1994.44,2102.01,1975.27,2040.19,2612,1659052800
ok,2001.3,2098.92,2001.3,2092.74,2786,1659225600
ok,2092.74,2105.72,2052.55,2074.81,2836,1659312000
ok,2089.64,2116.29,2033.32,2089.64,3011,1659398400
ok,2058.73,2093.97,2007.42,2046.37,4539,1659484800
ok,2071.1,2076.04,1991.34,2067.33,4319,1659571200
ok,2064.3,2136.63,2050.7,2132.3,11197,1659657600
ok,2174.34,2340.65,2134.16,2327.05,6313,1659830400
ok,2287.48,2361.05,2287.48,2348.69,3768,1659916800
ok,2301.76,2324.57,2255.77,2293.66,5165,1660003200
ok,2287.48,2358.45,2242.35,2358.45,4147,1660089600
ok,2318.39,2358.58,2288.1,2348.69,2995,1660176000
ok,2312.21,2330.76,2275.12,2275.12,2507,1660435200
ok,2275.12,2385.16,2262.75,2385.16,3030,1660521600
ok,2391.96,2391.96,2307.26,2307.26,3241,1660608000
ok,2268.93,2318.39,2268.93,2291.19,1057,1660694400
ok,2288.1,2318.39,2288.1,2292.43,1408,1660780800
ok,2281.3,2331.99,2281.3,2287.48,672,1661040000
ok,2253.48,2312.21,2253.48,2287.48,1455,1661126400
ok,2293.66,2364.76,2293.66,2349.3,2565,1661212800
ok,2306.65,2349.3,2306.65,2310.54,1556,1661299200
ok,2312.21,2348.07,2306.34,2348.07,3574,1661385600
ok,2349.3,2349.3,2303.25,2345.6,715,1661472000
ok,2299.85,2318.39,2275.36,2296.75,1322,1661644800
ok,2251.68,2268.93,2251.68,2260.46,1081,1661731200
ok,2287.48,2287.48,2229.43,2256.57,650,1661817600
ok,2286.24,2286.24,2225.66,2225.66,580,1661904000
ok,2194.74,2257.19,2170.02,2225.66,1942,1661990400
ok,2181.21,2225.66,2181.21,2225.66,230,1662076800
ok,2213.29,2241.11,2213.29,2218.3,1097,1662249600
ok,2261.51,2261.51,2219.47,2222.57,490,1662336000
ok,2189.24,2225.66,2189.24,2190.42,257,1662422400
ok,2168.78,2176.26,2146.65,2168.16,933,1662508800
ok,2168.16,2234.93,2136.07,2234.93,981,1662595200
ok,2190.42,2190.42,2163.83,2164.45,580,1662854400
ok,2181.76,2181.76,2109.49,2129.21,1460,1662940800
ok,2129.21,2194.74,2108.87,2127.36,690,1663027200
ok,2142.19,2194.74,2142.19,2154.56,1022,1663113600
ok,2118.7,2144.54,2095.83,2102.01,1211,1663200000
ok,2059.97,2071.1,2029.68,2063.68,700,1663286400
ok,2064.91,2064.91,2016.69,2021.64,885,1663459200
ok,1981.45,1984.54,1947.45,1962.91,900,1663632000
ok,1925.19,1978.36,1925.19,1969.09,490,1663718400
ok,1959.81,1978.36,1931.44,1935.09,385,1663804800
ok,1922.72,1922.72,1879.51,1879.51,647,1664064000
ok,1915.3,1916.54,1897.99,1904.17,220,1664236800
ok,1916.54,1922.72,1889.34,1922.72,280,1664323200
ok,1922.78,1961.05,1916.54,1947.45,310,1664409600
ok,1978.36,2139.1,1978.36,2139.1,430,1665273600
ok,2096.45,2096.45,2040.19,2049.46,670,1665360000
ok,2012.36,2038.95,1998.15,2003.09,458,1665446400
ok,2003.09,2033.38,1984.54,2027.82,350,1665532800
ok,2004.95,2052.55,2004.95,2037.71,314,1665619200
ok,2030.91,2034.0,1997.53,2003.71,500,1665878400
ok,2002.47,2002.47,1978.79,1982.07,306,1665964800
ok,1978.36,1987.64,1960.43,1969.09,402,1666137600
ok,1969.09,1976.51,1953.63,1957.34,175,1666224000
ok,1947.45,1986.4,1947.45,1978.36,322,1666483200
