s,o,h,l,c,v,t
ok,989.4,989.4,989.4,989.4,20,1677542400
ok,989.4,989.4,989.4,989.4,10,1677628800
ok,989.4,1029.2,989.4,1029.2,45,1677715200
ok,1029.2,1070.6,1029.2,1070.6,145,1677974400
ok,1070.6,1092.0,1070.6,1092.0,35,1678147200
ok,1092.0,1113.8,1092.0,1113.8,20,1678320000
ok,1136.0,1158.7,1136.0,1158.7,35,1678579200
ok,1158.7,1205.4,1158.7,1205.4,60,1678665600
ok,1229.5,1325.9,1229.5,1325.9,155,1678752000
ok,1352.4,1458.4,1352.4,1458.4,150,1678838400
ok,1458.4,1604.2,1458.4,1604.2,347,1678924800
ok,1604.2,1764.6,1604.2,1764.6,900,1679184000
ok,1799.8,1941.0,1799.8,1941.0,621,1679270400
ok,1941.0,2135.1,1940.4,1945.0,2879,1679443200
ok,1910.0,1911.0,1783.0,1800.0,1677,1679529600
ok,1764.0,1764.0,1620.0,1620.0,1050,1679788800
ok,1587.6,1587.6,1465.2,1587.6,512,1679875200
ok,1580.0,1720.9,1570.0,1700.0,315,1679961600
ok,1700.0,1700.0,1600.4,1664.0,406,1680048000
ok,1670.0,1688.0,1619.0,1620.0,350,1680134400
ok,1620.0,1619.7,1588.0,1588.0,40,1680393600
ok,1557.1,1590.0,1557.0,1590.0,100,1680480000
ok,1620.0,1620.0,1563.0,1563.0,124,1680566400
ok,1550.0,1605.0,1550.0,1605.0,570,1680652800
ok,1605.0,1605.0,1600.0,1600.0,36,1680739200
ok,1600.0,1600.0,1568.0,1568.0,30,1680998400
ok,1550.0,1550.0,1515.1,1520.0,430,1681084800
ok,1520.0,1642.0,1520.0,1633.0,345,1681171200
ok,1664.0,1715.0,1616.0,1680.7,785,1681257600
ok,1700.0,1710.0,1632.0,1710.0,91,1681344000
ok,1710.0,1710.0,1641.5,1641.5,165,1681603200
ok,1641.5,1641.5,1581.1,1641.0,128,1681689600
ok,1608.2,1660.0,1587.0,1587.0,356,1681776000
ok,1599.0,1625.0,1599.0,1625.0,75,1681862400
ok,1625.0,1625.0,1592.5,1592.5,25,1681948800
ok,1561.0,1623.8,1561.0,1620.0,70,1682208000
ok,1630.0,1630.1,1611.0,1611.0,530,1682294400
ok,1605.0,1605.0,1605.0,1605.0,20,1682380800
ok,1637.0,1637.0,1605.0,1634.0,59,1682467200
ok,1630.0,1630.0,1615.0,1615.0,20,1682553600
ok,1590.0,1620.0,1586.0,1620.0,70,1682812800
ok,1611.1,1615.0,1609.0,1615.0,153,1682985600
ok,1615.0,1615.0,1590.0,1590.0,40,1683072000
ok,1591.8,1610.0,1591.2,1610.0,187,1683158400
ok,1590.0,1642.2,1552.3,1642.2,100,1683417600
ok,1609.4,1655.0,1520.0,1655.0,115,1683504000
ok,1621.9,1621.9,1511.3,1511.3,552,1683590400
ok,1494.0,1541.5,1494.0,1494.0,170,1683676800
ok,1465.0,1465.0,1408.0,1464.8,145,1683763200
