s,o,h,l,c,v,t
ok,455.1,491.01,455.1,491.01,79,1598832000
ok,500.81,539.98,500.81,539.98,76,1599004800
ok,550.43,593.52,550.43,593.52,730,1599091200
ok,622.91,652.29,622.91,652.29,574,1599350400
ok,684.28,716.93,684.28,716.93,17949,1599436800
ok,752.19,788.1,752.19,788.1,14488,1599523200
ok,827.28,866.45,811.61,825.97,4736,1599609600
ok,812.91,820.09,800.51,807.69,2669,1599696000
ok,793.32,793.32,771.78,775.04,6585,1599955200
ok,760.02,770.47,745.01,754.8,2504,1600041600
ok,750.88,750.88,742.39,743.05,1520,1600128000
ok,731.29,765.9,731.29,745.66,1716,1600214400
ok,760.02,763.94,741.09,750.23,3346,1600300800
ok,713.01,741.09,713.01,739.78,354,1600560000
ok,741.09,741.09,723.46,725.42,2734,1600646400
ok,725.42,725.42,707.79,707.79,2830,1600732800
ok,701.91,716.93,701.91,704.52,2443,1600819200
ok,718.24,736.52,708.44,725.42,1636,1600905600
ok,761.33,761.33,718.24,724.77,756,1601164800
ok,712.36,714.97,708.44,711.71,1044,1601251200
ok,708.44,708.44,698.65,701.26,1306,1601337600
ok,688.85,708.44,688.85,705.18,685,1601424000
ok,692.12,718.24,692.12,717.58,1105,1601510400
ok,705.83,785.49,705.83,767.21,878,1601769600
ok,752.19,752.19,724.77,736.52,1096,1601856000
ok,731.29,731.95,726.07,728.03,2479,1601942400
ok,714.97,771.12,714.97,750.23,3352,1602028800
ok,735.87,735.87,718.24,725.42,937,1602115200
ok,718.24,726.72,718.24,725.42,1619,1602374400
ok,724.77,728.03,719.54,724.77,1320,1602460800
ok,712.36,724.77,712.36,714.97,1380,1602547200
ok,679.71,748.92,679.71,718.24,386,1602633600
ok,714.97,716.93,711.05,714.32,974,1602720000
ok,704.52,708.44,704.52,705.83,107,1602979200
ok,699.95,718.24,699.95,709.09,415,1603065600
ok,711.71,728.03,711.71,725.42,403,1603152000
ok,718.24,725.42,718.24,725.42,85,1603238400
ok,712.36,723.46,712.36,715.62,628,1603324800
ok,718.24,726.07,715.62,718.89,1341,1603929600
ok,718.24,723.46,712.36,718.89,933,1604188800
ok,713.67,739.78,713.67,737.82,1490,1604275200
ok,747.62,750.88,729.34,731.29,1110,1604361600
ok,731.29,733.91,726.72,733.25,1044,1604448000
ok,726.72,732.6,720.85,732.6,1903,1604534400
ok,725.42,731.29,725.42,728.03,821,1604793600
ok,728.03,756.76,728.03,733.25,1516,1604880000
ok,731.29,737.82,728.68,735.21,1781,1604966400
ok,735.21,763.94,729.34,737.82,1222,1605052800
ok,731.29,737.82,729.34,734.56,314,1605139200
ok,746.97,746.97,725.42,725.42,1178,1605657600
ok,739.78,739.78,725.42,733.91,2840,1605744000
ok,744.35,757.41,733.91,733.91,4821,1606003200
ok,736.52,741.09,731.29,734.56,317,1606089600
ok,735.21,736.52,735.21,735.21,1373,1606176000
ok,749.58,749.58,737.17,744.35,1728,1606262400
ok,744.35,773.74,716.28,718.24,1168,1606348800
ok,732.6,761.33,722.15,733.25,1087,1606608000
ok,737.82,746.97,724.77,741.09,1413,1606694400
ok,746.97,755.45,728.68,733.91,3610,1606780800
ok,733.25,807.04,733.25,807.04,5010,1606867200
ok,846.87,848.82,773.74,793.32,3792,1606953600
ok,777.65,777.65,741.09,741.09,1874,1607212800
ok,750.88,763.94,735.87,749.58,1043,1607299200
ok,750.88,758.72,744.35,746.31,1124,1607385600
ok,735.21,741.09,734.56,735.87,1733,1607472000
ok,721.5,750.23,721.5,731.29,1107,1607558400
ok,735.21,743.7,733.91,743.7,1869,1607817600
ok,758.07,817.48,758.07,817.48,3393,1607904000
ok,833.81,899.1,833.81,899.1,7951,1607990400
ok,943.5,961.78,897.8,914.12,6927,1608076800
ok,914.12,924.57,874.94,894.53,6648,1608163200
ok,876.9,876.9,831.85,832.5,6343,1608422400
ok,816.18,881.47,784.84,863.84,3663,1608508800
ok,880.82,906.28,871.68,894.53,2720,1608595200
ok,907.59,907.59,864.49,876.9,1142,1608681600
ok,861.88,874.94,859.92,859.92,2137,1608768000
ok,845.56,855.35,829.89,835.77,2121,1609027200
ok,852.09,852.09,835.77,836.42,1345,1609113600
ok,852.74,865.15,829.24,852.09,927,1609200000
ok,848.82,848.82,837.72,840.34,592,1609286400
ok,855.35,863.84,847.52,855.35,978,1609372800
ok,845.56,880.82,845.56,880.82,1198,1609632000
ok,888.0,893.88,870.37,870.37,2912,1609718400
ok,856.01,861.88,842.95,861.88,2292,1609804800
ok,849.48,888.0,849.48,888.0,1922,1609891200
ok,903.67,921.95,903.02,915.42,4257,1609977600
ok,901.06,914.77,899.75,914.12,2070,1610236800
ok,897.8,929.79,897.8,920.0,2729,1610323200
ok,903.02,929.14,903.02,928.48,3501,1610409600
ok,946.77,946.77,919.34,933.05,3264,1610496000
ok,927.83,971.58,927.83,971.58,2331,1610841600
ok,972.88,1024.47,972.88,1024.47,3204,1610928000
ok,1044.71,1106.74,1023.81,1044.71,3343,1611014400
ok,1040.14,1060.38,1031.0,1038.18,1881,1611100800
ok,1046.67,1103.47,1044.71,1074.09,3526,1611187200
ok,1077.35,1121.75,1070.82,1121.75,3198,1611446400
ok,1123.06,1123.06,1052.54,1109.35,3542,1611532800
ok,1088.45,1103.47,1077.35,1083.88,1574,1611619200
ok,1083.88,1106.74,1062.34,1102.82,2743,1611705600
ok,1123.71,1174.64,1098.9,1158.97,3032,1611792000
ok,1142.65,1142.65,1096.94,1100.21,2047,1612051200
ok,1121.75,1166.15,1099.55,1153.1,13163,1612137600
ok,1174.64,1268.01,1174.64,1250.38,4205,1612224000
ok,1279.77,1381.62,1279.77,1381.62,4660,1612310400
ok,1450.18,1519.4,1450.18,1519.4,12265,1612396800
ok,1549.43,1670.88,1549.43,1670.23,10779,1612656000
ok,1697.65,1731.6,1534.41,1563.8,8774,1612742400
ok,1641.5,1641.5,1494.58,1515.48,6103,1612828800
ok,1604.28,1604.28,1478.26,1480.22,4908,1612915200
ok,1462.59,1508.3,1437.12,1478.91,6173,1613001600
ok,1449.53,1456.06,1385.54,1403.82,4998,1613260800
