s,o,h,l,c,v,t
ok,113.75,113.75,113.75,113.75,10,1447027200
ok,115.94,125.05,115.94,125.05,168,1447113600
ok,127.24,137.08,127.24,137.08,50,1448755200
ok,139.64,139.64,139.64,139.64,10,1448841600
ok,139.64,147.29,142.19,147.29,30,1448928000
ok,150.21,153.13,150.21,153.13,20,1449014400
ok,156.04,158.96,156.04,158.96,28,1449100800
ok,161.88,174.64,161.88,174.64,76,1449446400
ok,183.02,191.77,183.02,191.77,319,1449532800
ok,195.42,210.73,195.42,210.73,130,1449619200
ok,214.74,231.51,214.74,231.51,92,1449705600
ok,235.89,254.48,235.89,254.48,50,1449964800
ok,259.22,279.64,259.22,279.64,85,1450051200
ok,285.1,307.34,285.1,307.34,648,1450137600
ok,313.18,337.97,313.18,337.97,4082,1450224000
ok,344.53,371.51,344.53,371.51,11089,1450310400
ok,371.51,380.63,352.55,357.29,16297,1450569600
ok,357.29,359.12,328.13,346.72,7937,1450656000
ok,347.45,371.88,347.45,371.88,6941,1450742400
ok,371.88,391.93,364.58,382.81,9042,1450828800
ok,380.99,421.09,375.16,421.09,7798,1450915200
ok,419.27,429.48,404.69,423.28,8188,1451001600
ok,423.28,428.39,415.99,420.37,7129,1451260800
ok,420.37,426.56,403.96,426.56,7982,1451347200
ok,419.27,438.59,395.21,437.5,5459,1451520000
ok,437.14,446.62,430.21,446.62,6898,1451779200
ok,446.62,450.26,427.29,435.68,3188,1451865600
ok,437.5,437.5,426.56,431.67,4100,1451952000
ok,433.85,433.85,402.87,414.17,3875,1452038400
ok,408.33,421.09,408.33,414.17,1902,1452124800
ok,414.17,428.39,411.98,428.39,6088,1452384000
ok,420.0,428.39,411.98,423.28,5645,1452470400
ok,415.63,440.42,401.04,437.87,7670,1452556800
ok,437.87,455.73,435.68,447.71,10301,1452643200
ok,442.97,464.84,437.5,455.37,7928,1452729600
ok,464.12,500.57,464.12,500.57,100,1454198400
ok,500.57,548.7,510.42,547.97,1240,1454284800
ok,546.88,546.88,537.76,537.76,753,1454371200
ok,537.76,539.22,528.65,535.94,332,1454457600
ok,525.73,525.73,515.89,525.0,810,1454544000
ok,525.0,535.21,514.79,514.79,550,1454803200
ok,524.64,524.64,524.64,524.64,400,1455408000
ok,514.43,514.43,484.9,499.48,2349,1455494400
ok,499.48,503.13,495.83,495.83,745,1455580800
ok,495.83,505.68,505.68,505.68,10,1455753600
ok,495.83,495.83,485.99,486.72,48,1456012800
ok,479.43,484.9,479.43,484.9,350,1456099200
ok,484.9,475.78,466.3,466.3,103,1456185600
ok,457.55,457.55,448.44,457.19,386,1456272000
ok,452.08,452.08,444.79,452.08,112,1456358400
ok,452.08,459.38,448.44,455.73,90,1456617600
ok,455.73,501.3,464.84,486.72,3061,1456704000
ok,496.2,499.84,488.54,488.54,952,1456790400
ok,488.54,507.87,481.25,504.95,1604,1456876800
ok,506.77,517.71,506.04,517.34,570,1457222400
ok,527.92,568.75,527.92,568.39,4791,1457568000
ok,579.69,590.99,564.74,585.16,2631,1457827200
ok,583.33,583.33,568.39,568.39,2140,1457913600
ok,572.4,572.4,547.24,550.16,3596,1458000000
ok,536.67,546.88,536.67,546.88,125,1458086400
ok,548.7,548.7,537.76,537.76,472,1458172800
ok,528.65,543.23,528.65,532.66,1332,1458432000
ok,525.0,535.21,525.0,534.12,314,1458518400
ok,525.0,525.0,525.0,525.0,110,1458691200
ok,525.0,514.79,504.95,504.95,112,1458777600
ok,504.95,496.2,490.73,490.73,172,1459036800
ok,490.73,504.95,481.25,504.95,1004,1459123200
ok,510.42,541.41,510.42,528.65,999,1459209600
ok,528.65,528.65,518.07,518.07,1248,1459296000
ok,518.07,510.42,507.87,510.42,916,1459382400
ok,510.42,515.89,501.3,515.89,420,1459641600
ok,515.89,505.68,499.48,504.95,1383,1459728000
ok,499.48,499.48,499.48,499.48,32,1459814400
ok,499.48,503.13,499.48,499.48,223,1459900800
ok,499.48,492.55,489.27,489.27,496,1460246400
ok,489.27,492.19,481.25,492.19,681,1460332800
ok,492.19,492.19,490.37,490.37,267,1460419200
ok,490.37,512.24,499.84,512.24,403,1460592000
ok,515.89,515.89,506.77,506.77,350,1460851200
ok,506.77,510.05,504.95,504.95,298,1460937600
ok,504.95,510.42,495.83,501.67,180,1461024000
ok,501.67,503.13,491.82,501.67,377,1461110400
ok,501.67,510.42,493.28,500.21,292,1461196800
ok,500.21,503.13,494.01,499.48,245,1461456000
ok,499.48,503.13,495.83,503.13,243,1461542400
ok,503.13,514.06,498.75,506.04,2050,1461628800
ok,506.04,528.65,503.13,528.65,1619,1461715200
ok,528.65,539.22,519.53,526.09,1192,1461801600
ok,526.09,526.82,521.35,521.35,170,1462147200
ok,521.35,523.18,505.68,510.42,700,1462233600
ok,510.42,508.59,500.57,500.57,50,1462320000
ok,500.57,510.78,495.83,503.13,1400,1462406400
ok,503.13,510.42,492.19,510.42,1326,1462665600
ok,501.67,517.71,501.67,510.42,644,1462752000
ok,510.42,512.24,499.84,501.3,1415,1462838400
ok,501.3,527.92,495.83,510.42,750,1462924800
ok,501.3,517.71,501.3,514.06,913,1463011200
ok,515.89,521.35,512.24,515.89,1808,1463270400
ok,515.89,517.71,506.77,515.89,759,1463356800
ok,515.52,534.12,515.52,528.65,1496,1463443200
ok,528.65,541.41,518.44,531.2,6656,1463529600
ok,531.2,561.09,515.89,551.25,8515,1463616000
ok,551.25,576.41,543.23,575.68,4885,1463875200
ok,575.68,580.05,563.28,571.67,1262,1463961600
ok,571.67,602.66,568.75,577.87,2403,1464048000
ok,577.87,589.17,554.17,554.53,2637,1464134400
ok,554.53,581.51,542.14,576.77,2382,1464220800
ok,576.77,570.57,561.46,570.57,1145,1464480000
ok,570.57,570.57,559.27,559.64,387,1464566400
ok,559.64,570.57,549.06,550.89,648,1464652800
ok,550.89,561.82,550.89,555.99,1253,1464739200
ok,555.99,556.72,546.88,553.07,775,1464825600
ok,553.07,545.05,535.94,535.94,242,1465084800
ok,535.94,546.88,525.0,546.88,1503,1465171200
ok,546.51,557.81,538.85,547.24,486,1465257600
ok,547.24,558.18,543.96,546.88,511,1465344000
ok,547.6,561.46,547.6,552.71,3425,1465430400
ok,552.71,572.4,546.88,568.75,874,1465689600
ok,568.75,614.32,565.47,605.21,5967,1465776000
ok,617.24,665.73,617.24,665.73,12710,1465862400
ok,674.48,674.48,638.02,654.06,7066,1465948800
ok,656.25,676.67,643.49,676.67,7324,1466035200
ok,676.67,690.16,652.6,652.6,2241,1466294400
ok,652.6,652.6,616.15,652.6,2331,1466380800
ok,652.6,667.19,641.67,667.19,4818,1466467200
ok,654.06,707.29,654.06,683.96,2821,1466553600
ok,683.96,700.0,678.13,696.35,2023,1466640000
ok,696.35,692.71,674.48,681.77,746,1466899200
ok,681.77,681.41,668.28,668.28,640,1466985600
ok,668.28,663.54,652.6,663.54,707,1467072000
ok,663.54,695.26,667.19,695.26,6731,1467158400
ok,695.26,713.85,679.22,713.85,2195,1467244800
ok,713.85,784.95,713.85,765.63,8517,1467504000
ok,765.63,783.86,718.23,723.7,3077,1467590400
ok,709.48,752.5,696.35,710.94,2863,1467676800
ok,697.08,714.58,692.71,700.0,1825,1467763200
ok,700.0,713.85,681.77,703.65,2110,1468108800
ok,703.65,700.0,680.68,700.0,623,1468195200
ok,700.0,713.85,700.0,713.85,50,1468281600
ok,713.85,699.64,656.25,656.25,1121,1468368000
ok,663.54,694.53,638.02,638.02,5301,1468454400
ok,638.02,625.26,577.5,577.5,50,1468713600
ok,577.5,588.8,519.9,546.88,4673,1468800000
ok,536.3,568.75,528.65,529.01,1319,1468886400
ok,528.28,528.65,503.13,512.24,2555,1468972800
ok,512.24,546.88,502.03,535.94,405,1469059200
ok,535.94,576.04,535.94,568.75,1631,1469404800
ok,568.75,583.33,565.1,583.33,1077,1469491200
ok,583.33,600.83,585.16,594.27,693,1469577600
ok,594.27,594.27,561.46,561.46,753,1469664000
ok,561.46,572.4,557.81,572.4,913,1469923200
ok,572.4,572.4,537.76,561.09,938,1470009600
ok,561.09,550.16,532.29,536.3,99,1470096000
ok,536.3,546.88,521.35,543.23,788,1470182400
ok,543.23,541.41,528.65,528.65,423,1470268800
ok,528.65,550.52,523.18,523.18,1380,1470528000
ok,523.18,528.65,507.87,507.87,160,1470614400
ok,517.71,526.82,517.71,518.8,690,1470787200
ok,510.42,521.72,504.95,510.42,477,1470873600
ok,500.21,500.21,474.32,483.07,616,1471132800
ok,473.96,495.83,473.96,484.9,627,1471219200
ok,484.9,484.9,466.3,472.14,1477,1471305600
ok,473.96,496.93,473.96,494.01,2669,1471392000
ok,503.85,506.77,492.19,492.19,76,1471737600
ok,492.19,492.19,467.76,467.76,916,1471824000
ok,459.38,473.96,450.26,453.91,692,1471910400
ok,459.38,482.71,450.63,482.71,296,1471996800
ok,492.19,498.02,488.18,498.02,320,1472342400
ok,493.28,507.87,492.19,507.87,712,1472428800
ok,499.48,509.32,499.48,502.4,843,1472515200
ok,512.24,532.66,503.13,511.88,680,1472601600
ok,512.24,522.08,512.24,522.08,40,1472688000
ok,514.06,514.06,494.01,495.1,595,1472947200
ok,490.37,515.89,490.37,510.42,636,1473033600
ok,514.43,528.65,510.42,510.42,969,1473120000
ok,500.57,520.63,500.57,520.63,163,1473206400
ok,510.42,520.26,506.77,512.6,682,1473292800
ok,520.63,530.83,508.59,508.96,176,1473552000
ok,503.13,503.13,503.13,503.13,30,1473638400
ok,493.28,512.24,493.28,502.03,528,1473811200
ok,511.88,521.35,510.42,521.35,695,1474156800
ok,512.24,523.18,512.24,523.18,102,1474329600
ok,528.65,530.47,510.42,514.06,1012,1474416000
ok,514.06,515.89,510.42,510.78,1035,1474502400
ok,514.06,515.89,510.42,510.78,1035,1474761600
ok,488.54,490.73,479.06,488.54,261,1474848000
ok,498.02,498.02,479.43,483.07,148,1474934400
ok,488.54,495.83,484.9,484.9,206,1475020800
ok,484.9,498.02,468.85,470.31,242,1475107200
ok,468.49,473.96,448.8,473.96,1125,1475366400
ok,473.96,473.96,464.84,466.67,196,1475452800
ok,466.67,466.67,455.73,455.73,546,1475539200
ok,450.26,450.26,446.62,447.71,350,1475625600
ok,442.97,468.49,441.88,468.49,809,1475712000
ok,468.49,470.31,466.67,466.67,40,1476576000
ok,470.31,470.31,470.31,470.31,42,1476662400
ok,473.96,473.96,464.84,473.59,357,1476748800
ok,472.87,472.87,441.51,452.45,514,1476835200
ok,445.16,447.34,445.16,446.98,57,1476921600
ok,446.98,457.19,446.98,450.26,535,1477180800
ok,458.28,458.28,445.52,448.44,847,1477267200
ok,455.73,455.73,439.69,439.69,182,1477353600
ok,439.69,453.54,432.03,434.22,973,1477440000
ok,433.85,446.25,432.03,437.5,863,1477526400
ok,439.32,444.79,437.5,439.32,313,1478131200
ok,437.5,473.23,434.22,473.23,152,1478476800
ok,477.6,487.08,468.49,468.49,847,1478563200
ok,459.38,459.38,441.15,441.51,437,1478649600
ok,432.4,441.15,432.4,441.15,1586,1478736000
ok,433.85,444.79,433.85,441.15,358,1478995200
ok,437.5,446.98,434.95,435.68,1097,1479081600
ok,441.15,441.15,428.02,430.94,1350,1479168000
