datetime,price_1d
2023-10-01,342.9
2023-10-02,338.18
2023-10-03,334.5
2023-10-04,335.78
2023-10-05,331.5
2023-10-08,324.23
2023-10-09,318.45
2023-10-10,313.65
2023-10-11,312.98
2023-10-12,307.5
2023-10-16,294.83
2023-10-17,299.25
2023-10-18,305.25
2023-10-19,303.0
2023-10-29,295.5
2023-10-30,293.25
2023-10-31,293.25
2023-11-01,291.75
2023-11-02,286.5
2023-11-05,283.5
2023-11-06,287.78
2023-11-07,302.25
2023-11-08,309.75
2023-11-09,304.2
2023-11-20,304.8
2023-11-21,297.0
2023-11-22,304.65
2023-11-23,322.5
2023-11-26,339.75
2023-11-27,337.5
2023-11-28,336.15
2023-11-29,330.0
2023-11-30,330.0
2023-12-03,330.0
2023-12-04,337.35
2023-12-05,345.75
2023-12-06,361.5
2023-12-07,351.0
2023-12-10,371.25
2023-12-11,370.73
2023-12-12,392.33
2023-12-13,388.5
2023-12-14,382.58
2023-12-17,389.4
2023-12-18,388.5
2023-12-19,418.5
2023-12-20,410.63
2023-12-21,398.25
2023-12-24,405.0
2023-12-27,405.15
2023-12-28,408.0
2024-01-01,396.75
2024-01-02,368.25
2024-01-03,374.55
2024-01-04,361.88
2024-01-07,358.5
2024-01-08,371.25
2024-01-09,375.0
2024-01-10,372.75
2024-01-11,371.55
2024-01-14,372.49
2024-01-16,381.31
2024-01-17,376.58
2024-01-18,370.13
2024-01-21,363.83
2024-01-22,367.76
2024-01-23,364.22
2024-01-24,359.89
2024-01-25,356.74
2024-01-28,360.68
2024-01-29,357.13
2024-01-30,359.1
2024-01-31,356.58
2024-02-01,354.06
2024-02-04,357.92
2024-02-05,353.67
2024-02-06,353.27
2024-02-07,368.55
2024-02-08,367.68
2024-02-11,363.9
2024-02-12,365.4
2024-02-13,358.31
2024-02-14,356.03
2024-02-15,352.09
2024-02-18,347.29
2024-02-20,345.32
2024-02-21,341.93
2024-02-22,337.21
2024-02-25,336.74
2024-02-26,340.2
2024-02-27,341.85
2024-02-28,341.78
2024-02-29,336.26
2024-03-03,331.54
2024-03-04,350.44
2024-03-05,341.78
2024-03-06,344.14
2024-03-07,352.72
2024-03-10,361.46
2024-03-12,382.73
2024-03-13,378.79
2024-03-14,366.98
2024-03-17,367.92
2024-03-18,369.34
2024-03-19,366.42
2024-03-20,366.19
2024-03-21,360.83
2024-03-25,355.95
2024-03-26,355.16
2024-03-27,350.44
2024-03-28,357.45
2024-03-31,355.95
2024-04-01,353.98
2024-04-02,354.69
2024-04-03,354.53
2024-04-04,354.45
2024-04-07,366.19
2024-04-09,364.22
2024-04-10,355.56
2024-04-14,352.8
2024-04-15,349.65
2024-04-16,349.18
2024-04-18,346.11
2024-04-21,345.71
2024-04-22,342.56
2024-04-24,344.14
2024-04-25,346.66
2024-04-28,353.51
2024-04-29,351.93
2024-04-30,356.03
