,s,o,h,l,c,v,t
0,ok,108.19,107.43,104.38,104.38,90,1326326400
1,ok,104.38,103.62,103.62,103.62,10,1327190400
2,ok,103.62,102.86,99.05,99.05,90,1327276800
3,ok,99.05,98.29,94.86,95.62,8380,1327449600
4,ok,95.62,96.76,95.24,96.0,3980,1327536000
5,ok,96.0,96.76,95.62,96.38,3560,1327795200
6,ok,96.38,96.38,96.0,96.38,1350,1327968000
7,ok,96.38,96.38,95.62,96.38,1140,1328054400
8,ok,96.38,96.38,95.62,95.62,1280,1328140800
9,ok,95.62,96.38,95.62,96.0,2020,1328400000
10,ok,96.0,96.38,96.0,96.38,2580,1328486400
11,ok,96.38,96.76,96.76,96.76,40,1328572800
12,ok,96.76,99.05,97.52,99.05,90,1329004800
13,ok,99.05,103.24,99.81,103.24,460,1329091200
14,ok,103.24,105.9,103.24,104.0,1740,1329177600
15,ok,104.0,103.62,101.33,103.62,1100,1329264000
16,ok,103.62,102.86,100.57,100.57,1060,1329782400
17,ok,100.57,100.95,98.67,99.05,4200,1329955200
18,ok,99.05,100.19,99.81,99.81,690,1330214400
19,ok,99.81,100.19,99.05,100.19,720,1330300800
20,ok,100.19,100.19,99.81,99.81,120,1330387200
21,ok,99.81,99.81,99.81,99.81,1380,1330473600
22,ok,99.81,99.81,99.05,99.81,1410,1330560000
23,ok,99.81,101.33,100.57,100.95,1270,1330819200
24,ok,100.95,100.95,100.19,100.95,2100,1330905600
25,ok,100.95,102.1,101.33,101.33,2210,1330992000
26,ok,101.33,100.95,100.57,100.57,1410,1331424000
27,ok,100.57,99.81,98.67,98.67,2160,1331510400
28,ok,98.67,99.05,98.29,99.05,1530,1331596800
29,ok,99.05,99.05,98.29,99.05,2220,1331683200
30,ok,99.05,100.95,99.81,100.95,1040,1331769600
31,ok,100.95,100.95,100.95,100.95,220,1332115200
32,ok,100.95,100.57,100.19,100.57,520,1332288000
33,ok,100.57,100.57,100.57,100.57,510,1332633600
34,ok,100.57,100.57,100.19,100.57,1380,1332720000
35,ok,100.57,100.57,100.19,100.19,270,1332806400
36,ok,100.19,100.57,100.19,100.57,90,1332979200
37,ok,100.57,100.57,99.81,100.19,320,1333238400
38,ok,100.19,100.19,99.81,99.81,920,1333324800
39,ok,99.81,100.57,100.57,100.57,80,1333411200
40,ok,100.57,102.1,101.33,102.1,170,1333584000
41,ok,102.1,101.33,100.95,100.95,110,1334016000
42,ok,100.95,100.19,100.19,100.19,80,1334102400
43,ok,100.19,100.95,100.95,100.95,160,1334188800
44,ok,100.95,102.48,101.71,102.48,70,1334448000
45,ok,102.48,103.24,102.86,102.86,260,1334620800
46,ok,102.86,103.62,103.62,103.62,80,1334707200
47,ok,103.62,104.76,104.38,104.76,300,1334793600
48,ok,104.76,105.52,105.52,105.52,90,1335398400
