,datetime,open_price,higest_price,lowest_price,price_1d,volume,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
0,2016-09-05,78.43,78.43,78.43,78.43,10,78.43,78.43,78.43,,,,
1,2016-09-08,81.11,81.11,81.11,81.11,10,79.32333333333334,78.91727272727273,78.765,79.77000000000001,79.77000000000001,79.77000000000001,79.77000000000001
2,2016-11-24,82.23,82.23,82.23,82.23,10,80.29222222222224,79.5195867768595,79.198125,82.23,82.14753965006466,81.30276963592597,80.63573108045134
3,2016-12-06,83.36,86.74,83.36,86.74,50,82.44148148148149,80.83238918106686,80.140859375,,,,
4,2016-12-15,88.01,90.55,88.01,90.55,92,85.14432098765434,82.59922751178198,81.442001953125,90.55,86.26049129526274,83.93427984518097,82.62466175569035
5,2016-12-18,91.82,93.09,91.82,93.09,20,87.79288065843623,84.50664069145797,82.89800170898438,,,,
6,2016-12-21,94.5,98.68,94.5,98.68,40,91.4219204389575,87.0836151111929,84.87075149536133,,,,
7,2016-12-26,100.08,106.12,100.08,106.12,50,96.32128029263833,90.54477600006692,87.52690755844117,,,,
8,2017-01-19,107.67,107.67,107.67,107.67,10,100.1041868617589,93.65845309096383,90.04479411363602,107.67,101.71663870227718,94.21303555657958,90.26037220239128
9,2017-01-23,109.22,110.93,109.22,110.93,41,103.71279124117262,96.79873434715222,92.65544484943152,,,,
10,2017-01-24,112.64,112.64,112.64,112.64,10,106.68852749411509,99.67896446585182,95.15351424325257,,,,
11,2017-02-06,23.18,23.18,23.18,114.34,18,109.23901832941007,102.34460729024238,97.551824962846,,,,
12,2017-02-09,114.34,117.75,114.34,117.75,30,112.07601221960672,105.14558778292557,100.07659684249025,116.045,109.77514807705796,101.3886698329625,96.19222075750045
13,2017-02-12,119.61,123.33,119.61,123.33,74,115.82734147973783,108.45184454966638,102.98327223717897,,,,
14,2017-02-13,125.19,127.21,125.19,127.21,20,119.62156098649189,111.86241826790884,106.0116132075316,,,,
15,2017-02-14,129.22,129.22,129.22,129.22,10,122.82104065766126,115.01834221919813,108.91266155659015,,,,
16,2017-02-26,131.24,133.26,131.24,133.26,20,126.30069377177418,118.33500727025302,111.95607886201638,,,,
17,2017-03-01,135.43,139.77,135.43,139.77,30,130.79046251451615,122.23227867566155,115.43281900426433,,,,
18,2017-03-02,142.09,144.42,142.09,144.42,41,135.33364167634412,126.26640982554125,119.05621662873129,139.15,125.56656434681571,113.05708765068813,105.48745260195027
19,2017-03-14,146.74,146.74,146.74,146.74,10,139.13576111756277,129.9888807663519,122.51668955013989,,,,
20,2017-03-20,23.18,23.18,23.18,149.07,4,142.44717407837518,133.45817517246974,125.83585335637241,,,,
21,2017-03-21,149.07,154.03,149.07,154.03,50,146.3081160522501,137.1985069592934,129.36012168682586,,,,
22,2017-03-22,156.51,159.15,156.51,159.15,27,150.5887440348334,141.18968751214913,133.08385647597262,,,,
