,datetime,open_price,higest_price,lowest_price,price_1d,volume,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
0,2018-05-27,95.82,95.82,95.82,95.82,10,95.82,95.82,95.82,,,,
1,2018-07-16,97.74,99.65,97.74,99.65,1913,97.09666666666666,96.51636363636364,96.29875,,,,
2,2018-08-06,101.57,103.49,101.57,103.49,201,99.22777777777779,97.78429752066114,97.19765625,,,,
3,2018-08-09,105.4,107.32,105.4,107.32,1778,101.9251851851852,99.51806160781366,98.46294921875,105.405,102.42756846729355,99.43248193045031,98.1065757933604
4,2018-08-12,109.23,111.15,109.23,111.15,190,105.00012345679013,101.6329594973021,100.04883056640624,,,,
5,2018-08-21,116.52,116.52,116.52,116.52,10,108.84008230452676,104.33969413415626,102.10772674560546,,,,
6,2018-09-06,122.27,122.27,122.27,122.27,10,113.31672153635118,107.59974974612784,104.62801090240478,122.27,114.72335072185233,108.12441578638246,104.70296559206642
7,2018-09-17,128.02,128.02,128.02,128.02,10,118.21781435756746,111.31252251955914,107.55200953960419,,,,
8,2018-09-23,134.15,139.51,134.15,139.51,496,125.31520957171165,116.43933660691201,111.54675834715366,,,,
9,2018-09-30,142.2,144.88,142.2,144.88,148,131.83680638114112,121.61036631474619,115.71341355375945,,,,
10,2018-11-15,159.06,159.06,159.06,159.06,10,140.9112042540941,128.41939062115597,121.13173685953953,159.06,153.58902286020248,136.18516350185695,125.40998854942653
11,2019-01-02,166.73,166.73,166.73,166.73,10,149.5174695027294,135.38495596276397,126.8315197520971,,,,
12,2019-01-08,174.78,174.78,174.78,174.78,10,157.9383130018196,142.5476912422614,132.82507978308496,,,,
13,2019-01-14,183.21,183.21,183.21,183.21,10,166.36220866787974,149.94083828912295,139.12319481019935,,,,
14,2019-01-30,192.02,192.02,192.02,192.02,10,174.9148057785865,157.59159496382787,145.73529545892444,,,,
15,2019-05-06,201.22,210.8,201.22,210.8,1403,186.87653718572435,167.2658504249501,153.8683835265589,,,,
16,2019-06-12,221.34,231.88,221.34,231.88,3010,201.87769145714958,179.0138776204137,163.61983558573905,,,,
17,2019-07-04,236.2,231.88,231.88,231.88,8,211.87846097143307,188.62589987124755,172.15235613752168,231.88,229.03071466809007,215.72846261394164,195.65666107085204
18,2019-07-07,236.2,231.88,231.88,231.88,2,218.54564064762206,196.4902817128389,179.6183116203315,,,,
19,2019-07-08,231.88,231.88,231.88,231.88,62000,222.99042709841473,202.92477594686818,186.15102266779007,,,,
20,2019-07-15,231.88,231.88,231.88,231.88,8000,225.95361806560982,208.18936213834667,191.86714483431632,,,,
21,2019-07-31,236.2,236.2,236.2,236.2,10,229.36907871040654,213.28220538591998,197.40875173002678,,,,
22,2019-08-07,247.69,252.49,247.69,252.49,20,237.07605247360436,220.4108953157527,204.29390776377343,,,,
23,2019-08-11,264.94,275.48,264.94,275.48,229,249.87736831573625,230.42345980379764,213.19216929330176,,,,
24,2019-08-26,288.9,288.9,288.9,288.9,10,262.8849122104908,241.05555802128896,222.65564813163905,,,,
25,2019-09-16,294.65,300.4,294.65,300.4,20,275.38994147366054,251.84545656287278,232.37369211518416,,,,
26,2019-09-23,315.25,315.25,315.25,315.25,10,288.67662764910705,263.3735553696232,242.73323060078613,,,,
27,2019-11-05,315.25,315.25,315.25,315.25,40000,297.53441843273805,272.80563621150986,251.79782677568787,,,,
28,2019-11-06,321.48,346.39,321.48,346.39,50,313.81961228849207,286.1846114457808,263.6218484287269,,,,
29,2019-11-07,353.1,380.88,353.1,380.88,3285,336.1730748589947,303.40195481927515,278.279117375136,347.50666666666666,336.5682445239478,300.0897645328768,272.20948789472413
30,2019-11-13,388.07,411.07,388.07,411.07,24357,361.13871657266316,322.9779630339524,294.877977703244,,,,
31,2019-11-14,411.07,451.79,419.21,451.79,50,391.3558110484421,346.3983333914156,314.4919804903385,431.43,368.1888296826319,323.969807345081,292.1120519078836
32,2019-11-17,460.41,496.83,460.41,496.83,50,426.5138740322948,373.74954550206724,337.2842329290462,,,,
33,2019-11-18,506.41,546.17,506.41,546.17,150,466.3992493548632,405.0987190471459,363.39495381291545,,,,
34,2019-11-19,556.71,600.79,556.71,600.79,348,511.1961662365755,440.6789519476648,393.069334586301,,,,
